"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2016_Q4",8.29047619047619,"Down",890500000,-515300000,375200000,-295200000,-274300000,-20900000,8e+07,16500000,-98500000,1.15e+08,96500000,-10300000,86200000,-20400000,65800000,65800000,71700000,104600000,714100000,714100000,1.141e+09,1.141e+09,564300000,181200000,180300000,9e+05,2600600000,472700000,7853400000,3393200000,4366300000,93900000,8326100000,10926700000,982800000,394800000,487400000,81400000,1568200000,5196900000,1101300000,75800000,696700000,328800000,6298200000,7866400000,3923900000,-571600000,-464100000,2888200000,172100000,3060300000,10926700000,89300000,-9800000,2500000,-7300000,-93800000,-7800000,289900000,371900000,371900000,5e+05,372400000,5278300000,0.42134,0.08984,0.11746,0.03418,0.00957,1.65833,2.57047,0.48306,0.44625,0.39546,3.79906,12.32167,0.01108,57.0525
"12","2017_Q1",11.9370967741935,"Up",-865800000,531300000,-334500000,243500000,227200000,16300000,-9.1e+07,-105300000,-82600000,-22700000,-196300000,-24600000,-220900000,1.07e+08,-113900000,-99999.9999999925,-1800000.00000001,-1800000.00000001,422600000,422600000,1054800000,1054800000,416400000,177400000,71300000,106100000,2071200000,460500000,7522400000,3233300000,4178900000,110200000,7982900000,10054100000,966600000,383600000,5.83e+08,116100000,1082700000,5122900000,958700000,73800000,663200000,221700000,6081600000,7164300000,3984100000,-573500000,-674500000,2736100000,153700000,2889800000,10054100000,-1.4e+07,-2900000,15500000,11400000,-44800000,-423100000,-467900000,-470500000,-267500000,-23500000,-2.91e+08,5.239e+09,0.38635,0.10511,0.00208,-0.000620000000000009,-0.00018,1.913,2.47917,0.52108,-0.00644000000000011,-0.00491999999999992,-3.09546,9.78227,-0.000200000000000001,-52.92747
"13","2017_Q2",12.6795238095238,"Up",861800000,-483400000,378400000,-2.79e+08,-257400000,-21600000,99400000,-91700000,-89400000,-2300000,7700000,-12600000,-4900000,-18700000,-23600000,-23600000,-24400000,-24400000,366400000,366400000,1189500000,1189500000,516700000,182900000,78300000,104600000,2255500000,456400000,7.638e+09,3241100000,4270100000,126800000,8094400000,10349900000,993200000,410400000,503800000,207700000,1200900000,5141800000,957300000,73400000,668200000,215700000,6099100000,7.3e+09,4003400000,-597900000,-498400000,2.907e+09,142900000,3049900000,10349900000,-119400000,-14900000,-10400000,-25300000,8e+07,-1100000,78900000,-65800000,-65800000,9600000,-56200000,5349500000,0.43908,0.11534,-0.02831,-0.008,-0.00236,1.87817,2.39352,0.51686,-0.08576,-0.08576,3.02917,10.21793,-0.00261,50.13179
"14","2017_Q3",12.0168253968254,"Down",941100000,-541200000,399900000,-309400000,-284300000,-25100000,90500000,-79500000,-8.5e+07,5500000,1.1e+07,-59900000,-48900000,-11100000,-6e+07,-6e+07,-61100000,-61100000,427100000,427100000,1168200000,1168200000,536600000,210500000,67500000,1.43e+08,2342400000,455800000,7588100000,3184600000,4274700000,128800000,8043900000,10386300000,1016100000,432600000,526600000,188800000,1204900000,5271100000,9.58e+08,73500000,665700000,218800000,6229100000,7.434e+09,4015600000,-6.59e+08,-533800000,2822700000,129600000,2952300000,10386300000,109100000,-9800000,-1e+07,-20100000,-29200000,-7699999.99999994,-36899999.9999999,52100000,52100000,8800000,60900000,5459900000,0.42493,0.09616,-0.06492,-0.0207,-0.00588,1.94406,2.51804,0.52568,-0.21356,-0.21356,3.28941,9.86613,-0.00652,55.61105
"15","2017_Q4",10.07,"Down",-412900000,236200000,-176700000,134400000,121500000,12900000,-42300000,-81700000,-81900000,2e+05,-1.24e+08,2.5e+07,-9.9e+07,9600000,-89400000,-66300000,-69200000,-69200000,390900000,390900000,1133900000,1133900000,556700000,215100000,54600000,160500000,2296600000,452400000,7689600000,3193600000,4367500000,128500000,8.142e+09,10438600000,1030400000,427400000,529300000,9e+07,1120400000,5332700000,966600000,71500000,671100000,2.24e+08,6299300000,7419700000,4028800000,-728200000,-4.1e+08,2890500000,128400000,3018900000,10438600000,-54700000,14400000,16200000,30900000,-53500000,2400000,-51100000,-74900000,-28800000,8900000,-19900000,5422700000,0.42795,0.10245,0.1676,-0.02292,-0.00663,2.0498,2.45775,0.51949,-0.24137,-0.24137,-1.44018,10.08197,-0.00736,-118.95508
"16","2018_Q1",10.3606557377049,"Up",488600000,-276400000,212200000,-159600000,-1.47e+08,-12600000,52600000,-1.54e+08,-80600000,-73400000,-101400000,-6200000,-107600000,88800000,-18800000,-145700000,-141500000,-141500000,258400000,258400000,399800000,399800000,186400000,1.496e+09,20200000,43700000,2340600000,287400000,7624400000,1160800000,2252600000,42400000,7911800000,10252400000,316700000,111200000,205500000,10100000,1091700000,5437100000,863600000,56300000,1.7e+08,164700000,6300700000,7392400000,4034900000,-869700000,-4.22e+08,2743100000,116900000,2.86e+09,10252400000,30700000,-3600000,-8e+05,-4400000.00000001,22900000,-16900000,7399999.99999999,33700000,69800000,5800000,75600000,5447200000,0.4343,0.10765,-0.2896,-0.04948,-0.0138,2.144,2.58476,0.53131,-0.49286,-0.49286,1.70185,9.55451,-0.01543,98.6463900000001
"17","2018_Q2",10.57484375,"Up",964100000,-559400000,404700000,-300500000,-2.77e+08,-23500000,104200000,-59200000,-78200000,1.9e+07,4.5e+07,5.8e+07,1.03e+08,-6.5e+07,3.8e+07,3.8e+07,37300000,37300000,412600000,412600000,1289400000,1289400000,611600000,238500000,48400000,190100000,2552100000,4.51e+08,7544100000,3126600000,4276400000,141100000,7995100000,10547200000,1.119e+09,498100000,620900000,116300000,1235300000,5495200000,849700000,70100000,569300000,210300000,6344900000,7580200000,4046500000,-833700000,-356900000,2855800000,111200000,2.967e+09,10547200000,-161100000,-1e+07,-8200000,6800000,74300000,-1e+05,74200000,-80100000,-80100000,14100000,-6.6e+07,5611500000,0.41977,0.10808,0.03869,0.01257,0.00354,2.06598,2.55484,0.53204,0.12956,0.12696,3.34873,9.91942,0.00396,49.89347
"18","2018_Q3",12.1130158730159,"Up",1022500000,-599600000,422900000,-305900000,-2.8e+08,-25900000,1.17e+08,-67600000,-79500000,11900000,49400000,-52200000,-2800000,14600000,11800000,11800000,1.2e+07,1.2e+07,442400000,442400000,1243100000,1243100000,583800000,232500000,47300000,185200000,2501800000,429700000,7046900000,2896700000,4043800000,106400000,7476600000,9978400000,1046800000,464400000,582400000,138800000,1185600000,5.402e+09,786400000,65700000,524900000,195800000,6188400000,7.374e+09,4051500000,-821700000,-697300000,2532400000,7.2e+07,2604400000,9978400000,69400000,-12400000,22900000,-39500000,31600000,-2600000,2.9e+07,58900000,58900000.0000001,-29900000,2.9e+07,5540800000,0.41359,0.11443,0.0117399999999999,0.00461,0.0012,2.11016,2.83136,0.55528,0.04164,0.0402700000000001,3.54788,8.78695,0.00134,43.57607
"19","2018_Q4",10.6912698412698,"Down",-5.04e+08,311800000,-192200000,148700000,132400000,16300000,-43500000,-9.3e+07,-75700000,-17300000,-136500000,-5400000,-141900000,29300000,-112600000,-405900000,-408900000,-408900000,252200000,252200000,400300000,400300000,210200000,1604600000,59600000,99423822.6638633,2467300000,270100000,6654100000,1054400000,2187400000,28800000,6924200000,9391500000,284200000,112700000,171500000,50070701.1367979,1126600000,5389900000,763700000,53400000,145300000,158600000,6153600000,7280200000,4056900000,-1230600000,-7.8e+08,2046200000,65100000,2111300000,9391500000,65300000,4500000,-11600000,14700000,-106300000,2300000,-1.04e+08,-2.4e+07,-31500000,-7800000,-39300000,5389900000,0.38135,0.08631,0.81131,-0.19367,-0.04354,2.19004,3.44821,0.57391,-1.41881,-1.41881,-1.74879,7.09993,-0.04947,-118.10805
"20","2019_Q1",10.7509836065574,"Up",478400000,-276200000,202200000,-131400000,-120200000,-11200000,70800000,-76400000,-77600000,1200000,-5600000,-5900000,-11500000,-2700000,-14200000,36199999.9999999,35200000,35200000,233600000,233600000,382400000,382400000,188100000,1678100000,14300000,42500000,2482200000,266900000,6652400000,1024500000,2182600000,32900000,6919300000,9401500000,290400000,100900000,189500000,25300000,1142500000,5350700000,727200000,49500000,1.33e+08,128500000,6077900000,7220400000,4.065e+09,-1195400000,-756900000,2109200000,71900000,2181100000,9401500000,25600000,-6300000,25500000,-5799999.99999976,2899999.99999976,-3500000,-6e+05,19200000,11400000,-3400000,7999999.99999999,5.376e+09,0.42266,0.14799,0.0735800000000002,0.01614,0.00374,2.1726,3.31044,0.57182,0.12201,0.12903,1.65823,7.31092,0.00425,72.63277
"21","2019_Q2",10.2134920634921,"Down",459800000,-261500000,198300000,-153200000,-142400000,-10800000,45100000,-86100000,-38100000,-4.8e+07,-4.1e+07,27100000,-13900000,10400000,-3500000,23900000,23200000,23200000,230400000,230400000,380300000,380300000,202400000,188600000,19900000,53600000,1001700000,2.63e+08,3307500000,999900000,2191400000,109500000,3570500000,4572200000,2.48e+08,1.1e+08,1.38e+08,1.28e+08,456100000,1516500000,344400000,48600000,128500000,167300000,1860900000,2.317e+09,4107700000,-1605500000,-240100000,2256700000,-1500000,2255200000,4572200000,-3.2e+07,-6700000,8500000,4194100000,-3756600000,-50300000,-4240500000,-78400000,-194500000,9400000,-185100000,1644500000,0.43127,0.09809,0.05046,0.01029,0.00507,2.19623,1.0274,0.35967,0.0865,0.0865,1.71439,8.41424,0.00547,31.35477
"22","2019_Q3",9.54140625,"Down",456700000,-263700000,1.93e+08,-137500000,-126400000,-11100000,55500000,-19300000,-18200000,-1100000,36200000,-28300000,7900000,6800000,14700000,1400000,1500000,1500000.00000001,247600000,247600000,374700000,374700000,201600000,102400000,23700000,69100000,926300000,256700000,3257300000,9.67e+08,2177900000,105600000,3.514e+09,4440300000,222300000,106100000,116200000,57800000,3.38e+08,1515300000,355800000,48600000,120300000,186900000,1871100000,2209100000,4.112e+09,-1.604e+09,-258400000,2232800000,-1600000.00000001,2231200000,4440300000,37300000,-4700000,-600000.000000002,84199999.999999,-72199999.9999995,2e+06,-81699999.9999995,39800000,20399999.9999999,-3200000,17200000,1573100000,0.4226,0.12152,0.00327999999999997,0.00066999999999999,0.000340000000000002,2.74053,0.9901,0.35428,0.00582999999999997,0.00572000000000003,1.77566,8.68118,0.00036,23.88288
"23","2019_Q4",10.70609375,"Up",464700000,-2.59e+08,205700000,-138800000,-128800000,-1e+07,66900000,-14500000,-17400000,2900000,52400000,-1200000,51200000,-57200000,-6e+06,-6900000,-6900000,-6900000,200300000,200300000,367200000,367200000,1.98e+08,84800000,21900000,54800000,850300000,2.5e+08,3172800000,917600000,2125800000,122900000,3422800000,4273100000,243800000,102700000,141100000,7800000,289800000,1514200000,348600000,4.7e+07,126500000,175100000,1862800000,2152600000,4114400000,-1610900000,-313500000,2122100000,-1600000,2120500000,4273100000,86800000,-6800000,-1200000,-8e+06,-5.2e+07,2e+05,-102800000,-2.4e+07,-42800000,-4500000,-47300000,1.522e+09,0.44265,0.14396,-0.01485,-0.00325,-0.00161,2.93409,1.01514,0.35618,-0.02713,-0.02689,1.82737,8.34487,-0.00173,19.75635
"24","2020_Q1",10.3175806451613,"Down",454700000,-263399999,191300001,-109700000,-99400000,-10300000,81600001,-1.7e+07,-1.7e+07,0,64600001,31100000,95700001,-21300000,74400001,74500001,74400001,74400001,190100000,190100000,363900000,363900000,199600000,79800000,18300000,50300000,833400000,264800000,3226200000,944400000,2179600000,95700000,3.491e+09,4324400000,251900000,96800000,155100000,7800000.00000001,293800000,1513200000,298100000,50800000,119600000,127700000,1811300000,2105100000,4116800000,-1536500000,-280500000,2220900000,-1600000,2219300000,4324400000,78800000,-6900000,2e+05,-70600000.0000001,-2100000,-8e+05,-13900000.0000001,-5700000,-13300000,3100000,-10200000,1.521e+09,0.42072,0.17946,0.16362,0.03352,0.0172,2.83662,0.94854,0.35173,0.29677,0.29384,1.81372,8.8588,0.01842,16.31005
