"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",7.45111111111111,"Down",22918000,-12101000,10817000,-5363000,-2828000,-2535000,5454000,241000,186000,55000,5695000,5695000,-1316000,4379000,4379000,4379000,4379000,-104826307.383277,-337083704.392364,232257397.009087,-25935760.8378088,-25935760.8378088,83246484.7773253,86532813.8300028,86532813.8300028,39017230.3862426,26125019.4603661,10703800.2861471,704856.031515094,704859.742574708,37533675.7780283,76550906.1642709,-34081270.8636161,-36935994.36169,2854723.49807388,-35298432.757008,-550334.858656254,-2.09894796457833,-550334.858656254,-35848767.6156643,73717483.9687349,38558043.7670634,124146.044136915,112399673.779935,112399673.779935,76550906.1642709,4379000,660000,497000,-3815000,1721000,-1294000,-8486000,-9780000,481000,481000,531000,-7528000,-7528000,-7528000,6114000,0,2321000,0.47199,0.23798,0.19107,-0.217569287740371,-0.182019805324489,0.53003,14.6466789475246,-0.249068587784407,0,0.15825,0.15187,0.82823,3.62529272516982,0.08388,-0.214692205630035,-2.20363377846521,-73.864531893191,840.773902947756
"2","2011_Q3",5.7196875,"Down",26747000,-14569000,12178000,-5497000,-2633000,-2864000,6681000,23000,168000,-145000,6704000,6704000,-1457000,5247000,5247000,5247000,5247000,-21991653.6916384,-134210852.196182,112219198.504543,-3587880.41890439,-3587880.41890439,46960242.3886627,39930406.9150014,39930406.9150014,61311115.1931213,19485009.7301831,23809900.1430736,2166928.01575755,2166929.87128735,45461837.8890142,106772953.082135,-9840635.43180807,-13917497.180845,4076861.74903694,-8103716.37850402,531832.570671873,-1.04947398228917,531832.570671873,-7571883.80783214,61949241.9843675,52330521.8835317,65073.0220684574,114344836.889968,114344836.889968,106772953.082135,5247000,678000,251000,-1930000,4246000,-178000,3125000,2947000,524000,524000,640000,7833000,7833000,7833000,7359000,0,6708000,0.4553,0.24979,0.19617,-0.0759296438701857,-0.0626599026622447,1.27844,9.94130447376228,-0.0382792938922033,0,0.18857,0.18045,0.96126,3.93301136258491,0.24108,-0.0748961028150177,-0.917936889232604,-42.6756409465955,397.671086473878
"3","2011_Q4",4.79269841269841,"Down",26244000,-14121000,12123000,-5423000,-2791000,-2632000,6700000,-48000,170000,-218000,6652000,6652000,-814000,5838000,5838000,5838000,5838000,27589782.1027872,-21432284.0653939,49022066.1681811,9352373.19369854,9352373.19369854,28090414.1295542,14969802.3050005,14969802.3050005,80002371.7310404,15517336.5767277,29682300.0476912,3043642.67191918,3043643.29042912,48243279.2963381,128245651.027378,4143788.18939731,-517832.393615003,4661620.58301231,8046427.873832,1200277.52355729,-0.349824660763056,1200277.52355729,9246705.39738929,57272080.6614558,61667840.6278439,59024.3406894858,118998945.629989,118998945.629989,128245651.027378,5838000,722000,1570000,-3228000,4902000,-2680000,-4832000,-7512000,1647000,1647000,1866000,-744000,-744000,-744000,7422000,0,2328000,0.46193,0.2553,0.22245,-0.000316547956728561,0.000923365779251777,0.39877,7.19977149125409,0.0837069020359322,0,0.20794,0.19623,0.93475,4.18459712086164,0.08292,-0.000278700938339219,-0.226768963077535,-20.6551269821985,119.779538824626
"4","2012_Q1",4.60032258064516,"Down",21854000,-12218000,9636000,-5071000,-2470000,-2601000,4565000,245000,149000,96000,4810000,4810000,-1398000,3412000,3412000,3412000,3412000,51985000,25952000,26033000,15042000,15042000,21380000,5575000,5575000,93982000,13545000,30938000,3452000,3452000,47935000,141917000,10428000,5638000,4790000,15676000,1561000,0,1561000,17237000,57092000,67505000,83000,124680000,124680000,141917000,3412000,734000,4000,-1672000,2478000,-148000,-3040000,-3188000,1946000,1946000,2443000,1733000,1733000,1733000,5299000,0,4877000,0.44093,0.20889,0.15613,0.02737,0.02404,1.42937,5.99528,0.13825,0,0.1198,0.10979,0.76735,4.37781,0.17124,0.02703,0.03863,-9.81034,-11.38773
"5","2012_Q2",4.33873015873016,"Down",23048000,-12871000,10177000,-6038000,-3399000,-2639000,4139000,146000,139000,7000,4285000,4285000,-1013000,3272000,3272000,3272000,3272000,59261000,32642000,26619000,15638000,15638000,21572000,5670000,5670000,102141000,12891000,30194000,3509000,3509000,46594000,148735000,11568000,6925000,4643000,17309000,1720000,0,1720000,19029000,58815000,70777000,114000,129706000,129706000,148735000,3272000,739000,1323000,288000,5622000,0,-144000,-144000,1159000,1159000,1212000,6690000,6690000,6690000,4878000,0,6179000,0.44156,0.17958,0.14196,0.02523,0.022,1.88845,5.90103,0.14671,0,0.11378,0.10763,0.80147,4.51041,0.21487,0.0249,0.04702,-12.14863,-14.31771
"6","2012_Q3",4.78142857142857,"Up",20783000,-11725000,9058000,-7145000,-4447000,-2698000,1913000,99000,131000,-32000,2012000,2012000,-348000,1664000,1664000,1664000,1664000,56561000,25549000,31012000,12676000,12676000,23039000,8554000,8554000,100830000,12738000,31539000,3352000,3352000,47629000,148459000,9547000,5301000,4246000,14831000,1840000,0,1840000,16671000,59232000,72441000,115000,131788000,131788000,148459000,1664000,680000,1121000,-3791000,-325999.999999998,-595000,-6075000,-6670000,-102000,117000,-97000,-7093000,-7093000,-7093000,2593000,0,-1445000,0.43584,0.09205,0.08007,0.01263,0.01121,-0.86839,6.7986,0.1265,0,0.05762,0.05566,0.71963,4.5633,-0.0500300000000001,0.01245,-0.01081,-21.81296,-29.56665
"7","2012_Q4",5.47016129032258,"Up",19975000,-11208000,8767000,-8080000,-5453000,-2627000,687000,157000,139000,18000,844000,844000,147000,991000,991000,991000,991000,51952000,29373000,22579000,8313000,8313000,20524000,8151000,8151000,88940000,12409000,37590000,3098000,3098000,53097000,142037000,6921000,3141000,3780000,10766000,2027000,0,2027000,12793000,55749000,73432000,63000,129244000,129244000,142037000,991000,586000,915000,3465000,5957000,-141000,2023000,1882000,-4031000,221000,-4015000,3824000,3824000,3824000,1273000,0,4450000,0.4389,0.03439,0.04961,0.00767,0.00698,4.49041,8.26119,0.09898,0,0.03477,0.03395,0.70078,4.53424,0.15612,0.00755,0.0339,-40.81068,-75.62154
"8","2013_Q1",6.51033333333333,"Up",18734000,-10087000,8647000,-8730000,-6057000,-2673000,-82999.9999999999,123000,132000,-9000.00000000001,40000,40000,789000,829000,829000,829000,829000,58678000,31634000,27044000,10579000,10579000,16725000,8108000,8108000,94090000,12806000,33497000,2724000,2724000,49027000,143117000,9833000,5490000,4343000,12503000,1835000,0,1835000,14338000,54430000,74261000,88000,128779000,128779000,143117000,829000,606000,1241000,3029000,5705000,-943000,-643000,-1586000,-1859000,7000,-1858000,2261000,2261000,2261000,523000,0,1820000,0.46157,-0.00443,0.04425,0.00644,0.00579,2.19542,7.52539,0.11134,0,0.02977,0.02909,0.67275,4.62452,0.06536,0.00635,0.01393,-112.19503,706.96386
"9","2013_Q2",6.1528125,"Down",16783000,-10018000,6765000,-5885000,-3047000,-2838000,880000,136000,124000,12000,1016000,1016000,-96000,920000,920000,920000,920000,59218000,30455000,28763000,10482000,10482000,17148000,7725000,7725000,94573000,12279000,30444000,2735000,2735000,45458000,140031000,6693000,3972000,2721000,9365000,2026000,-1.77635683940025e-15,2026000,11391000,53404000,75181000,55000,128640000,128640000,140031000,920000,638000,1108000,-3081000,-415000,-174000,998000,824000,-1593000,222000,-1588000,-1179000,-1179000,-1179000,1518000,0,-1641000,0.40309,0.05243,0.05482,0.00715,0.00657,-1.7837,10.09856,0.08855,0,0.03362,0.0329,0.61339,4.70158,-0.05998,0.00704,-0.01256,-39.01054,-67.29318
"10","2013_Q3",6.71609375,"Up",16010000,-8806000,7204000,-5698000,-2826000,-2872000,1506000,131000,107000,24000,1637000,1637000,-505000,1132000,1132000,1132000,1132000,67083000,34844000,32239000,8637000,8637000,17341000,7256000,7256000,100317000,11701000,26088000,2825000,2825000,40614000,140931000,7097000,3793000,3304000,9663000,2114000,0,2114000,11777000,52762000,76313000,79000,129154000,129154000,140931000,1132000,633000,905000,2214000,4884000,27000,680000,707000,-1204000,136000,-1202000,4389000,4389000,4389000,2139000,0,4885000,0.44997,0.09407,0.07071,0.00876,0.00803,4.31537,10.38156,0.09119,0,0.04172,0.04053,0.5901,4.76038,0.18005,0.00862,0.03721,-31.36185,-44.54382
