"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",16.1125,"Up",502455000,-14243000,488212000,-484191000,-481316000,-2875000,4021000,79000,79000,4100000,4100000,-1338000,2762000,2762000,2762000,2762000,104363980.783655,130431083.831986,14039797.6562504,14039797.6562504,93122.1772026718,-15833118.1410525,12053981.8570846,3223516.04158098,-11859142.4620982,102663782.476055,44377169.573325,8474769.99374924,7429731.15910792,52851939.5671683,155515722.043223,37839703.6565968,23015596.1593842,-8181768.53556495,4515949.15692951,29657935.1210319,20139630.4253777,18833962.8632383,1305667.56213944,20139630.4253777,49797565.5464096,12115000,93603156.4968138,105718156.496814,105718156.496814,155515722.043223,2762000,2875000,3138000,-11650000,-2875000,-5050000,10000,10000,-5060000,-5060000,-5002000,-7877000,-7877000,-7877000,6896000,0,-8466000,0.97165,0.008,0.0055,0.253593560755347,0.0836789679205943,-3.06517,1.46109828372617,0.397500469386635,2.05895963856271e-16,0.65488,0.65488,119.13303,25.0659666212641,-2.0073,0.247077739661765,0.404857007777316,-1.29799117881281,0.553888151040704
"2","2011_Q1",19.6672580645161,"Up",500400000,-14185000,486215000,-483042000,-480153000,-2889000,3173000,77000,77000,3250000,3250000,-939000,2311000,2390000,2390000,2390000,29032000,29032000,190169000,190169000,14591000,13184000,8104000,2316000,2764000,246976000,47589000,6740000,6366000,54329000,301305000,204666000,200763000,2332000,1478000,206998000,4152000,2762000,1390000,4152000,211150000,12115000,78040000,90155000,90155000,301305000,2390000,3392000,3466000,1186000,10434000,-9322000,13999.9999999981,13999.9999999981,-9336000,-9336000,-9428000,-1270999.99999999,-1270999.99999999,-1270999.99999999,6565000,0,-632000,0.97165,0.00634,0.00478,0.02651,0.00793,-0.26444,1.19313,2.34208,0,0.56667,0.56667,118.64579,21.37592,-0.14985,0.04949,-0.0067,-4.42224,-9.1497
"3","2011_Q2",20.2552380952381,"Up",663846000,-15038000,648808000,-642866000,-639550000,-3316000,5942000,48000,48000,5990000,8823000,-3045000,5778000,5583000,5583000,5583000,16695006.4054485,7091305.38933789,235674900.78125,235674900.78125,20037709.2742658,20667872.7136842,7412589.38097179,1291994.65280634,8257880.8206994,293075489.174648,57809776.8088917,4806576.66875025,4625172.94696403,62616353.4776106,355691842.652259,255925432.114468,253013301.280205,6606256.17852165,3012433.61435683,262531688.292989,2721289.85820743,1310012.37892058,1411277.47928685,2721289.85820742,265252978.151197,12115000,78323864.5010621,90438864.5010621,90438864.5010621,355691842.652259,5583000,3422000,602000,-8889000,718000,-8367000,6609000,6609000,-14976000,-14976000,-17065000,-16347000,-16347000,-16347000,9364000,0,-4847000,0.97735,0.00895,0.00841,-0.0169903535851158,-0.00706965597353145,-0.86817,1.11278223875794,2.87154651020446,-6.86319879520904e-17,1.32374,1.32374,157.39914,21.4432269595786,-1.14923,0.000319920112744988,-0.0102773359257721,-4.88917627372906,-10.1805993836802
"4","2011_Q3",18.23421875,"Down",777538000,-16147000,761391000,-755943000,-752151000,-3792000,5448000,36000,36000,5484000,5484000,-2129000,3355000,3589000,3589000,3589000,36687000,27939000,212748000,212748000,20393000,16692000,8480000,407000,7805000,286520000,69562000,3306000,3031000,72868000,359388000,244369000,237450000,6927000,6011000,251296000,8765000,7353000,1412000,8765000,260061000,12115000,87212000,99327000,99327000,359388000,3589000,3898000,2151000,20215000,29853000,-14599000,687000,687000,-15286000,-15286000,-14599000,15254000,15254000,15254000,9346000,8.27180612553028e-25,17091000,0.97923,0.00701,0.00462,0.03613,0.00999000000000001,4.76205,1.14017,2.61823,0,0.85096,0.85096,184.35573,23.55062,4.05231,0.0332,0.15812,-3.92542,-6.73403
"5","2011_Q4",18.5453968253968,"Up",755995000,-15377000,740618000,-726674000,-722721000,-3953000,13944000,142000,142000,14086000,14086000,-4820000,9266000,9026000,9026000,9026000,53119000,49560000,189217000,189217000,18415000,14850000,10091000,68000,4691000,275601000,74783000,3203000,2770000,77986000,353587000,224981000,215506000,6133000,6133000,231114000,14120000,12668000,1452000,14120000,245234000,12115000,96238000,108353000,108353000,353587000,9026000,4050000,5038000,8757000,26871000,-10208000,736000,736000,-10944000,-10944000,-5250000,21621000,21621000,21621000,17994000,0,21363000,0.97966,0.01844,0.01194,0.0833,0.02553,2.36683,1.19249,2.26329,0,2.14008,2.14008,179.24785,25.6907,5.06521,0.0737,0.17443,-2.95204,-3.80945
"6","2012_Q1",33.8464516129032,"Up",841358000,-27114000,814244000,-807295000,-802471000,-4824000,6949000,3000.00000000006,3000.00000000006,6952000,7042000,-2723000,4319000,4733000,4733000,4733000,37066000,37066000,225393000,225393000,18464000,24042000,10651000,480000,2064000,304965000,68857000,5018000,4545000,73875000,378840000,249768000,243615000,6326000,681000,256094000,12064000,10496000,1568000,12064000,268158000,12115000,98567000,110682000,110682000,378840000,4733000,4890000,12225000,-23475000,-1627000,-11708000,362000,362000,-12070000,-12070000,-8463000,-12494000,-12494000,-12494000,11839000,1.32348898008484e-23,-20621000,0.96777,0.00826,0.00563,0.04276,0.01249,-4.35686,1.19083,2.42278,4.93038065763132e-32,1.1222,1.1222,199.48758,26.24291,-4.88928,0.05814,-0.168,-3.13084,-5.334
"7","2012_Q2",36.9365079365079,"Up",877489000,-13731000,863758000,-854376000,-850213000,-4163000,9382000,20000,20000,9402000,9402000,-3352000,6050000,6575000,6575000,6575000,35989000,35989000,251618000,251618000,29150000,10163000,7433000,0,854000,326920000,80818000,4796000,4149000,85614000,412534000,280186000,268650000,2629000,2353000,282815000,12462000,10867000,1595000,12462000,295277000,12115000,105142000,117257000,117257000,412534000,6575000,4163000,-2701000,1174000,9211000,-13876000,1346000,1346000,-15222000,-15222000,-10288000,-1077000,-1077000,-1077000,13545000,0,4195000,0.98435,0.01069,0.00749,0.05607,0.01594,0.63802,1.15595,2.5182,0,1.55894,1.55894,208.0543,27.80186,0.99464,0.05069,0.03234,-2.657,-3.83596
"8","2012_Q3",29.7433333333333,"Down",831474000,-15463000,816011000,-807448000,-802422000,-5026000,8563000,19000,19000,8582000,8582000,-3085000,5497000,5386000,5386000,5386000,32213000,32213000,190133000,190133000,17001000,10400000,9083000,5.82076609134674e-11,1010000,249747000,89591000,4697000,3939000,94288000,344035000,207331000,195653000,1024000,620000,208355000,13037000,11296000,1741000,13037000,221392000,12115000,110528000,122643000,122643000,344035000,5386000,5026000,765000,1160000,12337000,-16328000,60000,60000,-16388000,-16388000,-16113000,-3776000,-3776000,-3776000,13589000,4.2351647362715e-22,1506000,0.9814,0.0103,0.00648,0.04392,0.01566,0.27961,1.19866,1.80517,0,1.27703,1.27703,197.14406,29.07889,0.357080000000001,0.0397,0.0111,-2.37052,-3.76188
"9","2012_Q4",25.6137096774194,"Down",795525000,-14508000,781017000,-767722000,-762272000,-5450000,13295000,77000,77000,13372000,13847000,-5510000,8337000,8263000,8263000,8263000,52054000,52054000,199628000,199628000,26159000,10907000,9171000,0,1540000,288748000,95471000,4436000,3849000,99907000,388655000,238345000,224945000,2712000,2712000,241057000,16692000,14826000,1866000,16692000,257749000,12115000,118791000,130906000,130906000,388655000,8263000,5450000,2172000,13809000,29694000,-9864000,1655000,1655000,-11519000,-11519000,-9853000,19841000,19841000,19841000,18745000,0,28200000,0.98176,0.01671,0.01039,0.06312,0.02126,3.4128,1.19784,1.96896,0,1.95917,1.95917,188.62048,31.03806,6.68627,0.05598,0.19106,-2.77695,-3.91531
"10","2013_Q1",31.5226666666667,"Up",871597000,-20248000,851349000,-840836000,-834761000,-6075000,10513000,64000,64000,10577000,12305000,-4717000,7588000,7567000,7567000,7567000,47239000,47239000,228415000,228415000,28222000,20680000,7712000,1199000,84000,324556000,90712000,4233000,4199000,94945000,419501000,256215000,249214000,9867000,111000,266082000,17561000,15675000,1886000,17561000,283643000,12115000,123743000,135858000,135858000,419501000,7567000,6075000,4391000,-14781000,3252000,-4602000,3281000,3281000,-7883000,-7883000,-5452000,-4815000,-4815000,-4815000,16588000,0,1922000,0.97677,0.01206,0.00868,0.0557,0.01804,0.254000000000001,1.21976,2.08779,1.26217744835362e-29,1.79415,1.79415,206.6573,32.21219,0.45571,0.06637,0.01253,-2.84778,-4.49339
