"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.2175806451613,"Down",4.45e+09,-2.809e+09,1.641e+09,-4.3e+08,-1.43e+08,-2.7e+08,-1.7e+07,1.211e+09,-5e+07,-5.6e+07,6e+06,1.161e+09,-1e+06,1.16e+09,-1.4e+07,1.146e+09,1.146e+09,1.146e+09,1.146e+09,2.046e+09,1.638e+09,2.478e+09,2.478e+09,8.41e+08,1.003e+09,9.06e+08,6.368e+09,2.179e+09,1.517e+09,3.78e+08,1.34e+08,3.696e+09,1.0064e+10,3.154e+09,2.172e+09,9.82e+08,3.154e+09,2.862e+09,3.74e+08,3.74e+08,3.236e+09,6.39e+09,-1.121e+09,-9e+06,3.674e+09,3.674e+09,1.0064e+10,1.146e+09,2.24e+08,4e+06,-4.36e+08,9.38e+08,-1.29e+08,0,-1.22e+08,-7.6e+07,-8.18e+08,3e+06,-1.003e+09,-1.87e+08,-1.87e+08,-1.87e+08,1.435e+09,2.862e+09,8.84e+08,0.36876,0.27213,0.25753,0.31192,0.11387,0.77138,2.01902,1.73925,0.28438,2.56951,2.47516,9.97758,8.23767,1.98206,0.18205,0.12793,0.56864,0.67382
"12","2013_Q1",21.0261666666667,"Up",4.482e+09,-2.998e+09,1.484e+09,-4.27e+08,-1.4e+08,-2.69e+08,-1.8e+07,1.057e+09,-4.4e+07,-5.3e+07,9e+06,1.013e+09,-2.3283064365387e-10,1.013e+09,3.72529029846191e-09,1.013e+09,1.013e+09,1.013e+09,1.013e+09,2.118e+09,1.707e+09,2.319e+09,2.319e+09,9.09e+08,9.64e+08,8.6e+08,6.31e+09,2.284e+09,1.512e+09,3.96e+08,1.47e+08,3.796e+09,1.0106e+10,3.396e+09,2.286e+09,1.11e+09,3.396e+09,2.863e+09,3.5e+08,3.5e+08,3.213e+09,6.609e+09,-1.444e+09,-9e+06,3.497e+09,3.497e+09,1.0106e+10,1.013e+09,2.17e+08,-1.7e+07,2.32e+08,1.445e+09,-1.3e+08,-4e+06,-1.49e+08,0,-1.124e+09,3e+06,-1.227e+09,6.9e+07,6.9e+07,6.9e+07,1.274e+09,2.863e+09,1.376e+09,0.3311,0.23583,0.22602,0.28968,0.10024,1.35834,1.85807,1.88991,0.2833,2.47073,2.36131,10.93171,8.52927,3.3561,0.16677,0.20507,0.58477,0.70482
"13","2013_Q2",25.00453125,"Up",3.732e+09,-2.671e+09,1.061e+09,-4.37e+08,-1.5e+08,-2.68e+08,-1.9e+07,6.24e+08,-2.4e+07,-5.3e+07,2.9e+07,6e+08,0,6e+08,-1.8e+07,5.82e+08,5.82e+08,5.82e+08,5.82e+08,2.37e+09,1.894e+09,1.684e+09,1.684e+09,8.45e+08,8.5e+08,7.38e+08,5.749e+09,2.243e+09,1.53e+09,4.03e+08,1.35e+08,3.773e+09,9.522e+09,2.75e+09,1.808e+09,9.42e+08,2.753e+09,2.867e+09,3.67e+08,3.67e+08,3.234e+09,5.987e+09,-1.658e+09,1.7e+07,3.483e+09,3.535e+09,9.522e+09,5.82e+08,2.12e+08,-2.7e+07,3.65e+08,1.132e+09,-2.18e+08,-5e+06,-2.65e+08,0,-4.82e+08,-7.2e+07,-6.81e+08,1.86e+08,1.86e+08,1.87e+08,8.36e+08,2.87e+09,1.001e+09,0.2843,0.1672,0.15595,0.16464,0.06112,1.71993,2.08827,1.69364,0.30141,1.47716,1.42298,9.47208,8.8401,2.54061,0.1047,0.14781,0.59809,0.80128
"14","2013_Q3",26.34859375,"Up",3.668e+09,-2.676e+09,9.92e+08,-4.36e+08,-1.39e+08,-2.77e+08,-2e+07,5.56e+08,-5.6e+07,-5.4e+07,-2e+06,5e+08,-1e+06,4.99e+08,-7e+06,4.92e+08,4.92e+08,4.92e+08,4.92e+08,1.872e+09,1.383e+09,1.648e+09,1.648e+09,8e+08,6.97e+08,5.85e+08,5.017e+09,2.228e+09,1.497e+09,4.09e+08,1.32e+08,3.725e+09,8.742e+09,2.64e+09,1.685e+09,9.55e+08,2.643e+09,2.815e+09,3.59e+08,3.59e+08,3.174e+09,5.817e+09,-2.261e+09,1.8e+07,2.911e+09,2.925e+09,8.742e+09,4.92e+08,2.18e+08,2.2e+07,1.12e+08,8.44e+08,-1.63e+08,-1.7e+07,-1.88e+08,-5.8e+07,-8.6e+08,0,-1.168e+09,-5.12e+08,-5.12e+08,-5.11e+08,7.74e+08,2.818e+09,7.3e+08,0.27045,0.15158,0.13413,0.16821,0.05628,1.48374,1.89822,1.98872,0.32235,1.33333,1.29815,9.94038,7.88889,1.97832,0.1216,0.11963,1.22222,1.70144
"15","2013_Q4",31.28625,"Up",3.527e+09,-2.579e+09,9.48e+08,-4.82e+08,-1.68e+08,-2.94e+08,-2e+07,4.66e+08,-3.6e+07,-5e+07,1.4e+07,4.3e+08,-1e+06,4.29e+08,-1.3e+07,4.16e+08,4.16e+08,4.16e+08,4.16e+08,2.188e+09,1.708e+09,1.67e+09,1.67e+09,8.54e+08,7e+08,5.85e+08,5.412e+09,2.269e+09,1.562e+09,4.56e+08,2.25e+08,3.831e+09,9.243e+09,2.608e+09,1.69e+09,9.18e+08,2.611e+09,2.774e+09,3.52e+08,3.52e+08,3.126e+09,5.737e+09,-1.778e+09,-1.3e+07,3.495e+09,3.506e+09,9.243e+09,4.16e+08,2.21e+08,-6e+06,5.2e+07,6.83e+08,-2.48e+08,2.2e+07,-2.28e+08,-3.63e+08,-3.7e+07,0,-4.04e+08,5.1e+07,5.1e+07,5e+07,6.87e+08,2.777e+09,5.04e+08,0.26878,0.13212,0.11795,0.11865,0.04501,1.21154,2.07277,1.63634,0.30044,1.16201,1.12737,9.85196,9.76257,1.40782,0.0633,0.07596,0.85735,1.26395
"16","2014_Q1",34.2018032786885,"Up",3.424e+09,-2.485e+09,9.39e+08,-4.92e+08,-1.78e+08,-2.94e+08,-2e+07,4.47e+08,-1.44e+08,-4.9e+07,-9.5e+07,3.03e+08,0,3.03e+08,4.5e+07,3.48e+08,3.48e+08,3.48e+08,3.48e+08,2.188e+09,1.708e+09,1.67e+09,1.67e+09,8.54e+08,7e+08,5.85e+08,5.412e+09,2.269e+09,1.562e+09,4.56e+08,2.25e+08,3.831e+09,9.243e+09,2.608e+09,1.69e+09,9.18e+08,2.611e+09,2.774e+09,3.52e+08,3.52e+08,3.126e+09,5.737e+09,-1.778e+09,-1.3e+07,3.495e+09,3.506e+09,9.243e+09,3.48e+08,2.22e+08,7.3e+07,-2.55e+08,3.88e+08,-1.28e+08,-1.7e+07,-1.44e+08,1.83e+08,-15999999.9999999,1e+06,3.1e+07,2.75e+08,2.75e+08,2.75e+08,6.69e+08,2.777e+09,2.41e+08,0.27424,0.13055,0.10164,0.09926,0.03765,0.69253,2.07277,1.63634,0.30044,0.96936,0.93801,9.5376,9.73538,0.67131,0.0731,0.03632,0.88042,1.31767
"17","2014_Q2",34.6785714285714,"Up",3.489e+09,-2.514e+09,9.75e+08,-4.95e+08,-1.81e+08,-2.94e+08,-2e+07,4.8e+08,-3.8e+07,-3.9e+07,1e+06,4.42e+08,-2e+06,4.4e+08,-1.3e+07,4.27e+08,4.27e+08,4.27e+08,4.27e+08,2277924772.05391,2016295656.49057,1641370531.40652,1641370531.40652,930056616.844936,548963564.675247,433021988.501064,5398315484.98061,2215693544.59087,1521120991.22332,459110367.284009,208416807.803088,3736814535.81418,9135130020.7948,2621648125.65188,1700261175.7101,921388431.342815,2622320870.19951,3219202117.65502,362612077.694115,362612077.694115,3581814195.34914,6204135065.54865,-2385916055.51154,-9099096.67381161,2926214395.19728,2930994955.24615,9135130020.7948,4.27e+08,2.28e+08,2.8e+07,-1e+06,6.82e+08,-1.61e+08,-6e+06,-1.86e+08,0,-1.43e+08,-4e+06,-2.82e+08,2.14e+08,2.14e+08,2.16e+08,7.08e+08,0,5.59e+08,0.27945,0.13758,0.12238,0.137905559298175,0.0419296972430554,1.30913,2.04813834267319,2.20115153605262,0.352585281353116,1.19608,1.16033,9.77311,8.31842825346452,1.56583,0.0883082240911275,0.0859760737624882,1.3619211042595,2.05292471672698
"18","2014_Q3",38.43484375,"Up",3.528e+09,-2.541e+09,9.87e+08,-5.27e+08,-1.9e+08,-3.12e+08,-2.5e+07,4.6e+08,-2e+06,-4.8e+07,4.6e+07,4.58e+08,-1.6e+07,4.42e+08,-1.4e+07,4.28e+08,4.28e+08,4.28e+08,4.28e+08,2.339e+09,2.293e+09,1.615e+09,1.615e+09,9.48e+08,3.87e+08,2.71e+08,5.289e+09,2.128e+09,1.473e+09,4.65e+08,2.02e+08,3.601e+09,8.89e+09,2.457e+09,1.577e+09,8.8e+08,2.457e+09,3.572e+09,3.66e+08,3.66e+08,3.938e+09,6.395e+09,-2.902e+09,-7e+06,2.495e+09,2.495e+09,8.89e+09,4.28e+08,2.29e+08,9e+07,1.09e+08,8.56e+08,-7.1e+07,4.43e+08,3.63e+08,7.91e+08,-1.498e+09,-1e+06,-8.5e+08,3.69e+08,3.69e+08,3.69e+08,6.89e+08,3.572e+09,7.41e+08,0.27976,0.13039,0.12132,0.17154,0.04814,1.73131,2.15263,2.56313,0.4018,1.27381,1.23699,10.5,7.4256,2.20536,0.08861,0.11519,1.78955,2.68043
"19","2014_Q4",40.57046875,"Up",3.406e+09,-2.447e+09,9.59e+08,-5.13e+08,-1.9e+08,-2.97e+08,-2.6e+07,4.46e+08,-5.4e+07,-5.1e+07,-3e+06,3.92e+08,-2e+06,3.9e+08,5e+06,3.95e+08,3.95e+08,3.95e+08,3.95e+08,2.306e+09,2.259e+09,1.633e+09,1.633e+09,8.46e+08,3.66e+08,2.5e+08,5.151e+09,2.065e+09,1.443e+09,4.67e+08,1.95e+08,3.508e+09,8.659e+09,2.162e+09,1.345e+09,8.17e+08,2.162e+09,3.514e+09,3.45e+08,3.45e+08,3.859e+09,6.021e+09,-2.831e+09,-2e+06,2.638e+09,2.638e+09,8.659e+09,3.95e+08,2.11e+08,4.1e+07,-2.04e+08,4.43e+08,-1.24e+08,0,-1.25e+08,-6.4e+07,-1.47e+08,4.65661287307739e-10,-3.51e+08,-3.3e+07,-3.3e+07,-3.4e+07,6.57e+08,3.514e+09,3.24e+08,0.28156,0.13095,0.11597,0.14973,0.04562,0.82025,2.38252,2.28241,0.40582,1.20795,1.16864,10.4159,8.06728,0.99083,0.08235,0.04987,1.83866,2.70852
"20","2015_Q1",39.244262295082,"Down",3.301e+09,-2.376e+09,9.25e+08,-5.11e+08,-1.61e+08,-3.23e+08,-2.7e+07,4.14e+08,-1.26e+08,-4.9e+07,-7.7e+07,2.88e+08,-3999999.99999999,2.84e+08,3.6e+07,3.2e+08,3.2e+08,3.2e+08,3.2e+08,2.654e+09,2.634e+09,1.729e+09,1.729e+09,9.85e+08,4.09e+08,2.83e+08,5.777e+09,2.136e+09,1.579e+09,4.99e+08,1.84e+08,3.715e+09,9.492e+09,2.398e+09,1.549e+09,8.49e+08,2.398e+09,3.92e+09,3.42e+08,3.42e+08,4.262e+09,6.66e+09,-2.677e+09,-2e+06,2.832e+09,2.832e+09,9.492e+09,3.2e+08,2.11e+08,5.5e+07,-8999999.99999994,5.77e+08,-1.28e+08,4.4e+07,-3.74e+08,3.29e+08,-17000000.0000002,0,1.72e+08,3.75e+08,3.75e+08,3.75e+08,6.25e+08,3.92e+09,4.52e+08,0.28022,0.12542,0.09694,0.11299,0.03371,1.4125,2.40909,2.35169,0.41298,0.97561,0.95238,10.06402,8.63415,1.37805,0.06484,0.06372,2.0256,3.05797
