"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",256.380327868852,"Down",87758000,-47616000,40142000,-25212000,-25212000,14930000,-2170000,-2128000,12760000,12760000,-4449000,8311000,582000,582000,582000,21484000,21484000,40198000,40198000,33956000,8093000,8093000,103731000,13615000,296996000,110243000,63746000,310611000,414342000,38333000,23847000,14486000,38333000,1.7e+08,172458000,169015000,342458000,380791000,1008916000,-975300000,-65000,33551000,33551000,414342000,8311000,940000,8895000,687000,21029000,-2642000,-10084000,-171500000,8831000,19776000,19776000,19776000,15870000,1.7e+08,18364000,0.45742,0.17013,0.00663,0.01735,0.0014,31.55326,2.70605,11.34962,0.41029,0.17205,0.17193,25.94218,9.91802,5.42859,0.00155,0.04884,9.35829,9.94749
"2","2014_Q2",289.696825396825,"Up",53452000,-27041000,26411000,-21204000,-21204000,5207000,-2900000,-2850000,2307000,2307000,-923000,1384000,1384000,1384000,1384000,21789000,21789000,13535000,13535000,31850000,11787000,11787000,78961000,14053000,295577000,110093000,63746000,309630000,388591000,27763000,16272000,11491000,27763000,1.5e+08,175497000,169015000,325497000,353260000,1009312000,-973916000,-65000,35331000,35331000,388591000,1384000,1055000,1954000,17364000,21757000,-1338000,-1338000,-2e+07,-20114000,305000,305000,304999.999999996,6262000,1.5e+08,23211000,0.49411,0.09741,0.02589,0.03917,0.00356,16.77095,2.84411,9.99858,0.38601,0.37687,0.36353,14.55517,9.62076,6.32044,0.00384,0.06433,20.47445,24.62282
"3","2014_Q3",341.1609375,"Up",89326000,-45312000,44014000,-24070000,-24070000,19944000,-2920000,-2485000,17024000,17024000,-6523000,10501000,10501000,10501000,10501000,62000,62000,38304000,38304000,58632000,8369000,8369000,105367000,19914000,289080000,109944000,63746000,308994000,414361000,51764000,38353000,13411000,51764000,139600000,176735000,169392000,316335000,368099000,1009742000,-963415000,-65000,46262000,46262000,414361000,10501000,1093000,8096000,-25038000,-5348000,-6013000,-6013000,-10400000,-10366000,-21727000,-21727000,-21727000,21037000,139600000,-3491000,0.49273,0.22327,0.11756,0.22699,0.02534,-0.33244,2.03553,7.95683,0.3369,2.85926,2.74443,24.32207,12.59642,-0.95054,0.02896,-0.00963,6.63298,6.99649
"4","2014_Q4",317.4140625,"Down",102947000,-52299000,50648000,-25818000,-25818000,24830000,-2307000,-2235000,22523000,22523000,-9212000,13311000,13311000,13311000,13311000,34000,34000,38092000,38092000,52725000,7292000,7292000,98143000,25418000,280680000,109794000,63746000,306098000,404241000,41855000,28142000,13713000,41855000,122500000,179231000,168924000,301731000,343586000,1010824000,-950104000,-65000,60655000,60655000,404241000,13311000,1412000,9989000,315000,25027000,-7955000,-7955000,-17100000,-17100000,-28000,-28000,-28000,26242000,122500000,27814000,0.49198,0.24119,0.1293,0.21945,0.03293,2.08955,2.34483,5.66459,0.30304,3.62411,3.47513,28.02883,16.51421,7.57277,0.03673,0.07675,4.66679,4.93218
"5","2015_Q1",223.850819672131,"Down",94671000,-48915000,45756000,-25487000,-25487000,20269000,-2406000,-2128000,17863000,17863000,-7336000,10527000,10527000,10527000,10527000,112000,112000,33797000,33797000,37419000,9812000,9812000,81140000,28349000,269159000,109644000,63746000,297508000,378648000,64490000,29118000,35372000,64490000,84450000,157739000,146063000,242189000,306679000,1011611000,-939577000,-65000,71969000,71969000,378648000,10527000,1707000,13401000,13195000,38830000,-4393000,-4393000,-34500000,-34359000,78000,78000,78000,21976000,84450000,38114000,0.48332,0.2141,0.1112,0.14627,0.0278,3.62059,1.25818,4.26127,0.22303,2.86504,2.74555,25.76576,19.58716,10.37315,0.03351,0.12132,3.83773,4.16094
"6","2015_Q2",167.355555555556,"Down",59842000,-29101000,30741000,-25640000,-25640000,5101000,-1457000,-1316000,3644000,3644000,-1190000,2454000,2454000,2454000,2454000,71000,71000,17396000,17396000,41212000,9854000,9854000,68533000,32697000,267911000,109494000,63746000,300608000,369141000,54612000,24834000,29778000,54612000,79760000,159353000,146146000,239113000,293725000,1012604000,-937123000,-65000,75416000,75416000,369141000,2454000,1926000,6294000,309999.999999998,10984000,-6260000,-6260000,-4922000,-4765000,-41000,-41000,-41000,7027000,79760000,2267000,0.5137,0.08524,0.04101,0.03254,0.00665,0.9238,1.25491,3.89473,0.21607,0.6677,0.64627,16.28216,20.51962,0.616820000000001,0.0078,0.00720999999999999,11.3404,15.62223
"7","2015_Q3",82.475,"Down",79993000,-59204000,20789000,-27331000,-27331000,-6542000,-1973000,-1623000,-8515000,-8515000,3489000,-5026000,-5026000,-5026000,-5026000,88000,88000,22679000,22679000,45566000,11112000,11112000,79445000,35188000,269201000,109345000,63746000,304389000,383834000,48437000,38063000,10374000,48437000,81877000,183147000,168964000,265024000,313461000,1012587000,-942149000,-65000,70373000,70373000,383834000,-5026000,2176000,16314000,-10367000,3097000,-4783000,-4783000,1770000,1703000,17000,17000,17000,-4366000,81877000,-23005000,0.25989,-0.08178,-0.06283,-0.07142,-0.01309,4.5772,1.64017,4.45428,0.21331,-1.3667,-1.3667,21.75215,19.13623,-6.25565,-0.01499,-0.06859,-18.73317,-12.50214
"8","2015_Q4",44.9734375,"Down",80859000,-40854000,40005000,-27662000,-27662000,12343000,-2327000,-1428000,10016000,10016000,-4123000,5893000,5893000,5893000,5893000,124000,124000,18868000,18868000,43895000,10252000,10252000,73139000,36302000,266064000,109196000,63746000,302366000,375505000,61595000,30154000,31441000,61595000,75219000,162520000,148003000,237739000,299334000,1012492000,-936256000,-65000,76171000,76171000,375505000,5893000,2138000,1761000,260999.999999998,10053000,-3064000,-3064000,-6939000,-6953000,36000,36000,36000,14481000,75219000,15801000,0.49475,0.15265,0.07288,0.07737,0.01569,2.68132,1.18742,3.92976,0.20031,1.60243,1.60062,21.98723,20.71246,4.29662,0.01877,0.05034,5.18576,6.08402
"9","2016_Q1",55.9983606557377,"Up",81763000,-40782000,40981000,-36157000,-36157000,4824000,-1656000,-1313000,3168000,3168000,-1390000,1778000,1778000,1778000,1778000,6230000,6230000,9400000,9400000,36576000,8027000,8027000,60233000,37769000,265566000,109046000,63746000,303335000,363568000,71648000,28719000,42929000,71648000,57615000,155803000,140838000,213418000,285066000,1013045000,-934478000,-65000,78502000,78502000,363568000,1778000,2110000,-745000,24351000,27494000,-3484000,-3484000,-17909000,-17904000,6106000,6106000,6106000,6934000,57615000,29191000,0.50122,0.059,0.02175,0.02265,0.00489,16.41789,0.84068,3.63132,0.15847,0.48344,0.46118,22.23125,21.34459,7.93699,0.00609,0.1,7.41059,10.65195
"10","2016_Q2",58.3296875,"Up",67645000,-39387000,28258000,-31806000,-31806000,-3548000,-1041000,-881000,-4589000,-4589000,2665000,-1924000,-1924000,-1924000,-1924000,21563000,21563000,17152000,17152000,23367000,10863000,10863000,72945000,39836000,267472000,108896000,63746000,307308000,380253000,37212000,20956000,16256000,37212000,42613000,157071000,140854000,199684000,236896000,1079824000,-936402000,-65000,143357000,143357000,380253000,-1924000,1902000,-1255000,-30719000,-31996000,-3709000,-3709000,-1.5e+07,51038000,15333000,15333000,15333000,-1646000,42613000,-38739000,0.41774,-0.05245,-0.02844,-0.01342,-0.00506,20.13462,1.96025,1.65249,0.11206,-0.50628,-0.50628,17.80002,37.72277,-10.19373,-0.00561,-0.11293,-12.78858,-5.93292
