"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",16.82390625,"Up",217151296,-192626367,24524929,-15347012,-12172067,-3174945,9177917,-3871347,-3871347,5306570,5306570,-2398953,2907617,2907617,2907617,2907617,60884391.3685021,60884391.3685021,69311852.4273656,69311852.4273656,11627611.9013412,-7321422.37459596,16271989.8501477,141823855.697209,691873.532019354,198348638.598357,66159378.045735,113205202.016179,18984062.1791821,199040512.126842,340864367.824051,95626390.1938551,596236.479698665,95030153.7141564,7113591.62208058,133093191.066986,13670713.5513988,9789264.61115382,3881449.01306675,139232219.078008,272325410.144994,171729686.536083,-11344461.7137938,-94802696.4285744,61578416.3388225,68538957.6790565,340864367.824051,2907617,3174945,1941985,9477528,17502075,-4174236,-3453749,-3626163,33974,33974,0,-3630970,10417356,10417356,10479603,12352862,0,20055107,0.11294,0.04227,0.01339,-0.210058912942354,-0.0573398913965232,6.89744,0.981691423940621,3.72762052479063,0.452242434944489,0.22021,0.19436,16.44598,4.64191083551538,1.51888,-0.0771334616814312,0.112897392605065,19.597198718142,36.0506689645256
"2","2011_Q1",15.6048387096774,"Down",219265522,-193096425,26169097,-14945164,-11721155,-3224009,11223933,-3825697,-3825697,7398236,7398236,-3063074,4335162,4335162,4335162,4335162,61260661,61260661,76111608,76111608,34196001,15478221,17084136,171568270,16401107,198964118,66441817,113783389,18738912,215365225,386933495,90205860,2887837,87318023,5373742,113693114,20301459,11579849,8721610,184491719,298184833,172554492,-11383967,-78501586,81788125,88748662,386933495,4335162,3224009,3363558,-9152905,1769824,-1848680,-1769588,-3626343,159273,159273,0,-3463068,-3462832,-3462832,-3356645,14447942,182303772,6509431.00000001,0.11935,0.05119,0.01977,0.04885,0.0112,1.50154,1.50905,3.35988,0.47115,0.32809,0.28908,16.59409,6.18975,0.49264,0.01488,0.02234,8.37788,10.78438
"3","2011_Q2",13.6833333333333,"Down",227806336,-198922333,28884003,-15172859,-11923781,-3249078,13711144,-3672468,-3672468,10038676,7575194,-3105933,4469261,4469261,4469261,4469261,58584301.127166,58584301.127166,78189893.2742115,78189893.2742115,40355048.6995529,23689113.9581987,15725360.5499508,177129243.10093,22650282.9893269,198153865.300548,64987181.5680883,113928333.911274,19238348.6069393,220804148.291053,397933391.391983,92160954.268715,3808458.59010044,88352495.6786145,4102914.37597314,108269103.561005,22158540.8995337,11497961.1296154,10660579.7456444,192128904.057331,300398007.618335,173405482.904639,-11409901.9287354,-71340212.0238085,90574848.2203925,97535383.7736478,397933391.391983,4469261,3249078,3827775,1115963,12662077,-1818405,-1485480,-12307439,2004,2004,0,-14909847,-3733250,-3733250,-3643570,16960222,0,19363713,0.12679,0.06019,0.01962,0.116286304314118,0.0295024637988411,4.33264,1.63211785868646,3.09434399173646,0.458491688351837,0.338,0.33552,17.2286,6.85383805482821,1.46444,0.0395603205604771,0.00819003579831181,6.07649876061934,5.69047784515814
"4","2011_Q3",10.8640625,"Down",235310061,-209632793,25677268,-15741670,-12413172,-3328498,9935598,-2281806,-2281806,7653792,10364774,-2798887,7565887,7565887,7565887,7565887,54166262,54166262,78637803,78637803,36609543,22669697,13278815,169413608,23678419,196400462,62672032,113839200,19889230,220078881,389492489,97067723,3869905,93197818,3249578,110317301,21586077,10710307,10875770,179110077,289427378,174291451,-11435033,-69177420,93104574,100065111,389492489,7565887,3328498,480264,-2172896,9201753,-4711109,-10139169,-2479837,-19960,31106,-51066,-2498916,-3436332,-3436332,-3450829,13264096,167524000,9178978,0.10912,0.04222,0.03215,0.07561,0.01942,1.21321,1.53569,2.89239,0.43011,0.57162,0.45854,17.77816,7.03424,0.69349,0.02616,0.03174,8.54621,11.40925
"5","2011_Q4",12.2711111111111,"Up",235552143,-213521164,22030979,-16092141,-12690227,-3401914,5938838,-2150943,-2150943,3787895,3787895,-1836940,1950955,1950955,1950955,1950955,48505593,48505593,80605100,80605100,30335087,18384145,10954167,159445780,24300348,194337146,60563182,113708269,20065695,218637494,378083274,99246837,3958516,95288321,2613980,111860817,20973748,10843268,10130480,163966748,275827565,175214626,-11435033,-67226466,95295172,102255709,378083274,1950954,3401914,2229002,2476351,10058221,-2145840,-979545,-14534873,0,0,0,-14580001,-5501325,-5501325,-5660669,9340752,152993000,11508203,0.09353,0.02521,0.00828,0.01908,0.00516,5.89875,1.42539,2.69743,0.40465,0.14718,0.19261,17.76994,7.18902,0.86817,0.00706,0.04166,11.18619,17.59391
"6","2012_Q1",15.1198387096774,"Up",244311460,-221747710,22563750,-15510330,-11833820,-3676510,7053420,-1896783,-1896783,5156637,5157137,-2203240,2953897,2953897,2953897,2953897,43183878,43183878,87163323,87163323,27746197,15988987,9792396,158093398,28563149,192396280,59473774,113736998,19185508,220959429,379052827,94692806,4461250,90231556,2193997,106886803,22650484,12910325,9740159,163143484,270030287,176185987,-11435033,-61561392,102062003,109022540,379052827,2953898,3676510,1813959,-9328418,-884051,-2630646,-2011806,-2503851,22956,22890,65.9999999999854,-2466236,-5362093,-5362093,-5321932,10729930,150493000,974106,0.09236,0.02887,0.01209,0.02709,0.00779,0.329770000000001,1.47907,2.47683,0.39702,0.22282,0.22148,18.42931,7.69891,0.07348,0.01047,0.00345,10.00092,15.21377
"7","2012_Q2",13.8780952380952,"Down",260147000,-237189000,22958000,-16365000,-12739000,-3626000,6593000,-1865000,-1865000,4728000,4728000,-1686000,3042000,3042000,3042000,3042000,47054804,47054804,95764549,95764549,25378893,14976164,8967233,168198246,31009866,190375358,57649046,113979512,18746800,221385224,389583470,98937885,2913307,96024578,3422984,112360869,25843123,11940376,13902747,163836123,276196992,177347020,-11552760,-58519801,106425941,113386478,389583470,3042000,3626000,680000,1806000,9154000,-4168000,-2830000,-2514000,-38000,80000,-118000,-2531000,3793000,3793000,3871000,10219000,147993000,9543000,0.08825,0.02534,0.01169,0.02683,0.00781,3.13708,1.49695,2.43589,0.37987,0.22929,0.22693,19.60871,8.02191,0.71931,0.01059,0.03323,9.8775,15.3099
"8","2012_Q3",12.3922222222222,"Down",278937000,-257167000,21770000,-17400000,-13791000,-3609000,4370000,-1867000,-1867000,2503000,2503000,-1085000,1418000,1418000,1418000,1418000,50179358,50179358,93607816,93607816,33060997,24246662,8814335,176848171,31437339,191637889,55732843,113850473,22054573,223075228,399923399,109716290,6236353,103479937,4062187,125028477,24877189,11674018,13203171,159120189,284148666,178703765,-11604203,-57101763,108814196,115774733,399923399,1418000,3609000,3673000,-751999.999999998,7948000,-2161000,-2248000,-2503000,91000.0000000002,142000,-51000.0000000001,-2414000,3286000,3286000,3124000,7979000,145493000,6151000,0.07805,0.01567,0.00508,0.01225,0.00355,4.3378,1.41446,2.45432,0.3638,0.10661,0.10568,20.97083,8.18079,0.46244,0.00496,0.0215,11.94556,21.8109
"9","2012_Q4",12.8411290322581,"Up",280286000,-256710000,23576000,-16088000,-12069000,-4019000,7488000,-1965000,-1965000,5523000,3017000,-1860000,1157000,1157000,1157000,1157000,63757209,63757209,93242787,93242787,26960982,18516673,8099279,183960978,30582056,187377477,51468065,113946788,21962624,217959533,401920511,115839766,3779961,112059805,5832578,134172344,24806743,11082415,13724328,152806743,286979087,179806416,-15093466,-55944094,107980887,114941424,401920511,1157000,4019000,3509000,14150000,22835000,-1236000,-956000,-4996000,-3453000,36000,-3489000,-8461000,13418000,13418000,13578000,11507000,140500000,26281000,0.08411,0.02672,0.00413,0.01007,0.00288,22.71478,1.37108,2.49674,0.34957,0.08723,0.08671,21.13161,8.14101,1.9814,0.00413,0.09378,6.66923,10.24877
"10","2013_Q1",17.9676666666667,"Up",286519000,-259710000,26809000,-18553000,-14784000,-3769000,8256000,-1811000,-1811000,6445000,6445000,-3580000,2865000,2865000,2865000,2865000,55863000,55863000,98628000,98628000,21708000,12622000,8554000,176199000,30380000,185158000,49651000,113915000,21592000,215538000,391737000,111574000,4569000,107005000,7055000,132629000,24421000,10894000,13527000,140421000,273050000,180792000,-15094000,-53079000,111726000,118687000,391737000,2865000,3769000,1211000,-5294000,2551000,-1957000,-601000,-10503000,691000,691000,0,-9793000,-7843000,-7843000,-7894000,12025000,1.3e+08,8353999.99999999,0.09357,0.02881,0.01,0.02414,0.00731,2.91588,1.32851,2.30059,0.33186,0.21921,0.21618,21.9221,8.54836,0.63918,0.01049,0.03059,6.16524,8.97977
