"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",8.90444444444444,"Up",5204000,-2652000,2552000,-2622000,-1507000,-1115000,-70000,-13000,-13000,-83000,-83000,-11000,-94000.0000000001,-94000.0000000001,-94000.0000000001,-94000.0000000001,660000,660000,2578000,2578000,303000,303000,3541000,2133000,819000,669000,2952000,6493000,1939000,1549000,390000,3879000,3879000,5818000,302000,302000,302000,6120000,71743000,-70118000,373000,373000,6493000,-94000.0000000001,90000,273000,-1000,268000,-32000,-32000,-6000,230000,230000,229999.999999999,19999.9999999999,3.63797880709171e-12,-1999.99999999953,0.49039,-0.0134499999999999,-0.0180599999999999,-0.25201,-0.01448,0.02128,0.60863,16.40751,0,-0.00856,-0.00855999999999998,0.47364,0.03395,-0.000180000000000013,-0.13926,-0.00296,-33,9.42857
"31","2018_Q4",11.4853968253968,"Up",5082000,-2443000,2639000,-2705000,-1630000,-1075000,-66000,-7000,-7000,-73000,-73000,-3000,-76000,-76000,-76000,-76000,1062000,1062000,2942000,2942000,185000,185000,4189000,2087000,819000,669000,2906000,7095000,2326000,1961000,365000,3851000,3851000,6177000,446000,446000,446000,6623000,71917000,-70193000,472000,472000,7095000,-76000,121000,314000,86000,445000,-75000,-75000,32000,402000,402000,402000,55000,0,69000,0.51928,-0.01299,-0.01495,-0.161020000000002,-0.01071,-0.90789,0.67816,14.0317799999999,0,-0.00691,-0.00691,0.46225,0.04293,0.00628,-0.08279,0.0751599999999993,-19.30909,16.09091
"32","2019_Q1",9.96262295081967,"Down",4922000,-2816000,2106000,-2705000,-1612000,-1093000,-599000,-18000,-18000,-617000,-617000,-15000,-632000,-632000,-632000,-632000,856000,856000,3917000,3917000,287000,287000,5060000,2199000,819000,669000,3018000,8078000,2723000,2154000,569000,4704000,4704000,7907000,151000,151000,168000,8075000,72081000,-70826000,3000,3000,8078000,-632000,107000,286000,248000,9000,-209000,-209000,-6000,-206000,-206000,-206000,-492000,497000,-438000,0.42787,-0.1217,-0.1284,-210.66667,-0.07824,0.69304,0.63994,2691.66667,0.06153,-0.05745,-0.05745,0.44741,0.00027,-0.03981,-0.97081,-0.67281,0.72967,0.59933
"33","2019_Q2",8.77301587301587,"Down",6225000,-3083000,3142000,-2661000,-1573000,-1088000,481000,-1000,-1000,480000,480000,0,480000,480000,480000,480000,1016000,1016000,3769000,3769000,246000,246000,5031000,2541000,819000,669000,3360000,8391000,2485000,2119000,366000,4263000,4263000,7490000,151000,151000,299000,7789000,72198000,-70344000,602000,602000,8391000,482000,118000,234000,-498000,336000,-211000,-211000,35000,160000,160000,160000,599000,890000,-110000,0.50474,0.07727,0.07711,0.79734000000002,0.0572,-0.22917,0.6717,12.9385400000001,0.10607,0.04359,0.03804,0.56528,0.05467,-0.00999,0.29215,-0.06695,-0.210350000000002,-0.261949999999999
"34","2019_Q3",6.48625,"Down",6694000,-3450000,3244000,-2968000,-1774000,-1194000,276000,-5000,-5000,271000,271000,-999.999999999996,270000,270000,270000,270000,1956000,1956000,4703000,4703000,262000,262000,6921000,2649000,669000,669000,3318000,10239000,2362000,2021000,341000,4828000,4828000,8001000,151000,151000,246000,8247000,72068000,-70076000,1992000,1992000,10239000,268000,151000,153000,-508000,63999.9999999999,-275000,-275000,1001000,790000,790000,790000,427000,906000,-355000,0.48461,0.04123,0.04033,0.13554,0.02637,-1.31481,0.86502,4.14006,0.08849,0.02398,0.0188,0.59458,0.17693,-0.03153,0.08855,-0.11643,-2.45902,-3.80435
"35","2019_Q4",6.173125,"Down",6429000,-3430000,2999000,-3370000,-2102000,-1268000,-371000,1000,1000,-370000,-370000,1000,-369000,-369000,-369000,-369000,3310000,3310000,3919000,3919000,298000,298000,7527000,2715000,669000,669000,3384000,10911000,2757000,2116000,641000,4723000,4723000,8437000,151000,151000,151000,8588000,72768000,-70445000,2323000,2323000,10911000,-369000,164000,451000,964000,1210000,-207000,-207000,351000,1354000,1354000,1354000,-207000,957000,549000,0.46648,-0.05771,-0.0574,-0.15885,-0.03382,-1.4878,0.89214,3.69693999999998,0.08771,-0.03208,-0.02503,0.55898,0.20198,0.04773,-0.10755,0.16001,11.36715,6.34232
"36","2020_Q1",6.99112903225806,"Up",7719000,-4302000,3417000,-3533000,-2285000,-1248000,-116000,-34000,-34000,-150000,-150000,-103000,-253000,-253000,-253000,-253000,3237000,3237000,4377000,4377000,308000,308000,7922000,2674000,669000,669000,3343000,11265000,3987000,2807000,1180000,4022000,4022000,8876000,151000,151000,151000,9027000,72936000,-70698000,2238000,2238000,11265000,-253000,173000,272000,60000,252000,-141000,-141000,-184000,-73000.0000000002,-73000.0000000002,-73000.0000000002,57000,867000,79000,0.44267,-0.01503,-0.03278,-0.11305,-0.02246,-0.31225,0.89252,4.03351,0.07696,-0.02183,-0.01726,0.66607,0.19312,0.00682,-0.0777,0.02426,-41.57895,20.43103
"37","2020_Q2",8.52428571428571,"Up",6737000,-3752000,2985000,-3599000,-2296000,-1303000,-614000,-12000,-12000,-626000,-626000,-15000,-641000,-641000,-641000,-641000,2202000,2202000,3891000,3891000,256000,256000,6349000,6344000,669000,669000,7013000,13362000,3495000,2725000,770000,4426000,3969000,7930000,3704000,3704000,3704000,11634000,73067000,-71339000,1728000,1728000,13362000,-641000,182000,235000,-55000,-279000,-749000,-749000,-7000,-1035000,-1035000,-1035000,-432000,9000,-1221000,0.44308,-0.09114,-0.09515,-0.37095,-0.04797,1.90484,0.80063,6.73264,0.000670000000000004,-0.05517,-0.05517,0.5798,0.14872,-0.10508,-0.11781,-0.22441,5.07639,3.57166
"38","2020_Q3",8.90265625,"Up",7625000,-3881000,3744000,-3453000,-2112000,-1341000,291000,27000,27000,318000,318000,-11000,307000,307000,307000,307000,2784000,2784000,3918000,3918000,363000,363000,7065000,6213000,669000,669000,6882000,13947000,3628000,2787000,841000,4623000,4146000,8253000,3580000,3580000,3580000,11833000,73146000,-71032000,2114000,2114000,13947000,307000,178000,153000,-278000,360000,227000,227000,-5000,582000,582000,582000,469000,2000,429000,0.49102,0.03816,0.04026,0.14522,0.02201,1.39739,0.85605,5.59745,0.00014,0.02642,0.02642,0.65622,0.18193,0.03692,0.0539,0.07532,-5.93177,-9.56014
"39","2020_Q4",10.31359375,"Up",9013000,-4325000,4688000,-4256000,-2865000,-1391000,432000,-14000,-14000,418000,418000,-12000,406000,406000,406000,406000,3282000,3282000,4493000,4493000,355000,355000,8130000,6276000,669000,669000,6945000,15075000,3193000,2215000,978000,5076000,4586000,8446000,3452000,3452000,3452000,11898000,73802000,-70625000,3177000,3177000,15075000,406000,219000,514000,-860000,279000,-171000,-171000,390000,498000,498000,498000,651000,177000,-368000,0.52014,0.04793,0.04505,0.12779,0.02693,-0.9064,0.96259,3.74504,0.01174,0.03464,0.02377,0.76901,0.27107,-0.0314,0.05965,-0.0540700000000001,-4.76959,-7.1875
"40","2021_Q1",11.6060655737705,"Up",8748000,-5042000,3706000,-5401000,-3583000,-1818000,-1695000,-43000,-43000,-1738000,-2073000,-92000,-2165000,-2165000,-2165000,-2165000,8342000,8342000,4770000,4770000,385000,385000,13497000,3993000,3261000,335000,7254000,20751000,5861000,3140000,2721000,6318000,5815000,12304000,3348000,3348000,3348000,15652000,77991000,-72892000,5099000,5099000,20751000,-2165000,246000,661000,3803000,2545000,-1527000,-1527000,4042000,5060000,5060000,5060000,-1449000,125000,919000,0.42364,-0.19376,-0.24749,-0.42459,-0.10433,-0.424480000000003,1.09696,3.06962,0.00602,-0.17439,-0.30704,0.70466,0.41073,0.07403,-0.25257,0.10721,5.67081,4.84779
"41","2021_Q2",10.1384126984127,"Down",9547000,-5336000,4211000,-4187000,-2590000,-1597000,24000,64000,64000,88000,88000,-13000,75000,75000,75000,75000,6943000,6943000,5039000,5039000,360000,360000,12342000,10143000,335000,335000,10478000,22820000,4829000,2675000,2154000,6184000,5669000,11085000,6222000,6222000,6222000,17307000,78111000,-72598000,5513000,5513000,22820000,75000,277000,-28000,-1039000,-715000,-718000,-626000,-58000,-1399000,-1399000,-1399000,301000,72000,-1443000,0.44108,0.00251,0.00786,0.0136,0.00328999999999996,-19.24,1.1134,3.13931,0.00316,0.00589,0.00527,0.75012,0.43316,-0.11338,0.00635000000000002,-0.12222,-22.82724,-286.29167
"42","2021_Q3",10.17375,"Up",10117000,-5644000,4473000,-4466000,-2816000,-1650000,7000,8999.99999999999,8999.99999999999,16000.0000000005,16000,-15000,1000,1000,1000,1000,8553000,8553000,5960000,5960000,477000,477000,14990000,10435000,335000,335000,10770000,25760000,5943000,3948000,1995000,6793000,6188000,12754000,6113000,6113000,6113000,18867000,79490000,-72597000,6893000,6893000,25760000,1000,307000,286000,285000.000000001,879000,-506000,-506000,1237000,1610000,1610000,1610000,314000,18000,108000.000000001,0.44213,0.000689999999999984,0.000100000000000012,0.00015,4e-05,108,1.17532,2.73712,7e-04,7.99999999999907e-05,6.99999999999902e-05,0.78447,0.53448,0.00837000000000003,8e-05,0.00829,-27.18153,-1219.28571
"43","2021_Q4",9.20890625,"Down",10812000,-4623000,6189000,-5206000,-3328000,-1878000,983000,-9000,-9000,974000,974000,-15000,959000,959000,959000,959000,7429000,7429000,6121000,6121000,419000,419000,13969000,10920000,371000,335000,11291000,25260000,4171000,1745000,2426000,7243000,6615000,11414000,5979000,5979000,5979000,17393000,79724000,-71857000,7867000,7867000,25260000,959000,297000,379000,-1500000,135000,-1203000,-1203000,-56000,-1124000,-1124000,-1124000,1280000,0,-1408000,0.57242,0.09092,0.0887,0.1219,0.03797,-1.4682,1.22385,2.21088,3.25260651745651e-19,0.07211,0.06658,0.81296,0.59152,-0.10587,0.06926,-0.10169,-5.80391,-7.55748000000017
"44","2022_Q1",8.01548387096774,"Down",10564000,-5843000,4721000,-5369000,-3298000,-2071000,-648000,7000,7000,-641000,-641000,-32000,-673000,-673000,-673000,-673000,4687000,4687000,6986000,6986000,957000,957000,12630000,6090000,8871000,335000,14961000,27591000,4125000,1894000,2231000,7074000,6256000,11199000,8964000,8964000,8964000,20163000,79958000,-72530000,7428000,7428000,27591000,-673000,303000,333000,-1943000,-1980000,-854000,-834000,72000.0000000002,-2742000,-2742000,-2742000,-345000,9.09494701772928e-13,-3110000,0.4469,-0.06134,-0.06371,-0.0906,-0.02439,4.62110000000001,1.12778,2.71446,0,-0.05187,-0.04638,0.81421,0.57251,-0.2397,-0.04106,-0.18973,13.58551,7.23302
"45","2022_Q2",7.63483870967742,"Down",11253000,-5396000,5857000,-6032000,-3728000,-2304000,-175000,17000,17000,-158000,-158000,-14000,-172000,-172000,-172000,-172000,3998000,3998000,7733000,7733000,864000,864000,12595000,6763000,8750000,335000,15513000,28108000,5326000,3345000,1981000,6335000,5481000,11676000,8894000,8894000,8894000,20570000,80240000,-72702000,7538000,7538000,28108000,-172000,317000,599000,-528000,216000,-907000,-907000,2000,-689000,-689000,-689000,142000,15000,-1279000,0.52048,-0.01555,-0.01528,-0.02282,-0.00612,7.43605,1.07871,2.72884,0.00053,-0.01283,-0.01283,0.83966,0.56246,-0.09543,-0.01046,-0.07776,-28.0493,22.76
"46","2022_Q3",8.355,"Up",11786000,-5609000,6177000,-5914000,-3615000,-2299000,263000,26000,26000,289000,289000,-12000,277000,277000,277000,277000,4781000,4781000,8190000,8190000,731000,731000,13702000,6983000,8611000,335000,15594000,29296000,5388000,3477000,1911000,7062000,6132000,12465000,8760000,8760000,8760000,21225000,80496000,-72425000,8071000,8071000,29296000,277000,346000,447000,158000,1228000,-566000,-566000,121000,783000,783000,783000,609000,15000,213000,0.5241,0.02231,0.0235,0.03432,0.00946,0.76895,1.09924,2.62979,0.00051,0.02067,0.02067,0.87943,0.60223,0.01589,0.01644,0.01264,-7.82594,-18.12167
