"","YQ","p","d","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","cash_for_acquisition_of_subsidiaries","net_cash_from_other_acquisitions","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",76.7438095238095,"Up",506900000,-263400000,-2.46e+08,-17400000,243500000,-11100000,-14600000,3e+05,3800000,-6e+05,232400000,-9300000,223100000,-86900000,136200000,136200000,-3500000,132700000,132700000,172200000,172200000,614300000,614300000,82500000,1.12e+08,74300000,9.81e+08,488400000,3464800000,1382100000,1911100000,69200000,102400000,3953200000,4934200000,516400000,169300000,347100000,3.7e+08,886400000,958300000,765300000,6.04e+08,161300000,1723600000,2.61e+09,12400000,3002700000,78200000,2158400000,165800000,2324200000,4934200000,136200000,5e+07,21100000,8700000,1e+07,2400000,24700000,-38400000,7700000,-14800000,70200000,2.32e+08,-22900000,1600000,-24500000,-32200000,-76273298.466623,-32200000,-55100000,-68800000,-82200000,18100000,-100300000,-3300000,-154300000,22600000,22600000,1100000,23700000,293500000,1328300000,382200000,0.05709,0.02689,2.88018,1.10672,1.12297,0.2692,1.26864,1.24601,20.6348,3.65392,0.03004,0.08651,3.93901,4.74784
"2","2010_Q3",74.59765625,"Down",533600000,-263100000,-245400000,-17700000,270500000,-10500000,-14500000,2e+05,4600000,-8e+05,2.6e+08,-3.72529029846191e-09,2.6e+08,-102800000,157200000,157200000,-3500000,153700000,153700000,103800000,103800000,617600000,617600000,86300000,108100000,6.9e+07,915800000,499100000,3543500000,1359200000,2013100000,71400000,99800000,4042600000,4958400000,512200000,195400000,316800000,383400000,895600000,939400000,756200000,597500000,158700000,1695600000,2591200000,12300000,3072600000,5.9e+07,2.209e+09,158200000,2367200000,4958400000,157200000,50100000,6e+06,10700000,-6500000,1800000,2900000,1400000,-3900000,23900000,-18500000,216200000,-34100000,8e+05,-34500000,-142700000,-33757766.155541,-142700000,-176800000,-6800000,-97300000,18600000,-115900000,-2e+06,-106100000,-66700000,-66700000,-1700000,-68400000,320600000,1322800000,392200000,0.06493,0.031,2.55172,1.02255,1.09463,0.26678,1.48502,1.45825,21.343,3.78937,0.03457,0.08821,3.80225,4.50647
"3","2010_Q4",81.91015625,"Up",527700000,-288500000,-270500000,-1.8e+07,239200000,-18700000,-21600000,3e+05,4200000,-1600000,220500000,-3900000,216600000,-73500000,143100000,143100000,-3100000,1.4e+08,1.4e+08,96900000,96900000,6.31e+08,6.31e+08,88200000,132600000,68700000,948700000,504600000,3594300000,1382200000,2034700000,79900000,97500000,4098900000,5047600000,525900000,177100000,348800000,425400000,951300000,920600000,741900000,599400000,142500000,1662500000,2613800000,12100000,3114800000,78200000,2270200000,163600000,2433800000,5047600000,143100000,50600000,7700000,10100000,-5600000,3200000,-25200000,-1.2e+07,-1500000,-1.8e+07,6300000,176200000,-32800000,1500000,-34300000,-54800000,-1e+07,-44800000,-87600000,21800000,-114200000,7700000,-121900000,-3800000,-96200000,-7600000,-7600000,7e+05,-6900000,289800000,1.346e+09,305300000,0.05752,0.02774,2.18071,0.99727,1.07396,0.26666,1.3712,1.34486,22.23506,2.99021,0.03096,0.06752,4.31021,5.22199
"4","2011_Q1",88.8954838709677,"Up",529600000,-2.92e+08,-272400000,-19600000,237600000,-22900000,-19300000,3e+05,-2e+06,-1900000,214700000,1200000,215900000,-80800000,135100000,135100000,-3300000,131800000,131800000,230700000,230700000,655600000,655600000,103400000,154100000,95700000,1143800000,586900000,4457100000,1674100000,2601300000,78500000,103200000,5.044e+09,6187800000,610700000,257800000,352900000,361700000,972400000,1826700000,753700000,602300000,151400000,2580400000,3552800000,66100000,3246600000,88500000,2466300000,168700000,2.635e+09,6187800000,135100000,52900000,34300000,10500000,1.5e+07,8800000,36900000,23700000,-8100000,5.9e+07,-37700000,259200000,-31900000,9e+05,-32800000,-961600000,0,-961600000,-993500000,8.41e+08,3.9e+07,3.9e+07,0,-12600000,867400000,133100000,133100000,7e+05,133800000,290500000,2188400000,376300000,0.05002,0.0213,2.85508,1.17626,1.34831,0.35366,1.2947,1.24811,24.22692,3.69646,0.02363,0.06747,6.73907,8.23948
"5","2011_Q2",95.8484126984127,"Up",568400000,-304700000,-282800000,-21900000,263700000,-22100000,-2.4e+07,3e+05,1500000,1e+05,241600000,-27900000,213700000,-83100000,130600000,130600000,-3500000,127100000,127100000,195400000,195400000,717300000,717300000,9.8e+07,136900000,71800000,1147600000,579500000,4474500000,1676700000,2.613e+09,82600000,102200000,5.054e+09,6201600000,650600000,215400000,435200000,396800000,1047400000,1807900000,772400000,617200000,155200000,2580300000,3627700000,29700000,3203700000,104600000,2400400000,173500000,2573900000,6201600000,130600000,58100000,12700000,13100000,-1e+06,6e+05,13900000,-68500000,5600000,-42600000,119400000,215300000,-2.9e+07,4e+05,-29400000,-15400000,1401396.15278687,-15400000,-44400000,1.5e+07,-223600000,38700000,-262300000,1400000,-207200000,-36300000,-36300000,1e+06,-35300000,321800000,2204700000,389800000,0.04938,0.02049,3.06688,1.09567,1.40942,0.35551,1.2672,1.23159,23.9322,3.88634,0.0229,0.07022,6.24394,7.61964
"6","2011_Q3",85.65703125,"Down",588200000,-344200000,-322700000,-21500000,2.44e+08,-18400000,-2.1e+07,2e+05,2600000,-2e+05,225600000,-18300000,207300000,-80600000,126700000,126700000,-3800000,122900000,122900000,118900000,118900000,714800000,714800000,106800000,143100000,64400000,1083600000,586400000,4498300000,1.676e+09,2644300000,79400000,98600000,5084700000,6168300000,657200000,212500000,444700000,215100000,872300000,1788200000,753200000,586800000,166400000,2541400000,3413700000,84800000,3326600000,109300000,2579800000,174800000,2754600000,6168300000,126700000,57800000,-3400000,12400000,-18500000,2700000,3800000,10100000,-8300000,-14700000,16700000,184900000,-43100000,2700000,-45800000,-29600000,0,-29599999.9999999,-72700000.0000002,-196400000,3700000.00000006,64200000,-60500000.0000001,4800000,-187900000,-75700000,-75700000,-8e+05,-76500000,301800000,2003300000,343100000,0.04462,0.01992,2.7917,1.24223,1.23927,0.32477,1.22167,1.2049,25.64414,3.41054,0.0223,0.06226,6.24387,7.72295
"7","2011_Q4",81.8447619047619,"Down",568500000,-3.05e+08,-283800000,-21200000,263500000,-19300000,-20300000,2e+05,2500000,-1700000,244200000,-24100000,220100000,-82500000,137600000,137600000,-3300000,134300000,134300000,85800000,85800000,718700000,718700000,103800000,164300000,78400000,1072600000,577400000,4403200000,1592700000,2641400000,75400000,93700000,4980600000,6053200000,627200000,222900000,404300000,214300000,841500000,1769300000,738800000,569800000,1.69e+08,2508100000,3349600000,11900000,3402200000,70100000,2543300000,160300000,2703600000,6053200000,137600000,57700000,2.1e+07,11700000,8500000,8e+05,-39500000,-7500000,1800000,16500000,-50300000,176800000,-39900000,5e+05,-40400000,-1300000,0,-1300000,-41200000,-26200000,-137600000,8400000,-1.46e+08,-3400000,-167200000,-31600000,-31600000,-1500000,-33100000,321200000,1983600000,324300000,0.04967,0.02219,2.41474,1.27463,1.23894,0.32769,1.33499,1.32055,25.28131,3.22366,0.02475,0.05977,5.90847,7.20228
"8","2012_Q1",88.8066129032258,"Up",549600000,-291500000,-270300000,-21200000,258100000,-22500000,-22200000,6e+05,2900000,-3800000,235600000,-10600000,2.25e+08,-86800000,138200000,138200000,-2800000,135400000,135400000,159300000,159300000,699800000,699800000,110800000,90100000,79600000,1.06e+09,578300000,4473500000,1620700000,2681800000,76800000,94200000,5051800000,6111800000,597100000,257800000,339300000,135500000,732600000,2085500000,7.7e+08,477900000,292100000,2855500000,3588100000,11700000,3387200000,45500000,2503500000,20200000,2523700000,6111800000,138200000,57800000,33300000,11700000,13200000,8400000,49300000,28800000,-5200000,32100000,-6400000,278600000,-3e+07,99999.9999999998,-30100000,-9.2e+07,0,-9.2e+07,-1.22e+08,236600000,-1.68e+08,7100000,-175100000,-151300000,-82700000,73900000,73900000,-4e+05,73500000,315900000,2.221e+09,4.22e+08,0.05365,0.02215,3.11669,1.4469,1.42176,0.3634,1.37462,1.34995,25.41624,4.28426,0.02455,0.07652,6.52643,7.98799
"9","2012_Q2",86.7860317460317,"Down",576100000,-292600000,-271200000,-21400000,283500000,-17500000,-21500000,2e+05,4300000,-5e+05,2.66e+08,3600000,269600000,-107600000,1.62e+08,1.62e+08,-4e+05,161600000,161600000,129900000,129900000,751700000,751700000,1.07e+08,93300000,69800000,1081900000,577200000,4471500000,1616600000,2680300000,79900000,94700000,5048700000,6130600000,633200000,225700000,407500000,1.36e+08,769200000,1985400000,757800000,522100000,235700000,2743200000,3512400000,11600000,3469600000,59900000,2597600000,20600000,2618200000,6130600000,1.62e+08,56700000,33800000,11800000,20600000,1400000,-55400000,-50500000,3900000,-32300000,23500000,197100000,-34700000,5e+05,-34200000,0,0,0,-34700000,-100200000,-96100000,26200000,-122300000,3200000,-193100000,-30700000,-30700000,1300000,-29400000,340200000,2121400000,357700000,0.06172,0.02636,2.21349,1.40653,1.34153,0.34603,1.69926,1.66942,27.31441,3.7613,0.0294,0.06507,5.85391,7.02469
"10","2012_Q3",88.5657142857143,"Up",579500000,-300100000,-279500000,-20600000,279400000,-19800000,-21300000,2e+05,8e+06,-6700000,259600000,-3400000,256200000,-102400000,153800000,153800000,-5e+05,153300000,153300000,124400000,124400000,735800000,735800000,1.14e+08,89100000,68100000,1063300000,576200000,4458800000,1588600000,2694400000,7.9e+07,96800000,5.035e+09,6098300000,584100000,234500000,349600000,134400000,718500000,1975200000,752600000,525600000,2.27e+08,2727800000,3446300000,11500000,3522700000,49400000,2631800000,20200000,2.652e+09,6098300000,153800000,56100000,27600000,11900000,12700000,3e+06,-51200000,15500000,-7200000,9000000.00000001,-68500000,186300000,-34100000,1e+06,-34100000,-30100000,-4900000,-25200000,-64200000,-12300000,-113100000,17200000,-130300000,-899999.999999985,-126300000,-4200000,-4200000,-1300000,-5500000,335500000,2109600000,352600000,0.05781,0.02514,2.30007,1.47989,1.29951,0.34593,1.55635,1.52689,26.71878,3.5797,0.0278,0.06394,5.91714,7.10523
"11","2012_Q4",86.0732258064516,"Down",556100000,-306200000,-285100000,-21100000,249900000,-18200000,-24100000,3e+05,5100000,5e+05,231700000,-4800000,226900000,-78500000,148400000,148400000,-4e+05,1.48e+08,1.48e+08,4.66e+08,4.66e+08,768900000,768900000,118900000,1.02e+08,78200000,1455800000,612200000,4746300000,1672500000,2877400000,80700000,115700000,5358500000,6814300000,634300000,247400000,386900000,485100000,1119400000,2.175e+09,782300000,558900000,223400000,2957300000,4076700000,11400000,3587500000,69600000,2716700000,20900000,2737600000,6814300000,148400000,57600000,22900000,11100000,11600000,2e+05,-25100000,-14200000,-1e+06,3900000,-13800000,203800000,-42800000,1400000,-44100000,-270600000,-1e+07,-260600000,-313400000,5.5e+08,-96200000,31700000,-127900000,-4500000,449300000,339700000,339700000,1900000,341600000,307500000,2660100000,318100000,0.05406,0.02172,2.14932,1.30052,1.48915,0.39037,1.65919,1.62816,30.45628,3.56614,0.02395,0.05147,7.13528,8.77991
"12","2013_Q1",88.1823333333333,"Up",5.38e+08,-3.02e+08,-278800000,-23200000,2.36e+08,-23800000,-27600000,3e+05,4e+06,-5e+05,212200000,-20700000,191500000,-70900000,120600000,120600000,-4e+05,120200000,120200000,466800000,466800000,718500000,718500000,1.21e+08,85500000,74600000,1391800000,630800000,4772400000,1667700000,2901700000,78100000,124900000,5403200000,6.795e+09,548500000,236900000,311600000,4.8e+08,1028500000,2.175e+09,853400000,5.46e+08,307400000,3028400000,4056900000,11300000,3588500000,69400000,2717400000,20700000,2738100000,6.795e+09,120600000,59400000,17500000,5900000,8400000,3200000,56700000,49800000,-2e+06,-10600000,19500000,254200000,-61500000,3e+05,-61400000,-60400000,-11100000,-49300000.0000001,-121900000,-5700000,-125300000,10700000,-1.36e+08,300000.000000002,-130700000,1600000,1600000,-800000.000000001,799999.99999994,295400000,2.655e+09,361500000,0.0439,0.01769,3.00749,1.35323,1.48165,0.39073,1.202,1.18424,27.174,3.615,0.01924,0.05787,7.40758,9.27203
