"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","accrued_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",21.4057142857143,"Down",2.45e+08,-127300000,117700000,-53600000,-27600000,-2600000,-2.5e+07,-5800000,-20200000,64100000,0,-5e+05,5e+05,64100000,-1999999,62100001,-8500000,53600001,53600001,-2e+05,53400001,53400001,-118751622.356914,-338076322.911541,219324700.554627,821353431.074526,821353431.074526,-710937025.042282,-13959108.142763,-3928909995.57734,-3796200584.29334,-341040791.250189,208331379.966186,-3942869103.7201,-4653806128.76238,828777507.33223,828777507.33223,-828736386.084864,327552627.944125,-855365950.937939,31094523.2769911,-867086408.183861,-19374066.0405767,-1346602003.67352,-2175338389.75839,-2582605318.3292,-166617195.815026,300556234.639716,-397212380.621344,-2845878660.12585,367410921.121837,-2478467739.00401,-4653806128.7624,53600000,5800000,7899999,-24600000,42699999,-3600000,-53800000,25600000,-31800000,-46100000,6100000,0,2e+05,8100000,-31900000,-21000001,-21000001,-4700000,-25700001,69900000,0,50200000,0.48041,0.26163,0.21796,-0.0459068967036525,-0.0306650177326729,0.94007,3.64703952476311,0.00431777066287464,-0.104953452381372,0.48991,0.46924,2.24771,5.0008016648917,0.46055,0.42294,-0.109343062378177,0.345987957744781,0.8633,12.1158639471708,13.5577264142838
"2","2017_Q1",19.9085483870968,"Down",261700000,-148800000,112900000,-66900000,-40100000,-4200000,-35900000,-10800000,-1.6e+07,4.6e+07,-3e+05,-5e+05,199999.999999999,45700000,-7600001,38099999,-9200000,28899999,28899999,8900000,37799999,37799999,716500000,323200000,393300000,344200000,344200000,1060700000,41200000,1331500000,401300000,741500000,188700000,1372700000,2433400000,452800000,452800000,452800000,325826313.972063,130300000,8700000,70700000,50900000,130300000,583100000,1472300000,-155100000,764800000,-434500000,1647500000,202800000,1850300000,2433400000,28900000,10800000,13700001,55500000,108900001,-1e+06,8800001,-13600000,-5799999,4500000,5500000.00000001,-5700000,-8400000,16799999,21099999,124200001,124200001,-24700000,99500001,56800000,0,120500000,0.43141,0.17577,0.14444,0.02043,0.01553,3.18783,2.34254,0.31514,0,0.34552,0.36699,2.39214,15.05941,1.10146,-0.04113,0.01681,0.06084,-0.11905,-12.61444,-15.57609
"3","2017_Q2",22.361746031746,"Up",2.33e+08,-131200000,101800000,-50999999,-28300000,-3200000,-25100000,-6300000,-16399999,50800001,2e+05,-1100000,1300000,51000001,-9e+05,50100001,-7500000,42600001,42600001,6466623.39137064,42600001,42600001,1160850540.78564,616792107.63718,544058433.148458,278107189.641825,278107189.641825,1864337341.68076,68419702.7142543,3989186665.19245,2505458528.09778,1286480263.75006,197247873.344605,4057606367.9067,5921943709.58746,408632497.555923,408632497.555923,937603795.361621,324508771.324021,824730316.979313,9343492.24100297,727637136.061287,87749688.6801922,1069192334.55784,2006796129.91946,3482001772.7764,-153352601.394991,818231255.120095,-405170873.126219,3741709553.37528,173438026.292721,3915147579.668,5921943709.58747,42600000,6300000,7300000,13400000,69600000,-2e+06,-5e+06,-7200000,-14200000,-78061730.627641,61082211.3271991,-16500000,-16500000,-8700000,-25200000,30200000,30200000,8199999,38399999,57100001,0,76000001,0.43691,0.21803,0.18283,0.0268556322345508,0.019202505910891,1.78404,1.99062849174563,0.486479909779042,0.0497411507937907,0.39047,0.38344,2.13566,23.4127211117028,0.69661,0.493197720652569,0.0461843541260591,-0.0247026525815937,2.10359582679626,-18.5431071490569,-22.1802629714279
"4","2017_Q3",25.1,"Up",396600000,-205800000,190800000,-134100001,-77400000,-10100000,-67300000,-9400000,-47300001,56699999,-4e+06,-2e+06,-2e+06,52699999,9800000,62499999,-2.1e+07,41499999,41499999,200000.000000002,41699999,41699999,1342200000,683700000,658500000,444300000,444300000,2061300000,76500000,4.895e+09,3202100000,1474900000,2.18e+08,4971500000,7032800000,559600000,559600000,948200000,323500000,1.214e+09,2.1e+07,1091800000,101200000,1537500000,2485700000,4125100000,-157900000,7.08e+08,-344100000,4331100000,2.16e+08,4547100000,7032800000,41500000,9400000,1.2e+07,-70900000,-8e+06,-6400000,167800000,-47900000,530700000,-128600000,59200000,5200000,-22600000,-140600000,-204800000,317900000,317900000,4200001,322100001,66099999,438900000,9799998.99999999,0.48109,0.14297,0.10514,0.00917,0.00593,0.23501,2.17391,0.54666,0.06241,0.28043,0.27708,2.66711,29.12643,0.0659000000000001,0.86483,0.02747,0.00158000000000002,3.08393,-13.66566,-15.93122
"5","2017_Q4",26.8631746031746,"Up",566900000,-300700000,266200000,-1.28e+08,-62300000,-8100000,-54200000,-14800000,-50900000,138200000,4e+06,-4700000,8700000,142200000,6100000,148300000,-46100000,102200000,102200000,-2700000,99500000,99500000,1413500000,699700000,713800000,660200000,660200000,2073700000,74300000,4939200000,3210300000,1498200000,230700000,5013500000,7087200000,786900000,786900000,870200000,322700000,1231100000,29300000,1098200000,103600000,1553800000,2.424e+09,4124300000,-159200000,743600000,-299500000,4409200000,2.54e+08,4663200000,7087200000,102200000,14800000,3200000,36400000,156600000,-2e+05,-36300000,-8800000,-45300000,-63700000,-50500000,-4900000,-5200000,25800000,-93300000,1.8e+07,1.8e+07,-2e+06,1.6e+07,1.53e+08,4.06e+08,235300000,0.46957,0.24378,0.17552,0.02134,0.01404,2.36482,2.38302,0.51981,0.05729,0.66913,0.66113,3.81237,29.65165,1.58238,0.42838,0.0259,0.03735,0.6402,-6.58497,-7.29016
"6","2018_Q1",27.6826229508197,"Up",621800000,-301300000,320500000,-123900000,-65400000,-9800000,-55600000,-22300000,-36200000,196600000,-13100000,-4100000,-8999999.99999999,183500000,3e+06,186500000,285600000,472100000,472100000,-4e+05,471700000,471700000,1494300000,794200000,700100000,748300000,748300000,2242600000,70600000,4959500000,3204800000,1533900000,220800000,5030100000,7272700000,947900000,947900000,1005100000,3.22e+08,879800000,2.3e+07,752600000,104200000,1201800000,2206900000,4143500000,-155800000,1151400000,-301800000,4837300000,228500000,5065800000,7272700000,472100000,22300000,-341800000,73300000,225900000,-8600000,22400000,48600000,62399999.9999999,-63700000,-102100000,-4200000,-7800000,-25500000,-195500000,92799999.9999999,92799999.9999999,1700000,94500000,218900000,379200000,-1999999.99999994,0.51544,0.31618,0.7586,0.09311,0.06486,-0.00424000000000024,2.23122,0.43565,0.05214,2.39807,2.38594,3.16116,24.59227,-0.0101700000000002,0.32384,0.08465,-0.000319999999999994,0.13504,-5.09411,-5.67192
"7","2018_Q2",24.286875,"Down",587700000,-275400000,312300000,-136100000,-80700000,-8500000,-72200000,-15400000,-4e+07,176200000,35100000,-3800000,38900000,211300000,-7e+05,210600000,-47400000,163200000,163200000,2e+06,165200000,165200000,1385200000,665400000,719800000,6.67e+08,6.67e+08,2052200000,69400000,4982400000,3205600000,1548500000,228300000,5051800000,7.104e+09,760800000,760800000,770300000,321300000,867800000,27500000,754300000,8.6e+07,1189100000,1959400000,4086600000,-198900000,1255900000,-251400000,4892200000,252400000,5144600000,7.104e+09,163200000,15400000,-1300001,-115600000,61699999,-6500000,-21300000,39400000,11600000,-63100000,-8.2e+07,-82500000,-82700000,19400000,-208200000,-134900001,-134900001,6100000,-128800001,191600000,330800000,116900000,0.53139,0.29981,0.2811,0.03211,0.02325,0.70763,2.66416,0.38087,0.04657,1.028,1.01787,3.65713,30.44306,0.72744,0.39266,0.03599,0.01843,0.38196,-5.50313,-5.98411
"8","2018_Q3",22.4087301587302,"Down",592400000,-277400000,3.15e+08,-139700000,-68700000,-9500000,-59200000,-15800000,-55200000,175300000,1e+07,-3900000,13900000,185300000,-16600000,168700000,-38200000.0000001,130500000,130500000,10100000,140600000,140600000,1368200000,703800000,664400000,598200000,598200000,1966400000,6.5e+07,4.892e+09,3.168e+09,1504500000,219500000,4.957e+09,6923400000,634600000,634600000,6.44e+08,320600000,872100000,38200000,748100000,85800000,1192700000,1836700000,4084100000,-172900000,1324900000,-355500000,4880600000,206100000,5086700000,6923400000,130500000,15800000,51200001,-78300000,119200001,-4800000,48500000,7e+05,44400000,-71600000,-6e+05,-1300000,-1400000,-24900000,-98400000,65200001.0000001,65200001.0000001,-26800000,38400001,191100000,3.3e+08,146200000,0.53174,0.29591,0.23734,0.02764,0.02031,1.03983,3.05342,0.36108,0.04766,0.71881,0.71407,3.02863,24.95194,0.74744,0.36605,0.03374,0.02325,0.50925,-5.43276,-5.92242
"9","2018_Q4",17.8946031746032,"Down",581200000,-2.84e+08,297200000,-148900000,-6.7e+07,-7100000,-59900000,-20800000,-61100000,148300000,-1700000,-4e+06,2300000,146600000,-8300000,138300000,-33200000,105100000,105100000,6100000,111200000,111200000,1410300000,796100000,614200000,586100000,586100000,1996400000,6.5e+07,4862100000,3146200000,1495100000,220800000,4927100000,6923500000,689700000,689700000,689700000,319800000,876300000,48200000,744800000,83300000,1196100000,1885800000,4.098e+09,-171200000,1322900000,-377800000,4871900000,165800000,5037700000,6923500000,105100000,20800000,24400000,96300000,246600000,-2e+06,36500000,-2600000,31900000,-71200000,-13800000,-50900000,-5.1e+07,-46500000,-182400000,96100000,96100000,-3800000,92300000,169100000,319800000,296600000,0.51136,0.25516,0.19133,0.02207,0.01606,2.66727,2.89459,0.37434,0.04619,0.56851,0.56475,2.97137,24.90746,1.51636,0.36401,0.02926,0.04758,0.64029,-6.44885,-7.35334
"10","2019_Q1",18.3650819672131,"Up",545100000,-269800000,275300000,-118100000,-75200000,-12800000,-62400000,-10600000,-32300000,157200000,9500000,-4e+06,13500000,166700000,-22500000,144200000,-43400000,100800000,100800000,6e+06,106800000,106800000,1491100000,916600000,574500000,5.28e+08,5.28e+08,2019100000,69500000,4823300000,3123300000,1.478e+09,2.22e+08,4892800000,6911900000,728400000,728400000,728400000,319100000,867500000,54700000,729900000,82900000,1186600000,1.915e+09,4119100000,-170800000,1314500000,-423500000,4839300000,157600000,4996900000,6911900000,100800000,10600000,34400000,97500000,243300000,-15800000,7900000.00000001,20900000,1.3e+07,-69200000,-200000.000000004,-43100000,-51300000,-15300000,-127800000,128500000,128500000,-8e+06,120500000,167800000,319100000,292900000,0.50504,0.28839,0.19593,0.02137,0.01545,2.74251,2.77197,0.38324,0.04617,0.5528,0.55365,2.82143,25.04814,1.51605,0.35818,0.02846,0.04737,0.64794,-6.98451,-7.45547
