"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",18.86859375,"Down",28312000,-7063000,21249000,-31747000,-21802000,-16265000,-5537000,-9945000,-10498000,-1116000,-1067000,-1067000,-49000,-11614000,-11614000,-211000,-11825000,-11825000,-11825000,-25986000,123984000,123984000,31969000,31969000,4165000,4165000,160118000,7356000,19064000,2482000,15847000,735000,26420000,186538000,18593000,2868000,15725000,75377000,74347000,1030000,93970000,40110000,35805000,4305000,40110000,134080000,-3526000,-319232000,374822000,52458000,52458000,186538000,-11825000,1339000,3079000,9680000,2273000,-1644000,-1644000,113486000,113486000,1526000,96408000,97037000,97037000,-53000,96984000,-9159000,0,-912000,0.75053,-0.3708,-0.91784,-0.49537,-0.13931,0.0351,1.70393,2.55595,0,-0.78162,-0.78162,0.85158,1.57785,-0.02743,-0.28072,-0.00985,13.53685,11.81025
"2","2016_Q1",13.1826229508197,"Down",32853000,-8962000,23891000,-44762000,-30506000,-23413000,-7093000,-14256000,-20871000,-121000,-34000,-33999.9999999999,-87000,-20992000,-20992000,-114000,-21106000,-21106000,-21106000,-21106000,86553000,86553000,44164000,44164000,6148000,6148000,136865000,7532000,86164000,11385000,74565000,214000,93696000,230561000,26745000,2038000,24707000,89022000,87917000,1105000,115767000,46719000,42400000,4319000,46719000,162486000,-3526000,-340338000,411524000,68075000,68075000,230561000,-21106000,1652000,8365000,11162000,73000,-1297000,-36764000,-612000,-612000,-3609978.33993269,-678000,-37369000,-37369000,-62000,-37431000,-19219000,0,-9240000,0.72721,-0.63528,-0.64244,-0.31004,-0.09154,0.43779,1.18225,2.38687,0,-0.52336,-0.52336,0.81465,1.68805,-0.22912,-0.18386,-0.08049,4.50351,4.14705
"3","2016_Q2",12.69140625,"Down",34796000,-8712000,26084000,-41703000,-29361000,-22768000,-6593000,-12342000,-15619000,181000,-15000,-15000,196000,-15438000,-15438000,-142000,-15580000,-15580000,-15580000,-15580000,83508000,83508000,29817000,29817000,6618000,6618000,119943000,7611000,86226000,10802000,74943000,481000,93837000,213780000,16081000,1657000,14424000,90848000,90081000,767000,106929000,46236000,41776000,4460000,46236000,153165000,-3526000,-355918000,419640000,60615000,60615000,213780000,-15580000,1711000,5498000,6779000,-1592000,-1092000,-1092000,2643000,2643000,-3087000,-512000,-3196000,-3196000,151000,-3045000,-13908000,0,-8079000,0.74963,-0.44887,-0.44775,-0.25703,-0.07288,0.51855,1.12171,2.52685,0,-0.38424,-0.38424,0.85815,1.49491,-0.19925,-0.14581,-0.07561,6.00431,5.34657
"4","2016_Q3",15.63734375,"Up",37268000,-9293000,27975000,-41256000,-28324000,-21680000,-6644000,-12932000,-13281000,-22000,26000,26000,-48000,-13303000,-13303000,-149000,-13452000,-13452000,-13452000,-13452000,84755000,84755000,38663000,38663000,7183000,7183000,130601000,7386000,85865000,10219000,75048000,598000,93251000,223852000,23998000,4200000,19798000,100407000,99360000,1047000,124405000,48301000,45362000,2939000,48301000,172706000,-4154000,-369370000,424249000,51146000,51146000,223852000,-13452000,1708000,4067000,9540000,1863000,-750000,-749999.999999996,883999.999999998,883999.999999998,-673000,211000.000000002,1324000,1324000,-77000,1247000,-11573000,-2.27373675443232e-13,-2634000,0.75064,-0.35636,-0.36095,-0.26301,-0.06009,0.19581,1.04981,3.37673,-2.11758236813575e-22,-0.32759,-0.32759,0.90757,1.24553,-0.06414,-0.13527,-0.02649,7.32351,6.38167
"5","2016_Q4",13.541746031746,"Down",40339000,-10038000,30301000,-40505000,-28889000,-21284000,-7605000,-11616000,-10204000,80000,44000,44000,36000,-10124000,-10124000,-70000,-10194000,-10194000,-10194000,-10194000,87715000,87715000,38286000,38286000,6705000,6705000,132706000,8009000,85320000,9450000,75110000,760000,93329000,226035000,24901000,2675000,22226000,106015000,104663000,1352000,130916000,47473000,44601000,2872000,47473000,178389000,-4154000,-379564000,430939000,47646000,47646000,226035000,-10194000,1911000,4278000,5795000,1790000,-1465000,-1465000,2715000,2715000,-66000.0000000002,2649000,2974000,2974000,-14000,2960000,-8293000,0,-3893000,0.75116,-0.25296,-0.25271,-0.21395,-0.0451,0.38189,1.01367,3.74405,0,-0.24571,-0.24571,0.97231,1.14843,-0.09383,-0.10717,-0.04093,10.57699,8.59614
"6","2017_Q1",13.9479032258065,"Up",45034000,-11682000,33352000,-43297000,-32232000,-24792000,-7440000,-11065000,-9945000,-217000,76000,287000,-293000,-10162000,-10162000,388000,-9774000,-9774000,-9774000,-9774000,71927000,53148000,49154000,49154000,9152000,9152000,130233000,8088000,84820000,8946000,75110000,764000,113070000,243303000,27511000,4012000,23499000,118098000,116903000,1195000,145609000,55656000,52160000,3496000,55656000,201265000,-4391000,-389338000,435341000,42038000,42038000,243303000,-9774000,1395000,4759000,10671000,7051000,-1192000,-40168000,406000,406000,-1593000,-1187000,-34304000,-34304000,-263000,-34567000,-8550000,1.81898940354586e-12,541000,0.7406,-0.22083,-0.21704,-0.2325,-0.04017,-0.05535,0.8944,4.78769,0,-0.2333,-0.2333,1.07493,1.00342,0.01291,-0.10005,0.00554,8.41251,7.23248
"7","2017_Q2",17.2477777777778,"Up",45245000,-12264000,32981000,-43451000,-32058000,-24810000,-7248000,-11393000,-10470000,54000,169000,169000,-115000,-10416000,-10416000,-129000,-10545000,-10545000,-10545000,-10545000,79223000,50662000,33703000,33703000,7742000,7742000,120668000,8010000,84290000,8460000,75110000,720000,109103000,229771000,19841000,3495000,16346000,117803000,116564000,1239000,137644000,54270000,51083000,3187000,54270000,191914000,-4457000,-399988000,441874000,37857000,37857000,229771000,-10545000,1624000,4736000,7506000,3321000,-1335000,-7836000,2274000,2274000,-169000,2105000,-2410000,-2410000,-76000,-2486000,-8846000,0,-2546000,0.72894,-0.23141,-0.23306,-0.27855,-0.04589,0.24144,0.87667,5.06945,0,-0.25097,-0.25097,1.07683,0.901,-0.06059,-0.11446,-0.02764,8.9558,7.56667
"8","2017_Q3",16.6047619047619,"Down",47443000,-13079000,34364000,-46261000,-34388000,-27132000,-7256000,-11873000,-11897000,447000,218000,218000,229000,-11450000,-11450000,-187000,-11637000,-11637000,-11637000,-11637000,84281000,53068000,47560000,47560000,8892000,8892000,140733000,8287000,84034000,8294000,75110000,630000,101120000,241853000,22924000,2257000,20667000,127419000,126085000,1334000,150343000,56883000,54344000,2539000,56883000,207226000,-4531000,-411625000,450348000,34627000,34627000,241853000,-11637000,1613000,5129000,913999.999999999,-3981000,-1243000,3719000,3336000,3336000,-888000,2448000,2186000,2186000,220000,2406000,-10284000,2.91038304567337e-11,-10426000,0.72432,-0.25076,-0.24528,-0.33607,-0.04812,0.89594,0.93608,5.98452,5.42101086242752e-20,-0.27206,-0.27206,1.10915,0.80953,-0.24375,-0.12717,-0.11393,8.19535,7.08422
"9","2017_Q4",18.528253968254,"Up",50521000,-14367000,36154000,-49196000,-35626000,-28224000,-7402000,-13570000,-13042000,433000,198000,279000,235000,-12609000,-12609000,2325000,-10284000,-10284000,-10284000,-10284000,83880000,49055000,48690000,48690000,8747000,8747000,141317000,7995000,101018000,17208000,83170000,640000,110123000,251440000,27304000,3567000,23737000,134511000,133117000,1394000,161815000,57859000,55526000,2333000,57859000,219674000,-4645000,-421909000,457881000,31766000,31766000,251440000,-10284000,2067000,2554000,11407000,5744000,-928000,-12024000,2299000,2299000,-207000,2092000,-4188000,-4188000,175000,-4013000,-10975000,0,-2821000,0.71562,-0.25815,-0.20356,-0.32374,-0.0409,0.27431,0.87332,6.91538,0,-0.23757,-0.23757,1.16707,0.73382,-0.06517,-0.11474,-0.03148,7.64282,6.43153
"10","2018_Q1",24.1573770491803,"Up",57731000,-17200000,40531000,-53916000,-39814000,-31427000,-8387000,-14102000,-13385000,154000,190000,196000,-36000,-13231000,-13231000,227000,-13004000,-13004000,-13004000,-13004000,90740000,51562000,73661000,73661000,8877000,8877000,173278000,8589000,101167000,16640000,83164000,1363000,110858000,284136000,31968000,2240000,29728000,157517000,155811000,1706000,189485000,70498000,68689000,1809000,70498000,259983000,-4764000,-434913000,463389000,24153000,24153000,284136000,-13004000,2324000,5012000,13870000,8202000,-1318000,-6080000,853000.000000002,853000.000000002,-230000,622999.999999998,2745000,2745000,-38000,2707000,-11061000,4.65661287307739e-10,1264000,0.70207,-0.23185,-0.22525,-0.5384,-0.04577,-0.0972,0.91447,10.764,-8.67361737988404e-19,-0.29736,-0.29736,1.3201,0.55229,0.0289,-0.13739,0.01335,8.2036,6.77923
"11","2018_Q2",29.75375,"Up",54515000,-16594000,37921000,-54506000,-37784000,-29052000,-8732000,-16722000,-16585000,319000,241000,243000,78000,-16266000,-16266000,-95000,-16361000,-16361000,-16361000,-16361000,129276000,99646000,38718000,38718000,20815000,12232000,188809000,9238000,121327000,16316000,83164000,21847000,131661000,320470000,24041000,5669000,18372000,142150000,140448000,1702000,166191000,80357000,78450000,1907000,80357000,246548000,-4764000,-425401000,503625000,73922000,73922000,320470000,-16361000,2399000,6476000,14782000,7296000,-2147000,6762000,34824000,34824000,-462000,34362000,48420000,48420000,-36000,48384000,-14186000,0,-1456000,0.69561,-0.30423,-0.30012,-0.22133,-0.05105,0.08899,1.1361,3.33525,0,-0.36189,-0.36189,1.20581,1.63507,-0.03221,-0.10605,-0.00944,9.11293,7.79475
"12","2018_Q3",33.5749206349206,"Up",58441000,-17393000,41048000,-55388000,-39306000,-31157000,-8149000,-16082000,-14340000,138000,464000,464000,-326000,-14202000,-14202000,-131000,-14333000,-14333000,-14333000,-14333000,114714000,100731000,48476000,48476000,22693000,13212000,185883000,11184000,122775000,16002000,83164000,23609000,137888000,323771000,26444000,4612000,21832000,154713000,153634000,1079000,181157000,73071000,70766000,2305000,73071000,254228000,-4764000,-439734000,513574000,69543000,69543000,323771000,-14333000,2678000,7955000,-5414000,-9114000,-3503000,8647999.99999999,2372000,2372000,-543000,1829000,1363000,1363000,-278000,1085000,-11662000,0,-20448000,0.70238,-0.24538,-0.24526,-0.2061,-0.04427,1.42664,1.02609,3.6557,1.38777878078145e-17,-0.30968,-0.30968,1.26269,1.50257,-0.44181,-0.1005,-0.14338,9.83656,7.99958
"13","2018_Q4",32.7325396825397,"Down",62365000,-17810000,44555000,-55856000,-38745000,-30570000,-8175000,-17111000,-11301000,-685000,-866000,813000,181000,-11986000,-11986000,155000,-11831000,-11831000,-11831000,-11831000,271793000,131160000,53771000,53771000,21992000,11616000,347556000,11859000,123267000,16023000,83164000,24080000,174401000,521957000,30158000,2766000,27392000,160246000,159408000,838000,190404000,66287000,63680000,2607000,238452000,428856000,-4764000,-451565000,548957000,93101000,93101000,521957000,-11831000,2660000,8565000,-3444000,-4050000,-2754000,-165688000,3869000,3869000,-707000,199781000,30043000,30043000,-114000,29929000,-8641000,172165000,-14994000,0.71442,-0.18121,-0.18971,-0.12708,-0.02267,1.26735,1.82536,4.60635,0.32985,-0.25212,-0.25212,1.32898,1.98396,-0.31952,-0.03568,-0.04522,11.52968,8.81586
"14","2019_Q1",42.7968852459016,"Up",68770000,-19286000,49484000,-60296000,-42468000,-32531000,-9937000,-17828000,-10812000,-1813000,-1544000,1709000,-269000,-12625000,-12625000,-395000,-13020000,-13020000,-13020000,-13020000,258775000,99565000,74935000,74935000,22067000,9746000,355777000,17523000,141177000,23955000,88420000,28802000,203592000,559369000,44424000,7048000,37376000,190562000,189855000,707000,234986000,62376000,58716000,3660000,237064000,472050000,-4764000,-464585000,556192000,87319000,87319000,559369000,-13020000,3360000,9350000,12244000,11934000,-4409000,-43455000,1085000,1085000,-485000,192000,-31329000,-31329000,-266000,-31595000,-7452000,174688000,777999.999999996,0.71956,-0.15722,-0.18933,-0.14911,-0.02328,-0.0597500000000002,1.51403,5.40604,0.31229,-0.27464,-0.27464,1.45062,1.84189,0.01641,-0.04014,0.00239999999999999,11.28382,7.77719
"15","2019_Q2",52.6204761904762,"Up",73185000,-19973000,53212000,-62956000,-45091000,-35138000,-9953000,-17865000,-9744000,-1704000,-1498000,1731000,-206000,-11448000,-11448000,-225000,-11673000,-11673000,-11673000,-11673000,251469000,89869000,59707000,59707000,28767000,15773000,339943000,32771000,157579000,23979000,88420000,45180000,223963000,563906000,31359000,6297000,25062000,197069000,184453000,12616000,228428000,69429000,52014000,17415000,246627000,475055000,-4764000,-476258000,569391000,88851000,88851000,563906000,-11673000,3427000,11108000,-16428000,-13566000,-8463000,-355000,5352000,5352000,-979000,4373000,-9548000,-9548000,-148000,-9696000,-6317000,177198000,-30983000,0.72709,-0.13314,-0.1595,-0.13138,-0.0207,2.65424,1.48818,5.34665,0.31423,-0.24406,-0.24406,1.53017,1.85772,-0.6478,-0.0348,-0.09235,11.75732,7.62223
