"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.8365079365079,"Up",1.419e+09,-1.232e+09,1.87e+08,-1.03e+08,-1.63e+08,6.8e+07,8.4e+07,-6.4e+07,-6.4e+07,2e+07,2e+07,-3.8e+07,-1.8e+07,-1.8e+07,-2e+07,-2e+07,2.161e+09,2.16e+09,5.15e+08,3.93e+08,9.3e+07,1.64e+08,3.531e+09,8.566e+09,8.566e+09,3.078e+09,2.71e+08,2.557e+09,1.1644e+10,1.5175e+10,9.32e+08,3.29e+08,6.03e+08,9.36e+08,5.671e+09,4.511e+09,9.91e+08,1.0182e+10,1.1118e+10,2.053e+09,2.628e+09,-6.35e+08,4.046e+09,4.057e+09,1.5175e+10,-1.8e+07,1.26e+08,-9.8e+07,2.51e+08,2.61e+08,5.6e+07,1.1e+07,6.7e+07,-1.1e+07,-2e+07,-44153730.6424605,-44958311.9368202,-6e+06,-3.7e+07,2.91e+08,2.91e+08,2.91e+08,2.1e+08,5.675e+09,5.55e+08,0.13178,0.0592,-0.01409,-0.00493,-0.00132,-27.75,3.77244,2.74045,0.37397,-0.09459,-0.09459,6.71112,19.13545,2.62486,0.05202,21.0497853402434,-0.00063,0.03897,-0.55,16.73333,41.83333
"2","2010_Q3",10.37703125,"Down",1.505e+09,-1.184e+09,3.21e+08,-1.65e+08,-1.55e+08,-1999999.99999997,1.56e+08,-1.43e+08,-1.43e+08,1.3e+07,1.3e+07,-3999999.99999976,8999999.99999976,13999999.9999998,14000000.0000005,1.4e+07,1.849e+09,1.846e+09,4.72e+08,3.2e+08,9.1e+07,9.3e+07,3.122e+09,8.472e+09,8.472e+09,3.114e+09,2.7e+08,2.594e+09,1.1586e+10,1.4708e+10,9.85e+08,3.22e+08,6.63e+08,9.89e+08,5.124e+09,4.484e+09,9.88e+08,9.608e+09,1.0597e+10,2.061e+09,2.631e+09,-5.92e+08,4.1e+09,4.111e+09,1.4708e+10,13999999.9999998,1.26e+08,57000000.0000002,2e+06,1.99e+08,-2.4e+07,7.8e+07,5.4e+07,-9999999.99999988,-5.48e+08,0,0,-9e+06,-5.67e+08,-3.14e+08,-3.14e+08,-3.14e+08,2.82e+08,5.128e+09,2.64e+08,0.21329,0.10365,0.00930000000000002,0.00341000000000001,0.000949999999999994,18.85714,3.15672,2.57772,0.34865,0.0661600000000002,0.0660099999999996,7.11241,19.376,1.24763,0.0472599999999995,9.34992844674779,0.00174999999999999,0.01924,0.71429,11.62766,21.01923
"3","2010_Q4",11.15171875,"Up",1.514e+09,-1.193e+09,3.21e+08,-1.61e+08,-1.61e+08,8e+06,1.6e+08,-7.6e+07,-7.6e+07,8.4e+07,8.4e+07,1.028e+09,1.112e+09,1.116e+09,1.116e+09,1.116e+09,1.368e+09,1.368e+09,4.79e+08,3.24e+08,8.7e+07,1.15e+08,2.648e+09,8.408e+09,8.408e+09,2.997e+09,2.71e+08,2.475e+09,1.1405e+10,1.4053e+10,9.82e+08,3.26e+08,6.56e+08,1.007e+09,5.1e+09,3.33e+09,9.82e+08,8.43e+09,9.437e+09,5.217e+09,3.6e+07,-6.43e+08,4.61e+09,4.616e+09,1.4053e+10,1.116e+09,1.24e+08,-1.107e+09,-2.6e+07,1.07e+08,-1.3e+07,4e+06,-9e+06,-5.6e+08,-2e+06,0,3.72529029846191e-09,-1.4e+07,-5.76e+08,-4.78e+08,-4.78e+08,-4.78e+08,2.84e+08,5.125e+09,-7.83e+08,0.21202,0.10568,0.73712,0.24177,0.07941,-0.70161,2.62959,2.04441,0.36469,3.51641,3.50547,4.77047,14.52568,-2.46716,1.76451,5,0.12822,-0.0599,0.50179,13.22887,23.48125
"4","2011_Q1",15.3661290322581,"Up",1.516e+09,-1.222e+09,2.94e+08,-2.4e+08,-1.71e+08,-5.9e+07,5.4e+07,-8.9e+07,-8.9e+07,-3.5e+07,-3.5e+07,2.06e+08,1.71e+08,1.71e+08,1.71e+08,1.71e+08,1.467e+09,1.467e+09,4.78e+08,2.45e+08,8.1e+07,5.1e+07,2.641e+09,8.349e+09,8.349e+09,2.439e+09,2.66e+08,1.923e+09,1.0788e+10,1.3429e+10,1.074e+09,3.4e+08,7.34e+08,1.074e+09,5.06e+09,2.681e+09,1.385e+09,7.741e+09,8.815e+09,5.222e+09,1.81e+08,-7.91e+08,4.612e+09,4.614e+09,1.3429e+10,1.71e+08,1.27e+08,-2.77e+08,2.5e+08,2.71e+08,-3.6e+07,-6.1e+07,-9.7e+07,-2.7e+07,-6.6e+07,0,0,1.8e+07,-7.5e+07,9.9e+07,9.9e+07,9.9e+07,1.81e+08,5.06e+09,1.89e+08,0.19393,0.03562,0.1128,0.03706,0.01273,1.10526,2.45903,1.91049,0.3768,0.316959999999999,0.315219999999999,2.81005,8.54877,0.35033,0.0500499999999999,5,0.01603,0.0153,0.15789,19.85083,66.53704
"5","2011_Q2",14.5374603174603,"Down",1.422e+09,-1.177e+09,2.45e+08,-9e+06,-1.72e+08,1.7e+08,2.36e+08,-8.2e+07,-8.2e+07,1.54e+08,1.54e+08,-5.6e+07,9.8e+07,9.9e+07,9.9e+07,9.9e+07,1.463e+09,1.463e+09,5.44e+08,2.94e+08,8.5e+07,5.4e+07,2.806e+09,8.281e+09,8.281e+09,2.493e+09,2.66e+08,1.98e+09,1.0774e+10,1.358e+10,1.045e+09,3.59e+08,6.86e+08,1.045e+09,5.058e+09,2.773e+09,1.38e+09,7.831e+09,8.876e+09,5.271e+09,1.87e+08,-7.56e+08,4.702e+09,4.704e+09,1.358e+10,9.9e+07,1.23e+08,5.2e+07,-2.05e+08,6.9e+07,1.46e+08,-1.51e+08,-5e+06,-8.1e+07,-2e+06,3.4e+07,3.4e+07,-1.9e+07,-6.8e+07,-4e+06,-4e+06,-4e+06,3.59e+08,5.058e+09,3.56e+08,0.17229,0.16596,0.06962,0.02105,0.00729,3.59596,2.68517,1.8869,0.37246,0.18431,0.18317,2.64735,8.75377,0.66277,0.1508,6,0.01436,0.0284,0.81818,10.01393,15.23305
"6","2011_Q3",12.28578125,"Down",1.61e+09,-1.343e+09,2.67e+08,-1.4e+08,-1.45e+08,1.2e+07,1.27e+08,-1.08e+08,-1.08e+08,1.9e+07,1.9e+07,4e+06,2.3e+07,9999999.99999997,1e+07,1e+07,8.81e+08,8.81e+08,5.13e+08,3.18e+08,1.15e+08,3.6e+07,2.245e+09,8.195e+09,8.195e+09,2.599e+09,2.63e+08,2.09e+09,1.0794e+10,1.3039e+10,1.038e+09,3.26e+08,7.12e+08,1.038e+09,4.51e+09,2.755e+09,1.387e+09,7.265e+09,8.303e+09,5.28e+09,1.16e+08,-6.62e+08,4.734e+09,4.736e+09,1.3039e+10,9999999.99999997,1.2e+08,-8e+06,1.2e+07,1.34e+08,-4.3e+07,-3e+07,-7.3e+07,-8e+07,-5.48e+08,3e+06,3e+06,-1.8e+07,-6.43e+08,-5.82e+08,-5.82e+08,-5.82e+08,2.47e+08,4.51e+09,2.12e+08,0.16584,0.07888,0.00620999999999999,0.00211,0.000770000000000002,21.2,2.16281,1.75317,0.34589,0.01857,0.0184800000000001,2.9892,8.78936,0.39361,0.14853,5,0.0075,0.01767,8,14.69231,28.5748
"7","2011_Q4",11.3765079365079,"Down",1.569e+09,-1.283e+09,2.86e+08,-1.86e+08,-1.35e+08,-4.4e+07,1e+08,-7.1e+07,-7.1e+07,2.9e+07,2.9e+07,1.04e+08,1.33e+08,1.57e+08,1.57e+08,1.57e+08,9.71e+08,9.71e+08,4.68e+08,2.18e+08,8.1e+07,3.1e+07,2.124e+09,8.051e+09,8.051e+09,2.66e+09,2.6e+08,2.151e+09,1.0711e+10,1.2835e+10,9.77e+08,3.05e+08,6.72e+08,9.88e+08,4.499e+09,2.549e+09,1.312e+09,7.048e+09,8.036e+09,5.258e+09,1.92e+08,-6.55e+08,4.795e+09,4.799e+09,1.2835e+10,1.57e+08,1.2e+08,-5.8e+07,-5.1e+07,1.68e+08,9.1e+07,-5.2e+07,3.9e+07,-8.1e+07,0,-2.4e+07,-3.72529029846191e-09,-1.2e+07,-1.17e+08,9e+07,9e+07,9e+07,2.2e+08,4.51e+09,1.56e+08,0.18228,0.06373,0.10006,0.03272,0.01223,0.99363,2.1498,1.67452,0.35138,0.29184,0.29083,2.91651,8.9131,0.28998,0.15057,5,0.02007,0.01316,0.51592,16.08636,35.39
"8","2012_Q1",14.0637096774194,"Up",1.615e+09,-1.317e+09,2.98e+08,-1.67e+08,-1.49e+08,-9e+06,1.31e+08,-7.6e+07,-7.6e+07,5.5e+07,5.5e+07,9999999.99999999,6.5e+07,6.5e+07,6.5e+07,6.5e+07,9.53e+08,9.53e+08,4.76e+08,2.12e+08,6.8e+07,6.3e+07,2.109e+09,7.96e+09,7.96e+09,2.565e+09,2.76e+08,2.036e+09,1.0525e+10,1.2634e+10,9.29e+08,3.36e+08,5.93e+08,9.41e+08,4.466e+09,2.96e+09,1.364e+09,7.426e+09,8.367e+09,5.266e+09,1.76e+08,-1.179e+09,4.263e+09,4.267e+09,1.2634e+10,6.5e+07,1.17e+08,1.3e+07,-3.9e+07,1.56e+08,-7.3e+07,-2000000.00000001,-7.5e+07,-8.1e+07,-33000000.0000001,-1.2e+07,1e+06,2.7e+07,-99000000.0000001,-17999999.9999999,-17999999.9999999,-17999999.9999999,2.48e+08,4.478e+09,1.26e+08,0.18452,0.08111,0.04025,0.01523,0.00514,1.93846,2.24123,1.96086,0.35444,0.12117,0.12079,3.01071,7.94716,0.23489,0.151,6,0.01247,0.01076,1.24615,14.21371,26.9084
"9","2012_Q2",13.9447619047619,"Down",1.494e+09,-1.29e+09,2.04e+08,-1.03e+08,-1.5e+08,5.4e+07,1.01e+08,-7.5e+07,-7.5e+07,2.6e+07,2.6e+07,1.5e+07,4.1e+07,4.1e+07,4.1e+07,4.1e+07,7.28e+08,7.28e+08,5.17e+08,2.23e+08,8e+07,3e+07,1.971e+09,7.934e+09,7.934e+09,2.569e+09,2.46e+08,2.075e+09,1.0503e+10,1.2474e+10,8.79e+08,3.43e+08,5.36e+08,1.046e+09,4.309e+09,2.914e+09,1.336e+09,7.223e+09,8.269e+09,5.283e+09,1.28e+08,-1.214e+09,4.197e+09,4.205e+09,1.2474e+10,4.1e+07,1.13e+08,-6.5e+07,-1.49e+08,-6e+07,-5.8e+07,1e+06,-5.7e+07,-8.1e+07,-2e+06,5e+06,5e+06,-3e+07,-1.08e+08,-2.25e+08,-2.25e+08,-2.25e+08,2.14e+08,4.476e+09,-8e+06,0.13655,0.0676,0.02744,0.00975,0.00329,-0.19512,1.88432,1.96647,0.35883,0.0763,0.07596,2.78022,7.81029,-0.01489,0.15073,4,0.01052,-0.00069,1.97561,17.51402,37.10891
"10","2012_Q3",16.7131746031746,"Up",1.793e+09,-1.516e+09,2.77e+08,-1.01e+08,-1.42e+08,4.9e+07,1.76e+08,-7.5e+07,-7.5e+07,1.01e+08,1.01e+08,-1.7e+07,8.4e+07,8.4e+07,8.4e+07,8.4e+07,8.61e+08,8.61e+08,4.87e+08,2.24e+08,8.6e+07,3.8e+07,2.066e+09,7.9e+09,7.9e+09,2.509e+09,2.38e+08,2.024e+09,1.0409e+10,1.2475e+10,9.36e+08,3.6e+08,5.76e+08,1.12e+09,4.288e+09,2.87e+09,1.349e+09,7.158e+09,8.278e+09,5.292e+09,1.32e+08,-1.238e+09,4.186e+09,4.197e+09,1.2475e+10,8.4e+07,1.13e+08,-3.9e+07,1.09e+08,2.67e+08,-5.7e+07,-999999.999999993,-5.8e+07,-8e+07,-4000000.00000001,2e+06,2e+06,6000000.00000001,-7.6e+07,1.33e+08,1.33e+08,1.33e+08,2.89e+08,4.472e+09,3.58e+08,0.15449,0.09816,0.04685,0.02001,0.00673,4.2619,1.84464,1.97236,0.35848,0.15614,0.15555,3.33292,7.78116,0.66547,0.14871,7,0.01421,0.03103,0.95238,12.49481,20.51705
