"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",14.83546875,"Down",11000,-46467000,-41780000,-4687000,-46456000,144000,0,63000,-46312000,-46312000,0,-46312000,-46312000,-46312000,-46312000,358616000,358616000,1671000,1671000,360287000,1414000,8490000,1326000,9904000,370191000,6073000,4947000,1126000,610000,610000,6683000,577000,342000,577000,7260000,535704000,-172723000,-50000,362931000,362931000,370191000,-46312000,-5000,38979000,3139000,-4199000,244079000,0,244562000,-7134000,7415000,7415000,-2415000,-2134000,238229000,238229000,238179000,-46461000,0,200757000,-4223.27273,-4210.18182,-0.12761,-0.1251,-4.33488,53.91097,0.02,0,-0.59498,-0.59498,0.00014,4.66267,2.57918,-0.1274,7.71865,7.71948
"2","2016_Q1",9.42426229508197,"Down",14000,-29938000,-25868000,-4070000,-29924000,2800000,0,-42000,-27124000,-27124000,302000,-26822000,-26822000,-26822000,-26822000,294218000,175908000,3322000,3105000,297540000,5523000,8651000,1359000,69309000,366849000,4660000,2085000,2575000,1488000,1488000,6148000,4706000,3313000,4706000,10854000,606563000,-250376000,-192000,355995000,355995000,366849000,-26822000,491000,18712000,-3325000,-10944000,-317144000,-171165000,-488309000,7348000,309147000,309147000,-9.31322574615479e-10,316495000,-182758000,-182758000,-182708000,-29433000,0,-350204000,-2137.42857,-1915.85714,-0.07534,-0.07311,13.0566,48.39623,0.03049,0,-0.32986,-0.32986,0.00017,4.37802,-4.3068,-0.07436,9.99619,9.83217
"3","2016_Q2",7.76265625,"Down",6000,-31622000,-26667000,-4955000,-31616000,796000,0,28000,-30820000,-30820000,143000,-30677000,-30677000,-30677000,-30677000,221759000,63250000,3776000,3776000,225535000,7156000,8540000,1696000,131893000,357428000,5821000,1105000,4716000,2037000,2037000,7858000,5070000,3795000,5070000,12928000,625208000,-281026000,318000,344500000,344500000,357428000,-30677000,485000,20517000,819000,-8856000,-1067000,-100845000,-101912000,0,-1890000,660000,0,-1890000,-112658000,-112658000,-112658000,-31131000,0,-31522000,-5269.33333,-5112.83333,-0.08905,-0.08583,1.02755,28.70132,0.03753,0,-0.37606,-0.37606,7e-05,4.22312,-0.38642,-0.08776,7.12341,7.01414
"4","2016_Q3",7.4715625,"Down",12000,-34977000,-28588000,-6389000,-34965000,740000,-9.09494701772928e-13,1000.00000000001,-34225000,-34225000,228000,-33997000,-33997000,-33997000,-33997000,213763000,38223000,4196000,4196000,217959000,9507000,7536000,1140000,124976000,342935000,8027000,3303000,4724000,2018000,2018000,10045000,5533000,4367000,5533000,15578000,651338000,-324405000,424000,327357000,327357000,342935000,-33997000,513000,23403000,1780000,-8301000,-1055999.99999997,-9095000,-10151000,9.31322574615479e-10,-6575000,199000,-5.82076609134674e-11,-6575000.00000006,-25027000,-25027000,-25027000,-34452000,0,-33956000,-2913.75,-2833.08333,-0.10385,-0.09914,0.99879,21.69826,0.04759,-2.16840434497101e-19,-0.4148,-0.4148,0.00015,3.99414,-0.4143,-0.10213,6.20466,6.11363
"5","2016_Q4",6.67142857142857,"Down",12000,-32787000,-24423000,-8364000,-32775000,826000,-29000,60000,-31949000,-31949000,52000,-31897000,-31897000,-31897000,-31897000,209256000,31404000,5215000,5215000,214471000,16475000,6810000,862000,117940000,332411000,8155000,2245000,5910000,2077000,2077000,10232000,8898000,7823000,11288000,21520000,669632000,-358876000,135000,310891000,310891000,332411000,-31897000,770000,19437000,1007000,-10683000,-3079000,9934000,6855000,-10000,-2389000,185000,-592000,-2991000,-6819000,-6819000,-6819000,-32005000,2390000,-34129000,-2731.25,-2658.08333,-0.1026,-0.09596,1.06998,20.96081,0.06922,0.00719,-0.38826,-0.38826,0.00015,3.78424,-0.41543,-0.099,6.46355,6.3117
"6","2017_Q1",4.94096774193548,"Down",14000,-25158000,-15713000,-9445000,-25144000,757000,-37000,-1000,-24387000,-24387000,149000,-24238000,-24238000,-24238000,-24238000,198921000,8083000,6224000,5135000,205145000,18906000,5874000,788000,112351000,317496000,9909000,4045000,5864000,2644000,2644000,12553000,9500000,8317000,11525000,24078000,680765000,-387063000,-284000,293418000,293418000,317496000,-24238000,1839000,11410000,236000,-10753000,-1358000,-7106000,-8464000,30000.0000000001,-3620000,329000.000000002,-514000,-4104000,-23321000,-23321000,-23321000,-23305000,2025000,-24576000,-1796,-1731.28571,-0.08261,-0.07634,1.01395,16.34231,0.08206,0.00638,-0.29477,-0.29477,0.00017,3.56835,-0.29888,-0.07948,8.44866,7.83073
"7","2017_Q2",4.31984126984127,"Down",11000,-25475000,-16227000,-9248000,-25464000,851000,-37000,109000,-24613000,-24613000,98000,-24515000,-24515000,-24515000,-24515000,190970000,13596000,4978000,4896000,195948000,22558000,5182000,661000,107727000,303675000,11138000,4280000,6858000,3063000,3063000,14201000,9150000,8065000,11105000,25306000,691237000,-412628000,-240000,278369000,278369000,303675000,-24515000,1162000,10750000,2546000,-10057000,-4509000,20547000,16038000,-22000,104000,1154000,-550000,-468000,5513000,5513000,5513000,-24302000,1955000,-26363000,-2314.90909,-2228.63636,-0.08807,-0.08073,1.07538,13.79818,0.09091,0.00644,-0.29846,-0.29846,0.00013,3.38902,-0.32096,-0.08469,7.77775,7.42283
"8","2017_Q3",6.16269841269841,"Up",14000,-23834000,-14128000,-9706000,-23820000,244000,-154000,-283000,-23576000,-23576000,124000,-23452000,-23452000,-23452000,-23452000,175505000,39039000,6052000,5973000,181557000,60218000,4291000,335000,120063000,301620000,18652000,4271000,14381000,18226000,18226000,36878000,9933000,9154000,11818000,48696000,700647000,-447486000,-237000,252924000,252924000,301620000,-23452000,1374000,9843000,-2715000,-14950000,-8156000,64975000,56819000,-4898000,-11369000,37000,-159000,-16426000,25443000,25443000,25443000,-22446000,1885000,-33441000,-1701.42857,-1675.14286,-0.09272,-0.07775,1.42593,4.92318,0.19253,0.00625,-0.28796,-0.28796,0.00017,3.10562,-0.41062,-0.08858,7.73501,7.28883
"9","2017_Q4",4.73539682539683,"Down",8000,-24450000,-13381000,-11069000,-24442000,374000,-393000,87000,-24068000,-24068000,99000,-23969000,-23969000,-23969000,-23969000,152267000,20920000,4586000,4525000,156853000,74471000,3715000,324000,120884000,277737000,25323000,9485000,15838000,3351000,3351000,28674000,9545000,8864000,11359000,40033000,709361000,-471455000,-202000,237704000,237704000,277737000,-23969000,1461000,9190000,3185000,-10133000,-10717000,17678000,6961000,-14948000,1000,1000,0,-14947000,-18119000,-18119000,-18119000,-22981000,1814000,-30612000,-3055.25,-2996.125,-0.10084,-0.0863,1.27715,5.47022,0.16842,0.00653,-0.30172,-0.30172,1e-04,2.99222,-0.38534,-0.09624,6.54684,6.15551
"10","2018_Q1",4.38475409836066,"Down",12000,-25406000,-13385000,-12021000,-25394000,735000,-33999.9999999999,244000,-24659000,-24659000,172000,-24487000,-24487000,-24487000,-24487000,128152000,23872000,4306000,4152000,132458000,76726000,3156000,330000,117982000,250440000,17132000,5865000,11267000,3736000,3736000,20868000,8987000,8489000,10728000,31596000,717938000,-498713000,-381000,218844000,218844000,250440000,-24487000,1569000,9066000,212000,-13640000,-11433000,31167000,19734000,-3000,-2809000,-38000,-330000,-3142000,2951999.99999999,2951999.99999999,2951999.99999999,-23825000,1741000,-35218000,-2116.16667,-2040.58333,-0.11189,-0.09778,1.43823,6.34742,0.14438,0.00695,-0.30873,-0.30873,0.00015,2.75915,-0.44402,-0.10666,5.30581,4.97799
