"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",18.46375,"Down",19974000,-4489000,15485000,-27529000,-20362000,-3941000,-1491000,-12044000,-489000,-489000,-12533000,-13084000,-162000,-13246000,-13246000,-13246000,-13246000,151998000,54064000,97934000,9370000,9370000,2580000,2547000,163948000,5852000,73480000,16854000,56342000,284000,79332000,243280000,16057000,2056000,14001000,17307000,25863000,7573000,1056000,6517000,33436000,50743000,308036000,-115503000,4000,192537000,192537000,243280000,-13246000,1491000,1500000,-6527000,-16782000,-2015000,-98047000,-325000,-104609000,2411000,160032000,38641000,38641000,38641000,-10553000,27113000,-18933000,0.77526,-0.60298,-0.66316,-0.0688,-0.05445,1.42934,9.47293,0.26355,0.11145,-0.36319,-0.36319,0.54766,5.27913,-0.51912,-0.0583,-0.08332,11.83408,10.36906
"2","2016_Q1",14.2019672131148,"Down",22639000,-6478000,16161000,-30507000,-23052000,-4160000,-1546000,-14346000,-5e+05,-5e+05,-14846000,-14846000,-161000,-15007000,-15007000,-15007000,-15007000,137348000,55066000,82282000,12134000,12134000,2096000,2096000,151578000,6259000,71900000,15265000,56342000,293000,78159000,229737000,16736000,2213000,14523000,17986000,25227000,7960000,1185000,6775000,33187000,51173000,309116000,-130510000,-42000,178564000,178564000,229737000,-15007000,1546000,2773000,-2116000,-12804000,-794000,15428000,-368000,14266000,880230.701531172,-459999.99999997,1002000,1002000,1001999.99999999,-12800000,26477000,-15549000,0.71386,-0.63369,-0.66288,-0.08404,-0.06532,1.03612,8.42755,0.28658,0.11525,-0.38814,-0.38814,0.58553,4.61834,-0.40216,-0.07046,-0.073,8.6618,7.72836
"3","2016_Q2",11.66609375,"Down",26888000,-7943000,18945000,-33660000,-24957000,-5225000,-1508000,-14715000,-427000,-427000,-15142000,-15142000,-162000,-15304000,-15304000,-15304000,-15304000,119715000,50193000,69522000,13819000,13819000,2639000,2639000,136173000,6087000,71223000,14588000,56342000,293000,77310000,213483000,13698000,1078000,12620000,14948000,24957000,8475000,1347000,7128000,33432000,48380000,310900000,-145814000,17000,165103000,165103000,213483000,-15304000,1508000,2356000,-5743000,-17183000,-275000,12734000,-385000,12074000,53000,236000,-4873000,-4873000,-4873000,-13207000,26207000,-19063000,0.70459,-0.54727,-0.56918,-0.09269,-0.07169,1.24562,9.10978,0.29303,0.12276,-0.39664,-0.39664,0.69686,4.27902,-0.49406,-0.0766,-0.09542,7.08018,6.3546
"4","2016_Q3",17.53875,"Up",26488000,-6891000,19597000,-33296000,-24944000,-4829000,-1558000,-13699000,-407000,-407000,-14106000,-14869000,-10000,-14879000,-14879000,-14879000,-14879000,112479000,55781000,56698000,13209000,13209000,1661000,1661000,127349000,6100000,70441000,13794000,56342000,305000,76541000,203890000,11745000,506000,11239000,15995000,27137000,8798000,1357000,7441000,35935000,51930000,312628000,-160693000,25000,151960000,151960000,203890000,-14879000,1558000,2342000,-771999.999999999,-11751000,-503000,12827000,-273000,12051000,6000,5288000,5588000,5588000,5588000,-12141000,31387000,-13406000,0.73984,-0.51718,-0.56173,-0.09791,-0.07298,0.901,7.9618,0.34173,0.15394,-0.3843,-0.3843,0.68414,3.92487,-0.34625,-0.07744,-0.06977,6.67919,5.91956
"5","2016_Q4",16.9838095238095,"Down",32381000,-7112000,25269000,-39330000,-29006000,-5867000,-2607000,-14061000,-873000,-873000,-14934000,-29584000,-188000,-29772000,-29772000,-29772000,-29772000,74948000,44032000,30916000,12904000,12904000,3380000,3380000,91232000,7124000,214912000,26386000,188136000,390000,222036000,313268000,18299000,785000,17514000,20299000,42469000,8200000,1545000,6655000,50669000,70968000,432757000,-190465000,8000,242300000,242300000,313268000,-29772000,2607000,10576000,1182000,-15407000,-340000,25856000,-194000,-11691000,532000,15349000,-11749000,-11749000,-11749000,-11454000,44469000,-10424000,0.78037,-0.43424,-0.91943,-0.12287,-0.09504,0.35013,4.49441,0.29289,0.14195,-0.64845,-0.64845,0.70527,5.27738,-0.22704,-0.10093,-0.03534,2.66099,2.16763
"6","2017_Q1",20.8048387096774,"Up",37400000,-10025000,27375000,-40605000,-30624000,-5894000,-2597000,-13230000,-881000,-881000,-14111000,-14111000,-150000,-14261000,-14261000,-14261000,-14261000,65808000,50015000,15793000,13806000,13806000,3103000,3103000,82717000,7479000,213474000,24875000,188184000,415000,220953000,303670000,19073000,2236000,16837000,21073000,42424000,9303000,1694000,7609000,51727000,72800000,435597000,-204726000,-1000.00000000001,230870000,230870000,303670000,-14261000,2597000,3350000,780000,-7534000,-990000,15154000,-452000,13712000,-511000,-195000,5983000,5983000,5983000,-10633000,44424000,-10693000,0.73195,-0.35374,-0.38131,-0.06177,-0.04696,0.74981,3.92526,0.31533,0.14629,-0.30929,-0.30929,0.81112,5.00703,-0.23191,-0.05011,-0.03757,2.0111,1.61633
"7","2017_Q2",29.1388888888889,"Up",42898000,-12139000,30759000,-45561000,-35092000,-6512000,-2607000,-14802000,-702000,-702000,-15504000,-15504000,-150000,-15654000,-15654000,-15654000,-15654000,175953000,139948000,36005000,15309000,15309000,3564000,3564000,194826000,7441000,211686000,23078000,188184000,424000,219127000,413953000,18138000,1949000,16189000,18138000,42434000,9948000,1844000,8104000,52382000,70520000,563886000,-220449000,-4000,343433000,343433000,413953000,-15654000,2607000,3535000,-2995000,-12507000,-620000,-20217000,-152000,-20989000,306000,123429000,89933000,89933000,89933000,-12195000,42434000,-15660000,0.71703,-0.34505,-0.36491,-0.04558,-0.03782,1.00038,10.74132,0.20534,0.10251,-0.29993,-0.29993,0.82191,6.58006,-0.30004,-0.03955,-0.03956,10.94867,9.02034
"8","2017_Q3",32.7849206349206,"Up",44591000,-10026000,34565000,-46944000,-35475000,-7537000,-2668000,-12379000,-774000,-774000,-13153000,-15266000,-149000,-15415000,-15415000,-15415000,-15415000,440294000,409224000,31070000,14229000,14229000,2468000,2468000,456991000,7424000,209731000,21239000,188184000,308000,217155000,674146000,19687000,1150000,18537000,19687000,243835000,11248000,1994000,9254000,255083000,274770000,635241000,-235864000,-1000,399376000,399376000,674146000,-15415000,2668000,5218000,4615000,-2914000,-679000,4940000,-133000,4128000,-46000,268062000,269276000,269276000,269276000,-9711000,243835000,-5626000,0.77516,-0.27761,-0.3457,-0.0386,-0.02287,0.36497,23.21283,0.688,0.36169,-0.2824,-0.2824,0.8169,7.31647,-0.10307,-0.02355,-0.0086,20.23056,15.87034
"9","2017_Q4",33.2079365079365,"Up",68650000,-16742000,51908000,-64923000,-47659000,-9964000,-6418000,-13015000,-8202000,-8202000,-21217000,-31200000,-130000,-31330000,-31330000,-31330000,-31330000,172877000,83119000,89758000,26995000,26995000,7484000,7484000,207356000,9627000,663941000,164570000,498549000,822000,673568000,880924000,40843000,1852000,38991000,40843000,371331000,21971000,14416000,7555000,393302000,434145000,710067000,-267194000,3906000,446779000,446779000,880924000,-31330000,6418000,11162000,2005000,-11745000,-744000,-58573000,-1188000,-439860000,235000,125403000,-326202000,-326202000,-326105000,-6597000,371331000,-5206000,0.75613,-0.18958,-0.45637,-0.07012,-0.03556,0.16617,5.0769,0.97172,0.42152,-0.55425,-0.55425,1.21446,7.90379,-0.0921,-0.03729,-0.0062,-30.08246,-15.2481
"10","2018_Q1",37.7491803278688,"Up",77140000,-22716000,54424000,-76426000,-57202000,-10446000,-7402000,-22002000,-7813000,-7813000,-29815000,-45037000,654000,-44383000,-44383000,-44383000,-44383000,122306000,42817000,79489000,27094000,27094000,6839000,6839000,156239000,8963000,659189000,159811000,498520000,858000,668152000,824391000,40330000,3884000,36446000,40330000,207370000,17788000,12906000,4882000,225158000,265488000,866391000,-311577000,4089000,558903000,558903000,824391000,-44383000,7402000,32611000,-2905000,-7275000,-590000,10342000,-1409000,8342000,-569000,-41463000,-40396000,-40396000,-40302000,-14600000,207370000,-18749000,0.70552,-0.28522,-0.57536,-0.07941,-0.05384,0.42244,3.87401,0.47502,0.25154,-0.75993,-0.75993,1.3208,9.56963,-0.32102,-0.05661,-0.02391,-5.82630000000001,-3.86619
