"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.9701587301587,"Up",288219000,-176685000,111534000,-74280000,-72891000,-4219000,2830000,37254000,937000,1270000,38191000,37460000,-7217000,30243000,30243000,28174000,28174000,419030230.564886,346689930.195142,320429145.688366,320429145.688366,23018310.0171947,-25565407.9278722,762477686.270447,218092105.731203,814834198.566025,52682788.1122801,605136461.875901,63805365.5194466,91988357.6455258,1032926304.29723,1795403990.56768,-76425488.2726652,-1577529.1148246,-74847959.1578406,96491316.8963144,396324719.603484,398131023.29374,416390548.227133,13832403.5135462,124539451.306664,12894738.0576083,111644713.249056,138371854.82021,554762403.047343,1077796716.89721,318377536.630026,-156638471.572781,1239535781.95445,1240641587.52033,1795403990.56768,30243000,18290000,-894000,-67700000,-20061000,-24912000,73413000,-10772000,6436000,6436000,-1743000,-6079000,47273000,47273000,4900000,52173000,55544000,0,-29851000,0.38698,0.12926,0.09775,0.014920080120984,0.0108347472799036,-1.05952,1.63966470185621,0.444255405726355,0.0577179810625048,0.12926,0.12579,1.32237,5.62549446845461,-0.13696,0.0126996414868692,0.066217036327957,0.625902512438541,2.02090937319728
"2","2010_Q3",12.720625,"Down",307627000,-191101000,116526000,-78231000,-75277000,-4065000,1111000,38295000,572000,844000,38867000,34012000,-4865000,29147000,29147000,27847000,27847000,351753000,308756000,288505000,288505000,182728000,137243000,822986000,203763000,730269000,40481000,553203000,38866000,95288000,934032000,1757018000,28845000,12070000,16775000,51934000,283779000,283564000,364558000,3104000,105574000,2550000,103024000,108678000,473236000,1087522000,334932000,-141029000,1281425000,1283782000,1757018000,29147000,18919000,6769000,-24812000,30023000,-11407000,-55265000,-12109000,5323000,5323000,-1745000,-8531000,-33773000,-33773000,1622000,-32151000,57214000,55038000,25860000,0.37879,0.12449,0.09052,0.02169,0.01585,0.92865,2.25749,0.36863,0.03132,0.12718,0.12379,1.40498,5.85245,0.11811,0.01928,0.0179,-5.18606,-7.74814
"3","2010_Q4",13.0753125,"Up",321571000,-204833000,116738000,-74308000,-71272000,-3875000,839000,42430000,1106000,1210000,43536000,49049000,-7490000,41559000,41559000,40131000,40131000,403857000,360869000,293318000,293318000,187683000,153018000,884858000,200139000,742290000,36702000,559388000,32625000,111273000,942429000,1827287000,40346000,14788000,25558000,39413000,270993000,270731000,350752000,2746000,93510000,1232000,92278000,96256000,447008000,1098913000,375063000,-96288000,1377688000,1380279000,1827287000,41559000,18319000,2527000,5597000,68002000,-10455000,-10480000,-13270000,6713000,6713000,-1212000,-7769000,49753000,49753000,2360000,52113000,60749000,42159000,63381000,0.36302,0.13195,0.1248,0.02907,0.02196,1.57935,2.52275,0.32385,0.02307,0.18272,0.17849,1.46415,6.27276,0.28858,0.02647,0.04181,-5.95397,-8.52458
"4","2011_Q1",12.0414516129032,"Down",341546000,-215903000,125643000,-65758000,-62662000,-3800000,704000,59885000,1618000,1922000,61503000,62713000,-14631000,48082000,48082000,46029000,46029000,481019000,404034000,305925000,305925000,148836000,126848000,935780000,197166000,760515000,33296000,570153000,35099000,120003000,957681000,1893461000,20270000,12206000,8064000,26840000,275438000,274949000,322548000,2489000,87182000,2953000,84229000,89671000,412219000,1107818000,421092000,-50238000,1478672000,1481242000,1893461000,48082000,18628000,3438000,14986000,85134000,-7158000,-41088000,-13875000,6354000,6354000,-2365000,-9886000,34160000,34160000,9005000,43165000,78513000,29329000,100972000,0.36787,0.17534,0.13477,0.03107,0.02431,2.19366,2.90121,0.27829,0.01549,0.20856,0.20403,1.54756,6.69993,0.45751,0.02881,0.0632,-5.75306,-7.54262
"5","2011_Q2",13.2590476190476,"Up",330553000,-214487000,116066000,-69562000,-67441000,-3077000,956000,46504000,2964000,3097000,49468000,51035000,-13122000,37913000,37913000,36119000,36119000,481250000,351766000,308014000,308014000,170020000,155468000,959284000,187630000,758028000,30298000,578040000,37651000,109630000,945658000,1904942000,26426000,9908000,16518000,14310000,229895000,225963000,270631000,2088000,85125000,2234000,82891000,87213000,357844000,1111270000,457211000,-24344000,1544137000,1547098000,1904942000,37913000,17122000,2810000,-36749000,21096000,-5968000,-60032000,-13181000,779000,779000,-1497000,-13899000,-52835000,-52835000,567000,-52268000,63626000,16398000,34031000,0.35113,0.14069,0.10927,0.02335,0.01896,0.94219,3.54462,0.2313,0.00861,0.16343,0.16014,1.49566,6.98677,0.15398,0.02191,0.02064,-7.30601,-9.99596
"6","2011_Q3",13.520625,"Up",397623000,-254030000,143593000,-92529000,-86724000,-5140000,-665000,51064000,2893000,3027000,53957000,55087000,-14357000,40730000,40730000,39010000,39010000,336402000,336402000,388626000,388626000,210791000,186676000,935819000,193795000,1273759000,94258000,974991000,51474000,150073000,1467554000,2403373000,44876000,9807000,35069000,283037000,265238000,250990000,593151000,90437000,89687000,1796000,87891000,180124000,773275000,1122367000,496221000,8407000,1626995000,1630098000,2403373000,40730000,20183000,7199000,-7176000,60936000,-5659000,-435685000,358681000,5210000,5210000,-10014000,353877000,-20872000,-20872000,5508000,-15364000,71247000,373474000,72769000,0.36113,0.12842,0.09811,0.02393,0.01623,1.86539,1.57771,0.47437,0.1554,0.17628,0.1725,1.79678,7.35206,0.32883,0.01864,0.03476,0.52033,0.72599
"7","2011_Q4",12.7798412698413,"Down",429566000,-268313000,161253000,-104505000,-95868000,-5754000,-2883000,56748000,2125000,2147000,58873000,68609000,-18907000,49702000,49702000,48045000,48045000,409065000,409065000,395662000,395662000,194886000,171544000,999613000,180633000,1248220000,88793000,954185000,74227000,127615000,1428853000,2428466000,64415000,9785000,54630000,282987000,292556000,291694000,639958000,90602000,141867000,1650000,140217000,232469000,872427000,1136144000,544266000,-127566000,1552844000,1556039000,2428466000,49702000,21341000,10401000,13608000,95052000,-9949000,-10641000,-527000,4625000,4625000,-2284000,1814000,86225000,86225000,-13562000,72663000,78089000,373589000,100655000,0.37539,0.13211,0.11185,0.03088,0.01978,2.09502,1.562,0.56067,0.15384,0.21664,0.21186,1.93698,7.00201,0.45387,0.02319,0.04859,-0.4543,-0.62515
"8","2012_Q1",12.8653225806452,"Up",442694000,-268069000,174625000,-112697000,-107926000,-6003000,1232000,61928000,2407000,2445000,64335000,87001000,-24270000,62731000,62731000,61120000,61120000,408020000,408020000,402419000,402419000,174680000,127721000,985119000,180504000,1237764000,113288000,925339000,91880000,107037000,1418268000,2403387000,41069000,20951000,20118000,282779000,337980000,337945000,661828000,75631000,230245000,1905000,228340000,305876000,967704000,1148425000,605386000,-320753000,1433058000,1435683000,2403387000,62731000,19843000,-4949000,11903000,89528000,-13284000,-28750000,-15794000.0000001,2226000,2226000,-2125000,-15693000.0000001,45085000,45085000,-46130000,-1045000,81771000,358410000,104660000,0.39446,0.13989,0.13806,0.04257,0.02543,1.71237,1.48848,0.67404,0.14913,0.27508,0.2693,1.99239,6.44963,0.47103,0.03019,0.0517,-0.60669,-0.80109
"9","2012_Q2",13.2966666666667,"Up",435479000,-265465000,170014000,-109583000,-105005000,-5290000,712000,60431000,-137000,-124000,60294000,56623000,-16367000,40256000,40256000,38540000,38540000,405897000,405897000,446059000,446059000,193527000,146563000,1045483000,188545000,1242215000,81727000,940964000,77745000,138355000,1430760000,2476243000,43550000,19075000,24475000,281749000,284948000,284913000,610247000,75947000,218445000,1468000,216977000,294392000,904639000,1157622000,643926000,-233070000,1568478000,1571604000,2476243000,40256000,19464000,6898000,-61708000,4910000,-21742000,-27973000,-1610000,2347000,2347000,-1252000,-515000,-23578000,-23578000,21455000,-2123000,79895000,357696000,12812000,0.39041,0.13877,0.0885,0.02452,0.01556,0.33243,1.71321,0.57562,0.14445,0.17297,0.16943,1.95448,7.03952,0.0575,0.01794,0.00597,-0.6033,-0.79762
"10","2012_Q3",15.0204761904762,"Up",467631000,-285222000,182409000,-119242000,-114253000,-5790000,801000,63167000,-712000,-699000.000000001,62455000,84432000,-21633000,62799000,62799000,61100000,61100000,436310000,436310000,427766000,427766000,220641000,159934000,1084717000,180521000,1261845000,114292000,922160000,112271000,112766000,1442366000,2527083000,64692000,13848000,50844000,281588000,355297000,355103000,701577000,61228000,307484000,3251000,304233000,368712000,1070289000,1168047000,705026000,-419458000,1453615000,1456794000,2527083000,62799000,19799000,-15966000,60530000,127162000,-19577000,-56561000,-15552000,1441000,1441000,-2919000,-17030000,53571000,53571000,-23158000,30413000,82966000,342816000,145552000,0.39007,0.13508,0.13066,0.04194,0.02418,2.38219,1.54611,0.73469,0.13566,0.27377,0.26812,2.09529,6.51313,0.65217,0.029,0.06908,-1.1269,-1.48011
