"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.6349206349206,"Up",420123000,-378044000,42079000,-16360000,-16360000,25719000,-1122000,-1127000,5000,24597000,24597000,-8780000,15817000,15817000,15817000,15817000,1377924737.88341,1377924737.88341,743057296.581584,743057296.581584,1127416156.51693,-424198174.608116,-1800569.93193362,2824200016.37381,475002211.381711,70752174.0487558,70752174.0487558,545754385.430467,3369954401.80428,200827665.698778,-863723894.962259,88747247.1725892,108934098.311393,120616566.566261,-11682468.2548682,1798918698.65287,1887665945.82546,149351924.557667,1332936531.42115,1482288455.97882,1482288455.97882,3369954401.80428,15817000,10859000,2433000,-12957000,16152000,-23296000,-23296000,435000,435000,-385000,-7529000,-7529000,-7529000,36578000,0,9105000,0.10016,0.06122,0.03765,4.22871725205611,3.11497576903977,0.57565,34.2263478037457,2.25969472707744,1.7168187905232,0.73142,0.73119,19.42765,78.951776549731,0.42104,3.87910498694915,7.01101366567128,-505.105373145414,-173.368225570109
"2","2010_Q3",38.9884375,"Down",487101000,-412109000,74992000,-19277000,-19277000,55715000,-1148000,-1150000,2000,54567000,54567000,-19480000,35087000,35087000,35087000,35087000,698700368.941706,698700368.941706,393084148.290792,393084148.290792,551269078.258464,-176694587.304058,14165215.0340332,1466359008.1869,479197605.690855,32172587.0243779,32172587.0243779,511370192.715233,1977729200.90214,164186332.849389,-368089447.481129,118670123.586295,63141549.1556963,67082783.2831305,-3941234.12743411,833851849.326436,952521972.91273,148703962.278834,876503265.710574,1025207227.98941,1025207227.98941,1977729200.90214,35087000,10991000,1731000,9501000,57310000,-32341000,-32341000,115764000,115764000,71568000,96537000,96537000,96537000,66706000,3.72529029846191e-09,63346000,0.15396,0.11438,0.07203,1.95480862602805,1.44730788451989,1.8054,16.4305589018728,1.19400736353872,0.7858793952616,1.62252,1.622,22.5249,52.4126432748655,2.92929,1.80493749347458,3.26136683283564,-213.947701572707,-72.1978627850545
"3","2010_Q4",35.6271875,"Down",489096000,-409841000,79255000,-24899000,-24899000,54356000,-238000,-243000,5000,54118000,54118000,-18002000,36116000,36116000,36116000,36116000,284988456.313902,284988456.313902,188379382.763597,188379382.763597,253407692.752821,-37556529.1013526,21850405.0113444,689219002.728968,485923535.230285,11172529.008126,11172529.008126,497096064.238411,1186315066.96738,131675777.616463,-78707482.4937097,120535707.862098,37241183.0518988,36921594.4277102,319588.62418863,300449283.108812,420984990.97091,148887987.426278,616442088.570191,765330075.996469,765330075.996469,1186315066.96738,36116000,10921000,2542000,3407000,52986000,-43735000,-43735000,-37000,-37000,-3755000,5496000,5496000,5496000,65277000,0,42951000,0.16204,0.11114,0.07384,0.656949542009351,0.490659294839963,1.18925,6.87295630062428,0.572389121179573,0.274493131753867,1.6701,1.66956,22.61716,37.0930144249552,1.98617,0.614715831158192,1.08456894427855,-58.2691105242356,-19.1286309283515
"4","2011_Q1",36.7409677419355,"Up",529125000,-430555000,98570000,-24519000,-24519000,74051000,-78000.0000000001,-84999.9999999999,7000,73973000,73973000,-26173000,47800000,47800000,47800000,47800000,73419000,73419000,92467000,92467000,153289000,25793000,24033000,344968000,493727000,2925000,2925000,496652000,841620000,105754000,56317000,106802000,27030000,24930000,2100000,89105000,195907000,149658000,496055000,645713000,645713000,841620000,47800000,11659000,4964000,-12057000,52366000,-45457000,-45457000,-28459000,-86000.0000000149,-36188000,-29279000,-29279000,-29279000,85710000,63123000,54369000,0.18629,0.13995,0.09034,0.07403,0.0568,1.13743,3.22998,0.3034,0.075,2.2104,2.20969,24.46821,29.85956,2.51417,0.07494,0.07388,-0.12013,-0.13904
"5","2011_Q2",39.2820634920635,"Up",405432000,-436639000,-31207000,-20411000,-20411000,-51618000,-406000,-435000,29000,-52024000,-52024000,18468000,-33556000,-33556000,-33556000,-33556000,622000,622000,68871000,68871000,170370000,45931000,23491000,285794000,501155000,2603000,2603000,503758000,789552000,88879000,88879000,89927000,28305000,25905000,2400000,90213000,180140000,150768000,458644000,609412000,609412000,789552000,-33556000,11436000,15505000,-46766000,-53381000,-18914000,-18914000,322000,322000,-502000,-72797000,-72797000,-72797000,-40182000,62956000,-124330000,-0.07697,-0.12732,-0.08277,-0.05506,-0.0425,3.70515,3.17807,0.2956,0.07974,-1.51858,-1.51858,18.34783,27.57895,-5.62656,-0.04789,-0.17744,-1.55129,-1.2076
"6","2011_Q3",37.52421875,"Down",495642000,-501666000,-6024000,-16813000,-16813000,-22837000,-1014000,-1482000,468000,-23851000,-23851000,7575000,-16276000,-16276000,-16276000,-16276000,1171000,1171000,77376000,77376000,213844000,64246000,24282000,356637000,507661000,4970000,4970000,512631000,869268000,84985000,84985000,86033000,38150000,35850000,2300000,192591000,278624000,152150000,438494000,590644000,590644000,869268000,-16276000,12722000,708999.999999996,-66400000,-69245000,-18803000,-18803000,230999.999999996,231000,88597000,549000,549000,549000,-10115000,155489000,-102893000,-0.01215,-0.04608,-0.03284,-0.02756,-0.01872,6.32176,4.14535,0.47173,0.17887,-0.73537,-0.735369999999999,22.3938,26.68612,-4.64885,-0.01584,-0.13119,-15.25635,-6.75737
"7","2011_Q4",43.3585714285714,"Up",495169000,-562596000,-67427000,-17009000,-17009000,-84436000,-2011000,-2015000,4000,-86447000,-86447000,30764000,-55683000,-55683000,-55683000,-55683000,11696000,11696000,81506000,81506000,203168000,113315000,29184000,409685000,511792000,5199000,5199000,516991000,926676000,96530000,96530000,107578000,52362000,49562000,2800000,286633000,394211000,153558000,378907000,532465000,532465000,926676000,-55683000,13336000,26051000,-41948000,-58244000,-17327000,-17327000,195000,195000,86096000,10525000,10525000,10525000,-71100000,245319000,-161139000,-0.13617,-0.17052,-0.11245,-0.10458,-0.06009,2.89386,3.80826,0.74035,0.26473,-2.51481,-2.51481,22.36334,24.04774,-7.27753,-0.06241,-0.19411,-3.28584,-2.76686
"8","2012_Q1",44.2688709677419,"Up",572842000,-584347000,-11505000,-17984000,-17984000,-29489000,-2431000,-2440000,9000,-31920000,-31920000,10358000,-21562000,-21562000,-21562000,-21562000,11075000,11075000,94021000,94021000,211753000,121109000,26240000,437958000,505505000,5058000,5058000,510563000,948521000,102556000,35795000,113662000,54289000,50989000,3300000,327959000,441621000,153400000,353500000,506900000,506900000,948521000,-21562000,14167000,-6230000.00000001,-6759000,-20384000,-7740000,-7740000,197000,197000,27503000,-621000,-621000,-621000,-15322000,284776000,-40179000,-0.02008,-0.05148,-0.03764,-0.04254,-0.02273,1.86342,3.85316,0.87122,0.30023,-0.973539999999999,-0.97354,25.86428,22.88694,-1.81411,-0.01633,-0.04749,-17.86327,-9.28146
"9","2012_Q2",45.4971428571429,"Up",517826000,-509004000,8822000,-17903000,-17903000,-9081000,-3524000,-2960000,-564000,-12605000,-12605000,4616000,-7989000,-7989000,-7989000,-7989000,3851000,3851000,89165000,89165000,214692000,132851000,27095000,440559000,506809000,4496000,4496000,511305000,951864000,96910000,96910000,108016000,58767000,55467000,3300000,347263000,455279000,154977000,341608000,496585000,496585000,951864000,-7989000,14694000,125000,-12677000,-5847000,-15858000,-15858000,193000,193000,14481000,-7224000,-7224000,-7224000,5613000,299602000,-27538000,0.01704,-0.01754,-0.01543,-0.01609,-0.00839,3.44699,4.07865,0.91682,0.31475,-0.35906,-0.35906,23.27308,22.31843,-1.23766,-0.00933999999999999,-0.03221,52.69036,-32.56811
"10","2012_Q3",36.5507936507937,"Down",595046000,-535901000,59145000,-18165000,-18165000,40980000,-2423000,-2422000,-999.999999999884,38557000,38557000,-14692000,23865000,23865000,23865000,23865000,7693000,7693000,101852000,101852000,213142000,33092000,26819000,355779000,503728000,4409000,4409000,508137000,863916000,98268000,98268000,109374000,58986000,54786000,4200000,237102000,346476000,155872000,361568000,517440000,517440000,863916000,23865000,15067000,285000.000000002,91078000,130295000,-11846000,-11846000,208000,208000,-114607000,3842000,3842000,3842000,56047000,189222000,149971000,0.0994,0.06887,0.04011,0.04612,0.02762,6.28414,3.25287,0.6696,0.21903,1.07124,1.07095,26.71003,23.2265,6.7318,0.03627,0.19587,3.23887,4.4297
