"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_compensation","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",33.6104761904762,"Up",685314000,-274693000,410621000,-182423000,-48630000,-133793000,228198000,16191000,-121023000,0,137214000,244389000,3305000,247694000,-5580000,242114000,232544000,-17992000,214552000,-14267000,200285000,803940000,788940000,159805000,159805000,307849000,307849000,1271594000,15390245000,17987954000,-2597709000,1058228000,517497000,2699626000,681324695.873581,839476000,1860150000,19148099000,20419693000,8923997000,491464000,8432533000,771423000,671366000,100057000,9695420000,2658329000,2658329000,101817000,84028000,2760146000,12455566000,823549000,6884776000,7247000,6877529000,-1520690000,29953000,6217588000,1746539000,7964127000,20419693000,232544000,140250000,-167973000,83227000,288048000,-37598000,-37598000,-10003000,54943000,7342000,-132225000,135089000,-25323000,-25323000,-19470000,-41929000,253461000,253461000,253461000,368448000,2658329000,419657000,0.59917,0.33298,0.29225,0.02515,0.00981,2.0953,0.13115,1.56396,0.13018,0.89187,0.88262,3.05171,24.01968,1.86873,0.5888,0.03101,0.03913,0.66018,5.03297,8.12623
"2","2010_Q3",35.385625,"Up",683989000,-261845000,422144000,-182817000,-49540000,-133277000,239327000,-154851000,-138299000,0,-16552000,84476000,1380000,85856000,-4964000,80892000,77211000,-5105000,72106000,-14266000,57840000,652121000,652121000,157725000,157725000,139562000,139562000,949408000,15336105000,18019338000,-2683233000,937949000,495800000,2667415000,487253231.95786,833884000,1833531000,18941469000,19890877000,8859227000,458628000,8400599000,750714000,652449000,98265000,9609941000,2269619000,2269619000,101491000,83787000,2371110000,11981051000,823534000,6951672000,7262000,6944410000,-1581176000,37597000,6231627000,1678199000,7909826000,19890877000,77211000,139808000,12354000,14944000,244317000,-30901000,-30901000,84532999.9999999,146385000,200017000,-132587000,-431574000,100000.000000004,1e+05,-17092000,-581153000,-136819000,-136819000,-136819000,379135000,2269619000,368142000,0.61718,0.3499,0.08456,0.00731,0.00291,6.36483,0.09879,1.5147,0.1141,0.25688,0.25461,3.03769,24.0181,1.63497,0.58884,0.01852,0.03581,2.29231,4.26629,6.75853
"3","2010_Q4",36.77984375,"Up",668542000,-266389000,402153000,-181250000,-55061000,-126189000,220903000,-104319000,-98356000,-1410000,-4553000,116584000,3427000,120011000,-5449000,114562000,116132000,-11880000,104252000,-9060000,95192000,846254000,846254000,192895000,192895000,148246000,148246000,1187395000,15270970000,18043049000,-2772079000,562773000,62500000,3612990000,385337000,1410152000,1817501000,19446733000,20634128000,9500560000,507755000,8992805000,1005122000,632427000,372695000,10505682000,2117242000,2117242000,106207000,88559000,2223449000,12729131000,783527000,6817182000,7277000,6809905000,-1604889000,45272000,6041092000,1863905000,7904997000,20634128000,116132000,139580000,-43694000,-149662000,62356000,-18372000,-18372000,-181276000,43386000,-156262000,-132225000,437192000,-436000,-436000,-16492000,288039000,194133000,194133000,194133000,360483000,2117242000,197898000,0.60154,0.33043,0.14239,0.01204,0.00461,2.07894,0.11302,1.61026,0.10261,0.42175,0.41785,2.96201,23.29392,0.8768,0.58583,0.02245,0.01954,1.38903,3.52579,5.7536
"4","2011_Q1",38.1562903225806,"Up",520362000,-180497000,339865000,-159807000,-58168000,-101639000,180058000,31066000,53575000,1107000,-23616000,211124000,58651000,269775000,-6144000,263631000,282144000,-25171000,256973000,-13559000,243414000,690789000,690789000,157146000,157146000,200822000,200822000,1048757000,14672655000,17387701000,-2715046000,1112951000,144423000,3683108000,346157000,1375006000,1961945000,19468714000,20517471000,8693580000,438479000,8255101000,926344000,575836000,350508000,9619924000,2634341000,2634341000,104827000,91549000,2739168000,12359092000,783088000,6940045000,7317000,6932728000,-1480876000,73453000,6315710000,1842669000,8158379000,20517471000,282144000,136674000,-141843000,-100610000,176365000,-69904000,-69904000,196737000,-698291000,-571458000,-132931000,777033000,-1000,-999.999999999534,-404473000,239628000,-155465000,-155465000,-155465000,316732000,2634341000,152362000,0.65313,0.34602,0.46778,0.02984,0.01186,0.62594,0.10902,1.5149,0.1284,1.07336,1.06149,2.29459,24.39665,0.67186,0.58617,0.03453,0.01398,0.54611,6.13627,10.79403
"5","2011_Q2",41.0722222222222,"Up",726883000,-286362000,440521000,-188779000,-58946000,-129833000,251742000,112706000,-17602000,1080000,129228000,364448000,-49871000,314577000,-6382000,308195000,445821000,-33158000,412663000,-13448000,399215000,618361000,618361000,167621000,167621000,234273000,234273000,1020255000,14822437000,17664261000,-2841824000,1193144000,230657000,3456564000,333270000,1672483000,1450811000,19472145000,20492400000,9064363000,469443000,8594920000,668967000,578629000,90338000,9733330000,2036476000,2036476000,111230000,97951000,2147706000,11881036000,782933000,6943075000,7340000,6935735000,-1208993000,130614000,6647629000,1963735000,8611364000,20492400000,445821000,136860000,-435959000,49380000,196102000,-10994000,-10994000,112080000,-40665000,60421000,-140495000,-259794000,-570000,-570000,71908000,-328951000,-72428000,-72428000,-72428000,388602000,2036476000,433370000,0.60604,0.34633,0.54921,0.04636,0.01948,1.08556,0.10482,1.37969,0.09938,1.75407,1.68501,3.19378,25.76833,1.90414,0.61731,0.05016,0.04028,0.35193,3.64927,5.63321
"6","2011_Q3",38.373125,"Down",670554000,-242280000,428274000,-171062000,-49297000,-121765000,257212000,-103774000,-125597000,19058000,2765000,153438000,-31837000,121601000,-5207000,116394000,130969000,-22388000,108581000,-16668000,91913000,591515000,591515000,168624000,168624000,155320000,155320000,915459000,14767232000,17709161000,-2941929000,1203084000,255795000,3653089000,317257000,1719047000,1616785000,19623405000,20538864000,9011251000,436229000,8575022000,659966000,555709000,104257000,9671217000,1965026000,1965026000,113630000,100374000,2078656000,11749873000,997446000,6892570000,7347000,6885223000,-1244254000,114479000,6760241000,2028750000,8788991000,20538864000,130969000,137120000,-30229999.9999999,-173921000,63938000,-21495000,-21495000,-48934000,33265000,-37164000.0000001,-140721000,-92856000,214360000,-178000,-34403000.0000001,-53620000,-26846000,-26846000,-26846000,394332000,1965026000,204123000,0.63869,0.38358,0.13707,0.01046,0.00448,2.22083,0.09466,1.33689,0.09567,0.40323,0.38711,2.94177,25.28185,0.8955,0.61735,0.02141,0.01878,1.53102,3.48313,5.34
"7","2011_Q4",34.0911111111111,"Down",653391000,-244689000,408702000,-167898000,-46116000,-121782000,240804000,-146718000,-155907000,5353000,3836000,94086000,-34409000,59677000,-6959000,52718000,66223000,-12461000,53762000,-12627000,41135000,585183000,585183000,145854000,145854000,124984000,124984000,856021000,14476127000,17451202000,-2975075000,1049143000,261417000,3806937000,334878000,1703584000,1768475000,19332207000,20188228000,8931215000,469024000,8462191000,680528000,532221000,148307000,9611743000,1944359000,1944359000,108437000,94623000,2052796000,11664539000,1021855000,7119354000,7350000,7112004000,-1330405000,-59019000,6751785000,1771904000,8523689000,20188228000,66223000,141012000,-5260000,104656000,306631000,-20327000,-20327000,-18046000,13441000,-24932000,-143841000,-129793000,24500000,1000,-38897000,-288031000,-6332000,-6332000,-6332000,381816000,1944359000,473104000,0.62551,0.36855,0.06296,0.00483,0.00204,11.50125,0.08906,1.36848,0.09631,0.18033,0.19041,2.86443,25.11967,2.07406,0.63059,0.01749,0.04473,3.4968,3.55977,5.64432
"8","2012_Q1",37.2406451612903,"Up",651980000,-211376000,440604000,-197013000,-54171000,-142842000,243591000,-91090000,-71268000,-2605000,-17217000,152501000,-49872000,102629000,-5377000,97252000,96987000,-9691000,87296000,-17788000,69508000,606553000,606553000,171798000,171798000,98068000,98068000,876419000,13809383000,16703757000,-2894374000,1221919000,346650000,4538766000,287844000,1740459000,2510463000,19570068000,20446487000,8496392000,423512000,8072880000,1168472000,515816000,652656000,9664864000,2003727000,2003727000,108772000,95457000,2112499000,11777363000,1021660000,7134631000,7373000,7127258000,-1401704000,73729000,6828316000,1840808000,8669124000,20446487000,96987000,165998000,-12497000,-114660000,135828000,-40250000,-40250000,-91034000,-31802000,-163086000,-145152000,155013000,-412000,-216999.999999998,39179000,48628000.0000001,21370000,21370000,21370000,409589000,2003727000,260056000,0.67579,0.37362,0.10661,0.00802,0.0034,3.74138,0.09068,1.35854,0.098,0.30444,0.30215,2.85561,25.43259,1.13902,0.63575,0.01991,0.02412,2.08828,3.41116,5.73574
"9","2012_Q2",37.9311111111111,"Up",669241000,-246746000,422495000,-186831000,-55290000,-131541000,235664000,33499000,-114394000,11762000,136131000,269163000,-53446000,215717000,-6825000,208892000,280264000,-28742000,251522000,-17787000,233735000,614359000,614359000,191184000,191184000,117423000,117423000,922966000,14471766000,17645281000,-3173515000,1810027000,922374000,3064970000,304385000,1285104000,1475481000,19346763000,20269729000,8888516000,453578000,8434938000,639926000,500266000,139660000,9528442000,1867661000,1867661000,113190000,99810000,1980851000,11509293000,1021555000,7065608000,7396000,7058212000,-1312670000,67174000,6841667000,1918769000,8760436000,20269729000,280264000,145304000,-212424000,93959000,307103000,-20614000,-20614000,240916000,-48207000,172095000,-145762000,-259679000,-30034000,-30034000,-35917000,-471392000,7806000,7806000,7806000,380968000,1867661000,461138000,0.6313,0.35214,0.34925,0.02668,0.01153,1.97291,0.09686,1.31378,0.09214,1.01933,0.98472,2.91859,25.38179,2.01104,0.63568,0.03533,0.04293,0.62362,3.28978,5.31817
"10","2012_Q3",38.1492063492064,"Up",677069000,-242716000,434353000,-175058000,-46832000,-128226000,259295000,-159818000,-173492000,20301000,-6627000,99477000,-51638000,47839000,-7479000,40360000,58228000,-19931000,38297000,-17787000,20510000,471363000,471363000,180769000,180769000,112726000,112726000,764858000,14091482000,17162450000,-3070968000,1632756000,1033788000,3514669000,266386000,1285147000,1963136000,19238907000,20003765000,8791538000,431346000,8360192000,727202000,481302000,245900000,9518740000,1857835000,1857835000,116740000,101163000,1974575000,11493315000,1021555000,7067274000,7402000,7059872000,-1420304000,-162785000,6505740000,2004710000,8510450000,20003765000,58228000,140313000,-23092000.0000001,-218688000,-43239000,-37455000,-37455000,72057000,-35803000,-1200999.99999994,-145933000,-22541000.0000001,1.49011611938477e-08,0,69918000,-98556000,-142996000,-142996000,-142996000,399608000,1857835000,150944000,0.64152,0.38297,0.0302899999999999,0.00240999999999999,0.00103,7.35953,0.08035,1.35049,0.09287,0.0892999999999997,0.0917799999999999,2.94793,23.87789,0.6572,0.63539,0.01587,0.0144,7.11521,3.46958,5.34708
