"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"17","2019_Q4",14.59296875,"Up",1.389e+09,-1.095e+09,2.94e+08,-1.85e+08,-1.31e+08,-5.4e+07,1.09e+08,-1.8e+07,-5.3e+07,9e+06,2.6e+07,9.1e+07,9.1e+07,-1.5e+07,7.6e+07,7.6e+07,7.6e+07,7.6e+07,6.94e+08,6.94e+08,8.32e+08,1.223e+09,7.8e+07,7.8e+07,2.827e+09,3.52e+09,9.274e+09,-5.754e+09,9.25e+08,7.49e+08,4.629e+09,7.456e+09,1.494e+09,9.48e+08,5.46e+08,1.49e+08,1.643e+09,4.007e+09,9.63e+08,2.08e+08,7.55e+08,4.97e+09,6.613e+09,8.59e+08,1.606e+09,-5.56e+08,8.37e+08,6e+06,8.43e+08,7.456e+09,7.6e+07,7.8e+07,-2e+07,1.54e+08,2.88e+08,-1.22e+08,1e+06,-1.31e+08,-4.1e+07,-3.6e+07,0,-7.7e+07,8e+07,8e+07,-1.6e+07,6.4e+07,1.87e+08,4.156e+09,2.34e+08,0.21166,0.07847,0.05472,0.09015,0.01019,3.07895,1.72063,7.8446,0.5574,0.46399,0.46026,8.47997,5.10996,1.42859,0.25031,0.01962,0.03925,0.53947,18.51337,31.76147
"18","2020_Q1",12.8182258064516,"Down",1.353e+09,-1.203e+09,1.5e+08,-9.5e+07,-1.25e+08,3e+07,5.5e+07,-4.22e+08,-5.2e+07,4e+06,-3.74e+08,-3.67e+08,-4.54e+08,1.37e+08,-3.17e+08,-3.17e+08,-3.17e+08,-3.17e+08,9.43e+08,9.43e+08,6.74e+08,1.079e+09,8.1e+07,8.1e+07,2.777e+09,3.559e+09,9.413e+09,-5.854e+09,7.6e+08,5.86e+08,4.481e+09,7.258e+09,1.407e+09,9.23e+08,4.84e+08,1.34e+08,1.541e+09,4.026e+09,9.96e+08,1.18e+08,8.78e+08,5.022e+09,6.563e+09,8.61e+08,1.249e+09,-3.49e+08,6.89e+08,6e+06,6.95e+08,7.258e+09,-3.17e+08,7.9e+07,2.83e+08,3.55e+08,4e+08,-1.03e+08,-2e+06,-9.6e+07,-4e+07,-2e+07,-9.31322574615479e-10,-5.9e+07,2.45e+08,2.45e+08,4e+06,2.49e+08,1.34e+08,4.16e+09,2.49e+08,0.11086,0.04065,-0.23429,-0.45612,-0.04368,-0.78549,1.80208,9.44317,0.57316,-1.93878,-2.04302,8.27497,4.21394,1.52289,0.24464,-0.04734,0.04256,-0.12618,24.00746,58.49091
"19","2020_Q2",11.5098412698413,"Down",1.305e+09,-1.007e+09,2.98e+08,-1.49e+08,-1.25e+08,-2.4e+07,1.49e+08,-6.1e+07,-5.4e+07,8e+06,-1.5e+07,8.8e+07,7.7e+07,2.3e+07,1e+08,1e+08,1e+08,1e+08,7.14e+08,7.14e+08,6.81e+08,1.114e+09,8.2e+07,8.2e+07,2.591e+09,3.444e+09,9.214e+09,-5.77e+09,7.46e+08,5.74e+08,4.357e+09,6.948e+09,1.321e+09,8.41e+08,4.8e+08,2.2e+07,1.343e+09,4.012e+09,9.32e+08,8.8e+07,8.44e+08,4.944e+09,6.287e+09,8.72e+08,1.308e+09,-4.53e+08,6.55e+08,6e+06,6.61e+08,6.948e+09,1e+08,7.9e+07,-3.8e+07,-9.7e+07,4.4e+07,-1.06e+08,-6e+06,-1.12e+08,-4.1e+07,-1.17e+08,-2e+06,-1.55e+08,-2.23e+08,-2.23e+08,-6e+06,-2.29e+08,2.28e+08,4.034e+09,2e+06,0.22835,0.11418,0.07663,0.15129,0.01439,0.02,1.92926,9.51135,0.5806,0.60884,0.60511,7.94533,3.98789,0.01218,0.24962,0.02506,0.00036,0.41,14.5614,22.28188
"20","2020_Q3",17.83390625,"Up",1.093e+09,-8.94e+08,1.99e+08,-1.3e+08,-1.1e+08,-2e+07,6.9e+07,-3.3e+07,-5.3e+07,6e+06,13999999.9999999,3.6e+07,1.9e+07,5e+06,23999999.9999999,23999999.9999999,23999999.9999999,23999999.9999999,1.031e+09,1.031e+09,5.4e+08,1.074e+09,7.2e+07,7.2e+07,2.717e+09,3.423e+09,9.296e+09,-5.873e+09,7.19e+08,5.48e+08,4.317e+09,7.034e+09,1.137e+09,6.51e+08,4.86e+08,1.9e+07,1.156e+09,4.327e+09,8.92e+08,5.8e+07,8.34e+08,5.219e+09,6.375e+09,8.74e+08,1.29e+09,-4.35e+08,6.57e+08,2e+06,6.59e+08,7.034e+09,23999999.9999999,8.1e+07,-2.6e+07,32000000.0000001,1.11e+08,-6.1e+07,1e+07,-5.1e+07,-4.1e+07,2.92e+08,-4e+06,2.47e+08,3.07e+08,3.07e+08,1e+07,3.17e+08,1.5e+08,4.346e+09,1.16e+08,0.18207,0.06313,0.0219600000000001,0.03642,0.00340999999999999,4.83333,2.35035,9.67375,0.61786,0.14576,0.14509,6.63836,3.99031,0.70453,0.24901,0.01102,0.01967,1.70833,22.1,48.04348
"21","2020_Q4",22.2421875,"Up",1.233e+09,-9.76e+08,2.57e+08,-1.35e+08,-1.12e+08,-2.3e+07,1.22e+08,-5.3e+07,-5.3e+07,5e+06,-5e+06,6.9e+07,6e+07,1.6e+07,7.6e+07,7.6e+07,7.6e+07,7.6e+07,9.56e+08,9.56e+08,5.72e+08,9.93e+08,8.4e+07,8.4e+07,2.605e+09,3.418e+09,9.391e+09,-5.973e+09,7.43e+08,5.74e+08,4.343e+09,6.948e+09,1.276e+09,7.01e+08,5.75e+08,3.2e+07,1.308e+09,4.063e+09,8.43e+08,3.4e+07,8.09e+08,4.906e+09,6.214e+09,8.81e+08,1.325e+09,-4.02e+08,7.32e+08,2e+06,7.34e+08,6.948e+09,7.6e+07,8e+07,-3e+07,1.73e+08,2.99e+08,-4.7e+07,1e+07,-3.7e+07,-4.1e+07,-3.07e+08,-1e+07,-3.54e+08,-9.2e+07,-9.2e+07,1.7e+07,-7.5e+07,2.02e+08,4.095e+09,3.12e+08,0.20843,0.09895,0.06164,0.10354,0.01094,4.10526,1.99159,8.46594,0.58938,0.46124,0.45612,7.48307,4.4425,1.89353,0.24883,0.02063,0.05501,0.53947,15.5396,25.72951
"22","2021_Q1",25.1040983606557,"Up",1.338e+09,-1.025e+09,3.13e+08,-2.06e+08,-1.8e+08,-2.6e+07,1.07e+08,-1.9e+07,-5e+07,4e+06,2.7e+07,8.8e+07,2.3e+07,-4e+06,1.9e+07,1.9e+07,1.9e+07,1.9e+07,1.105e+09,1.105e+09,5.11e+08,9.39e+08,7.8e+07,7.8e+07,2.633e+09,3.474e+09,9.582e+09,-6.108e+09,9.75e+08,6.41e+08,4.449e+09,7.082e+09,1.326e+09,8.44e+08,4.82e+08,2.1e+07,1.442e+09,4.005e+09,8.2e+08,3.6e+07,7.84e+08,4.825e+09,6.267e+09,8.92e+08,1.303e+09,-3.1e+08,8.13e+08,2e+06,8.15e+08,7.082e+09,1.9e+07,8e+07,6e+06,2.48e+08,3.53e+08,-5.3e+07,2.6e+07,-2.2e+07,-4.1e+07,-1.55e+08,-1e+07,-1.99e+08,1.32e+08,1.32e+08,1.7e+07,1.49e+08,1.87e+08,4.026e+09,3.86e+08,0.23393,0.07997,0.0142,0.02331,0.00268,20.31579,1.82594,7.68957,0.56848,0.11511,0.11303,8.1062,4.92551,2.33856,0.2484,0.0106,0.06819,2.15789,15.62032,27.29907
"23","2021_Q2",31.568253968254,"Up",1.436e+09,-1.139e+09,2.97e+08,-1.63e+08,-1.39e+08,-2.4e+07,1.34e+08,-3.8e+07,-4.9e+07,1e+07,1e+06,9.6e+07,1.01e+08,-5e+06,9.6e+07,9.6e+07,9.6e+07,9.6e+07,1.008e+09,1.008e+09,7.23e+08,9.88e+08,6.7e+07,6.7e+07,2.786e+09,3.432e+09,9.553e+09,-6.121e+09,7.83e+08,6.2e+08,4.384e+09,7.17e+09,1.478e+09,9.76e+08,5.02e+08,2.3e+07,1.501e+09,3.97e+09,8.47e+08,5.1e+07,7.96e+08,4.817e+09,6.318e+09,9.09e+08,1.357e+09,-3.44e+08,8.5e+08,2e+06,8.52e+08,7.17e+09,9.6e+07,8.3e+07,2.3e+07,-1.63e+08,3.9e+07,-6e+07,-1.7e+07,-7.7e+07,-4.1e+07,-5e+06,-2e+06,-4.2e+07,-8e+07,-8e+07,-1.7e+07,-9.7e+07,2.17e+08,3.993e+09,-1e+06,0.20682,0.09331,0.06685,0.11268,0.01339,-0.01042,1.8561,7.41549,0.5569,0.57953,0.56788,8.66873,5.13121,-0.00604,0.24751,0.02407,-0.00018,0.42708,13.75576,22.27612
"24","2021_Q3",31.07625,"Down",1.655e+09,-1.391e+09,2.64e+08,-1.98e+08,-1.71e+08,-2.7e+07,6.6e+07,-1.8e+07,-4.8e+07,1e+07,2e+07,4.8e+07,4.3e+07,2.2e+07,6.5e+07,6.5e+07,6.5e+07,6.5e+07,1.139e+09,1.139e+09,8.02e+08,1.046e+09,6e+07,6e+07,3.047e+09,3.448e+09,9.668e+09,-6.22e+09,8.06e+08,6.44e+08,4.432e+09,7.479e+09,1.495e+09,1.061e+09,4.34e+08,2.5e+07,1.674e+09,3.964e+09,9.41e+08,5.5e+07,8.86e+08,4.905e+09,6.579e+09,9.22e+08,1.381e+09,-3.18e+08,8.98e+08,2e+06,9e+08,7.479e+09,6.5e+07,8e+07,-4e+07,1.51e+08,2.56e+08,-6.7e+07,9999999.99999999,-5.7e+07,-4.1e+07,-2.7e+07,0,-7.6e+07,1.23e+08,1.23e+08,8e+06,1.31e+08,1.46e+08,3.989e+09,2.08e+08,0.15952,0.03988,0.03927,0.07222,0.00869,3.2,1.82019,7.31,0.53336,0.39239,0.3845,9.99078,5.42098,1.25564,0.24751,0.01818,0.03568,0.63077,19.52055,43.18182
"25","2021_Q4",30.1321875,"Down",1.68e+09,-1.253e+09,4.27e+08,-1.51e+08,-1.24e+08,-2.7e+07,2.76e+08,-2.2e+07,-4.5e+07,1.2e+07,1.1e+07,2.54e+08,2.31e+08,-1.7e+07,2.14e+08,2.14e+08,2.14e+08,2.14e+08,1.031e+09,1.031e+09,8.31e+08,1.016e+09,4.93e+08,8.1e+07,3.371e+09,3.127e+09,9.207e+09,-6.08e+09,1.032e+09,7.32e+08,4.159e+09,7.53e+09,1.585e+09,1.085e+09,5e+08,2.5e+07,1.779e+09,3.829e+09,9.23e+08,5.7e+07,8.66e+08,4.752e+09,6.531e+09,9.28e+08,1.554e+09,-3.32e+08,9.98e+08,1e+06,9.99e+08,7.53e+09,2.14e+08,7.9e+07,-7e+06,2.5e+07,3.11e+08,-6.7e+07,-1e+06,-6.8e+07,-4.1e+07,-1.28e+08,-9e+06,-2.41e+08,2e+06,2e+06,-1e+07,-8e+06,3.55e+08,3.854e+09,3.3e+08,0.25417,0.16429,0.12738,0.21421,0.02842,1.54206,1.89488,6.53754,0.51182,1.29205,1.2635,10.14322,6.02556,1.99242,0.24754,0.04415,0.05713,0.19159,7.95211,10.22826
"26","2022_Q1",30.466935483871,"Up",1.574e+09,-1.181e+09,3.93e+08,-1.87e+08,-1.58e+08,-2.9e+07,2.06e+08,9.9e+07,-4.3e+07,1.1e+07,1.31e+08,3.05e+08,3.01e+08,-6.8e+07,2.33e+08,2.33e+08,2.33e+08,2.33e+08,1.451e+09,1.451e+09,7.2e+08,1.099e+09,7.5e+07,7.5e+07,3.345e+09,3.154e+09,9.232e+09,-6.078e+09,1.051e+09,7.74e+08,4.205e+09,7.55e+09,1.66e+09,1.162e+09,4.98e+08,2.5e+07,1.858e+09,3.724e+09,8.86e+08,4.9e+07,8.37e+08,4.61e+09,6.468e+09,9.46e+08,1.746e+09,-3.64e+08,1.081e+09,1e+06,1.082e+09,7.55e+09,2.33e+08,7.5e+07,-1.08e+08,1.4e+07,2.14e+08,-8.3e+07,-3e+06,4.22e+08,-4.1e+07,-7.2e+07,-3e+06,-2.01e+08,4.35e+08,4.35e+08,-1.5e+07,4.2e+08,2.81e+08,3.749e+09,2.8e+08,0.24968,0.13088,0.14803,0.21534,0.03086,1.20172,1.80032,5.97782,0.49656,1.42448,1.38933,9.62288,6.60885,1.71182,0.25066,0.04793,0.04898,0.17597,8.17794,11.15534
"27","2022_Q2",36.1583870967742,"Up",1.764e+09,-1.278e+09,4.86e+08,-1.71e+08,-1.41e+08,-3e+07,3.15e+08,-2.4e+07,-4.1e+07,1.1e+07,6e+06,2.91e+08,2.8e+08,-4.6e+07,2.34e+08,2.34e+08,2.34e+08,2.34e+08,1.145e+09,1.145e+09,1.014e+09,1.166e+09,6.8e+07,6.8e+07,3.393e+09,3.131e+09,9.254e+09,-6.123e+09,1e+09,7.23e+08,4.131e+09,7.524e+09,1.569e+09,1.168e+09,4.01e+08,2.4e+07,1.775e+09,3.692e+09,8.9e+08,5.2e+07,8.38e+08,4.582e+09,6.357e+09,9.58e+08,1.94e+09,-3.39e+08,1.166e+09,1e+06,1.167e+09,7.524e+09,2.34e+08,7.4e+07,3.1e+07,-3.37e+08,2e+06,-1.05e+08,-5e+06,-1.1e+08,-4e+07,-7e+06,-4e+06,-1.89e+08,-2.97e+08,-2.97e+08,-9e+06,-3.06e+08,3.89e+08,3.716e+09,-7e+06,0.27551,0.17857,0.13265,0.20051,0.0311,-0.02991,1.91155,5.4473,0.49389,1.41721,1.38499,10.68359,7.06183,-0.0424,0.24226,0.04746,-0.00121,0.17094,6.60925,8.1619
"28","2022_Q3",32.64140625,"Down",1.915e+09,-1.419e+09,4.96e+08,-2.79e+08,-2.54e+08,-2.5e+07,2.17e+08,1.4e+07,-4.1e+07,1.7e+07,3.8e+07,2.31e+08,2.3e+08,-3e+07,2e+08,2e+08,2e+08,2e+08,1.248e+09,1.248e+09,1.066e+09,1.219e+09,7.3e+07,7.3e+07,3.606e+09,3.111e+09,9.264e+09,-6.153e+09,1.013e+09,7.21e+08,4.124e+09,7.73e+09,1.623e+09,1.249e+09,3.74e+08,2.4e+07,1.886e+09,3.656e+09,9.73e+08,5.4e+07,9.19e+08,4.629e+09,6.515e+09,1.007e+09,2.102e+09,-3.78e+08,1.214e+09,1e+06,1.215e+09,7.73e+09,2e+08,7.2e+07,-7.5e+07,9.4e+07,2.91e+08,-3e+07,-5e+06,-3.5e+07,-3.8e+07,-7e+06,0,-1.31e+08,1.25e+08,1.25e+08,-2.2e+07,1.03e+08,2.89e+08,3.68e+09,3.83e+08,0.25901,0.11332,0.10444,0.16461,0.02587,1.915,1.91198,5.36214,0.47607,1.2508,1.22265,11.97641,7.59236,2.39528,0.23765,0.04056,0.06527,0.19,8.41522,11.20737
