"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q4",16.6,"Up",46090000,-23505000,22585000,-17859000,-6172000,-11687000,4726000,-9611000,-8702000,-909000,-4885000,-9379000,-14264000,-12110000,-4460000,-696000,-5156000,-8382000,18005937.6433413,18005937.6433413,117416612.310422,166834423.683375,166834423.683375,302256973.637138,906852475.952786,906852475.952786,156621332.294098,193180419.787198,-36471244.3629596,1063473808.24688,1365730781.88402,11007196.7817395,11007196.7817395,267432787.271916,10966552.8535764,26965039.0004612,289406536.907232,289406536.907232,788519740.607071,-86840000.0123802,126344776.493968,997638575.584546,1076325280.4311,1365731817.33833,-4460000,6597000,10030000,12167000,56838000,52118000,-6286000,-66289000,364000,-72211000,-7926000,-7926000,-7926000,0,0.49002,0.10254,-0.18186,0.362807348943464,0.188200425955151,0.636051746523548,0.0374277895706753,0.18155845729595,-0.33052,-0.33052,1.81743,33.1544298125355,0.24787,0.199942168106845,-0.74994,22.8099295660882
"2","2011_Q1",18.3196774193548,"Up",-11668000,10466000,-1202000,-5159000,-7565000,2406000,-6361000,-7989000,-8411000,422000,-14350000,-2637000,-16987000,-15015000,-4969000,-734000,-5703000,-8930000,7599000,7599000,48395000,81918000,81918000,137912000,1021998000,1021998000,211372000,167108000,44264000,1233370000,1371282000,32388000,32388000,509509000,22245000,22245000,564142000,564142000,791513000,-86840000,-114196000,760080000,807141000,1371283000,-4969000,19295000,4029000,18355000,10105000,-7780000,-6312000,-4852999.99999997,-1022000,-12187000,-1612000,-1612000,-1612000,509509000,0.10302,0.54517,0.76534,-0.01106,-0.00651,0.24446,0.69894,0.37156,-0.35213,-0.35213,-0.46009,23.28379,0.2489,-0.00199,-0.70683,-78.90426
"3","2011_Q2",18.7320634920635,"Up",45487000,-21060000,24427000,-19513000,-7400000,-12113000,4914000,-8406000,-7544000,-862000,-3492000,-3550000,-7042000,-4482000,-4049000,-581000,-4630000,-7857000,4046937.45221957,4046937.45221957,35788462.5631926,65298358.7722084,65298358.7722084,105133758.787621,1032723674.6824,1032723674.6824,223632722.568634,167933276.737601,55670164.7876532,1256356397.25104,1361490156.03866,38533767.7394202,38533767.7394202,553046987.576028,24163815.7154745,21058486.9998463,615744571.030923,615744571.030923,792640253.130976,-86839999.9958733,-168305842.164656,707093724.805151,745746573.189632,1361491144.22056,-4049000,17372000,-4140000,9183000,15567000,14728000,-7880000,-12686000,-5847000,-26413000,-2502000,-2502000,-2502000,0,0.53701,0.10803,-0.17273,-0.0813916163144879,-0.043006808651717,0.167476917825484,0.832474903476442,0.40879468090135,-0.30361,-0.30361,1.7577,20.8743617291548,0.3045,-0.0392273893689483,-1.00293,-37.7718931886961
"4","2011_Q3",16.43484375,"Down",37683000,-15112000,22571000,-15897000,-6133000,-9764000,6674000,-10509000,-7358000,-3151000,-3835000,-17999.9999999991,-3853000,-1568000,-798000,-681000,-1479000,-4706000,4349000,4349000,50405000,79007000,79007000,133761000,988712000,988712000,214659000,179149000,35510000,1203371000,1337132000,35710000,35710000,498034000,21517000,21517000,555261000,555261000,792861000,-86840000,-136075000,739549000,781872000,1337133000,-798000,13316000,5385000,17903000,-5649000,-14651000,-7890000,4585000,-695000,-4e+06,-748000,-748000,-748000,498034000,0.59897,0.17711,-0.12488,-0.00602000000000001,-0.00351999999999998,0.2409,0.71017,0.37246,-0.18159,-0.1816,1.45409,21.99269,0.30445,0.00249000000000004,-1.67658,73.97138
"5","2011_Q4",13.5944444444444,"Down",12925000,-2538000,10387000,-7980000,-4295000,-3685000,2407000,-7348000,-6601000,-747000,-4941000,-30000,-4971000,-2131000,5606000,-2192000,3414000,188000,5634000,5634000,50610000,70087000,70087000,126331000,950182000,950182000,217863000,181947000,35916000,1168045000,1294376000,30732000,30732000,462134000,20805000,20805000,513671000,513671000,793392000,-86840000,-140553000,735602000,780706000,1294377000,5606000,10563000,-4774000,11395000,37545000,33501000,-7892000,-36342000,623000,-43611000,1285000,1285000,1285000,462134000,0.80364,0.18623,0.01455,0.00024,0.00015,0.24594,0.65796,0.35703,0.00725,0.00725,0.49848,21.82901,0.30437,0.0065,41.97872,189.65517
"6","2012_Q1",16.4587096774194,"Up",22030000,-8315000,13715000,-11442000,-6338000,-5104000,2273000,-9700000,-5174000,-4526000,-7427000,-90391000,-97818000,-123616000,-124226000,-1504000,-125730000,-128957000,4858000,4858000,11359000,5566000,5566000,21783000,963304000,963304000,250448000,160587000,89861000,1213752000,1235535000,29682000,29682000,539442000,26253000,17343000,595377000,595377000,795107000,-86840000,-274177000,603693000,640159000,1235536000,-124226000,109180000,32146000,17100000,-68984000,-78440000,-7894000,77308000,-8850000,60564000,-776000,-776000,-776000,539442000,0.62256,0.10318,-5.8537,-0.20145,-0.10437,0.03659,0.93005,0.43661,-4.97361,-4.97351,0.84965,16.74197,0.30446,-0.10263,-0.0612099999999955,235.18874
"7","2012_Q2",16.8652380952381,"Up",34652000,-14164000,20488000,-17140000,-6625000,-10515000,3348000,-6948000,-6268000,-680000,-3600000,-250000,-3850000,-1691000,-11354000,1469000,-9885000,-13112000,4002000,4002000,48864000,25159000,25159000,78025000,923319000,923319000,198290000,141180000,57110000,1121609000,1199634000,30936000,30936000,529168000,19184000,19184000,579288000,579288000,795519000,-86840000,-291976000,586306000,620347000,1199635000,-11354000,26440000,-4864000,10222000,15902000,11419000,-7914000,-13627000,-956000,-22497000,-856000,-856000,-856000,529168000,0.59125,0.09662,-0.37839,-0.02114,-0.01093,0.13469,0.93381,0.44111,-0.50431,-0.50431,1.33277,16.02704,0.30438,-0.00452,-0.60357,156.85962
"8","2012_Q3",17.9611111111111,"Up",31221000,-13918000,17303000,-14923000,-5642000,-9281000,2380000,-6441000,-5875000,-566000,-4061000,-50000,-4111000,5618000,10230000,-601999.999999999,9628000.00000001,6401000,3009000,3009000,11206000,17738000,17738000,31953000,868071000,868071000,235291000,140303000,94988000,1103362000,1135315000,38193000,38193000,461021000,13204000,13204000,512418000,512418000,796688000,-86840000,-290261000,589189000,622897000,1135315000,10230000,12001000,2777000,25008000,52931000,51179000,-7913000,-68213000,-1054000,-77180000,-992999.999999998,-992999.999999998,-992999.999999998,461021000,0.55421,0.07623,0.205020000000001,0.01028,0.00564,0.06236,0.82264,0.40607,0.2458,0.245799999999999,1.19892,16.11255,0.30387,0.01321,1.23621,192.44202
"9","2012_Q4",18.8390322580645,"Up",39287000,-15536000,23751000,-16943000,-6401000,-10542000,6808000,-6898000,-5793000,-1105000,-90000,-1009000,-1099000,1110000,13278000,-608000,12670000,9444000,5469000,5469000,11163000,189199000,189199000,205831000,750500000,750500000,242770000,139782000,102988000,993270000,1199101000,40073000,40073000,518630000,12498000,12498000,571201000,571201000,796900000,-86840000,-285508000,594155000,627901000,1199102000,13278000,7121000,-3218000,17181000,-63529000,-63865000,-7917000,57609000,-548000,49144000,2460000,2460000,2460000,518630000,0.60455,0.17329,0.24038,0.01504,0.00788,0.36035,0.9097,0.43252,0.36255,0.3625,1.5082,16.29821,0.30393,0.01514,0.83831,75.37618
"10","2013_Q1",21.6786666666667,"Up",31686000,-13774000,17912000,-13626000,-4540000,-9086000,4286000,-9278000,-5997000,-3281000,-4992000,2490000,-2502000,22568000,35765000,-2450000,33315000,30088000,176892000,176892000,9972000,4869000.00000003,4869000.00000003,191733000,737048000,737048000,195461000,97868000,64313000,932509000,1124242000,34751000,34751000,425410000,21128000,11888000,481289000,481289000,797684000,-86840000,-260104000,620343000,642954000,1124243000,35765000,-1211000,8357000,42911000,243276000,243228000,-7911000,-93220000,-13585000,-114716000,171423000,171423000,171423000,425410000,0.5653,0.13526,0.94957,0.0468,0.02676,0.39837,0.74856,0.3784,1.15603,1.15584,1.21743,17.31817,0.30395,0.03557,0.26293,57.98367
