"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",25.3747619047619,"Down",156624000,-35062000,121562000,-90334000,-67957000,-22377000,31228000,-1719000,-1770000,51000,29509000,27154000,-2345000,24809000,24809000,24809000,24809000,36600000,36600000,90062000,90062000,24982000,24982000,151644000,40596000,11104000,2356541000,1568434000,2408241000,2559885000,79439000,5760000,73679000,100592000,328008000,49319000,975760000,1076352000,1483533000,1483533000,2559885000,24809000,22377000,3464000,2366000,53016000,-13301000,-13301000,-680066000,-5066000,34649000,34649000,34649000,53605000,668905000,45015000,0.77614,0.19938,0.1584,0.01672,0.00969,1.81446,1.50752,0.72553,0.2613,0.34593,0.34563,2.18395,20.68622,0.62768,0.01,0.01815,11.79563,20.24801
"2","2017_Q4",25.8677777777778,"Up",159899000,-36598000,123301000,-81806000,-59913000,-21893000,41495000,-5367000,-5431000,64000,36128000,34007000,-13019000,20988000,20988000,20988000,20988000,27428000,27428000,93077000,93077000,18298000,18298000,138803000,40875000,11172000,2337074000,1548967000,2389121000,2527924000,75924000,6787000,69137000,97086000,326898000,42717000,924366000,1021452000,1506472000,1506472000,2527924000,20988000,21893000,7549000,33999.9999999963,50464000,-8721000,-8721000,-290000,-50915000,-9172000,-9172000,-9172000,63388000,618630000,67720000,0.77112,0.25951,0.13126,0.01393,0.0083,3.22661,1.42969,0.67804,0.24472,0.29272,0.29245,2.23014,21.01106,0.9445,0.00856,0.02762,9.32672,14.24755
"3","2018_Q1",29.2731147540984,"Up",156565000,-33224000,123341000,-82402000,-60106000,-22296000,40939000,-5133000,-5211000,78000,35806000,33695000,118063000,151758000,151758000,151758000,151758000,20563000,20563000,100857000,100857000,21219000,11408000,142639000,39740000,11053000,2317607000,1529500000,2368400000,2511039000,43791000,6581000,37210000,90149000,184568000,38086000,741762000,831911000,1679128000,1679128000,2511039000,151758000,22296000,-115887000,-19434000,38733000,-5143000,-5143000,170000,-40455000,-6865000,-6865000,-6865000,63235000,578352000,-79405000,0.78779,0.26148,0.9693,0.09038,0.06044,-0.52323,1.58226,0.49544,0.23032,2.11831,2.11442,2.18541,23.43809,-1.10837,0.06214,-0.03252,8.82089,13.62488
"4","2018_Q2",27.49359375,"Down",159957000,-41419000,118538000,-108089000,-84151000,-23938000,10449000,-5973000,-5957000,-16000,4476000,1193000,-264000,929000,929000,929000,929000,11501000,11501000,108267000,108267000,28241000,17419000,148009000,40545000,10410000,2465122000,1580224000,2516077000,2664086000,62706000,12247000,50459000,109104000,194779000,32537000,876625000,985729000,1678357000,1678357000,2664086000,929000,23938000,-3099000,4893000,26661000,-2513000,-159481000,-617000,123758000,-9062000,-9062000,-9062000,34387000,703044000,37031000,0.74106,0.06532,0.00580999999999998,0.000549999999999995,0.00035000000000001,39.86114,1.35659,0.58732,0.2639,0.0129099999999998,0.01288,2.22311,23.32606,0.51466,0.000359999999999985,0.01437,20.11059,66.1827
"5","2018_Q3",27.9450793650794,"Up",168512000,-40755000,127757000,-99387000,-72675000,-26712000,28370000,-7316000,-7343000,27000,21054000,17241000,-4515000,12726000,12726000,12726000,12726000,18394000,18394000,105184000,105184000,24339000,13772000,147917000,40907000,10439000,2441134000,1556654000,2492480000,2640397000,58020000,7505000,50515000,104431000,190331000,25963000,891865000,996296000,1644101000,1644101000,2640397000,12726000,26712000,1427000,3098000,43963000,-3904000,-3904000,-2541000,-33166000,6893000,6893000,6893000,55082000,722745000,58791000,0.75815,0.16836,0.07552,0.00774,0.00482,4.61975,1.41641,0.60598,0.27373,0.17894,0.17841,2.36944,23.11761,0.82666,0.00498,0.02299,12.78732,24.82732
"6","2018_Q4",25.0020634920635,"Down",169312000,-39952000,129360000,-96932000,-70428000,-26504000,32428000,-6940000,-7005000,65000,25488000,21391000,-5594000,15797000,15797000,15797000,15797000,17809000,17809000,107687000,107687000,21220000,11662000,146716000,40850000,10451000,2417781000,1533442000,2469082000,2615798000,64665000,8040000,56625000,113872000,188657000,20297000,867083000,980955000,1634843000,1634843000,2615798000,15797000,26504000,2588000,5568000,50457000,-3549000,-3734000,-2000,-47308000,-585000.000000002,-585000.000000002,-585000.000000002,58932000,702448000,66545000,0.76403,0.19153,0.0933,0.00966,0.00604,4.21251,1.28843,0.60003,0.26854,0.2268,0.22558,2.43083,23.47159,0.95539,0.00625,0.02634,11.61744,21.11259
"7","2019_Q1",24.1881967213115,"Down",164346000,-37096000,127250000,-114573000,-72429000,-26656000,12677000,-6766000,-7412000,646000,5911000,17104000,-7747000,9357000,9357000,9357000,9357000,25463000,25463000,108921000,108921000,19553000,9264000,153937000,41482000,10271000,2394859000,1510410000,2446612000,2600549000,64972000,11631000,53341000,110710000,197610000,19694000,862916000,973626000,1626923000,1626923000,2600549000,9357000,26656000,6751000,-297000,42467000,-4267000,-4256000,577000,-30557000,7654000,7654000,7654000,39333000,692159000,42516000,0.77428,0.07714,0.05693,0.00575,0.0036,4.54376,1.39045,0.59845,0.26616,0.1365,0.13619,2.3975,23.73372,0.62023,0.00372,0.01689,16.95004,52.59099
"8","2019_Q2",21.3846031746032,"Down",154198000,-43442000,110756000,-112356000,-84231000,-28125000,-1600000,-7447000,-7566000,119000,-9047000,-11501000,2470000,-9030999.99999999,-9030999.99999999,-9030999.99999999,-9030999.99999999,28340000,28340000,95592000,95592000,16940000,7417000,140872000,40548000,27479000,2371367000,1486318000,2439394000,2580266000,77704000,12131000,65573000,119956000,215462000,40116000,867640000,987596000,1592670000,1592670000,2580266000,-9030999.99999999,28125000,-4532000,23827000,38389000,-3363000,-3963000,-924000,-31549000,2877000,2877000,2877000,26525000,681845000,44519000,0.71827,-0.01038,-0.05857,-0.00566999999999999,-0.0035,-4.92958,1.17436,0.62009,0.26425,-0.13363,-0.13363,2.28158,23.56578,0.65872,-0.00363,0.01788,24.63732,-408.44062
"9","2019_Q3",13.4934375,"Down",148207000,-39658000,108549000,-105369000,-75703000,-29666000,3180000,-7702000,-7711000,9000,-4522000,-6698000,672000,-6026000,-6026000,-6026000,-6026000,9539000,9539000,95197000,95197000,8108000,7916000,112844000,40981000,26821000,2346746000,1461697000,2414548000,2527392000,73738000,13466000,60272000,112518000,201680000,42024000,845726000,958244000,1569148000,1569148000,2527392000,-6026000,29666000,-16707000,5433000,12366000,-5991000,-5990000,448000,-25177000,-18801000,-18801000,-18801000,32846000,676541000,31616000,0.73241,0.02146,-0.04066,-0.00384,-0.00238,-5.2466,1.0029,0.61068,0.26768,-0.09024,-0.09024,2.2194,23.49798,0.47345,-0.00246,0.01292,20.30695,209.74906
"10","2019_Q4",11.66859375,"Down",152090000,-40012000,112078000,-93173000,-64203000,-28970000,18905000,-6310000,-7712000,1402000,12595000,-454026000,27869000,-426157000,-426157000,-426157000,-426157000,19773000,19773000,101782000,101782000,8017000,7592000,129572000,42857000,26788000,1860662000,1354777000,1930307000,2059879000,89287000,6280000,83007000,121805000,165676000,40501000,796589000,918394000,1141485000,1141485000,2059879000,-426157000,28970000,421548000,5434000,29795000,-6055000,-6055000,-68000,-13506000,10234000,10234000,10234000,47875000,663431000,19385000,0.73692,0.1243,-2.80201,-0.37334,-0.20688,-0.04549,1.06377,0.80456,0.32207,-6.38275,-6.38275,2.27792,17.09654,0.29034,-0.21626,0.00984,13.44455,34.04697
"11","2020_Q1",9.65822580645161,"Down",152187000,-39296000,112891000,-117973000,-67067000,-30116000,-5082000,-7760000,-7785000,25000,-12842000,-3054000,-1056000,-4110000,-4110000,-4110000,-4110000,13549000,13549000,101762000,101762000,7129000,6526000,122440000,43696000,26471000,1835384000,1329499000,1905551000,2027991000,67415000,12431000,54984000,98806000,176840000,43844000,788117000,886923000,1141068000,1141068000,2027991000,-4110000,30116000,11903000,-16975000,20934000,-5848000,-5848000,-2873000,-21310000,-6224000,-6224000,-6224000,25034000,642668000,3267000,0.74179,-0.03339,-0.02701,-0.0036,-0.00203,-0.79489,1.2392,0.77727,0.3169,-0.06148,-0.06148,2.27651,17.06882,0.04887,-0.0021,0.00167,25.13058,-123.79359
