"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",41.6147540983607,"Down",37897000,-14536000,23361000,-20974000,-13042000,-4580000,-3352000,2387000,155000,155000,2542000,2542000,35000,2577000,2577000,2577000,2577000,45909000,16109000,29800000,3387000,3387000,4546000,4546000,53842000,6696000,22401000,27309000,1725000,6737000,18847000,56406000,110248000,15609000,610000,14999000,8303000,7080000,1223000,23912000,1257000,1257000,1257000,25169000,152535000,-67247000,-209000,85079000,85079000,110248000,2577000,3352000,1793000,93000,7815000,-533000,-9051000,3130000,-6454000,155000,155000,-188000,-33000,1328000,1328000,1328000,5739000,0,5264000,0.61643,0.06299,0.068,0.03029,0.02337,2.04269,2.25167,0.29583,0,0.07592,0.07294,1.11642,2.50638,0.15507,0.02985,0.06097,-7.99948,-19.23293
"12","2018_Q2",54.4765625,"Up",42340000,-16613000,25727000,-21554000,-12721000,-5333000,-3500000,4173000,173000,173000,4346000,4346000,-26000,4320000,4320000,4320000,4320000,45839000,8549000,37290000,4535000,4535000,5253000,5253000,55627000,6463000,21971000,30004000,1397000,6737000,21870000,58438000,114065000,13490000,1099000,12391000,6875000,5746000,1129000,20365000,1161000,1161000,1161000,21526000,152859000,-59963000,-357000,92539000,92539000,114065000,4320000,3500000,1397000,-5875000,3342000,-263000,-15568000,5360000,-10471000,470000,470000,-901000,-431000,-7560000,-7560000,-7560000,7673000,-2.3283064365387e-10,1561000,0.60763,0.09856,0.10203,0.04668,0.03787,0.36134,2.7315,0.23262,0,0.1268,0.12238,1.24274,2.71614,0.04582,0.0461,0.01666,-5.97406,-10.98466
"13","2018_Q3",75.6214285714286,"Up",47240000,-17729000,29511000,-22202000,-12873000,-5750000,-3579000,7309000,208000,208000,7517000,7517000,-43000,7474000,7474000,7474000,7474000,52720000,18010000,34710000,5554000,5554000,6253000,6253000,64527000,6528000,22550000,30353000,1140000,6737000,22476000,59431000,123958000,16371000,1840000,14531000,5542000,3791000,1751000,21913000,1067000,1067000,1067000,22980000,153756000,-52489000,-289000,100978000,100978000,123958000,7474000,3579000,1404000,-745000,11712000,-317000,-5259000,4730000,-846000,188000,188000,-1593000,-1405000,9461000,9461000,9461000,10888000,0,9869000,0.6247,0.15472,0.15821,0.07402,0.06029,1.32044,2.94469,0.22757,0,0.2187,0.211,1.38234,2.95482,0.28879,0.07324,0.09671,-4.84203,-7.21303
"14","2018_Q4",60.6963492063492,"Down",50126000,-19282000,30844000,-25367000,-15222000,-6440000,-3705000,5477000,230000,230000,5707000,5707000,-183000,5524000,5524000,5524000,5524000,45568000,13745000,31823000,5489000,5489000,10916000,10916000,61973000,6699000,19861000,47656000,6179000,15548000,25929000,74216000,136189000,16316000,1108000,15208000,4468000,3172000,1296000,20784000,7042000,7042000,7042000,27826000,155560000,-46965000,-232000,108363000,108363000,136189000,5524000,3705000,1783000,-1465000,9547000,-1160000,-7256000,9390000,-13467000,55000,55000,-4e+05,-345000,-4265000,-4265000,-4265000,9182000,-1.86264514923096e-09,6740000,0.61533,0.10926,0.1102,0.05098,0.04056,1.22013,2.98176,0.25679,1.38777878078145e-17,0.16144,0.15409,1.4649,3.16684,0.19697,0.04787,0.0584,-4.96275,-8.31988
"15","2019_Q1",66.8724590163934,"Up",50365000,-19925000,30440000,-27743000,-17363000,-6588000,-3792000,2697000,120000,120000,2817000,2817000,-168000,2649000,2649000,2649000,2649000,90707000,74076000,16631000,5516000,5516000,11775000,11775000,107998000,6871000,11256000,49616000,5895000,15548000,28173000,67743000,175741000,22139000,1481000,20658000,4861000,3414000,1447000,28213000,7080000,7080000,55682000,83895000,157902000,-44316000,-178000,91846000,91846000,175741000,2649000,3792000,1977000,3249000,11667000,-362000,52286000,-31784000,20140000,-21240000,322000,-233000,28527000,60334000,60334000,60334000,6489000,49815000,9544000,0.60439,0.05355,0.0526,0.02884,0.01507,3.60287,3.82795,0.91343,0.28346,0.0778,0.07425,1.47915,2.69739,0.28029,0.01781,0.06417,-6.30174,-15.16203
"16","2019_Q2",94.5057142857143,"Up",57091000,-24181000,32910000,-32968000,-19411000,-8481000,-5076000,-58000,-498000,-498000,-556000,-556000,4281000,3725000,3725000,3725000,3725000,34495000,16783000,17712000,7966000,7966000,15086000,15086000,57547000,7169000,6300000,129566000,26644000,57496000,45426000,143035000,200582000,21802000,1557000,20245000,15144000,4045000,11099000,38159000,19078000,19078000,67368000,105527000,157257000,-40591000,-49000,95055000,95055000,200582000,3725000,5076000,-2702000,-5804000,295000,-1030000,1750000.00000001,-2408000.00000001,-55692000,90000.0000000037,90000,-1675000,-1897000,-57294000,-57294000,-57294000,5018000,49503000,-6097000,0.57645,-0.00102,0.06525,0.03919,0.01857,-1.63678,1.50808,1.11017,0.2468,0.10984,0.1054,1.68345,2.80291,-0.17978,0.02276,-0.03726,2.99083,-258.75862
"17","2019_Q3",99.4440625,"Up",63624000,-25128000,38496000,-36200000,-21446000,-9339000,-5415000,2296000,-483000,-483000,1813000,1813000,21338000,23151000,23151000,23151000,23151000,38939000,19514000,19425000,8180000,8180000,16945000,16945000,64064000,7930000,3586000,150514000,24003000,58518000,46289000,162030000,226094000,24612000,1579000,23033000,15996000,3929000,12067000,41816000,18084000,18084000,66063000,107879000,157199000,-17440000,18000,118215000,118215000,226094000,23151000,5415000,-17666000,618000,11518000,-1365000,-678000,-3042000,-5085000,109000,109000,-3496000,-3700000,2733000,2733000,2733000,7711000,49187000,-14374000,0.60505,0.03609,0.36387,0.19584,0.1024,-0.62088,1.53205,0.91257,0.21755,0.68069,0.65347,1.87069,3.47579,-0.42263,0.12481,-0.07749,1.32901,4.46341
"18","2019_Q4",101.9859375,"Up",67935000,-25930000,42005000,-37871000,-21591000,-10602000,-5678000,4134000,-411000,-411000,3723000,3723000,1255000,4978000,4978000,4978000,4978000,40476000,20121000,20355000,8039000,8039000,16150000,16150000,64665000,9842000,4698000,154623000,22678000,58392000,50357000,169163000,233828000,23806000,1539000,22267000,17256000,4163000,13093000,42270000,18464000,18464000,66141000,108411000,159403000,-12462000,38000,125417000,125417000,233828000,4978000,5678000,1918999.99999999,-975000.000000002,11600000,-1720000,-9012000,780999.999999998,-9951000,60000.0000000009,60000,-790000,-1042000,607000,607000,607000,9812000,48885000,5862000,0.61831,0.06085,0.07328,0.03969,0.02129,1.17758,1.52981,0.8644,0.20906,0.1462,0.14043,1.99521,3.68343,0.17216,0.02582,0.03041,0.85701,2.03410999999999
"19","2020_Q1",119.275,"Up",67362000,-26403000,40959000,-40870000,-23558000,-11086000,-6226000,89000,-246000,1408000,-157000,-157000,4585000,4428000,4428000,4428000,4428000,38689000,15813000,22876000,7562000,7562000,15540000,15540000,61791000,14744000,12089000,171478000,21377000,58425000,64102000,198311000,260102000,30518000,1927000,28591000,15739000,4600000,11139000,46257000,33312000,33312000,81895000,128152000,161513000,-8034000,33000,131950000,131950000,260102000,4428000,5470000,-779000,6355000,15474000,-3969000,1152000,-16329000,-19146000,294000,294000,-614000,-633000,-4305000,-4305000,-4305000,5559000,48583000,3360000,0.60804,0.00132,0.06573,0.03356,0.01702,0.75881,1.33582,0.97122,0.18678,0.12989,0.12283,1.97595,3.87052,0.09856,0.02071,0.01571,1.77982,111.16854
"20","2020_Q2",130.931111111111,"Up",72495000,-28961000,43534000,-40704000,-23078000,-11212000,-6414000,2830000,-471999.999999998,-472000.000000002,2358000,2358000,-375000.000000002,1983000,1983000,1983000,1983000,64731000,56779000,7952000,9617000,9617000,18362000,18362000,92710000,22536000,6676000,171505000,20121000,58425000,65747000,200717000,293427000,25761000,2509000,23252000,11368000,5732000,5636000,38649000,34143000,34143000,129903000,168552000,156517000,-6051000,165000,124875000,124875000,293427000,1983000,6414000,2336000,-7650000,3083000,-7992000,20543000,-6822000,5728999.99999999,-4097000,96999.9999999999,-12435000,32156000,40968000,40968000,40968000,9244000,97280000,-6023000,0.60051,0.03904,0.02735,0.01588,0.00676,-3.03732,2.39877,1.34977,0.33153,0.05802,0.05558,2.12129,3.65399,-0.17624,0.00774,-0.0235,3.52109,11.50141
"21","2020_Q3",153.9934375,"Up",81043000,-27411000,53632000,-47287000,-28502000,-12128000,-6657000,6345000,-572000,484000,5773000,5773000,13484000,19257000,19257000,19257000,19257000,74245000,53315000,20930000,12663000,12663000,15836000,15836000,102744000,26323000,5933000,185351000,18911000,58425000,67304000,217607000,320351000,35288000,3402000,31886000,10186000,5098000,5088000,47307000,33394000,33394000,128540000,175847000,156923000,13206000,131000,144504000,144504000,320351000,19257000,6657000,-9720000,8099000,24293000,-6314000,-12240000,-5887000,-24441000,232000,232000,-3232000,-3316000,-3464000,-3464000,-3464000,13002000,96979000,1303000,0.66177,0.07829,0.23761,0.13326,0.06011,0.06766,2.17186,1.2169,0.30273,0.5622,0.54073,2.36601,4.21873,0.03804,0.07006,0.00474,1.7485,3.58298
"22","2020_Q4",160.0184375,"Up",84086000,-32752000,51334000,-47974000,-27840000,-13454000,-6680000,3360000,186894000,187747000,190254000,190254000,-52578000,137676000,137676000,137676000,137676000,176717000,144028000,32689000,9416000,9416000,15720000,15720000,201853000,26565000,5135000,152719000,17544000,56147000,64202000,184419000,386272000,49087000,3591000,31925000,7064000,2457000,4607000,56151000,45605000,35475000,45605000,101756000,159300000,150882000,90000,284516000,284516000,386272000,137676000,6680000,-147423000,20907000,17840000,-2245000,-10940000,-6988000,171254000,73000,72999.9999999999,-1269000,-98381000,90713000,90713000,90713000,10040000,0,81280000,0.61049,0.03996,1.63732,0.4839,0.35642,0.590370000000002,3.59482,0.35765,0,4.01446,3.85733,2.45184,8.29614,2.37002,0.41705,0.24621,-17.60129,-52.59435
"23","2021_Q1",155.254918032787,"Down",72432000,-29905000,42527000,-45279000,-26505000,-11735000,-7039000,-2752000,1198000,1138000,-1554000,-1554000,1041000,-513000,-513000,-513000,-513000,168519000,140263000,28256000,10057000,10057000,20777000,20777000,199353000,26439000,6770000,156918000,16357000,56147000,72233000,190127000,389480000,43092000,1040000,32957000,6713000,2262000,4451000,49805000,53755000,40146000,53755000,103560000,161249000,150369000,56000,285920000,285920000,389480000,-513000,5756000,10285000,-12445000,3083000,-2487000,2801000,-6345000,-6031000,420000,420000,-1237000,-817000,-3765000,-3765000,-3765000,3004000,0,-12969000,0.58713,-0.03799,-0.00708,-0.00179,-0.00132,25.2807,4.00267,0.3622,0,-0.01494,-0.0143,2.10969,8.32779,-0.37774,-0.00151,-0.03818,-56.0982,61.2351
"24","2021_Q2",138.848888888889,"Down",78921000,-33298000,45623000,-51292000,-29540000,-14383000,-7369000,-5669000,614999.99999997,562000,-5054000,-5054000,5533000,479000.000000015,479000.000000015,479000.000000015,479000.000000015,148085000,44744000,103341000,12524000,12524000,20843000,20843000,181452000,26530000,11806000,158909000,15170000,56147000,74191000,197245000,378697000,35144000,2262000,30281000,7893000,3135000,4758000,43037000,49876000,39598000,49876000,92913000,160654000,150848000,38000,285784000,285784000,378697000,479000.000000015,6971000,-2044000.00000001,-9843000,-4437000,-938000,-80112000,-6140000,-87190000,1e+05,1e+05,-3992000,-3892000,-95519000,-95519000,-95519000,1302000,0,-15012000,0.57808,-0.07183,0.00606999999999977,0.00167999999999997,0.00126000000000003,-31.34029,4.21619,0.32512,-6.93889390390723e-18,0.0139199999999999,0.0134099999999999,2.29362,8.3055,-0.43628,0.00143000000000005,-0.04472,-113.73656,26.1218900000001
"25","2021_Q3",129.9196875,"Down",89040000,-32819000,56221000,-55075000,-31920000,-15506000,-7649000,1146000,551000,496000,1697000,1697000,324000,2021000,2021000,2021000,2021000,151588000,48610000,102978000,14973000,14973000,23306000,23306000,189867000,27324000,11541000,170340000,14017000,56147000,87402000,209205000,399072000,41384000,2411000,38907000,7401000,3205000,4196000,48785000,63020000,53936000,63020000,111805000,160162000,152869000,-10000,287267000,287267000,399072000,2021000,7219000,3596000,2262000,15098000,-1866000,767000,-5771000,-6870000,546000,546000,-4908000,-4362000,3866000,3866000,3866000,8365000,0,8437000,0.63141,0.01287,0.0227,0.00704,0.00506,4.17467,3.89191,0.3892,0,0.0585,0.05664,2.57721,8.31471,0.2442,0.00577,0.02409,-18.1217,-132.27574
"26","2021_Q4",126.718125,"Down",95809000,-38730000,57079000,-57092000,-32766000,-16500000,-7826000,-13000,-288000,-353000,-301000.000000001,-301000.000000001,160000,-141000,-141000,-141000,-141000,160478000,84444000,76034000,12184000,12184000,24714000,24714000,197376000,28177000,9287000,172547000,12864000,56147000,90702000,210011000,407387000,41554000,2493000,38875000,7648000,2738000,4910000,49202000,66486000,56559000,66486000,115688000,164742000,152728000,-17000,291699000,291699000,407387000,-141000,7355000,5427000,3157000,15798000,-2362000,29256000,-6600000,20294000,145000,145000,-403000,-258000.000000001,35834000,35834000,35834000,7342000,0,7977000,0.59576,-0.000140000000000001,-0.00147,-0.000479999999999999,-0.000350000000000001,-56.57447,4.01154,0.3966,0,-0.00407000000000004,-0.00394999999999997,2.76769,8.42641,0.23044,-0.000389999999999999,0.02227,-21.85753,12344.46154
"27","2022_Q1",115.181612903226,"Down",95600000,-39097000,56503000,-63845000,-36253000,-19591000,-8001000,-7342000,12734000,12406000,5392000,5392000,-6723000,-1331000,-1331000,-1331000,-1331000,122447000,57847000,64600000,12595000,12595000,23553000,23553000,158595000,30479000,61076000,157867000,11711000,56147000,90009000,249422000,408017000,45053000,1704000,43349000,7589000,3145543.67962215,7589000,52642000,57994000,57994000,57994000,110636000,171934000,151397000,-194000,297381000,297381000,408017000,-1331000,7487000,726000,2050000,8932000,-2937000,-40574000,6416000,-36693000,1823000,1823000,-659000,1164000,-26597000,-26597000,-26597000,145000,0,5981000,0.59104,-0.0768,-0.01392,-0.00448,-0.00326,-4.49361,3.01271,0.37203,0,-0.03816,-0.04243,2.74075,8.52559,0.17147,-0.00375,0.01683,-844.46207,16.67761
"28","2022_Q2",100.828709677419,"Down",105296000,-43347000,61949000,-76618000,-43883000,-24320000,-8415000,-14669000,97000,-9999.99999999814,-14572000,-14572000,285000,-14287000,-14287000,-14287000,-14287000,127925000,49536000,78389000,16154000,16154000,25495000,25495000,169574000,30582000,45851000,154027000,10558000,56147000,87322000,230460000,400034000,44430000,4809000,39621000,9590000,3692000,5898000,54020000,57271000,54985000,57271000,111291000,178926000,137110000,-1539000,288743000,288743000,400034000,-14287000,7878000,8927000,-4762000,-2244000,-1830000,34000,-3484000,-5280000,1e+05,1e+05,-1073000,-973000,-8496999.99999999,-8496999.99999999,-8496999.99999999,-6791000,-1.45519152283669e-11,-13668000,0.58833,-0.13931,-0.13568,-0.04948,-0.03571,0.956669999999985,3.1391,0.38543,-5.42101086242752e-20,-0.41128,-0.41128,3.03115,8.31196,-0.39346,-0.04129,-0.0395,18.83743,8.72077000000108
"29","2022_Q3",101.98484375,"Up",117450000,-47430000,70020000,-99950000,-64942000,-26687000,-8321000,-29930000,196000,45000,-29734000,-29734000,-236000,-29970000,-29970000,-29970000,-29970000,118051000,42626000,75425000,16175000,16175000,22157000,22157000,156383000,28270000,49909000,140866000,9408000,56147000,75311000,219045000,375428000,43902000,1338000,42564000,10817000,3075000,7742000,54719000,55718000,54044000,55718000,110437000,185544000,107140000,-1939000,264991000,264991000,375428000,-29970000,7759000,29608000,-1872000,5525000,-3269000,-1436000,-3709000,-8414000,503000,503000,-4524000,-4021000,-6910000,-6910000,-6910000,-22171000,0,-27076000,0.59617,-0.25483,-0.25517,-0.1131,-0.07983,0.90344,2.85793,0.41676,0,-0.85808,-0.85808,3.36273,7.58694,-0.77522,-0.09345,-0.08443,5.32457,3.94424
