"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","fixed_income_securities_htm","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","life_policy_benefits","other_short_term_liabilities","long_term_debt","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",34.8933333333333,"Up",3.949e+09,3.277e+09,5.04e+08,1.68e+08,1.68e+08,1.86e+08,-2.008e+09,-1.014e+09,4e+06,9.31e+08,-5.2e+07,-5.2e+07,8.79e+08,8.79e+08,-1.24e+08,7.55e+08,7.55e+08,7.55e+08,7.55e+08,51067926655.0016,76785705730.5535,-27987487383.0929,-4114075768.64236,6383784076.18328,3144928487.96818,1975852183.5001,42634600824.3391,92497216942.0178,68840810991.5583,57163132495.2274,9275917748.60303,2990745422.98146,8530339103.43787,1314847172.36322,69468997387.787,309000000.000149,15287469443.7674,10107456717.5177,5180012726.24963,-4129263085.01543,7998951152.60394,23030405126.172,23030405126.172,92499402513.9589,7.55e+08,1.57e+08,-8.9e+07,8.23e+08,-5.5e+08,-1.16e+08,-6.66e+08,-1.05e+08,1.2e+07,0,-9.3e+07,6.4e+07,6.4e+07,-7e+06,5.7e+07,0,0.23576,0.19119,-0.52945122880393,-0.147410117295627,3.01013247136723,-0.103127922605728,2.23057,2.22147,11.66692,75.8623264220443,0.31021,-0.16201752552464,0.13907,91.630067005743
"2","2010_Q3",37.1553125,"Up",3.76e+09,3.233e+09,5.18e+08,9e+06,9e+06,2.7e+07,-1.887e+09,-9.99e+08,-2999999.99999999,8.71e+08,-5.2e+07,-5.2e+07,8.19e+08,8.19e+08,-1.42e+08,6.77e+08,6.77e+08,6.77e+08,6.77e+08,50931975551.6672,52984568576.8512,-5269495794.36429,-976358589.547454,4193261358.72776,1050309495.98939,1715284061.1667,30446533608.113,84859072314.0059,53893603663.8528,43283710831.7425,7463972582.86768,3104248474.32715,8369446367.81262,2544282390.78774,61770665795.929,309000000.00005,15714489814.5891,10276818905.8392,5437670908.74988,1936578971.66152,4016650384.20131,23090468375.3907,23090468375.3907,84861134171.3196,6.77e+08,8.5e+07,1.06e+08,8.68e+08,-9.48e+08,1.47e+08,-8.01e+08,-1.05e+08,7000000.00000003,1.75e+08,-9.8e+07,-3.1e+07,-3.1e+07,-2.7e+07,-5.8e+07,-4.76837158203125e-07,0.23165,0.18005,-0.131387076267977,-0.0365100390985424,2.67361082378908,-0.0077393075352427,1.99132,1.98392,11.05963,69.4569954740148,0.30885,-0.03894917517488,0.1551,27.600075668581
"3","2010_Q4",41.55125,"Up",3.888e+09,3.422e+09,5.16e+08,-5e+07,-5e+07,-3.1e+07,-1.98e+09,-1.04e+09,2.5e+07,8.93e+08,-5.8e+07,-5.8e+07,8.35e+08,8.35e+08,-1.6e+08,6.75e+08,6.75e+08,6.75e+08,6.75e+08,5.0971e+10,4.1103e+10,5.977e+09,4.15e+08,3.476e+09,4.87e+08,1.621e+09,2.5615e+10,8.2388e+10,4.7723e+10,3.7742e+10,6.571e+09,3.083e+09,8.2e+09,3.158e+09,5.9236e+10,3.09e+08,1.5843e+10,1.0264e+10,5.579e+09,4.925e+09,2.11e+09,2.3154e+10,2.3154e+10,8.239e+10,6.75e+08,3.87e+08,2.2e+07,1.084e+09,-9.17e+08,-2.84e+08,-1.201e+09,-1.13e+08,2.2e+07,-1.75e+08,-9.1e+07,-2.08e+08,-2.08e+08,2.7e+07,-1.81e+08,3.313e+09,0.22968,0.17361,0.02915,0.00819,2.55835,0.04021,1.98454,1.97705,11.43095,67.16564,0.33223,0.01062,0.16741,3.16461
"4","2011_Q1",43.4704838709677,"Up",4.409e+09,3.572e+09,5.32e+08,3.05e+08,3.05e+08,3.09e+08,-2.061e+09,-1.165e+09,-1.6e+07,1.167e+09,-6.2e+07,-6.2e+07,1.105e+09,1.105e+09,-1.27e+08,9.78e+08,9.78e+08,9.78e+08,9.78e+08,5.1407e+10,3.7539e+10,9.501e+09,6.92e+08,3.675e+09,7.72e+08,1.641e+09,2.5302e+10,8.3355e+10,4.7248e+10,3.7391e+10,6.33e+09,3.106e+09,8.168e+09,3.358e+09,6.0074e+10,3.09e+08,1.5784e+10,1.0161e+10,5.623e+09,5.926e+09,1.594e+09,2.3283e+10,2.3283e+10,8.3357e+10,9.78e+08,-8.56e+08,6.49e+08,7.71e+08,-1.85e+08,-1.328e+09,-1.513e+09,-1.12e+08,-2.14e+08,1.141e+09,1.014e+09,2.72e+08,2.72e+08,1.3e+07,2.85e+08,4.658e+09,0.26469,0.22182,0.042,0.01173,2.58017,0.05588,2.87514,2.85582,12.96164,67.53929,0.32926,0.0145,0.11452,3.32991
"5","2011_Q2",46.9907936507936,"Up",3.806e+09,3.309e+09,5.44e+08,-4.7e+07,-4.7e+07,-4.1e+07,-2.354e+09,-1.058e+09,1.3e+07,4.07e+08,-6.3e+07,-6.3e+07,3.44e+08,3.44e+08,-9.6e+07,2.48e+08,2.48e+08,2.48e+08,2.48e+08,5.2739e+10,3.8718e+10,9.27e+09,5.37e+08,4.214e+09,1.115e+09,1.725e+09,2.6539e+10,8.622e+10,4.935e+10,3.8843e+10,6.533e+09,3.48e+09,8.428e+09,3.358e+09,6.2537e+10,3.09e+08,1.566e+10,1.0075e+10,5.585e+09,6.185e+09,1.782e+09,2.3685e+10,2.3685e+10,8.6222e+10,2.5e+08,1.188e+09,-4.35e+08,1.003e+09,-4.71e+08,-1.6e+08,-6.31e+08,-1.12e+08,-2.5e+07,1e+08,-3.7e+07,3.35e+08,3.35e+08,8e+06,3.43e+08,4.759e+09,0.10694,0.06516,0.01047,0.00288,2.64036,0.0552,0.73571,0.73014,11.29081,69.34683,0.33226,0.00463,0.45161,8.95332
"6","2011_Q3",45.2359375,"Down",4.255e+09,3.757e+09,5.69e+08,-7.1e+07,-7.1e+07,-65000000.0000001,-2.334e+09,-1.13e+09,-1.2e+07,7.79e+08,-6.2e+07,-6.2e+07,7.17e+08,7.17e+08,-1.21e+08,5.96e+08,5.96e+08,5.96e+08,5.96e+08,5.5189e+10,4.1038e+10,9.033e+09,5.82e+08,4.536e+09,8.33e+08,1.821e+09,2.6488e+10,8.9254e+10,5.0948e+10,3.8951e+10,6.913e+09,4.384e+09,9.126e+09,3.36e+09,6.4834e+10,3.09e+08,1.5582e+10,1.0098e+10,5.484e+09,6.792e+09,1.989e+09,2.4422e+10,2.4422e+10,8.9256e+10,5.94e+08,5.54e+08,-88000000.0000001,1.06e+09,-8.7e+08,-3.98e+08,-1.268e+09,-1.11e+08,3.3e+07,0,-77999999.9999999,-2.86e+08,-2.86e+08,4e+06,-2.82e+08,4.76e+09,0.18308,0.14007,0.0244,0.00668,2.65474,0.05333,1.75835,1.74486,12.5533,71.13929,0.32748,0.00882,0.18624,5.04108
"7","2011_Q4",49.0020634920635,"Up",4.294e+09,4.49e+09,5.64e+08,-7.6e+08,-7.6e+08,-7.4e+08,-2.828e+09,-1.189e+09,-8.9e+07,1.88e+08,-6.2e+07,-6.2e+07,1.26e+08,1.26e+08,-1.65e+08,-3.9e+07,-3.9e+07,-3.9e+07,-3.9e+07,5.5499e+10,4.1577e+10,8.731e+09,6.21e+08,4.57e+09,7.66e+08,1.792e+09,2.526e+10,8.872e+10,5.0099e+10,3.8476e+10,6.594e+09,4.376e+09,9.954e+09,3.36e+09,6.4663e+10,3.09e+08,1.55e+10,1.0095e+10,5.405e+09,6.761e+09,1.839e+09,2.4059e+10,2.4059e+10,8.8722e+10,-3.9e+07,3.53e+08,6.21e+08,9.35e+08,-5.45e+08,-8.6e+07,-6.31e+08,-1.19e+08,-9.4e+07,-1.5e+08,-3.63e+08,-5.9e+07,-5.9e+07,-8e+06,-6.7e+07,4.61e+09,0.04378,-0.00908,-0.00162,-0.00044,2.68768,0.05196,-0.11525,-0.11525,12.68966,70.18617,0.35167,0.00102,-3.05128,20.44681
"8","2012_Q1",52.8037096774194,"Up",4.479e+09,3.831e+09,5.65e+08,8.3e+07,8.3e+07,1.01e+08,-2.405e+09,-1.163e+09,6999999.99999999,9.18e+08,-6.3e+07,-6.3e+07,8.55e+08,8.55e+08,-1.2e+08,7.35e+08,7.35e+08,7.35e+08,7.35e+08,5.5676e+10,4.1967e+10,8.447e+09,6.47e+08,4.615e+09,6.14e+08,1.548e+09,2.5096e+10,8.7321e+10,4.8085e+10,3.7477e+10,6.334e+09,4.274e+09,9.984e+09,3.36e+09,6.268e+10,3.09e+08,1.5421e+10,1.0095e+10,5.326e+09,7.327e+09,1.911e+09,2.4641e+10,2.4641e+10,8.7321e+10,7.35e+08,-1.003e+09,7.4e+08,4.72e+08,5e+06,-5.11e+08,-5.06e+08,-1.17e+08,3e+07,-2.98023223876953e-08,-87000000.0000001,-1.21e+08,-1.21e+08,-3.1e+07,-1.52e+08,4.611e+09,0.20496,0.1641,0.02983,0.00842,2.54373,0.05281,2.17321,2.13975,13.24329,71.9437,0.34594,0.01102,0.15918,4.35403
"9","2012_Q2",54.4119047619048,"Up",4.185e+09,3.381e+09,5.44e+08,2.6e+08,2.6e+08,2.7e+08,-1.951e+09,-1.092e+09,3e+06,1.145e+09,-6.2e+07,-6.2e+07,1.083e+09,1.083e+09,-1.1e+08,9.73e+08,9.73e+08,9.73e+08,9.73e+08,5.6792e+10,4.3468e+10,8.117e+09,6.79e+08,4.528e+09,7.15e+08,1.649e+09,2.6106e+10,8.9749e+10,4.8959e+10,3.7247e+10,6.664e+09,4.358e+09,1.0159e+10,3.36e+09,6.4009e+10,3.09e+08,1.5149e+10,1.0095e+10,5.054e+09,8.3e+09,2.209e+09,2.574e+10,2.574e+10,8.9749e+10,9.73e+08,-4.16e+08,1.5e+07,5.72e+08,-2.92e+08,-3.23e+08,-6.15e+08,-1.59e+08,1.7e+07,2.81e+08,1.39e+08,9.6e+07,9.6e+07,5e+06,1.01e+08,4.891e+09,0.2736,0.2325,0.0378,0.01084,2.48675,0.0545,2.87387,2.8476,12.36091,75.11357,0.46963,0.01422,0.16341,3.64716
"10","2012_Q3",55.1774603174603,"Up",3.926e+09,3.783e+09,5.37e+08,-3.94e+08,-3.94e+08,-3.84e+08,-2.221e+09,-1.133e+09,-3.4e+07,5.38e+08,-6.2e+07,-6.2e+07,4.76e+08,4.76e+08,-1.48e+08,3.28e+08,3.28e+08,3.28e+08,3.28e+08,5.7681e+10,4.4386e+10,7.782e+09,7.29e+08,4.784e+09,6.17e+08,1.71e+09,2.5708e+10,9.0701e+10,4.9017e+10,3.685e+10,7.044e+09,4.436e+09,1.0852e+10,3.36e+09,6.463e+10,3.09e+08,1.5002e+10,9.927e+09,5.075e+09,8.628e+09,2.338e+09,2.6071e+10,2.6071e+10,9.0701e+10,3.28e+08,8.44e+08,-3.61e+08,8.11e+08,-5.4e+08,-9.5e+07,-6.35e+08,-1.59e+08,2.7e+07,-1.3e+08,-2.62e+08,-8.6e+07,-8.6e+07,-1.2e+07,-97999999.9999999,4.761e+09,0.13704,0.08355,0.01258,0.00362,2.479,0.05249,0.96538,0.95724,11.55516,75.82376,0.46798,0.0061,0.48476,7.7026
