"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",21.2265625,"Up",172249000,-123360000,48889000,-38731000,-38731000,10158000,-1396000,-1425000,29000,8762000,8762000,-3417000,5345000,5345000,5345000,-23000,5322000,2659415.34999237,2659415.34999237,75358570.7681206,75358570.7681206,53520926.2878557,12009891.3801918,2867248.04861832,143548803.786161,10843556.7586742,60605594.2179897,56605865.0424163,4565249.82920712,-2003561.90557321,71449150.9766639,214997954.762824,37862385.3210349,17225887.247286,26412607.2276001,-25103501.4005553,-25103501.4005553,-50189845.1577384,-50189845.1577384,-37430961.2372587,139897505.150275,139865045.165103,102434083.927844,13367.9329090497,70748185.2631521,45721482.209573,-968824.136929534,112563870.832534,112563870.83498,214997954.762824,5345000,2417000,-46000,-9554000,-1838000,-517000,-5017000,-23000,3901000,158000,4026000,-2829000,-2829000,-18710.8435311691,-2829000,12575000,0,5921000,0.28383,0.05897,0.0309,0.0391376007688592,0.020089684988665,1.11255,4.09164442797314,1.11129864169768,0.450067802158346,0.37952,0.35348,12.28332,8.63908906856805,0.42223,0.00164,0.0194864786561284,-0.0805931748973241,0.00432,10.1209409535176,12.7415129938123
"2","2011_Q1",22.4229032258065,"Up",169669000,-120021000,49648000,-38591000,-38591000,11057000,-1179000,-1185000,6000.00000000001,9878000,9878000,-4018000,5860000,5860000,5860000,-22000,5838000,770000,770000,99781000,99781000,75887000,8871000,2550000,185309000,14917000,120398000,84942000,32236000,931000,135315000,320624000,66845000,55019000,11826000,10930000,10930000,15108000,15108000,92883000,103621000,103621000,196504000,16000,72756000,51348000,0,124120000,124120000,320624000,5860000,2447000,4026000,-7079000,5254000,1145000,-7712000,-22000,2235000,-193000,2020000,-438000,-438000,0,-438000,13504000,114551000,11588000,0.29262,0.06517,0.03441,0.04704,0.01821,1.98493,1.99508,1.58318,0.35728,0.4224,0.3939,12.27617,8.97938,0.83843,0.00159,0.02455,0.04855,0.00377,8.42573,10.2904
"3","2011_Q2",24.8071428571429,"Up",183087000,-130660000,52427000,-40885000,-40885000,11542000,-1001000,-1022000,21000,10541000,10541000,-4198000,6343000,6343000,6343000,-23000,6320000,504278.21666921,504278.21666921,110431059.74396,110431059.74396,80693024.5707148,7465202.87326939,2760417.31712723,199093565.404613,16129647.7471086,130692135.26067,90681878.3191946,36051750.056931,1478437.30185774,146821783.007779,345915348.412392,77834871.559655,67992370.9175713,7862380.92413329,18703667.1335184,18703667.1335184,27976031.7192461,27976031.7192461,124514570.41242,89262831.616575,89273651.6116323,213788222.024052,9377.35569698343,73407854.9122826,57840922.596809,431894.48215772,132127126.389155,132127126.38834,345915348.412392,6343000,2391000,1704000,-2718000,7720000,-487000,-487000,-23000,-4729000,97000,-4655000,2578000,2578000,9355.42176558454,2578000,13933000,0,14926000,0.28635,0.06304,0.03452,0.0517574664103803,0.019711771670445,2.36171,1.52038185734229,1.60075961943411,0.314357399280551,0.44261,0.41802,12.82212,9.30134947714399,1.04531,0.00161,0.0285961737812905,0.083413558299108,0.00364,7.10072468216079,8.50534483539589
"4","2011_Q3",23.21703125,"Down",197675000,-140410000,57265000,-43634000,-43634000,13631000,-1008000,-1023000,15000,12623000,12623000,-5013000,7610000,7610000,7610000,-22000,7588000,1140000,1140000,114725000,114725000,77662000,7157000,3125000,200684000,15809000,118168000,85942000,29026000,932000,133977000,334661000,78643000,66713000,9956000,10757000,10757000,16071000,16071000,105471000,90473000,90473000,195944000,1000,73461000,65255000,482659.309543627,138717000,138717000,334661000,7610000,2551000,708000,-2319000,8550000,-2144000,-2144000,-22000,-8592000,0,-8614000,-2208000,-2208000,9355.42176558454,-2208000,16182000,101230000,16732000,0.28969,0.06896,0.03839,0.0547,0.02267,2.20506,1.90274,1.41254,0.30249,0.52963,0.5003,13.79738,9.68214,1.16786,0.00154,0.03172,0.06973,0.0029,6.18527,7.34282
"5","2011_Q4",26.4568253968254,"Up",207855000,-148384000,59471000,-45035000,-45035000,14436000,-756000,-760000,4000,13680000,13680000,-5406000,8274000,8274000,8274000,-23000,8251000,1685000,1685000,121247000,121247000,79112000,7115000,3048000,209159000,15670000,116196000,85942000,27431000,941000,131866000,341025000,75688000,61170000,13039000,692000,692000,17531000,17531000,93911000,100904000,100904000,194815000,1000,73877000,73506000,308094.482157721,146210000,146210000,341025000,8274000,2578000,581000,-9309000,2124000,-845000,-845000,-23000,366000,97000,-734000,545000,545000,0,545000,17014000,101596000,12266000,0.28612,0.06945,0.0397,0.05643,0.02419,1.48661,2.2272,1.33243,0.29791,0.57639,0.54444,14.52008,10.21369,0.85686,0.00161,0.03339,0.0495,0.00279,5.87228,6.92096
"6","2012_Q1",38.1562903225806,"Up",218388000,-155715000,62673000,-46797000,-46797000,15876000,-725000,-713000,-12000,15151000,15151000,-5941000,9210000,9210000,9210000,-22000,9188000,1507000,1507000,137024000,137024000,93901000,6769000,2230000,239201000,16911000,149226000,101764000,43194000,2680000,166137000,405338000,77245000,62123000,12713000,693999.999999999,694000,56519000,56519000,134458000,114205000,114205000,248663000,16000,75345000,82695000,64000.0000000005,156675000,156675000,405338000,9210000,2562000,491000,-4829000,7434000,-620000,-20626000,-22000,13303000,4000,13014000,-178000,-178000,0,-178000,18438000,114899000,18930000,0.28698,0.0727,0.04207,0.05864,0.02267,2.0603,1.779,1.58713,0.28346,0.64328,0.60755,15.29007,10.96821,1.32535,0.00154,0.03391,0.0697,0.00239,6.14991,7.14235
"7","2012_Q2",44.5353968253968,"Up",252287000,-180813000,71474000,-51569000,-51569000,19905000,-814000,-829000,15000,19091000,19091000,-7445000,11646000,11646000,11646000,-23000,11623000,3522000,3522000,147916000,147916000,95327000,7996000,3183000,254761000,17007000,150905000,103607000,43630000,2249000,167912000,422673000,96227000,77231000,12768000,2303000,2303000,24386000,24386000,122916000,131095000,131095000,254011000,16000,75938000,94382000,-229000,168662000,168662000,422673000,11646000,3148000,163000,11684000,26641000,-852000,-43265000,-23000,18499000,163000,18639000,2015000,2015000,7.27595761418343e-12,2015000,23053000,133398000,41330000,0.2833,0.0789,0.04607,0.06891,0.0275,3.55588,2.07264,1.50604,0.31561,0.81121,0.76628,17.60797,11.77038,2.88456,0.00161,0.03856,0.13683,0.00198,5.6338,6.52479
"8","2012_Q3",45.4704761904762,"Up",261894000,-185265000,76629000,-55782000,-55782000,20847000,-765000,-762000,-2999.99999999999,20082000,20082000,-7905000,12177000,12177000,12177000,-22000,12155000,6591000,6591000,157781000,157781000,99389000,8498000,3279000,272259000,27972000,177982000,119844000,55766000,2372000,205954000,478213000,89591000,75521000,13084000,3127000,3127000,21463000,21463000,114181000,178154000,182344000,296525000,16000,77365000,106473000,-334000,181688000,181688000,478213000,12177000,3661000,245000,-17916000,-1833000,-9129000,-40201000,-22000,45427000,85000,45103000,3069000,3069000,0,3069000,24508000,181281000,5368000,0.2926,0.0796,0.04641,0.0669,0.02542,0.44163,2.38445,1.63206,0.37908,0.84457,0.79799,18.19719,12.62312,0.372980000000001,0.00153,0.03317,0.01462,0.00181,7.12788,8.37962
"9","2012_Q4",47.6032258064516,"Up",289923000,-206414000,83509000,-58995000,-58995000,24514000,-2266000,-2287000,21000,22248000,22248000,-9156000,13092000,13092000,13092000,-23000,13069000,12180000,12180000,188698000,188698000,98969000,8358000,2106000,308205000,52867000,223442000,141927000,76184000,5331000,276309000,584514000,92079000,73496000,15196000,18098000,18098000,21127000,21127000,131304000,240933000,256834000,388138000,16000,78168000,119542000,1141000,196376000,196376000,584514000,13092000,6299000,3199000,-26135000,-3545000,-3095000,-67457000,-23000,76641000,264000,76223000,5221000,5221000,368000,5589000,30813000,259031000,10739000,0.28804,0.08455,0.04508,0.06655,0.02236,0.82172,2.34726,1.9765,0.44316,0.90688,0.85693,20.11817,13.6257,0.74519,0.0016,0.02778,0.02279,0.00176,8.01126,10.0698
"10","2013_Q1",61.149,"Up",293006000,-205527000,87479000,-62223000,-62223000,25256000,-1668000,-1682000,14000,23588000,23588000,-9518000,14070000,14070000,14070000,-22000,14048000,10455000,10455000,174832000,174832000,101422000,8993000,3811000,295702000,58713000,215317000,145788000,63189000,6340000,274030000,569732000,91268000,74356000,15216000,22057000,22057000,15127000,15127000,128452000,216339000,232787000,361239000,16000,78695000,133590000,1059000,208493000,208493000,569732000,14070000,4974000,835000,10064000,29943000,-1034000,-8171000,-22000,-20635000,168000,-22865000,-1093000,-1093000,-632000,-1725000,30230000,238396000,48778000,0.29856,0.0862,0.04794,0.06738,0.02466,3.47224,2.30204,1.73262,0.41844,0.97793,0.92391,20.39722,14.51284,3.39561,0.00153,0.03037,0.10528,0.00157,7.54022,9.02522
