"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",29.4211111111111,"Up",761437000,-211259000,550178000,-326931000,-326931000,223247000,1835000,1835000,225082000,225082000,-84255000,140827000,140827000,140827000,140827000,994680000,994680000,105120000,105120000,337545000,173128000,1610473000,582230000,595913000,299231000,125616000,1184143000,2794616000,531457000,94198000,437259000,704000,532161000,24429000,397045000,397045000,421474000,953635000,1210560000,3186000,1207374000,616896000,13525000,1840981000,1840981000,2794616000,140827000,33380000,5153000,18968000,-9047000,-4768000,61179000,5238000,-6331000,-10906000,73178000,240539000,-20034000,-20034000,-20034000,-3753489090.43453,-20034000,-23843000,-7943000,-1010000,-1010000,362000,-32434000,188071000,188071000,6247000,194318000,256627000,25133000,382027000,0.72255,0.29319,0.18495,0.0765,0.05039,2.71274,3.02629,0.518,0.00899,0.44245,0.43856,2.3923,5.78405,1.20026,0.07491,0.07276,0.1688,0.16931,-3.77804,-4.34293
"2","2010_Q3",27.52359375,"Down",1065005000,-294066000,770939000,-390102000,-390102000,380837000,1904000,1904000,382741000,382741000,-141791000,240950000,240950000,240950000,240950000,1103177000,1103177000,178849000,178849000,269200000,165166000,1716392000,564483000,582255000,293911000,288344000,1152738000,2869130000,577724000,120167000,457557000,737000,578461000,24339000,400764000,400764000,425103000,1003564000,1317441000,3140000,1314301000,534203000,13922000,1865566000,1865566000,2869130000,240950000,28053000,-6107000,19920000,-5417000,-20610000,100801000,-74828000,65875000,28337000,81417000,363697000,-16865000,-16865000,-16865000,-1348787030.14484,-18064999.9999999,-23883000,-57000.0000000019,-231586000,68414000,18632000,-236894000,108738000,108738000,-241000,108497000,408890000,25076000,634617000,0.72388,0.35759,0.22624,0.12916,0.08398,2.63381,2.96717,0.53794,0.00874,0.75953,0.75025,3.35714,5.88069,2.00046,0.07528,0.11558,0.27696,0.09912,-2.63665,-2.83087
"3","2010_Q4",37.3859375,"Up",830669000,-215094000,615575000,-366453000,-366453000,249122000,2026000,2026000,251148000,251148000,-93512000,157636000,157636000,157636000,157636000,907656000,702778000,118147000,118147000,306673000,177608000,1510084000,544365000,581538000,291029000,290509000,1131903000,2641987000,550498000,111194000,439304000,742000,551240000,24245000,403109000,403109000,427354000,978594000,1377223000,3042000,1374181000,269083000,17087000,1663393000,1663393000,2641987000,157636000,32578000,8393000,20054000,-15596000,3935000,6509000,60625000,-37821000,-8790000,-7505000,205116000,-14721000,-14721000,-14721000,-204878000,-219599000,-23729000,-90000,-360439000,39561000,280000,-383978000,-398461000,-398461000,-1938000,-400399000,281700000,24987000,3.67e+08,0.74106,0.29991,0.18977,0.09477,0.05967,2.32815,2.73943,0.58831,0.00946,0.51068,0.503,2.69104,5.38873,1.18893,0.07687,0.08672,0.17547,0.15053,-3.13337,-3.54312
"4","2011_Q1",39.1706451612903,"Up",950525000,-253526000,696999000,-400034000,-400034000,296965000,2196000,2196000,299161000,299161000,-103634000,195527000,195527000,195527000,195527000,696398000,596470000,109068000,109068000,363285000,133890000,1302641000,548474000,6.16e+08,305861000,143886000,1164474000,2467115000,528294000,105569000,422725000,742000,529036000,24159000,408627000,408627000,432786000,961822000,1505951000,2969000,1502982000,-30053000,29395000,1505293000,1505293000,2467115000,195527000,32733000,18089000,22478000,12931000,-17320000,-64824000,13309000,-55601000,-7622000,-14910000,181525000,-29496000,-29496000,-29496000,104950000,75454000,-22869000,-85000,-343667000,106331000,28000.0000000037,-366593000,-109614000,-109614000,3306000,-106308000,329698000,24901000,339012000,0.73328,0.31242,0.2057,0.12989,0.07925,1.73384,2.46229,0.63896,0.01009,0.64862,0.63539,3.15318,4.99351,1.1246,0.07586,0.11264,0.17485,0.11696,-2.0367,-2.2612
"5","2011_Q2",42.5215873015873,"Up",911669000,-235498000,676171000,-390511000,-390511000,285660000,-562000,248000,285098000,285098000,-96222000,188876000,188876000,188876000,188876000,711963000,621371000,133173000,133173000,458920000,121194000,1425250000,546246000,638334000,321671000,316663000,1184580000,2609830000,568901000,105448000,463453000,750000,569651000,24064000,433442000,433442000,457506000,1027157000,1570321000,2957000,1567364000,-22935000,35287000,1582673000,1582673000,2609830000,188876000,32251000,27258000,22342000,9896000,-4980000,-70929000,-23749000,-97681000,-1935000,52436000,177456000,-23080000,-23080000,-23080000,9336000,-14520000,-44774000,-86000,-98023000,39477000,2587000,-140296000,22640000,22640000,2261000,24901000,317911000,24814000,320124000,0.74168,0.31334,0.20718,0.11934,0.07237,1.69489,2.50197,0.649,0.00951,0.63744,0.62698,3.0768,5.34138,1.08039,0.15111,0.11448,0.15685,0.23705,-2.16145,-2.40548
"6","2011_Q3",42.65390625,"Up",1264457000,-349281000,915176000,-461841000,-461841000,453335000,-894000,230000,452441000,452441000,-149013000,303428000,303428000,303428000,303428000,939832000,784232000,180583000,180583000,367410000,134799000,1622624000,541471000,630576000,330032000,300544000,1172047000,2794671000,565365000,103876000,461489000,790000,593274000,23550000,439389000,439389000,462939000,1056213000,1849121000,2958000,1846163000,-151760000,41097000,1738458000,1738458000,2794671000,303428000,31228000,-10244000,24981000,5364000,-40589000,83348000,-46279000,96998000,-2783000,35412000,407760000,-26118000,-26118000,-26118000,-65008000,-94278000,-44283000,26643000,-169039000,218460000,35428000,-151251000,162231000,162231000,630000,162861000,484563000,24340000,690806000,0.72377,0.35852,0.23997,0.17454,0.10857,2.27667,2.73503,0.60756,0.00871,1.01985,0.99497,4.24996,5.84312,2.32187,0.14884,0.15789,0.31369,0.14594,-1.88931,-2.01946
"7","2011_Q4",44.6671428571429,"Up",950706000,-259051000,691655000,-437818000,-437818000,253837000,-842000,292000,252995000,252995000,-66980000,186015000,186015000,186015000,186015000,702038000,699782000,142898000,142898000,421831000,185621000,1452388000,582348000,600380000,331004000,269376000,1182728000,2635116000,592222000,118612000,473610000,795000,593017000,23360000,406170000,406170000,429530000,1022547000,2003312000,2886000,2000426000,-445654000,54911000,1612569000,1612569000,2635116000,186015000,30370000,30046000,24044000,-3488000,9490000,-19022000,45953000,-31210000,-10583000,-23182000,227409000,-41780000,-41780000,-41780000,82182000,36400000,-44829000,-27213000,-165342000,27103000,2262000,-235122000,28687000,28687000,-179000,28508000,284207000,24155000,290385000,0.72752,0.267,0.19566,0.11535,0.07059,1.56108,2.44915,0.63411,0.00917,0.63104,0.61685,3.2252,5.47053,0.98511,0.15208,0.113,0.14214,0.241,-2.38517,-2.67054
"8","2012_Q1",52.9545161290323,"Up",1031675000,-291136000,740539000,-428447000,-428447000,312092000,-1407000,261000,310685000,310685000,-108204000,202481000,202481000,202481000,202481000,702038000,699782000,142898000,142898000,421831000,185621000,1452388000,582348000,600380000,331004000,155931000,1182728000,2635116000,592222000,118612000,473610000,795000,593017000,23360000,406170000,406170000,429530000,1022547000,2003312000,2886000,2000426000,-445654000,54911000,1612569000,1612569000,2635116000,202481000,31257000,42134000,24463000,27952000,-10281000,-55226000,-7756000,-32827000,25043000,-39686000,220646000,-56766000,-56766000,-56766000,71162000,12767000,-44229000,-90000,-303439000,77117000,-698999.999999996,-348457000,-115044000,-115044000,2086000,-112958000,343349000,24155000,339561000,0.7178,0.30251,0.19626,0.12556,0.07684,1.677,2.44915,0.63411,0.00917,0.69603,0.67841,3.5464,5.54323,1.16725,0.15204,0.12076,0.16622,0.21844,-1.97433,-2.17206
"9","2012_Q2",50.2209523809524,"Down",1050359000,-285706000,764653000,-442687000,-442687000,321966000,-1362000,114000,320604000,320604000,-105621000,214983000,214983000,214983000,214983000,954004200.732507,941833493.910271,191690653.453033,191690653.453033,408169224.204952,171825767.636524,1725689846.02702,586722215.102895,603848635.89943,338318723.363312,171096333.156322,1191555967.04151,2917245813.06853,750394211.78888,137571898.265497,612822313.523383,2200867.49923772,754861410.078617,21974983.9030147,402663341.664716,402663341.664694,424639396.884104,1179500806.96272,2061362472.83536,2884109.03158745,2058478363.80377,-388879931.005696,65262464.2761443,1737745006.1058,1737745006.1058,2917245813.06853,214983000,32054000,48375000,24606000,34289000,-10520000,-70446000,-10816000,-102017000,24646000,17741000,224966000,-30895000,-30895000,-30895000,24922398.3436477,-38490000,-65253000,-91000,32219000,91219000,-9382000,-42507000,143969000,143969000,1968000,145937000,354020000,0,358300000,0.72799,0.30653,0.20468,0.181728708212765,0.108995219302225,1.66664,2.27678637425822,0.674671721239892,0.00835209209997665,0.74189,0.72613,3.6247,5.99629850877703,1.23646,0.22518,0.171415032348294,0.352656425740185,0.30353,-1.72308968888023,-1.82398370816343
"10","2012_Q3",42.3084126984127,"Down",1448649000,-403438000,1045211000,-544310000,-544310000,500901000,-1771000,-16000,499130000,499130000,-151635000,347495000,347495000,347495000,347495000,1085595000,1085595000,212041000,212041000,429031000,169339000,1896006000,595829000,609050000,351988000,257062000,1204879000,3100885000,810192000,136731000,673461000,804000,810996000,23165000,397998000,397998000,421163000,1232159000,2175123000,2875000,2172248000,-372435000,66038000,1868726000,1868726000,3100885000,347495000,33028000,19550000,26986000,-10076000,2640000,211031000,-60003000,85972000,-7625000,192687000,611104000,-39290000,-39290000,-39290000,2256000,-43853000,-65311000,-94000,-267208000,32792000,5649000,-326964000,240287000,240287000,-411000,239876000,533929000,23969000,857305000,0.72151,0.34577,0.23988,0.18595,0.11206,2.4671,2.33787,0.65936,0.00773,1.20083,1.17765,5.00608,6.45773,2.96258,0.22569,0.18021,0.37426,0.18795,-1.98833,-2.11943
