"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q3",57278320.3125,"Down",1040000,-640000,4e+05,-2572000,-1822000,-750000,-2172000,-72000,-2244000,-2244000,-2254000,-2254000,-2254000,-2254000,636000,636000,852000,2075000,328000,3000,325000,3891000,282000,182000,182000,464000,4355000,2612000,977000,579000,3944000,206000,1325000,5269000,21062000,-21976000,-914000,-914000,4355000,-2254000,13000,639000,177000,-1425000,-14000,-28000,-42000,-98000,-1565000,-1565000,20000,-1545000,-2159000,1474000,0.38462,-2.08846,-2.16731,2.46608,-0.51757,0.98656,-5.76477,0.33846,-901987.25917,-901987.25917,416178.68214,-365757.03411,-2.94256,-0.38814,-0.38582
"2","2011_Q4",53841666.6666667,"Down",1986000,-801000,1185000,-3335000,-2788000,-547000,-2150000,-108000,-2258000,-2258000,-2283000,-2283000,-2283000,-2283000,7485000,7485000,1778000,2007000,260000,103000,157000,11530000,346000,194000,194000,540000,12070000,2899000,516000,516000,3598000,257000,257000,3855000,36623000,-28408000,8215000,8215000,12070000,-2283000,14000,2021000,-1817000,-2065000,-56000,320000,264000,1407000,-394000.000000002,-394000.000000002,-191000,-585000,-2136000,183000,0.59668,-1.08258,-1.14955,-0.277910000000001,-0.18915,3.20456,0.46926,0.0151600000000001,-913592.24165,-913592.24165,794741.21416,3287411.41708,-0.26378,3.41854,3.39628
"3","2012_Q1",45137298.3870968,"Down",237000,-356000,-119000,2392000,2090000,302000,2273000,741000,3014000,3014000,3012000,3012000,3012000,3012000,5094000,5094000,2284000,2171000,281000,72000,209000,9830000,420000,215000,215000,635000,10465000,3031000,316000,316000,3441000,270000,270000,3711000,43395000,-36641000,6754000,6754000,10465000,3012000,39000,-1991000,81000,1141000,-12000,-154000,-166000,-7726000,-6751000,-6751000,162000,-6589000,2312000,94000,-0.50211,9.59072,12.70886,0.44596,0.28782,2.85673,0.54945,0.00898,1205317.49096,1205317.49096,94840.71891,2702760.40304,0.42315,-2.16263,-2.19974
"4","2012_Q2",25606250,"Down",1986000,-801000,1185000,-3335000,-2788000,-547000,-2150000,-108000,-2258000,-2258000,-2283000,-2283000,-2283000,-2283000,3351000,3351000,2042000,2076000,332000,89000,243000,7801000,465000,261000,261000,726000,8527000,3191000,217000,192000,3408000,317000,317000,3725000,44583000,-39781000,4802000,4802000,8527000,-2283000,14000,2021000,-1817000,-2065000,-56000,320000,264000,1407000,-393999.999999999,-393999.999999999,-191000,-585000,-2136000,-2.3283064365387e-10,0.59668,-1.08258,-1.14955,-0.47543,-0.26774,2.28903,0.77572,-1.73472347597681e-18,-913592.24165,-913592.24165,794741.21416,1921625.03041,-0.44599,1.56882,1.5586
"5","2012_Q3",40391666.6666667,"Up",1292000,-671000,621000,-8858000,-8024000,-834000,-8237000,-39000,-8276000,-8276000,-8233000,-8233000,-8233000,-8233000,10284000,10284000,1824000,1807000,394000,93000,301000,14309000,462000,1243000,1243000,1705000,16014000,3366000,184000,174000,3550000,2060000,7078000,10628000,49108000,-43722000,5386000,5386000,16014000,-8233000,37000,6832000,-788000,-2152000,-29000,-78000,-107000,-94000,-2353000,-2353000,-38000,-2391000,-8200000,5018000,0.48065,-6.37539,-6.37229,-1.52859,-0.51411,4.0307,1.97326,0.31335,-3294614.50965,-3294614.50965,517021.97819,2155325.3673,-0.66054,0.6422,0.63931
"6","2012_Q4",38911391.1290323,"Down",1138000,-574000,564000,-3690000,-2341000,-1349000,-3126000,11000,-3115000,-3115000,-3140000,-3140000,-3140000,-3140000,13260413.7210699,13260413.7210699,2010517.74763009,1636522.21034683,402551.686522585,119023.034099338,283528.652423247,17310005.3655694,467212.733027826,1486189.73905525,1485613.79736844,1953402.47208307,19263407.8376525,3505683.24826053,178376.514866102,176208.703590028,3531879.68659426,1317456.75319002,7090231.0750116,10622110.7616059,53201746.0764163,-44560449.0003702,8641297.07604665,8641297.07604665,19263407.8376525,-3140000,34000,1232000,295000,-1579000,-79000,31000.0000000001,-48000,-94000,-1721000,-1721000,-22000,-1743000,-3092000,0,0.49561,-2.74692,-2.75923,-3.61059952293638,-0.398742539821673,4.76059541935724,8.76643886175243,0.324760728402408,-1207484.7217,-1207484.7217,437617.0743,3278960.1349186,-0.47110697615027,0.812733331185575,0.801920292768825
"7","2013_Q1",20508906.25,"Down",933000,-803000,130000,-4162000,-2904000,-1258000,-4032000,-1102000,-5134000,-3934000,-3941000,-3941000,-3941000,-3941000,10284000,10284000,1824000,1807000,394000,93000,301000,14309000,462000,1243000,1243000,1705000,16014000,3366000,184000,174000,3550000,2060000,7078000,10628000,49108000,-43722000,5386000,5386000,16014000,-3941000,35000,475000,647000,-2784000,-114000,-38000,-152000,9847000,6911000,6911000,22000,6933000,-3997000,5018000,0.13934,-4.32154,-4.22401,-0.73171,-0.2461,4.0307,1.97326,0.31335,-1515384.71968,-1515384.71968,358755.12394,2071012.9663,-0.31619,1.31749,1.30605
"8","2013_Q2",15566414.0625,"Down",1514000,-674000,840000,-4051000,-3144000,-907000,-3211000,-1276000,-4487000,-4903000,-4885000,-4885000,-4885000,-4885000,8297000,8297000,1078000,2098000,501000,56000,445000,11974000,463000,1178000,1178000,1641000,13615000,3184000,179000,169000,3363000,5373000,11008000,14371000,50471000,-51227000,-756000,-756000,13615000,-4885000,51000,2809000,-792000,-2817000,-31000,-43000,-74000,-20000.0000000019,-2911000,-2911000,-7999.99999999999,-2919000,-3160000,5635000,0.55482,-2.12087,-3.22655,6.46164,-0.3588,3.56051,-19.00926,0.41388,-1874741.78623,-1874741.78623,581035.63242,-290134.04102,-0.47649,0.84241,0.82903
"9","2013_Q3",14692688.9648438,"Down",1500000,-832000,668000,-4883000,-3836000,-1047000,-4215000,-884000,-5099000,-14970000,-14947000,-14947000,-14947000,-14947000,14820000,14820000,1739000,1593000,753000,272000,481000,18905000,550000,1290000,1290000,1840000,20745000,3859000,184000,174000,4043000,6e+05,6e+05,4643000,89082000,-72980000,16102000,16102000,20745000,-14947000,62000,11901000,1300000,-1684000,-84000,-25000,-109000,14094000,12301000,12301000,5000,12306000,-4153000,0,0.44533,-2.81,-9.96467,-0.928270000000001,-0.72051,4.67598,0.288350000000001,0,-3156016.2066,-3156016.2066,316720.70047,3399891.14596,-0.89492,3.5685,3.51601
"10","2013_Q4",18285791.015625,"Up",1552000,-750000,802000,-4687000,-3143000,-1544000,-3885000,0,-3885000,-3942000,-3945000,-3945000,-3945000,-3945000,2514000,2514000,2146000,1982000,460000,91000,369000,7102000,467000,2228000,2228000,2695000,9797000,3301000,187000,177000,10873000,2327000,2327000,13200000,54630000,-58033000,-3403000,-3403000,9797000,-3945000,50000,963000.000000004,-340000,-3272000,-80000,-30000,-110000,3.72529029846191e-09,-3382000,-3382000,2000.00000000001,-3380000,-3835000,7385000,0.51675,-2.50322,-2.54188,1.15927,-0.40267,0.65318,-3.87893,0.7538,-761202.796129999,-761202.796129999,299464.31929,-656621.82896,-0.6253,-1.27014,-1.2538
