"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.3042857142857,"Up",33237000,-4296000,28941000,-32299000,-9013000,-23286000,-3358000,-2464000,-5822000,-5822000,-308000,-6130000,-6130000,-6130000,-6130000,-6775094865.34414,-766033329.10763,-6009061536.23651,582708652.660518,582708652.660518,-139206859.78623,24021965.9990645,24021965.9990645,-6307571106.47079,110918325.576076,76603897.0612551,76501000,102897.061255083,2585875672.29127,-3721695434.17952,59205536.1213692,85528701.1861678,-27938545.6477768,137768232.957294,109887606.147808,-2232750870.9209,39487701.774433,-41726671.4688075,2704041938.03314,471291067.112242,-2913767014.40576,-1301198890.0404,21979403.154392,-4192986501.29176,-4192986501.29176,-3721695434.17952,-6130000,4149000,3509000,-35691000,-34163000,-3973000,4994000,1021000,4776000,4776000,4417000,-28725000,-28725000,-3e+05,-29025000,791000,0,-38565000,0.87075,-0.10103,-0.18443,-3.57154499274726,-0.185678373117904,6.29119,-81.439452929599,70.6126971077529,3.02364317130878,-0.05428,-0.05428,0.29428,-37.1261228796727,-0.34146,-0.258439537266823,-0.194810636711948,133.534655062846,-52.0800040596121
"2","2010_Q3",13.5475,"Up",42563000,-4889000,37674000,-35807000,-10207000,-25600000,1867000,-2353000,-486000,-486000,-31000,-517000,-517000,-517000,-517000,-2913173432.67207,-318674164.553815,-2594499268.11825,284288326.330259,284288326.330259,-59060429.8931149,12927482.9995322,12927482.9995322,-2675018053.23539,100035162.788038,77029448.5306275,76501000,528448.530627541,1210896336.14563,-1464121717.08976,50112268.0606846,43912850.5930839,5391727.17611158,75839616.478647,51583303.0739038,-873955435.460451,92682350.8872165,-14221835.7344038,1326262969.01657,452307533.556121,-673983007.202878,-1252195945.0202,9749701.57719598,-1916429250.64588,-1916429250.64588,-1464121717.08976,-517000,4185000,4391000,-28012000,-19953000,-4823000,26184000,21361000,1372000,1372000,1e+06,2408000,2408000,264000,2671999.99999999,6052000,1.49011611938477e-08,-26752000,0.88513,0.04386,-0.01215,-1.77600749637363,-0.0951641865589518,51.74468,-35.8020114647995,35.8673485538764,1.65598658565439,-0.00457999999999999,-0.00458000000000001,0.37686,-16.9687464398363,-0.23686,-0.130914768633411,-0.0231353183559738,79.7563075314228,-14.701232029806
"3","2010_Q4",14.00625,"Up",37925000,-6245000,31680000,-37905000,-10181000,-27724000,-6225000,-2208000,-8433000,-8433000,-278000,-8711000,-8711000,-8711000,-8711000,-688752144.224023,-76688054.8512717,-612064089.372751,108782108.776753,108782108.776753,-13280476.6310383,7257494.33317741,7257494.33317741,-585993017.745131,93447720.929346,77321482.8435425,76501000,820482.843542514,460264778.715211,-125728239.02992,42620422.6868949,19236283.531028,23114909.0587039,41443872.159549,19526101.0246346,-177586478.486817,122704783.629072,2265388.08853208,617078323.005524,439491844.518707,675632997.599041,-1244198648.34007,3345567.19239866,-565220083.548627,-565220083.548627,-125728239.02992,-8711000,4165000,4640000,-22256000,-22162000,-13364000,24858000,11494000,994000,994000,606000,-10062000,-10062000,-276000,-10338000,-2060000,0,-37402000,0.83533,-0.16414,-0.22969,-0.733432498791211,-0.0528513955196506,4.29365,-8.14045715493317,15.0580295179588,0.842005528551464,-0.07713,-0.07713,0.33579,-5.00467547994544,-0.33116,-0.0678349228778038,0.0347648938813421,43.6321891771409,4.49504265673133
"4","2011_Q1",10.3667741935484,"Down",45314000,-10237000,35077000,-43040000,-11585000,-31455000,-7963000,-1777000,-9740000,-22316000,-264000,-22580000,-22580000,-22580000,-22580000,315932000,17755000,298177000,25102000,25102000,7266000,5679000,5679000,353979000,89773000,77473000,76501000,972000,167246000,521225000,37130000,7194000,29936000,26978000,6394000,64108000,134486000,9723000,366455000,430563000,1354241000,-1264547000,968000,90662000,90662000,521225000,-22580000,4052000,17633000,21302000,20407000,-9297000,-7866000.00000001,-17163000,1749000,1749000,1511999.99999999,4756000,4756000,93000,4849000,-3911000,231969000,8358000,0.77409,-0.17573,-0.4983,-0.24906,-0.04332,-0.370150000000002,5.5216,4.7491,0.44505,-0.19993,-0.19993,0.40121,0.80273,0.0740000000000001,-0.0494,0.01828,21.46842,10.54414
"5","2011_Q2",9.15333333333333,"Down",11299000,-3263000,8036000,-41903000,-11727000,-30176000,-33867000,-2019000,-35886000,-35886000,-148000,-36034000,-36034000,-36034000,-36034000,518642000,22485000,496157000,2160000,2160000,11712000,6859000,6859000,539373000,87628000,77477000,76501000,976000,165105000,704478000,34041000,3481000,30560000,24839000,4865000,58880000,132957000,10139000,364360000,423240000,1581001000,-1300581000,818000,281238000,281238000,704478000,-36034000,3856000,5111000,12197000,-14870000,-3765000,-198120000,-201885000,221958000,221958000,221499000,4744000,4744000,-14000,4730000,-30011000,231403000,-21431000,0.71121,-2.99734,-3.18913,-0.12813,-0.05115,0.59474,9.16055,1.50492,0.32847,-0.31905,-0.31905,0.10004,2.49011,-0.18975,-0.05581,-0.0332,9.57112,8.48138
"6","2011_Q3",5.92640625,"Down",17331000,-8140000,9191000,-43455000,-11185000,-32270000,-34264000,-2057000,-36321000,-36321000,-60000,-36381000,-36381000,-36381000,-36381000,362906000,11626000,351280000,8460000,8460000,9797000,7932000,7932000,389095000,85381000,77437000,76501000,936000,281759000,670854000,34639000,3243000,31396000,26635000,6768000,61274000,127486000,9555000,358304000,419578000,1587472000,-1336962000,766000,251276000,251276000,670854000,-36381000,3793000,5191000,-7391000,-34788000,-3080000,25879000,22799000,1591000.00000003,1591000.00000003,1116000,-10873000,-10873000,14000,-10859000,-30471000,230818000,-40882000,0.53032,-1.97704,-2.09919,-0.14479,-0.05423,1.12372,6.35008,1.66979,0.34407,-0.32212,-0.32212,0.15345,2.22482,-0.36197,-0.05968,-0.06707,4.33488,3.85501
"7","2011_Q4",4.9252380952381,"Down",27068000,-5038000,22030000,-43368000,-12350000,-31018000,-21338000,-2638000,-23976000,-23976000,-92000,-24068000,-24068000,-24068000,-24068000,266487000,43008000,223479000,12914000,12914000,10654000,7565000,7565000,297620000,81649000,77346000,76501000,845000,350473000,648093000,39324000,2175000,37149000,24763000,4781000,279042000,123004000,9959000,138254000,417296000,1592814000,-1361030000,-987000,230797000,230797000,648093000,-24068000,3775000,5166000,-6743000,-21870000,-1449000,54182000,52733000,523000,523000,26000,30889000,30889000,493000,31382000,-17563000,230205000,-25663000,0.81388,-0.78831,-0.88917,-0.10428,-0.03714,1.06627,1.06658,1.80807,0.3552,-0.2131,-0.2131,0.23966,2.0435,-0.22722,-0.04121,-0.04394,2.06582,1.70035
"8","2012_Q1",6.94774193548387,"Up",15782000,-5450000,10332000,-44800000,-11498000,-33302000,-34468000,-2309000,-36777000,-36777000,-718000,-37495000,-37495000,-37495000,-37495000,241168000,15312000,225856000,4938000,4938000,12656000,17944000,17944000,276706000,78576000,77500000,76501000,999000,329844000,606550000,36253000,3019000,31429000,24324000,4681000,275532000,118625000,10437000,133207000,408739000,1597439000,-1398525000,-1103000,197811000,197811000,606550000,-37495000,3527000,4776000,-13022000,-42214000,-1428000,15829000,14401000,241000,241000,-306000,-28119000,-28119000,423000,-27696000,-30941000,229537000,-44673000,0.65467,-2.18401,-2.37581,-0.18955,-0.06182,1.19144,1.00426,2.06631,0.37843,-0.33198,-0.33198,0.13974,1.75144,-0.39554,-0.06868,-0.08182,0.37591,0.33744
"9","2012_Q2",7.35952380952381,"Up",17949000,-8707000,9242000,-45499000,-10414000,-35085000,-36257000,-1256000,-37513000,-40973000,-124000,-41097000,-41097000,-41097000,-41097000,382109000,148485000,233624000,10803000,10803000,14108000,13634000,13634000,420654000,75557000,81846000,76501000,5345000,274135000,694789000,30433000,1761000,28672000,25365000,5358000,270753000,247659000,136609000,261549000,532302000,1602152000,-1439622000,-43000,162487000,162487000,694789000,-41097000,3510000,7989000,-5020000,-34618000,-1516000,49941000,48425000,479000,479000,119502000,133309000,133309000,-136000,133173000,-32747000,228845000,-39159000,0.5149,-2.02,-2.28965,-0.25292,-0.05915,0.95284,1.55364,3.27597,0.32937,-0.36388,-0.36388,0.15892,1.43868,-0.34672,-0.06432,-0.06128,4.68025,4.22716
"10","2012_Q3",8.80666666666667,"Up",23684000,-7203000,16481000,-43469000,-10268000,-33201000,-26988000,-1834000,-28822000,-34192000,-93000,-34285000,-34285000,-34285000,-34285000,432874000,136154000,296720000,11361000,11361000,14715000,9341000,9341000,468291000,73713000,82194000,76501000,5693000,200152000,668443000,33880000,3118000,30762000,28026000,7335000,276861000,246124000,137909000,259298000,536159000,1606811000,-1473907000,-620000,132284000,132284000,668443000,-34285000,3442000,6095000,4157000,-20591000,-1656000,9414999.99999999,7759000.00000001,858000,858000,272999.99999997,-12559000,-12559000,228000,-12331000,-23546000,228129000,-20952000,0.69587,-1.1395,-1.4476,-0.25918,-0.05129,0.61111,1.69143,4.05309,0.34128,-0.2992,-0.2992,0.20668,1.15441,-0.18284,-0.05653,-0.03454,8.69553,7.58652
