"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","fixed_income_securities_htm","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_short_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",22.5662295081967,"Up",42353000,40344000,1228000,781000,21000,760000,-692000,-22299000,19362000,19362000,19362000,-345000,19017000,19017000,19017000,19017000,332555000,14079000,318476000,477655000,10006000,4411000,6173000,23170000,853970000,106469000,3070000,103399000,25360000,131829000,722141000,722141000,722141000,853970000,19017000,619000,2583000,7504000,29723000,5363000,4708000,314467000,-84000,311967000,346398000,346398000,346398000,19981000,0,0.45716,0.44901,0.02633,0.02227,0.18255,0,1.3541,1.05049,3.01574,51.41989,0.02295,-23.90546,-24.66971
"2","2014_Q2",19.1547619047619,"Down",47821000,44750000,1898000,1173000,4e+05,773000,-902000,-23459000,23460000,23460000,23460000,-8454000,15006000,15006000,15006000,15006000,847268000,261525000,585743000,8838000,10349000,4372000,6628000,27591000,905046000,114645000,3804000,110841000,50272000,164917000,740129000,740129000,740129000,905046000,15006000,546000,7335000,-10359000,12528000,-479423000,-479930000,-2327000.00000006,-2327000,-1415000,-468817000,-468817000,-468817000,24006000,0,0.49058,0.3138,0.02027,0.01658,0.22282,0,0.18109,0.17717,0.5771,8.93185,0.01756,-0.36816,-0.376729999999998
"3","2014_Q3",19.025,"Down",54283000,50342000,3080000,861000,68000,793000,-966000,-23648000,29669000,29669000,29669000,-10114000,19555000,19555000,19555000,19555000,845870000,173171000,672699000,14180000,12249000,4865000,7539000,40662000,925365000,128510000,4506000,124004000,28896000,157406000,767959000,767959000,767959000,925365000,19555000,671000,14180000,-1687000,32719000,-23589000,-24753000,-58000,-58000,-2624000,5342000,5342000,5342000,30340000,0,0.54656,0.36024,0.02546,0.02113,0.20497,0,0.23482,0.23086,0.65183,9.22163,0.02181,-0.46737,-0.47794
"4","2014_Q4",22.43328125,"Up",64621000,60323000,3405000,893000,151000,742000,-1391000,-24469000,38761000,38761000,38761000,-13691000,25070000,25070000,25070000,25070000,897151000,106263000,790888000,17574000,13168000,5200000,8784000,49723000,991600000,147226000,5682000,141544000,49481000,196707000,794893000,794893000,794893000,991600000,25070000,617000,17667000,12965000,56319000,-51983000.0000001,-52935000,-35999.9999999925,-36000,9999.99999999255,3394000,3394000,3394000,39378000,-2.27373675443232e-13,0.59982,0.38795,0.03154,0.02528,0.24746,0,0.29971,0.29483,0.77254,9.50295,0.02661,-0.44629,-0.45339
"5","2015_Q1",22.6285245901639,"Up",72742000,67814000,3902000,1026000,306000,720000,-3049000,-25656000,44037000,44037000,44037000,-15171000,28866000,28866000,28866000,28866000,1057613000,210688000,846925000,24411000,15810000,5841000,9597000,68189000,1181461000,165375000,8427000,156948000,60348000,225723000,955738000,955738000,955738000,1181461000,28866000,630000,18339000,4303000,52138000,-168812000,-170082000,126364000,-77000,124781000,6837000,6837000,6837000,44667000,0,0.60539,0.39683,0.0302,0.02443,0.23618,0,0.33505,0.32812,0.84432,11.09324,0.02575,-0.54651,-0.55433
"6","2015_Q2",24.2304761904762,"Up",80011000,75038000,4280000,693000,649000,44000,-1999000,-27498000,50514000,50514000,50514000,-15676000,34838000,34838000,34838000,34838000,1120231000,111922000,1008309000,21902000,15763000,8073000,9852000,74265000,1250086000,174232000,10065000,164167000,79837000,254069000,996017000,996017000,996017000,1250086000,34838000,734000,16480000,-4872000,47180000,-44916000,-46443000,-5022999.99999997,-5023000,-3246000,-2509000,-2509000,-2509000,51248000,1.81898940354586e-12,0.63134,0.43542,0.03498,0.02787,0.25509,-8.470329472543e-22,0.38629,0.38068,0.88719,11.04415,0.02977,-0.42737,-0.43358
"7","2015_Q3",25.8890625,"Up",84067000,78361000,4720000,986000,568000,418000,-2314000,-27148000,54605000,54605000,54605000,-17412000,37193000,37193000,37193000,37193000,1159379000,95366000,1064013000,25590000,14972000,8631000,10546000,108370000,1327488000,190136000,11931000,178205000,109579000,299715000,1027773000,1027773000,1027773000,1327488000,37193000,847000,19168000,-14542000,42666000,-37570000,-38975000,-55000,-55000,-3000,3688000,3688000,3688000,55452000,0,0.64954,0.44242,0.03619,0.02802,0.29162,0,0.41168,0.40571,0.93051,11.37609,0.03054,-0.46148,-0.46864
"8","2015_Q4",22.83796875,"Down",91736000,83694000,5322000,2720000,548000,2172000,-3393000,-28714000,59629000,59629000,59629000,-18808000,40821000,40821000,40821000,40821000,1240514000,121600000,1118914000,18723000,17053000,8126000,11229000,116289000,1411934000,206537000,14548000,191989000,129161000,335698000,1076236000,1076236000,1076236000,1411934000,40821000,805000,15853000,11861000,69340000,-75926000,-76226000,-56999.9999999963,-57000.0000000005,19000.0000000037,-6867000,-6867000,-6867000,60434000,-2.91038304567337e-11,0.65001,0.44498,0.03793,0.02891,0.31192,0,0.45145,0.44445,1.01454,11.9025,0.03182,-0.30981,-0.31399
"9","2016_Q1",18.015737704918,"Down",97476000,89378000,5563000,2535000,789000,1746000,-4199000,-29627000,63650000,63650000,63650000,-19171000,44479000,44479000,44479000,44479000,1276634000,85996000,1190638000,24606000,16637000,9021000,11529000,130672000,1469099000,218805000,17760000,201045000,131053000,349858000,1119241000,1119241000,1119241000,1469099000,44479000,833000,19719000,2342000,67373000,-57340000,-59068000,-570000,-33000,-2422000,5883000,5883000,5883000,64483000,0,0.65298,0.45631,0.03974,0.03028,0.31259,0,0.49174,0.4839,1.07764,12.37373,0.03324,-0.38159,-0.38658
"10","2016_Q2",19.62390625,"Up",102466000,94403000,6183000,1880000,471000,1409000,-3731000,-31388000,67347000,67347000,67347000,-19396000,47951000,47951000,47951000,47951000,1368502000,83488000,1285014000,28206000,17200000,9232000,11686000,130906000,1565732000,227578000,20470000,207108000,156659000,384237000,1181495000,1181495000,1181495000,1565732000,47951000,1e+06,20573000,-1027000,68497000,-59843000,-61054000,-3843000,-3843000,-3843000,3600000,3600000,3600000,68347000,0,0.65726,0.46797,0.04059,0.03063,0.32521,0,0.52818,0.52201,1.12867,13.01421,0.03403,-0.41269,-0.41882
