"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",33.65296875,"Up",40913222,-23856088,17057134,-9378998,-9378998,7678136,221955,221955,7900091,7900091,-3011622,4888469,4888469,4888469,4888469,20862639.5411909,12208869.3424115,5970351.43463673,5970351.43463673,2597086.54198232,15995704.2776411,1064456.2819156,45425781.7954511,-6808132.4637099,3419861.88517675,3419861.86039666,-3388270.57853315,42037511.2169179,1248416.25329194,-613654.469675359,2133101.85252411,-494343.232097911,-494343.232097911,754073.021424312,128956.408774021,128956.40877402,128956.419280403,883029.440704716,30612118.685143,10675073.0241168,41154481.7762132,41154481.7762132,42037511.2169179,4888469,498089,185753,-237597,5334714,-1305304,-1376962,-3943845,13907,13907,13907,8176225,0,9644946,0.41691,0.18767,0.11948,-0.0307339865577325,-0.00333469241431797,1.973,5.89142068064117,0.0907107213981826,2.95213808173036e-11,0.44591,0.44591,3.73198,3.77608937359743,0.87978,0.0639897124057363,0.690396561797183,-5.25624189180575,-5.48262489971818
"2","2011_Q1",38.8667741935484,"Up",43079426,-23546682,19532744,-9326689,-9326689,10206055,160388,160388,10366443,10366443,-3701628,6664815,6664815,6664815,6664815,16341762,2939839,25472529,25472529,1782743,6022960,562210,49619994,8683058,4432277,4432277,13115335,62735329,10015945,2617377,7398568,4469507,4469507,14485452,1785854,1785854,1785854,16271306,30560112,15845008,46464023,46464023,62735329,6664815,342866,1732216,-2993787,5746110,-522145,-550634,-3943845,1251631,1251631,1251631,10548921,0,10734617,0.45341,0.23691,0.15471,0.14344,0.10624,1.61064,3.42551,0.35019,0,0.60794,0.60794,3.92957,4.23831,0.97918,0.21993,0.22248,-1.54914,-1.60118
"3","2011_Q2",43.911746031746,"Up",40380233,-23244393,17135840,-8644602,-8644602,8491238,153335,153335,8644573,8644573,-3271406,5373167,5373167,5373167,5373167,19205085.819603,3476850.96919618,30011516.9384544,30011516.9384544,1637204.65267256,4089797.65745297,386857.906028135,54943605.068183,11393930.5712366,4766937.12160775,4766937.12986778,16160867.6928444,71104472.7610274,13169051.832236,3632477.65655845,9467506.63249196,5985461.1606993,5985461.1606993,19154512.9928586,2051517.69707533,2051517.69707533,2051517.6935732,21206030.6864318,30694677.6882857,19101224.1586277,49898442.0745956,49898442.0745956,71104472.7610274,5373167,608672,131174,8176905,14289918,-298201,-3339792,-3946636,7003490,7003490,7003490,9099910,0,20250020,0.42436,0.21028,0.13306,0.185083828852578,0.131620730804773,3.76873,2.81737060645294,0.421737259533939,-9.84046027243453e-12,0.49012,0.49012,3.68336,4.53206520880086,1.84715,0.254697595864755,0.117710312734272,-0.907354369398082,-0.937586700093939
"4","2011_Q3",49.27671875,"Up",48838696,-24681714,24156982,-11518103,-11518103,12638879,158176,158176,12797055,12797055,-4880908,7916147,7916147,7916147,7916147,24956676,8472714,26214552,26214552,1843971,6412527,418743,59427726,8307712,4670344,4670344,12978056,72405782,12999086,3331546,9539883,5585435,5585435,18584521,1597835,1597835,1597835,20182356,30954992,21204928,52223426,52223426,72405782,7916147,623109,1126134,-6815437,2849953,-372236,-414468,-3906100,-1470615,-1470615,-1470615,13261988,-2.16840434497101e-19,10955223,0.49463,0.25879,0.16209,0.15158,0.10933,1.38391,3.1977,0.38646,0,0.71675,0.71675,4.422,4.72847,0.99192,0.22108,0.20355,-1.88182,-1.9746
"5","2011_Q4",40.4036507936508,"Down",42045333,-22568673,19476660,-9838721,-9838721,9637939,181009,181009,9818948,9818948,-3829842,5989106,5989106,5989106,5989106,27604443,11159832,21233702,21233702,2007987,8819808,490424,59665940,8186000,4346753,4346753,12532753,72198693,11506964,2647472,8859492,4960602,4960602,16467566,1235390,1235390,1235390,17702956,31274081,23211274,54495737,54495737,72198693,5989106,535811,-51196,585831,7059552,-336320,-403762,-3968672,2687118,2687118,2687118,10173750,0,14253103,0.46323,0.22923,0.14244,0.1099,0.08295,2.37984,3.62324,0.32485,0,0.54135,0.54135,3.80046,4.92585,1.28833,0.17893,0.25575,-2.7133,-2.86414
"6","2012_Q1",43.1658064516129,"Up",42212082,-23570359,18641723,-8114840,-8114840,10526883,175044,175044,10701927,10701927,-4146957,6554970,6554970,6554970,6554970,23151170,6664482,21521260,21521260,1838937,7657167,498172,54168534,17419231,4056748,4056748,21475979,75644513,11080846,2469157,8611689,5589792,5589792,16670638,1589838,1589838,1589838,18260476,31593171,25783486,57384037,57384037,75644513,6554970,732732,600935,1452115,9340752,-9839960,-9867433,-3968669,-4495350,-4495350,-4495350,11259615,3.46944695195361e-18,7018727,0.44162,0.24938,0.15529,0.11423,0.08665,1.07075,3.24934,0.31822,-1.29246970711411e-26,0.59242,0.59242,3.81504,5.18625,0.63434,0.17868,0.11901,-2.05612,-2.19924
"7","2012_Q2",41.8855555555556,"Down",44489407,-25221964,19267443,-10268064,-10268064,8999379,159136,159136,9158515,9158515,-3509465,5649050,5649050,5649050,5649050,26124970,8557769,22478258,22478258,2011885,7192599,932679,57807712,17283938,4929769,4929769,22213707,80021419,14196762,2749997,8586936,6149253,6149253,20346015,1381979,1381979,1381979,21727994,31916174,26343455,58293425,58293425,80021419,5649050,819269,128449,1953888,8550656,-549083,-1586290,-5071079,1893287,1893287,1893287,9818648,0,14732918,0.43308,0.20228,0.12698,0.09691,0.07059,2.60803,2.84123,0.37273,0,0.51062,0.51062,4.02138,5.26912,1.3317,0.17994,0.24688,-2.66075,-2.90297
"8","2012_Q3",39.0314285714286,"Down",45731089,-25592340,20138749,-10213429,-10213429,9925320,189355,189355,10114675,10114675,-1853378,8261297,8261297,8261297,8261297,22803831,5219281,20549932,20549932,1899943,10688915,1250166,55942621,17690081,6939092,6939092,24629173,80571794,10834632,2786042,8048590,6435859,6435859,17270491,1619242,1619242,1619242,18889733,32143420,29515670,61682061,61682061,80571794,8261297,847569,689921,-6807701,2991086,-1122864,-1157960,-5171614,-3338488,-3338488,-3338488,10772889,0,4695702,0.44037,0.21704,0.18065,0.13393,0.10253,0.5684,3.2392,0.30624,0,0.74671,0.74671,4.1335,5.57526,0.42443,0.2109,0.07418,-2.11678,-2.29754
"9","2012_Q4",39.7082258064516,"Up",45173790,-25158998,20014792,-10024160,-10024160,9990632,261968,261968,10252600,10252600,-3327977,6924623,6924623,6924623,6924623,23496873,5830915,23951837,23951837,2288038,10739663,1297052,60476411,17773513,7003885,7003885,24777398,85253809,12328899,3175570,9153329,7119602,7119602,19448501,1952233,1952233,1952233,21400734,32472821,31350218,63853075,63853075,85253809,6924623,675365,830258,-2017060,6413186,-652030,-725878,-5075674,611634,611634,611634,10665997,0,11324884,0.44306,0.22116,0.15329,0.10845,0.08122,1.63545,3.10957,0.33516,0,0.62579,0.62579,4.08244,5.77053,1.02345,0.18258,0.1721,-2.20297,-2.35189
"10","2013_Q1",40.788,"Up",47915117,-26675132,21239985,-8877935,-8877935,12362050,110114,110114,12472164,12472164,-3333662,9138502,9138502,9138502,9138502,19587066,8912457,19704767,19704767,1682008,9227634,1081421,50201475,19029974,7862833,7862833,26892807,77094282,10263348,2980174,7283174,7452612,7452612,17715960,2176130,2176130,2176130,19892090,32859179,24315320,57202192,57202192,77094282,9138502,821981,784153,3507133,14251769,-2038984,4951815,-16122042,3081542,3081542,3081542,13184031,4.44089209850063e-16,17985842,0.44328,0.258,0.19072,0.15976,0.11854,1.96814,2.83369,0.34775,1.65436122510606e-24,0.85281,0.85281,4.47145,5.33812,1.67844,0.42628,0.3029,-1.48567,-1.58445
