"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.9078125,"Up",16163000,12437000,18444000,-6007000,3726000,345000,2755000,626000,-550000,15613000,-14910000,-343000,-14567000,703000,703000,703000,0,703000,703000,703000,703000,9197347.64162188,77940948.8383569,1295872355.41534,-58146861.7198771,1354019217.13522,56573978.5202266,4238152.56259871,82911526.0643239,1672408407.53672,1355831009.51518,1084864576.55209,270966432.963085,239828516.774391,1638546257.92581,136227126.603876,-135864956.268193,33499979.2752262,33862149.610909,33862149.610909,1672408407.53672,703000,798000,550000,28876000,-15461000,15466000,2715000,2000,73977000,76694000,-5667000,-32991000,-38658000,53502000,53502000,53502000,1501000,0,-11245000,0.04349,0.04349,-0.0586585554544943,-0.00408459577280722,-15.99573,32.0702186021878,0.0254829974539472,0.03707,0.03707,0.85229,-3.53680930414601,-0.59296,-0.00408459450236606,-0.0963843248519497,47.5623170588989,102.089869578265
"2","2011_Q1",2.93290322580645,"Up",16791000,12284000,17084000,-4800000,4507000,537000,2751000,1219000,-4e+05,16391000,-15556000,-284000,-15272000,835000,835000,835000,0,835000,835000,835000,835000,21274000,46149000,1169770000,-47426000,1217196000,56988000,3845000,65382000,1578261000,1276620000,1020723000,255897000,190911000,1510419000,167321000,-132654000,33175000,67842000,67842000,1578261000,835000,755000,4e+05,36910000,-28480000,10420000,4592000,10990000,45577000,61159000,-3.1e+07,-3090000,-34090000,37489000,37489000,37489000,1590000,42888000,-22298000,0.04973,0.04973,0.01231,0.00053,-26.70419,22.26377,0.02717,0.04403,0.04403,0.88541,3.57738,-1.1758,0.00053,-0.01413,13.59371,25.88503
"3","2011_Q2",1.98412698412698,"Down",15277000,11598000,15853000,-4255000,3679000,435000,2518000,726000,1450000,16727000,-15436000,-270000,-15166000,1291000,1291000,1291000,0,1291000,1291000,1291000,1291000,23842134.1194594,43678183.7205477,1096956714.86155,-41067462.760041,1138024177.62159,56745007.1599245,3645949.14580043,63990907.9785587,1533025197.48776,1227185080.16161,957632557.815969,269552522.345638,177489577.74187,1447563080.6914,182789457.798708,-130494264.577269,33166923.5749246,85462116.7963637,85462116.7963637,1533025197.48776,1291000,781000,-1450000,20555000,-18144000,3033000,4872000,-3476000,45092000,46488000,-11066000,-11955000,-23021000,26500000,26500000,26500000,2072000,0,-11200000,0.08451,0.08451,0.0331786851514981,0.00195236525760241,-8.67545,17.2705654659374,0.0279806675153509,0.06808,0.06808,0.80557,5.67180893471534,-0.59059,0.00195236483412202,0.0093697749506499,3.52203098036704,2.50385097391175
"4","2011_Q3",2.30390625,"Up",15398000,11782000,15490000,-3708000,3616000,262000,2616000,738000,2e+06,17398000,-14997000,-321000,-14676000,2401000,2401000,2401000,0,2401000,2401000,2401000,2401000,21889000,59451000,1061699000,-37477000,1099176000,56155000,3588000,71034000,1518632000,1202556000,906889000,295667000,181035000,1426479000,187788000,-128962000,33327000,92153000,92153000,1518632000,2401000,758000,-2e+06,14638000,-9838000,5959000,5925000,-9864000,43741000,39802000,999999.999999998,-62109000,-41683000,4078000,4078000,4078000,3159000,42888000,-754000,0.15593,0.15593,0.02605,0.00158,-0.31404,15.47946,0.02824,0.12661,0.12661,0.81195,4.85933,-0.03976,0.00158,-0.000499999999999997,6.64736,8.74593999999999
"5","2011_Q4",1.9068253968254,"Down",15427000,11501000,14900000,-3399000,3926000,696000,2545000,685000,1250000,16677000,-15626000,-188000,-15438000,1051000,1051000,1051000,0,1051000,1051000,1051000,1051000,22878000,78948000,1047670000,-34842000,1082512000,55597000,3585000,76742000,1516101000,1200558000,881067000,319491000,179326000,1422772000,187739000,-127911000,33501000,93329000,93329000,1516101000,1051000,769000,-1250000,27752000,-31291000,-2969000,4939000,-19031000,6648000,-7444000,-667000,-1998000,-2733000,-13146000,-13146000,-13146000,1820000,42888000,-24532000,0.06813,0.06813,0.01126,0.00069,-23.34158,15.24469,0.02829,0.03881,0.03881,0.56962,3.44606,-0.90581,0.00069,-0.01618,10.99451,19.03901
"6","2012_Q1",2.21258064516129,"Up",15089000,11418000,14536000,-3118000,3671000,335000,2519000,817000,0,15089000,-14003000,-192000,-13811000,1086000,1086000,1086000,1.45519152283669e-11,1086000,1086000,1086000,1086000,30971000,92239000,1039334000,-31641000,1070975000,55358000,3595000,74099000,1507667000,1215289000,891036000,324253000,155064000,1413241000,187709000,-126825000,33542000,94426000,94426000,1507667000,1086000,809000,0,30523000,-26288000,6130000,4773000,-13105000,1993000,-6339000,-2.5e+07,14731000,-10308000,-10517000,-10517000,-10517000,1895000,42888000,-19620000,0.07197,0.07197,0.0115,0.00072,-18.0663,14.96665,0.02845,0.04003,0.04003,0.55616,3.48043,-0.72317,0.00072,-0.01301,6.28865,10.9733
"7","2012_Q2",2.62777777777778,"Up",14992000,11281000,14099000,-2818000,3711000,471000,2385000,855000,3600000,18592000,-14107000,-212000,-13895000,4485000,4485000,4485000,0,4485000,4485000,4485000,4485000,22278000,126461000,1030484000,-29451000,1059935000,54819000,3802000,80788000,1502994000,1214471000,913854000,300617000,146748000,1404107000,187709000,-122340000,33518000,98887000,98887000,1502994000,4485000,704000,-3600000,20361000,-23276000,-1326000,4334000,-34117000,6639000,-23144000,-11114000,-818000,-11932000,-36402000,-36402000,-36402000,5189000,42888000,-13753000,0.29916,0.29916,0.04535,0.00298,-3.06644,14.19911,0.02854,0.1656,0.1656,0.55356,3.65128,-0.50781,0.00298,-0.00915,3.97186,4.59532
"8","2012_Q3",2.52142857142857,"Down",15321000,11321000,13899000,-2578000,4e+06,780000,2438000,723000,1750000,17071000,-13885000,-180000,-13705000,3186000,3186000,3186000,0,3186000,3186000,3186000,3186000,25673000,134458000,1009785000,-27180000,1036965000,54534000,3525000,73639000,1520335000,1235517000,904891000,330626000,139531000,1417936000,187709000,-119154000,33844000,102399000,102399000,1520335000,3186000,712000,-1750000,36471000,-33646000,4973000,3846000,-2645999.99999999,20535000,21735000,-1e+07,21046000,11046000,37754000,37754000,37754000,3898000,42888000,-25902000,0.20795,0.20795,0.03111,0.0021,-8.12994,13.84717,0.02821,0.11764,0.11764,0.56571,3.78096,-0.9564,0.0021,-0.01704,4.41637,5.40333
"9","2012_Q4",2.36225806451613,"Down",17998000,13892000,16269000,-2377000,4106000,941000,2454000,697000,1250000,19248000,-12388000,-159000,-12229000,6860000,6860000,6860000,-275000,6585000,6585000,6585000,6585000,22398000,158278000,992914000,-26271000,1019185000,54057000,3719000,73898000,1517117000,1244748000,896628000,348120000,120050000,1407686000,187709000,-112569000,34291000,109431000,109431000,1517117000,6585000,755000,-1250000,37844000,-41468000,2466000,4724000,-27741000,16844000,-6173000,-15667000,9231000,-6436000,-10143000,-10143000,-10143000,7615000,42888000,-28854000,0.38115,0.36587,0.06017,0.00434,-4.38178,12.86369,0.02827,0.24314,0.24314,0.66455,4.04061,-1.0654,0.00434,-0.01902,2.69074,2.98688
"10","2013_Q1",3.54616666666667,"Up",14779000,10968000,13009000,-2041000,3811000,690000,2713000,408000,5e+05,15279000,-12903000,-113000,-12790000,2376000,2376000,2376000,18858000,21234000,21234000,21234000,21234000,33556000,165837000,1028609000,-23739000,1052348000,53576000,3411000,82927000,1560718000,1286261000,946741000,339520000,101062000,1430211000,187718000,-91335000,34124000,130507000,130507000,1560718000,21234000,799000,-5e+05,24308000,-38459000,7382000,5118000,-6223000,-35361000,-36466000,-20322000,41513000,21191000,-7893000.00000001,-7893000.00000001,-7893000.00000001,3175000,42888000,-49024000,0.16077,1.43677,0.1627,0.01361,-2.30875,10.95888,0.02748,0.78358,0.78358,0.54538,4.81599,-1.80909,0.01361,-0.03141,2.93921,3.92761
"11","2013_Q2",4.244375,"Up",14446000,10483000,12433000,-1950000,3963000,825000,2516000,602000,750000,15196000,-11581000,-189000,-11392000,3615000,3615000,3615000,-1142000,2473000,2473000,2473000,2473000,21585000,170385000,1027522000,-23487000,1051009000,53284000,3687000,78233000,1507438000,1231390000,919214000,312176000,100255000,1374533000,188048000,-88862000,33719000,132905000,132905000,1507438000,2473000,8e+05,-750000,32687000,-29016000,6194000,1919000,-3675000,-25434000,-27190000,-1164000,-54871000,-56035000,-77031000,-77031000,-77031000,4415000,42888000,-21540000,0.25024,0.17119,0.01861,0.00164,-8.71007,10.34222,0.02845,0.09088,0.09088,0.53088,4.88413,-0.79157,0.00164,-0.01429,4.82514,5.89295
