"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",14.50546875,"Up",49463000,-7873000,41590000,-27434000,-2742000,-24043000,14156000,0,0,0,14156000,-18017000,-3861000,-3861000,-3861000,-3798000,-7659000,0,-7659000,158065000,158065000,28040000,28040000,186105000,3530122000,3564895000,-34773000,169034000,120655000,48379000,3699156000,3885261000,91637000,91637000,91637000,303319000,304331000,395968000,2811683000,-39686000,2771997000,717296000,3489293000,3885261000,-3861000,24043000,591000,-18490000,2283000,-496691000,-6958000,-503649000,0,-4.32e+08,844783000,844783000,-4758000,408025000,-93341000,-93341000,-93341000,38199000,303319000,0.84083,0.28619,-0.15484,-0.0022,-0.00197,2.03089,0.11348,0.07807,-0.04707,-0.04707,0.30397,17.03484,0,-0.00202,0,3.80256,10.26095
"2","2014_Q1",15.1195081967213,"Up",64890000,-8348000,56542000,-38114000,-3667000,-33160000,18428000,0,0,0,18428000,-27899000,-9471000,-9471000,-9471000,-3888000,-13359000,-1160000,-14519000,148989000,148989000,33293000,33293000,182282000,3854853000,3917055000,-62202000,180440000,120655000,59785000,4041862000,4224144000,103397000,103397000,103397000,441938000,470088000,573485000,2998332000,-63479000,2934944000,715715000,3650659000,4224144000,-9471000,33160000,6175000,-18014000,11850000,-362275000,-1.86264514923096e-09,-362275000,1.86264514923096e-09,1.37e+08,212596000,212596000,-8247000.00000003,341349000,-9076000,-9076000,-9076000,51588000,441938000,0.87135,0.28399,-0.22375,-0.00398,-0.00344,1.76293,0.15709,0.10462,-0.07746,-0.07746,0.3462,15.65777,0,-0.00352,-1.11022302462516e-16,5.67863,15.89695
"3","2014_Q2",15.4915873015873,"Up",77278000,-9043000,68235000,-41189000,-5074000,-35131000,27046000,-1502000,-1502000,-1502000,25544000,-32479000,-6935000,-6935000,-6935000,-3620000,-10555000,-3121000,-13676000,103249000,103249000,38766000,38766000,142015000,4212428000,4304605000,-92177000,163364000,120655000,42709000,4382018000,4524033000,112583000,112583000,112583000,740694000,777342000,889925000,3006782000,-86430000,2920447000,713661000,3634108000,4524033000,-6935000,35131000,5331000,13664000,47191000,-379074000,12483880.643619,-379074000,-9274000,2.96e+08,9162000,9162000,-9745000,286143000,-45740000,-45740000,-45740000,62177000,740694000,0.88298,0.34998,-0.17697,-0.00376,-0.00302,1.26142,0.24488,0.16372,-0.07372,-0.07372,0.41658,15.74277,0.04999,-0.001,-0.67812,10.2521,23.56892
"4","2014_Q3",16.27875,"Up",94304000,-5842000,88462000,-45559000,-5703000,-38325000,42903000,-3888000,-3888000,-3888000,39015000,-42384000,-3369000,-3369000,-3369000,-4212000,-7581000,-4669000,-12250000,239075000,239075000,52558000,52558000,291633000,4478782000,4605686000,-126904000,207130000,120655000,86475000,4690924000,4982557000,117486000,117486000,117486000,1036608000,1098876000,1216362000,3162340000,-107956000,3054343000,711852000,3766195000,4982557000,-3369000,38325000,6925000,-402000,41479000,-304026000,-39857000,-343883000,-9277000,-1.9e+08,180702000,180702000,456805000,438230000,135826000,135826000,135826000,81228000,1036608000,0.93805,0.45494,-0.1299,-0.00325,-0.00246,2.48228,0.32297,0.20805,-0.06603,-0.06603,0.50833,16.46314,0.05001,-0.00061,-0.75731,9.81845,18.58921
"5","2014_Q4",15.62546875,"Down",110393000,-3885000,106508000,-65447000,-5291000,-44855000,41061000,-5112000,-5112000,-5112000,35949000,-48745000,-12796000,-12796000,-12796000,-3382000,-16178000,-5569000,-21747000,103939000,103939000,64849000,64849000,168788000,5112169000,5279833000,-167664000,249813000,120655000,129158000,5367556000,5536344000,135789000,135789000,135789000,1146108000,1213698000,1349487000,3616542000,-140277000,3476240000,710617000,4186857000,5536344000,-12796000,44855000,1509000,9414000,42982000,-404943000,-133464000,-538407000,-10574000,-3.99e+08,308617000,308617000,461246000,360289000,-135136000,-135136000,-135136000,85916000,1146108000,0.96481,0.37195,-0.197,-0.00519,-0.00393,1.24302,0.32232,0.20702,-0.10737,-0.10737,0.54502,17.16173,0.0522,-0.00207,-0.48623,12.13009,25.38099
"6","2015_Q1",15.3229508196721,"Down",116899000,-166044000,-49145000,-63799000,-5879000,-47205000,-112944000,-9379000,-9379000,-9379000,-122323000,112331000,-9992000,-9992000,-9992000,-3751000,-13743000,-5569000,-19312000,108787000,108787000,88207000,88207000,196994000,5706853000,5913115000,-206262000,319686000,120655000,199031000,6030357000,6227351000,201350000,149706000,201350000,1798447000,1856407000,2057757000,3620321000,-170162000,3450101000,719493000,4169594000,6227351000,-9992000,47205000,7694000,-1055000,43852000,-499989000,-29242000,-603587000,-10573000,1.25e+08,-182000,-182000,501106000,615351000,55616000.0000001,55616000.0000001,55616000.0000001,-65739000,1798447000,-0.42041,-0.96617,-0.1652,-0.00463,-0.0031,0.97837,0.49351,0.2888,-0.09117,-0.09117,0.55186,16.28652,0.04991,-0.00145,-0.54748,-25.70255,-14.96016
"7","2015_Q2",15.4288888888889,"Up",131748000,-59208000,72540000,-67093000,-6131000,-53664000,5447000,-15670000,-15670000,-15670000,-10223000,1958000,-8265000,-8265000,-8265000,-3956000,-12221000,-5569000,-17790000,115693000,115693000,97735000,97735000,213428000,6031927000,6283455000,-251528000,325767000,120655000,205112000,6363122000,6576550000,192799000,141382000,192799000,2183608000,2244057000,2436856000,3620883000,-198526000,3422299000,717395000,4139694000,6576550000,-8265000,53664000,1482000,-17967000,28914000,-355041000,-18131000,-373172000,-10574000,-162227000,0,0,523965000,351164000,6906000,6906000,6906000,59111000,2183608000,0.5506,0.04134,-0.13503,-0.0043,-0.00271,1.107,0.58866,0.33203,-0.08412,-0.08412,0.62298,16.18167,0.05,-0.00113,-0.59438,34.98359,379.64292
"8","2015_Q3",14.78265625,"Down",153628000,-71439000,82189000,-71307000,-6276000,-59221000,10882000,-22003000,-22003000,-22003000,-11121000,2722999.99999999,-8398000,-8398000,-8398000,-3730000,-12128000,-5569000,-17697000,90657000,90657000,107021000,107021000,197678000,6155761000,6455934000,-300173000,327136000,120655000,206481000,6489284000,6686962000,209237000,158037000,209237000,2308739000,2367862000,2577099000,3621617000,-226797000,3394792000,715071000,4109863000,6686962000,-8398000,59221000,1825000,22265000,74913000,-180416000,-23944000,-204360000,-10574000,131783000,-7.45058059692383e-09,0,-16798000,104411000,-25036000,-25036000,-25036000,70103000,2308739000,0.53499,0.07083,-0.11519,-0.00431,-0.00265,0.94476,0.62705,0.34526,-0.08368,-0.08368,0.72642,16.05119,0.05,-0.0011,-0.5975,31.64033,203.83036
"9","2015_Q4",15.26234375,"Up",172613000,-85052000,87561000,-80108000,-6090000,-67800000,7453000,-23866000,-23866000,-23866000,-16413000,-3525000,-19938000,-19938000,-19938000,-3109000,-23047000,-5569000,-28616000,238417000,238417000,124500000,124500000,362917000,6260992000,6620404000,-359412000,335435000,120655000,214780000,6602899000,6965816000,285631000,234651000,285631000,2604793000,2665053000,2950684000,3568972000,-265988000,3303007000,712125000,4015132000,6965816000,-19938000,67800000,9039000,-4779000,52122000,-144695000,-21699000,-166394000,-10575000,-177220000,225000,225000,449602000,262032000,147760000,147760000,147760000,75253000,2604793000,0.50727,0.04318,-0.16578,-0.00713,-0.00411,1.27058,0.73489,0.37394,-0.13536,-0.13536,0.81647,15.62257,0.05002,-0.0027,-0.36955,31.4456,317.50651
"10","2016_Q1",13.8793442622951,"Down",172587000,-77620000,94967000,-74554000,-8370000,-62163000,20413000,-27874000,-27874000,-27874000,-7461000,-3886000,-11347000,-11347000,-11347000,-3558000,-14905000,-5569000,-20474000,57686000,57686000,125218000,125218000,182904000,6282506000,6698550000,-416044000,278377000,120655000,157722000,6568315000,6751219000,205503000,154751000,205503000,2543600000,2610483000,2815986000,3556141000,-296865000,3259345000,675888000,3935233000,6751219000,-11347000,62163000,8382000,-2840000,56358000,-77498000,-40376000,-117874000,-10403000,-228000,-57357000,25999.9999999963,-17143000,-85130999.9999999,-146647000,-146647000,-146647000,82576000,2543600000,0.55026,0.11828,-0.11863,-0.0052,-0.00303,0.89003,0.71558,0.37676,-0.09842,-0.09842,0.82968,15.66781,0.05001,-0.00154,-0.50811,30.10456,121.78092
"11","2016_Q2",16.09703125,"Up",194959000,-85358000,109601000,-84993000,-8570000,-69517000,24608000,-30977000,-30977000,-30977000,-6369000,11397000,5028000,5028000,5028000,-3836000,1192000,-5569000,-4377000,71438000,71438000,149080000,149080000,220518000,7437614000,7909761000,-472147000,316003000,120655000,195348000,7877192000,8097710000,251468000,200946000,251468000,3342885000,3405975000,3657443000,4000142000,-313364000,3686887000,753380000,4440267000,8097710000,5028000,69517000,-5638000,-334000,68573000,-46766000,-321924000,-368690000,-12122000,437770000,-75707000,338000,-15272000,334669000,34552000,34552000,34552000,94125000,3342885000,0.56217,0.12622,-0.02245,-0.00099,-0.00054,0.87692,0.8237,0.41282,-0.01997,-0.01997,0.88958,16.82219,0.05531,0.00099,-2.76948,34.75641,132.94242
"12","2016_Q3",20.1965625,"Up",220314000,-95983000,124331000,-93111000,-7931000,-79604000,31220000,-35481000,-35481000,-35481000,-4261000,508000,-3753000,-3753000,-3753000,761000.000000001,-2992000,-7412000,-10404000,270369000,270369000,153276000,153276000,423645000,7389897000,7925545000,-535648000,307096000,120655000,186441000,7828755000,8252400000,265602000,215307000,265602000,3044211000,3107451000,3373053000,4465126000,-335684000,4129812000,749535000,4879347000,8252400000,-3753000,79604000,5078000,12275000,93204000,-33059000,1880999.99999988,-31178000.0000001,-11916000,-312251000,480043000,500096000,-17057000,138819000,200845000,200845000,200845000,110824000,3044211000,0.56434,0.14171,-0.04722,-0.00213,-0.00126,1.59504,0.69129,0.36889,-0.04363,-0.04363,0.92382,17.31558,0.04997,0.00019,-1.14533,25.02925,88.84824
"13","2016_Q4",19.3953968253968,"Down",236057000,-110823000,125234000,-88334000,-8043000,-75392000,36900000,-32851000,-32851000,-32851000,4049000,-4216000,-167000,-167000,-167000,-7316000,-7483000,-13669000,-21152000,106308000,106308000,153185000,153185000,259493000,7440090000,8040389000,-600299000,281608000,120317000,161291000,7827006000,8086499000,291132000,241067000,291132000,2876756000,2942486000,3233618000,4467176000,-368795000,4098779000,754102000,4852881000,8086499000,-167000,75392000,6162000,11816000,93203000,-130592000,86451000,-44141000,-11959000,182872000,1093000,1093000,-387758000,-215752000,-166690000,-166690000,-166690000,112292000,2876756000,0.53052,0.15632,-0.08961,-0.00436,-0.00262,0.89132,0.66633,0.35575,-0.08872,-0.08872,0.99017,17.19122,0.05016,-0.00118,-0.56538,24.67182,75.07989
"14","2017_Q1",20.9566129032258,"Up",227559000,-95870000,131689000,-88728000,-8524000,-74164000,42961000,-31538000,-31538000,-31538000,11423000,-2085000,9338000,9338000,9338000,6640000,15978000,-13587000,2391000,118799000,118799000,149060000,149060000,267859000,7460426000,8127136000,-666710000,291495000,120279000,171216000,7839351000,8107210000,227034000,177206000,227034000,2872746000,2942556000,3169590000,4571049000,-378578000,4192936000,744684000,4937620000,8107210000,9338000,74164000,10422000,-70037000,23887000,-82648000,4259000.00000001,-78389000,-12174000,-253000,103224000,103224000,-23728999.9999999,67068000.0000001,12566000,12566000,12566000,117125000,2872746000,0.5787,0.18879,0.01051,0.00048,0.00029,1.17982,0.64193,0.35434,0.00995999999999998,0.00996,0.94816,17.46901,0.05072,0.00185,5.09159,23.51289,64.10342
"15","2017_Q2",21.3746031746032,"Up",233754000,-100783000,132971000,-85902000,-9295000,-73953000,47069000,-31889000,-31889000,-31889000,15180000,-3384000,11796000,11796000,11796000,301000,12097000,-13587000,-1490000,495802000,495802000,153778000,153778000,649580000,7463274000,8195803000,-732529000,298829000,120279000,178550000,7841025000,8490605000,249276000,199693000,249276000,2894513000,2969733000,3219009000,4921904000,-392282000,4529992000,741604000,5271596000,8490605000,11796000,73953000,9853000,14435000,110037000,-82371000,12374000,-69997000,-12214000,24755000,350870000,350870000,-22833000,340578000,380618000,380618000,380618000,121022000,2894513000,0.56885,0.20136,-0.00637,-0.00028,-0.00018,2.60587,0.61063,0.34091,-0.0061,-0.0061,0.95647,18.5343,0.04998,0.0013,-8.19732,19.82045,50.96159
"16","2017_Q3",21.1207936507937,"Down",237008000,-103396000,133612000,-84413000,-8926000,-72716000,49199000,-28392000,-28392000,-28392000,20807000,-5741000,15066000,15066000,15066000,30000,15096000,-15282000,-186000,67325000.0000001,67325000.0000001,147786000,147786000,215111000,7568547000,8368623000,-800076000,297412000,120279000,177133000,7931196000,8146307000,272336000,222990000,272336000,2385357000,2462217000,2734553000,5078051000,-405426000,4673057000,738697000,5411754000,8146307000,15066000,72716000,11146000,16241000,115169000,-164625000,12106000,-152519000,-12958000,-63446000,161577000,161577000,-482833000,-397660000,-435010000,-435010000,-435010000,121915000,2385357000,0.56374,0.20758,-0.000779999999999995,-2.99999999999998e-05,-2e-05,0.78987,0.5053,0.29281,-0.000719999999999991,-0.000719999999999998,0.91544,18.04796,0.05005,0.00162,-69.66667,19.01351,47.11543
"17","2017_Q4",20.4744444444444,"Down",246836000,-115391000,131445000,-85906000,-8525000,-74790000,45539000,-26592000,-26592000,-26592000,18947000,150000,19097000,19097000,19097000,-309000,18788000,-17253000,1535000,243547000,243547000,155003000,155003000,398550000,7752129000,8621680000,-869551000,308827000,120279000,188548000,8111326000,8509876000,312852000,263745000,312852000,2290128000,2358597000,2671449000,5520720000,-417609000,5103589000,734838000,5838427000,8509876000,19097000,74790000,7604000,22678000,124169000,-249797000,-14583000,-264380000,-13718000,-96259000,453306000,453306000,-35846000,307483000,167272000,167272000,167272000,120329000,2290128000,0.53252,0.18449,0.00622,0.00026,0.00018,1.27393,0.45756,0.26911,0.00575,0.00531,0.92529,19.12945,0.05142,0.00186,8.93681,17.00821,44.94128
