"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","total_claims_losses","claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","loans_mortgages","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","life_policy_benefits","other_insurance_reserves","other_short_term_liabilities","long_term_debt","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","decrease_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",23.9534920634921,"Up",7.749e+09,7.047e+09,1.05e+09,-3.48e+08,-3.48e+08,-5.697e+09,-4.792e+09,-1.843e+09,2.09e+08,-9.2e+07,-9.2e+07,1.17e+08,-1e+07,1.07e+08,1.3e+07,1.2e+08,1.2e+08,1.2e+08,1.2e+08,1.00223e+11,8.1284e+10,7.639e+09,3.807e+09,7.493e+09,7.04e+08,4.823e+09,9.54e+08,5.186e+09,2.0496e+10,1.32386e+11,9.3074e+10,1.942e+10,9.575e+09,1.3052e+10,5.1027e+10,6.755e+09,5.91e+09,1.14798e+11,0,3.161e+09,9e+06,3.152e+09,-1.5782e+10,3.1514e+10,-1.333e+09,1.756e+10,1.7588e+10,1.32386e+11,1.2e+08,8.08e+08,7.3e+07,7.35e+08,3.6e+07,9.64e+08,9.87e+08,8.92e+09,9.63e+08,-1.07e+08,9e+06,1.4e+07,-5e+06,-1.741e+09,4e+06,-1.835e+09,9.2e+07,9.2e+07,9.2e+07,5.91e+09,0.02697,0.01549,0.00682,0.00091,6.52706,0.04464,0.22202,0.22148,14.33673,32.48844,0.19796,0.00181,0.89167,24.90909
"2","2010_Q3",22.116875,"Down",7.656e+09,7.058e+09,1.049e+09,-4.51e+08,-4.51e+08,-5.649e+09,-4.714e+09,-1.738e+09,2.69e+08,-9.2e+07,-9.2e+07,1.77e+08,-1.1e+07,1.66e+08,-2.1e+07,1.45e+08,1.45e+08,1.45e+08,1.45e+08,9.9943e+10,8.1925e+10,7.173e+09,3.254e+09,7.591e+09,7.11e+08,4.83e+09,9.35e+08,5.003e+09,1.9388e+10,1.3081e+11,9.2044e+10,1.9434e+10,9.684e+09,1.3483e+10,4.9443e+10,6.787e+09,5.909e+09,1.12743e+11,0,3.164e+09,9e+06,3.155e+09,-1.576e+10,3.1552e+10,-9.17e+08,1.8039e+10,1.8067e+10,1.3081e+11,1.45e+08,9.05e+08,999999.99999997,9.04e+08,8e+07,1.13e+09,8.35e+08,7.136e+09,7.9e+08,-1.08e+08,1.1e+07,1.1e+07,-7.45058059692383e-09,-1.804e+09,-1.1e+07,-1.913e+09,7e+06,7e+06,7e+06,5.909e+09,0.03514,0.01894,0.00803,0.00111,6.24027,0.04517,0.26817,0.26703,14.15942,33.36231,0.19974,0.00204,0.74483,19.32342
"3","2010_Q4",23.91953125,"Up",7.908e+09,7.047e+09,1.005e+09,-1.44e+08,-1.44e+08,-5.493e+09,-4.603e+09,-1.834e+09,5.81e+08,-9.1e+07,-9.1e+07,4.9e+08,0,4.9e+08,-1.23e+08,3.67e+08,3.67e+08,3.67e+08,3.67e+08,1.02214e+11,8.3193e+10,6.961e+09,3.707e+09,8.353e+09,5e+08,4.981e+09,9.22e+08,4.671e+09,1.9246e+10,1.32534e+11,9.2186e+10,1.9294e+10,1.0001e+10,1.3955e+10,4.8936e+10,6.678e+09,5.909e+09,1.13232e+11,0,3.174e+09,9e+06,3.165e+09,-1.5755e+10,3.1781e+10,7.4e+07,1.9274e+10,1.9302e+10,1.32534e+11,3.67e+08,6.2e+08,1.04e+08,5.16e+08,-5.8e+07,9.29e+08,-4.4e+07,1.0813e+10,-8.2e+07,-1.07e+08,1e+06,1e+06,0,-9.37e+08,-1.5e+07,-1.058e+09,-2.11e+08,-2.11e+08,-2.11e+08,5.909e+09,0.07347,0.04641,0.01901,0.00277,5.86634,0.04458,0.6785,0.67587,14.62008,35.6332,0.19782,0.00377,0.29155,9.30981
"4","2011_Q1",24.2641935483871,"Up",8.087e+09,6.973e+09,9.98e+08,1.16e+08,1.16e+08,-5.734e+09,-4.842e+09,-1.934e+09,4.19e+08,-9.2e+07,-9.2e+07,3.27e+08,1e+07,3.37e+08,-5.8e+07,2.79e+08,2.79e+08,2.79e+08,2.79e+08,1.00483e+11,7.9612e+10,6.679e+09,4.811e+09,9.381e+09,5.62e+08,4.839e+09,9.21e+08,4.769e+09,1.93e+10,1.30874e+11,9.0945e+10,1.9468e+10,9.8e+09,1.3482e+10,4.8195e+10,6.301e+09,5.908e+09,1.1183e+11,0,3.185e+09,9e+06,3.176e+09,-1.591e+10,3.1969e+10,-2.28e+08,1.9016e+10,1.9044e+10,1.30874e+11,2.79e+08,4.5e+08,1.4e+07,4.36e+08,-6.3e+07,6.66e+08,7.09e+08,7.089e+09,6.61e+08,-1.08e+08,-1.45e+08,2e+06,-1.47e+08,-1.008e+09,-3e+06,-1.265e+09,6.2e+07,6.2e+07,6.2e+07,5.908e+09,0.05181,0.0345,0.01465,0.00213,5.87219,0.04514,0.51753,0.51457,15.00093,35.2736,0.20033,0.00311,0.3871,12.75895
"5","2011_Q2",24.4198412698413,"Up",8.095e+09,7.017e+09,9.82e+08,9.6e+07,9.6e+07,-5.348e+09,-4.476e+09,-1.884e+09,8.63e+08,-9.2e+07,-9.2e+07,7.71e+08,-2.9e+07,7.42e+08,-2.18e+08,5.24e+08,5.24e+08,5.24e+08,5.24e+08,9.9611e+10,8.0242e+10,6.582e+09,4.437e+09,8.35e+09,6.41e+08,4.842e+09,9.12e+08,4.697e+09,1.9722e+10,1.30425e+11,8.9443e+10,1.9494e+10,9.563e+09,1.3552e+10,4.6834e+10,7.13e+09,5.908e+09,1.11084e+11,0,3.165e+09,9e+06,3.156e+09,-1.6173e+10,3.2377e+10,-5.7e+07,1.9312e+10,1.9341e+10,1.30425e+11,5.24e+08,2.23e+08,2.03e+08,2e+07,-2.1e+07,7.26e+08,1.334e+09,1.2222e+10,1.285e+09,-1.07e+08,-2.96e+08,9e+06,-3.05e+08,-1.526e+09,-3e+06,-1.932e+09,7.9e+07,7.9e+07,7.9e+07,5.908e+09,0.10661,0.06473,0.02709,0.00402,5.74345,0.0453,0.98682,0.98201,15.24482,36.36911,0.20151,0.00512,0.2042,6.10313
"6","2011_Q3",20.62765625,"Down",8.081e+09,7.004e+09,1.02e+09,5.7e+07,5.7e+07,-7.194e+09,-6.355e+09,-1.828e+09,-9.41e+08,-9.1e+07,-9.1e+07,-1.032e+09,-4000000.00000001,-1.036e+09,4.12e+08,-6.24e+08,-6.24e+08,-6.24e+08,-6.24e+08,9.9289e+10,7.8414e+10,6.827e+09,4.954e+09,9.094e+09,6.93e+08,4.869e+09,9.14e+08,4.572e+09,1.8686e+10,1.29023e+11,8.9048e+10,2.0456e+10,9.727e+09,1.3787e+10,4.5078e+10,7.1e+09,5.907e+09,1.1023e+11,-1.81898940354586e-12,3.174e+09,9e+06,3.165e+09,-1.6387e+10,3.1647e+10,3.3e+08,1.8764e+10,1.8793e+10,1.29023e+11,-6.24e+08,9.11e+08,-4.29e+08,1.34e+09,2.47e+08,5.34e+08,1.788e+09,7.232e+09,1.73e+09,-1.11e+08,-2.31e+08,8e+06,-2.39e+08,-1.862e+09,-7e+06,-2.212e+09,5.2e+07,5.2e+07,5.2e+07,5.907e+09,-0.11645,-0.07722,-0.0332,-0.00484,5.86548,0.04578,-1.19289,-1.19289,15.44829,35.87077,0.2122,-0.00421,-0.17788,-5.54091
"7","2011_Q4",20.5519047619048,"Down",8.242e+09,6.984e+09,9.94e+08,2.64e+08,2.64e+08,-5.992e+09,-5.132e+09,-1.934e+09,3.16e+08,-9.2e+07,-9.2e+07,2.24e+08,-5e+06,2.19e+08,-4.4e+07,1.75e+08,1.75e+08,1.75e+08,1.75e+08,9.7525e+10,7.6394e+10,6.956e+09,4.157e+09,1.0018e+10,1.026e+09,4.988e+09,9.08e+08,4.444e+09,1.8068e+10,1.26959e+11,8.8481e+10,2.0395e+10,1.0002e+10,1.4308e+10,4.3776e+10,7.651e+09,5.907e+09,1.0883e+11,0,3.186e+09,9e+06,3.177e+09,-1.6693e+10,3.1704e+10,-9.7e+07,1.81e+10,1.8129e+10,1.26959e+11,1.75e+08,1.27e+08,4.3e+07,8.4e+07,1.09e+08,4.11e+08,1.842e+09,1.1087e+10,1.79e+09,-1.09e+08,-3.13e+08,1e+06,-3.14e+08,-1.445e+09,-1e+06,-1.868e+09,3.33e+08,3.33e+08,3.33e+08,5.907e+09,0.03834,0.02123,0.00965,0.00138,6.00309,0.04653,0.3418,0.34033,16.09766,35.35156,0.21289,0.00238,0.62286,15.4462
"8","2012_Q1",24.4588709677419,"Up",8.236e+09,7.175e+09,9.75e+08,8.6e+07,8.6e+07,-5.033e+09,-4.198e+09,-2.064e+09,1.139e+09,-9.2e+07,-9.2e+07,1.047e+09,-1.3e+07,1.034e+09,-3.22e+08,7.12e+08,7.12e+08,7.12e+08,7.12e+08,9.5618e+10,7.6113e+10,7.139e+09,4.363e+09,8.003e+09,7.76e+08,4.92e+09,9.14e+08,3.871e+09,1.9094e+10,1.25193e+11,8.717e+10,2.0375e+10,1.0057e+10,1.4406e+10,4.2332e+10,6.805e+09,5.908e+09,1.06867e+11,0,3.198e+09,9e+06,3.189e+09,-1.6795e+10,3.1909e+10,-14000000.0000001,1.8298e+10,1.8326e+10,1.25193e+11,7.12e+08,-2.73e+08,3.16e+08,-5.89e+08,-1.81e+08,2.58e+08,2.359e+09,1.0058e+10,1.356e+09,-1.08e+08,-9.4e+07,1e+06,-9.5e+07,-1.671e+09,8e+06,-1.864e+09,-2.5e+08,-2.5e+08,-2.5e+08,5.908e+09,0.1383,0.08645,0.03885,0.00569,5.83144,0.04719,1.37798,1.36529,15.93962,35.4132,0.20902,0.00693,0.15169,4.50571
"9","2012_Q2",26.8603174603175,"Up",8.362e+09,7.183e+09,1.011e+09,1.68e+08,1.68e+08,-5.156e+09,-4.339e+09,-1.996e+09,1.21e+09,-9.5e+07,-9.5e+07,1.115e+09,-3e+06,1.112e+09,-3.46e+08,7.66e+08,7.66e+08,7.66e+08,7.66e+08,9.7009e+10,7.7223e+10,7.167e+09,3.847e+09,8.772e+09,5.77e+08,4.908e+09,9.12e+08,3.716e+09,1.8811e+10,1.25933e+11,8.607e+10,2.0283e+10,9.888e+09,1.4296e+10,4.1603e+10,7.24e+09,6.058e+09,1.06723e+11,0,3.16e+09,9e+06,3.151e+09,-1.7034e+10,3.2565e+10,4.91e+08,1.9182e+10,1.921e+10,1.25933e+11,7.66e+08,2.38e+08,3.33e+08,-9.5e+07,-1.97e+08,8.07e+08,1.31e+08,7.973e+09,7.9e+07,-1.06e+08,-2.94e+08,1.5e+07,-3.09e+08,-8.14e+08,-1.4e+07,-1.085e+09,-1.99e+08,-1.99e+08,-1.99e+08,6.058e+09,0.1447,0.0916,0.03988,0.00608,5.5556,0.0481,1.53599,1.52742,16.7676,38.46401,0.21255,0.00735,0.13838,4.52975
"10","2012_Q3",29.8171428571429,"Up",8.278e+09,7.225e+09,1.026e+09,2.7e+07,2.7e+07,-5.638e+09,-4.81e+09,-1.938e+09,7.02e+08,-9.3e+07,-9.3e+07,6.09e+08,-7e+06,6.02e+08,-1.79e+08,4.23e+08,4.23e+08,4.23e+08,4.23e+08,9.732e+10,7.7926e+10,6.928e+09,3.681e+09,8.785e+09,5.71e+08,4.929e+09,9.09e+08,3.644e+09,1.8162e+10,1.25535e+11,8.5952e+10,2.0395e+10,1.0085e+10,1.464e+10,4.0832e+10,7.26e+09,6.058e+09,1.0606e+11,0,3.163e+09,9e+06,3.154e+09,-1.7272e+10,3.288e+10,7.04e+08,1.9475e+10,1.9475e+10,1.25535e+11,4.23e+08,5.21e+08,8e+06,5.13e+08,2.3e+07,9.67e+08,3.37e+08,6.361e+09,2.73e+08,-1.09e+08,-2.63e+08,1.1e+07,-2.74e+08,-8.46e+08,-2.7e+07,-1.246e+09,-6e+06,-6e+06,-6e+06,6.058e+09,0.0848,0.0511,0.02172,0.00337,5.44596,0.04826,0.86221,0.85662,16.87322,39.69629,0.22218,0.0045,0.25768,7.81624
