"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.20301587301587,"Up",3.053e+10,-1.2383e+10,1.8147e+10,-1.2176e+10,-7.396e+09,-4.78e+09,5.971e+09,-7.87e+08,-7.65e+08,-2.2e+07,5.184e+09,5.184e+09,-2.863e+09,2.538e+09,2.54e+09,-8.7e+07,2.453e+09,2.453e+09,2.617e+09,2.617e+09,1.4167e+10,1.4167e+10,5.578e+09,1.82e+09,2.2362e+10,9.936e+10,1.40701e+11,7.3052e+10,5.4708e+10,1.2941e+10,2.43339e+11,2.65701e+11,2.0569e+10,2.482e+09,1.8087e+10,9.437e+09,6.7e+09,4.061e+09,3.6706e+10,6.0024e+10,6.6505e+10,2.7709e+10,2.552e+10,1.3276e+10,1.26529e+11,1.63235e+11,9.8052e+10,6.495e+09,9.1557e+10,-2.1137e+10,3.9373e+10,-1.4265e+10,1.02023e+11,4.43e+08,1.02466e+11,2.65701e+11,2.453e+09,2.54e+09,4.78e+09,1.808e+09,1.609e+09,1.99e+08,-1.803e+09,3.95e+08,-2.198e+09,7.238e+09,-3.148e+09,-3.148e+09,-3.148e+09,-1.77e+08,-1.78e+08,-1.77e+08,-3.522e+09,-2.479e+09,-2.189e+09,-2.512e+09,-2.512e+09,-13712503011.9924,3e+06,3e+06,374684434.577768,-2.44e+08,-4.909e+09,-1.193e+09,-1.193e+09,-1.193e+09,1.0751e+10,6.9461e+10,8.663e+09,0.5944,0.19558,0.08035,0.02394,0.00923,3.53159,0.60922,1.59307,0.26143,0.41541,0.41331,5.17017,17.27732,1.46706,0.41981,32.6853270061753,0.02069,0.03633,1.0106,6.21747,11.19477
"2","2010_Q3",9.79890625,"Up",3.0808e+10,-1.2452e+10,1.8356e+10,-1.2273e+10,-7.454e+09,-4.819e+09,6.083e+09,-3.1e+07,-7.54e+08,7.23e+08,6.052e+09,6.052e+09,-2.16e+09,4.087e+09,4.082e+09,-7.9e+07,4.003e+09,4.003e+09,1.377e+09,1.377e+09,1.378e+10,1.378e+10,6.235e+09,1.666e+09,2.1392e+10,1.00302e+11,1.41516e+11,7.3484e+10,5.5496e+10,1.2536e+10,2.46164e+11,2.67556e+11,2.0639e+10,2.482e+09,1.8157e+10,9.721e+09,5.822e+09,3.943e+09,3.6182e+10,6.0277e+10,6.7614e+10,2.7421e+10,2.5615e+10,1.4578e+10,1.27891e+11,1.64073e+11,9.8123e+10,6.495e+09,9.1628e+10,-2.1134e+10,4.0909e+10,-1.4852e+10,1.03046e+11,4.37e+08,1.03483e+11,2.67556e+11,4.006e+09,4.082e+09,4.819e+09,1.05e+08,640000000.000002,-5.35e+08,-3.57e+08,-1000000.00000012,-3.56e+08,8.573e+09,-4.708e+09,-4.708e+09,-4.708e+09,-2.363e+09,-2.376e+09,-1.87e+08,-7.783e+09,-2.481e+09,808000000.000001,-2.149e+09,-2.149e+09,0,2e+06,2e+06,187342217.288884,-2.9e+08,-1.961e+09,-1.171e+09,-1.171e+09,-1.171e+09,1.0902e+10,6.9998e+10,7.997e+09,0.59582,0.19745,0.12993,0.03868,0.01496,1.99775,0.59123,1.58551,0.26162,0.677440000000001,0.67424,5.21372,17.43875,1.35335,0.41987,18.2321744032935,0.02689,0.03317,0.61979,6.29435,11.28078
"3","2010_Q4",10.6925,"Up",3.1581e+10,-1.3605e+10,1.7976e+10,-1.2545e+10,-7.672e+09,-4.873e+09,5.431e+09,-6.05e+08,-7.29e+08,1.24e+08,4.826e+09,4.826e+09,6.573e+09,1.1616e+10,1.2396e+10,-7.7e+07,1.2319e+10,1.2319e+10,3.246e+09,3.246e+09,1.3606e+10,1.3606e+10,5.125e+09,1.686e+09,2.1977e+10,1.01475e+11,1.41256e+11,7.3447e+10,5.5638e+10,1.2171e+10,2.47275e+11,2.69252e+11,2.0899e+10,2.482e+09,1.8417e+10,6.426e+09,5.349e+09,3.933e+09,3.2674e+10,6.254e+10,6.0745e+10,2.7071e+10,2.0651e+10,1.3023e+10,1.23285e+11,1.55959e+11,9.8243e+10,6.495e+09,9.1748e+10,-2.1112e+10,5.0751e+10,-1.4888e+10,1.12994e+11,2.99e+08,1.13293e+11,2.69252e+11,1.1539e+10,1.2396e+10,4.873e+09,-6.401e+09,-6.433e+09,3.2e+07,-4.72e+08,-1.28e+08,-3.44e+08,9.539e+09,-5.314e+09,-5.314e+09,-5.314e+09,1.746e+09,-6.1e+07,-1.91e+08,-3.651e+09,-2.476e+09,-1.697e+09,1.616e+09,-6.19e+08,2.235e+09,1.9e+07,1.9e+07,62447405.7629613,1.35e+08,-4.019e+09,1.869e+09,1.869e+09,1.869e+09,1.0304e+10,6.8966e+10,-2.055e+09,0.5692,0.17197,0.39008,0.10874,0.04575,-0.16682,0.67261,1.3766,0.25614,2.08478,2.0746,5.34454,19.12228,-0.34777,0.41902,9.83706540123507,0.06088,-0.00846,0.20099,6.37811,12.1009
"4","2011_Q1",10.7508064516129,"Up",3.1361e+10,-1.1817e+10,1.9544e+10,-1.7371e+10,-1.2464e+10,-4.907e+09,2.173e+09,-6.74e+08,-7.46e+08,7.2e+07,1.499e+09,1.414e+09,-3.88e+08,1.159e+09,1.161e+09,-7.2e+07,1.089e+09,1.089e+09,1.437e+09,1.437e+09,1.361e+10,1.361e+10,5.807e+09,1.458e+09,2.0854e+10,1.03196e+11,1.40826e+11,7.3601e+10,5.5812e+10,1.1413e+10,2.48537e+11,2.69391e+11,2.2597e+10,2.542e+09,2.0055e+10,7.196e+09,5.061e+09,4.086e+09,3.4854e+10,5.8971e+10,6.3616e+10,2.8803e+10,2.207e+10,1.2743e+10,1.22587e+11,1.57441e+11,9.8226e+10,6.495e+09,9.1731e+10,-2.1083e+10,3.1792e+10,2.712e+09,1.11647e+11,3.03e+08,1.1195e+11,2.69391e+11,1.402e+09,1.161e+09,4.907e+09,3.743e+09,9.04e+08,2.839e+09,-1.8e+08,-3.67e+08,1.87e+08,9.872e+09,-6.36e+09,-6.36e+09,-6.36e+09,-281999999.999999,-2.91e+08,-1.88e+08,-6.493e+09,-2.48e+09,-2.389e+09,-4.014e+09,-4.014e+09,0,2.6e+07,2.6e+07,0,-1.17e+08,-4.96e+09,-1.581e+09,-1.581e+09,-1.581e+09,7.08e+09,6.6167e+10,927999999.999999,0.62319,0.06929,0.03472,0.00973,0.00403999999999999,0.85216,0.59832,1.40635,0.24562,0.18367,0.18327,5.2894,18.83059,0.15652,0.41828,6,0.01476,0.00384,2.27732,9.14266,29.78831
"5","2011_Q2",11.8598412698413,"Up",3.1247e+10,-1.2813e+10,1.8434e+10,-1.2626e+10,-8.042e+09,-4.584e+09,5.808e+09,-7.87e+08,-8.46e+08,5.9e+07,5.021e+09,5.021e+09,-1.802e+09,3.468e+09,3.468e+09,-6e+07,3.408e+09,3.408e+09,1.391e+09,1.391e+09,1.3246e+10,1.3246e+10,5.1e+09,1.674e+09,1.9737e+10,1.03369e+11,1.40134e+11,7.3602e+10,5.5819e+10,1.0713e+10,2.48348e+11,2.68085e+11,2.0894e+10,2.545e+09,1.8349e+10,6.902e+09,5.458e+09,3.959e+09,3.3254e+10,5.8126e+10,6.3862e+10,2.851e+10,2.3149e+10,1.2203e+10,1.21988e+11,1.55242e+11,9.8131e+10,6.495e+09,9.1636e+10,-2.0949e+10,3.2649e+10,2.713e+09,1.12544e+11,2.99e+08,1.12843e+11,2.68085e+11,3.468e+09,3.468e+09,4.584e+09,7.49e+08,7.31e+08,1.8e+07,-1.069e+09,7.2e+07,-1.141e+09,7.732e+09,-4.133e+09,-4.133e+09,-4.133e+09,-4.3e+07,-5.4e+07,-2.6e+07,-4.075e+09,-2.54e+09,-1.3e+09,-1.264e+09,-1.264e+09,0,1.8e+07,1.8e+07,0,1.19e+08,-3.703e+09,-4.6e+07,-4.6e+07,-4.6e+07,1.0392e+10,6.5028e+10,6.992e+09,0.58994,0.18587,0.10907,0.0302,0.01271,2.05164,0.59352,1.37573,0.24256,0.57519,0.57325,5.27373,18.99469,1.18008,0.42869,5.22097819958831,0.02461,0.02892,0.74531,6.12365,10.95678
"6","2011_Q3",11.34609375,"Down",3.1495e+10,-1.2756e+10,1.8739e+10,-1.2574e+10,-7.972e+09,-4.602e+09,6.165e+09,-8.21e+08,-8.48e+08,2.7e+07,5.344e+09,5.344e+09,-1.893e+09,3.658e+09,3.658e+09,-6.7e+07,3.591e+09,3.591e+09,3.831e+09,3.831e+09,1.3608e+10,1.3608e+10,4.8e+09,1.563e+09,2.2239e+10,1.04606e+11,1.39962e+11,7.3591e+10,5.581e+10,1.0561e+10,2.49775e+11,2.72014e+11,2.0693e+10,2.548e+09,1.8145e+10,7.91e+09,4.934e+09,3.804e+09,3.3537e+10,5.8663e+10,6.5705e+10,2.835e+10,2.5065e+10,1.229e+10,1.24368e+11,1.57905e+11,9.8182e+10,6.495e+09,9.1687e+10,-2.0786e+10,3.3687e+10,2.72e+09,1.13803e+11,3.06e+08,1.14109e+11,2.72014e+11,3.658e+09,3.658e+09,4.602e+09,2.131e+09,2.087e+09,44000000.0000002,-1.366e+09,-5.93e+08,-7.73e+08,9.025e+09,-5.272e+09,-5.272e+09,-5.272e+09,1.1e+07,-8e+06,-3.2e+07,-5.375e+09,-2.542e+09,1.392e+09,2.959e+09,-26000000.0000002,2.985e+09,1.81e+08,1.81e+08,0,-2.41e+08,-1.21e+09,2.44e+09,2.44e+09,2.44e+09,1.0767e+10,6.6573e+10,6.022e+09,0.59498,0.19575,0.11402,0.03147,0.0132,1.67697,0.66312,1.38381,0.24474,0.60536,0.60322,5.30932,19.18452,1.01517,0.42852,6,0.02489,0.02444,0.70788,5.82725,10.17713
"7","2011_Q4",11.4446031746032,"Up",3.1478e+10,-1.2656e+10,1.8822e+10,-1.2587e+10,-7.969e+09,-4.618e+09,6.235e+09,-8.43e+08,-8.89e+08,4.6e+07,5.392e+09,5.392e+09,-1.899e+09,3.686e+09,3.686e+09,-6.3e+07,3.623e+09,3.623e+09,1.0762e+10,1.0762e+10,1.3377e+10,1.3377e+10,4.466e+09,1.507e+09,2.8605e+10,1.05786e+11,1.38779e+11,7.359e+10,5.58e+10,9.389e+09,2.49048e+11,2.77653e+11,2.0408e+10,2.548e+09,1.786e+10,8.9e+09,4.723e+09,3.794e+09,3.4031e+10,6.2326e+10,6.7414e+10,2.819e+10,2.6446e+10,1.2778e+10,1.2974e+11,1.63771e+11,9.795e+10,6.495e+09,9.1455e+10,-2.077e+10,3.4758e+10,1.677e+09,1.13615e+11,2.67e+08,1.13882e+11,2.77653e+11,3.686e+09,3.686e+09,4.618e+09,2.271e+09,2.124e+09,1.47e+08,-1.82e+08,-5.2e+07,-1.3e+08,1.0393e+10,-5.22e+09,-5.22e+09,-5.22e+09,-3.22e+08,-3.68e+08,-3.3e+07,-5.575e+09,-2.545e+09,4.925e+09,4.942e+09,-8e+06,4.95e+09,1.7e+07,1.7e+07,-2.98023223876953e-08,-2.84e+08,2.113e+09,6.931e+09,6.931e+09,6.931e+09,1.0853e+10,7.1226e+10,7.35e+09,0.59794,0.19807,0.1151,0.03181,0.01305,2.02871,0.84056,1.43808,0.25653,0.61034,0.6085,5.30288,19.13992,1.2382,0.42874,6,0.02443,0.02911,0.70246,5.57118,9.69751
"8","2012_Q1",12.2308064516129,"Up",3.2503e+10,-1.6679e+10,1.5824e+10,-2.1904e+10,-1.7331e+10,-4.573e+09,-6.08e+09,-8.35e+08,-9.52e+08,1.17e+08,-6.915e+09,-9.825e+09,3.062e+09,-6.628e+09,-6.628e+09,-5e+07,-6.678e+09,-6.678e+09,3.045e+09,3.045e+09,1.3231e+10,1.3231e+10,6.709e+09,1.102e+09,2.2985e+10,1.07087e+11,1.36652e+11,7.0842e+10,5.6586e+10,9.224e+09,2.47457e+11,2.70442e+11,2.2564e+10,2.608e+09,1.9956e+10,3.453e+09,4.875e+09,3.872e+09,3.0892e+10,6.13e+10,7.2453e+10,3.4011e+10,2.5748e+10,1.2694e+10,1.33753e+11,1.64645e+11,9.7651e+10,6.495e+09,9.1156e+10,-2.075e+10,2.5453e+10,3.18e+09,1.05534e+11,2.63e+08,1.05797e+11,2.70442e+11,-6.628e+09,-6.628e+09,4.573e+09,6.392e+09,-2.013e+09,8.405e+09,3.256e+09,-5.91e+08,3.847e+09,7.593e+09,-5.485e+09,-5.485e+09,-5.485e+09,-7.13e+08,-1.938e+09,-4.4e+07,-6.225e+09,-2.545e+09,-6.308e+09,-6.275e+09,-6.276e+09,1e+06,2.1e+07,2.1e+07,0,-1.7e+07,-8.849e+09,-7.481e+09,-7.481e+09,-7.481e+09,-1.507e+09,6.4753e+10,-6.798e+09,0.48685,-0.18706,-0.20546,-0.06312,-0.02469,1.01797,0.74404,1.55624,0.23943,-1.12823,-1.12273,5.49128,17.82963,-1.1485,0.42997,4,-0.01701,-0.02797,-0.3811,-40.94758,-10.14934
"9","2012_Q2",13.5034920634921,"Up",3.1822e+10,-1.2817e+10,1.9005e+10,-1.2904e+10,-8.344e+09,-4.56e+09,6.101e+09,-8.07e+08,-8.59e+08,5.2e+07,5.294e+09,5.294e+09,-1.865e+09,3.652e+09,3.652e+09,-6.8e+07,3.584e+09,3.584e+09,2.442e+09,2.442e+09,1.3167e+10,1.3167e+10,5.156e+09,1.706e+09,2.0765e+10,1.07231e+11,1.37058e+11,7.0929e+10,5.6985e+10,9.144e+09,2.48591e+11,2.69356e+11,2.0178e+10,2.585e+09,1.7593e+10,6.775e+09,5.567e+09,3.966e+09,3.252e+10,5.8934e+10,7.2715e+10,3.4113e+10,2.6136e+10,1.2466e+10,1.31649e+11,1.64169e+11,9.7527e+10,6.495e+09,9.1032e+10,-2.246e+10,2.6446e+10,3.386e+09,1.04899e+11,2.88e+08,1.05187e+11,2.69356e+11,3.652e+09,3.652e+09,4.56e+09,4.33e+08,3.37e+08,9.6e+07,-8e+08,7.3e+07,-8.73e+08,7.845e+09,-4.261e+09,-4.261e+09,-4.261e+09,-4.17e+08,-4.33e+08,-6.4e+07,-4.737e+09,-2.606e+09,7.82e+08,7.82e+08,-2.204e+09,2.986e+09,-1.848e+09,2.18e+08,-2.066e+09,-1.3e+08,-3.802e+09,-6.94e+08,-6.94e+08,-6.94e+08,1.0661e+10,6.5709e+10,7.465e+09,0.59723,0.19172,0.11263,0.03407,0.01331,2.08287,0.63853,1.56073,0.24395,0.60561,0.60336,5.37713,17.72534,1.2614,0.44035,8,0.02541,0.03064,0.72712,5.93443,10.36994
"10","2012_Q3",15.1653968253968,"Up",3.1575e+10,-1.2254e+10,1.9321e+10,-1.2504e+10,-8.005e+09,-4.499e+09,6.817e+09,-9.18e+08,-9.41e+08,2.3e+07,5.899e+09,5.899e+09,-2.066e+09,3.965e+09,3.965e+09,-6.3e+07,3.902e+09,3.902e+09,2.151e+09,2.151e+09,1.243e+10,1.243e+10,4.575e+09,1.533e+09,1.9156e+10,1.07483e+11,1.35267e+11,6.9763e+10,5.7026e+10,8.478e+09,2.47138e+11,2.66294e+11,1.8852e+10,2.554e+09,1.6298e+10,3.402e+09,7.448e+09,3.743e+09,2.9702e+10,6.1132e+10,7.1881e+10,3.4021e+10,2.6011e+10,1.1849e+10,1.33013e+11,1.62715e+11,9.7422e+10,6.495e+09,9.0927e+10,-2.4869e+10,2.7788e+10,2.939e+09,1.0328e+11,2.99e+08,1.03579e+11,2.66294e+11,3.965e+09,3.965e+09,4.499e+09,-8.53e+08,-9.76e+08,122999999.999998,1.869e+09,-5.33e+08,2.402e+09,9.48e+09,-4.481e+09,-4.481e+09,-4.481e+09,7.4e+08,-44000000.0000002,-6.6e+07,-3.688e+09,-2.581e+09,-8.82e+08,-8.82e+08,-4.831e+09,3.949e+09,-2.399e+09,1.58e+08,-2.557e+09,-4.04e+08,-6.266e+09,-474000000.000001,-474000000.000001,-474000000.000001,1.1316e+10,6.4534e+10,1.077e+10,0.61191,0.2159,0.12358,0.03767,0.01465,2.76012,0.64494,1.57093,0.24234,0.66655,0.66405,5.39373,17.64257,1.83976,0.44089,7,0.02701,0.04488,0.66146,5.51281,9.15109
