"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",22.4390625,"Down",30900000,-22600000,8300000,-24100000,-24100000,-15800000,5500000,-1500000,7e+06,-10300000,105347832.550992,-10300000,-12500000,-22800000,-15600000,-2e+06,-17600000,-17600000,321783000,321783000,559268000,2003000,200641000,64579000,133586000,202644000,761912000,20960000,2382000,18578000,1017000,1017000,21977000,108429000,134303000,156280000,547916000,56296000,604212000,1420000,605632000,761912000,-15600000,1300000,13500000,-21500000,-22300000,1058813404.49186,7e+06,6900000,-14700000,-23500000,-38900000,-38900000,-38900000,-14500000,108429000,777677361.705129,0.26861,-0.51133,-0.56958,-0.02906,-0.0231,211.753288614037,25.44788,0.25804,0.14231,-0.41957,-0.41943,0.73662,14.40377,18.5398283824198,-0.02379,-1.8703508255535,14.71407,13.50342
"2","2018_Q3",23.6404761904762,"Up",22600000,-16300000,6300000,-5500000,-5500000,800000.000000002,1100000,-4e+05,1500000,1900000,2700000,4600000,-1e+05,4500000,4499999.99999999,-9.31322574615479e-10,4500000,4500000,347979001.662326,347979001.662326,474067289.934417,1925915.79129683,266112732.472429,33041672.4525652,251447013.933807,268038648.263725,742105938.198143,-975258.701032601,519030.797234679,-1494289.49826727,18817184.8367195,18818706.941127,20271820.4709514,111051090.678696,147786045.76935,168057866.240301,547789931.237872,24011577.8743395,571801509.112211,2246562.84562999,574048071.957841,742105938.198143,4500000,1200000,-3400000.00000001,-117800000,-115500000,228600000,1e+05,228700000,-300000.000000004,-1e+05,113100000,113100000,113100000,2e+06,2.98023223876953e-08,112900000,0.27876,0.0354000000000011,0.199120000000003,-0.101068885728654,-0.0763988540903236,25.08889,26.0885455765206,0.293756529723639,0.146885462228996,0.10728,0.10724,0.53876,13.6323147412659,2.69142,-0.0820317041050133,-0.575913608517833,-34.5433419798664,-46.9350375341936
"3","2018_Q4",16.7277777777778,"Down",23500000,-1e+07,13500000,-6500000,-6500000,7e+06,2e+06,9e+05,1100000,9e+06,1400000,10400000,0,10400000,10400000,-9e+05,9500000,9500000,367756000,367756000,422116000,1792000,386951000,17965000,367227000,388743000,810859000,25222000,4240000,20982000,36734979.7822927,36737009.254836,25222000,110515000,165450000,190672000,548122000,70251000,618373000,1814000,620187000,810859000,10400000,1400000,-1e+06,-7.9e+07,-68200000,-99999.9999999702,3e+05,2e+05,-2e+05,-7e+05,-68700000,-68700000,-68700000,8400000,110515000,-70700000,0.57447,0.29787,0.40426,0.01532,0.0117199999999999,-7.44211,16.73602,0.30744,0.13629,0.22652,0.22667,0.56034,14.7446,-1.68578,0.01209,-0.08999,-30.62393,-36.74871
"4","2019_Q1",16.3934426229508,"Down",1300000,-6e+05,7e+05,16700000,16700000,17400000,-1100000,3700000,-4800000,16300000,23700000,4e+07,37900000,77900000,70700000,1700000,72400000,72400000,318800000,318800000,339400000,1700000,5.52e+08,11700000,513400000,553700000,893100000,57500000,7900000,49600000,53589534.8367195,53591056.941127,57500000,111700000,161100000,218600000,548200000,125100000,673300000,1200000,674500000,893100000,70700000,0,-61500000,-86200000,-7.7e+07,29700000,-6600000,23200000,11500000,20300000,-33500000,-33500000,-33500000,17400000,111700000,-7.7e+07,0.53846,13.38462,55.69231,0.10734,0.08107,-1.06354,5.90261,0.32409,0.12507,1.72607,1.72607,0.03099,16.05193,-1.83573,0.08664,-0.09215,-11.9023,-11.9023
"5","2019_Q2",18.4490476190476,"Up",38500000,-30700000,7800000,-5700000,-5700000,2100000,1900000,1300000,6e+05,4e+06,899999.999999996,4900000,-1e+06,3900000,3900000,-6e+05,3300000,3300000,154200000,154200000,174800000,1800000,742100000,7400000,709200000,743900000,918700000,59600000,7400000,52200000,68200000,68200000,127800000,112900000,112900000,240700000,548300000,128400000,676700000,1300000,6.78e+08,918700000,3900000,1400000,5300000,-174700000,-164100000,-1e+05,1e+05,0,-6e+05,-6e+05,-164700000,-164700000,-164700000,3500000,112900000,-170300000,0.2026,0.05455,0.08571,0.00487000000000001,0.00359,-51.60606,1.36776,0.35501,0.12289,0.07865,0.07864,0.91762,16.12873,-4.059,0.00417000000000001,-0.21532,-11.8,-19.66667
"6","2019_Q3",19.59796875,"Up",65300000,-43600000,21700000,-6200000,-6200000,15500000,9e+05,9e+05,0,16400000,0,16400000,-3600000,12800000,12800000,-2700000,10100000,10100000,66400000,66400000,84600000,2400000,897900000,7400000,867600000,900300000,984900000,6.9e+07,14500000,54500000,78900000,78900000,147900000,149200000,149200000,297100000,548400000,138500000,686900000,9e+05,687800000,984900000,12800000,1600000,2600000,-136400000,-119400000,-7e+05,0,-699999.999999996,-3100000,31900000,-88200000,-88200000,-88200000,17100000,149200000,-116400000,0.33231,0.237369999999998,0.154670000000004,0.01468,0.01025,-11.52475,0.57201,0.43196,0.15149,0.24073,0.24069,1.55639,16.37184,-2.77432,0.01207,-0.13907,4.84211,5.34194
"7","2019_Q4",19.53671875,"Down",88200000,-75300000,12900000,-7900000,-7900000,5e+06,1800000,1900000,-1e+05,6800000,1500000,8300000,-1400000,6900000,6900000,0,6900000,6900000,2.23e+08,2.23e+08,226500000,2400000,1096300000,7300000,1.068e+09,1098700000,1325200000,86200000,18800000,67400000,84800000,84800000,1.71e+08,458900000,458900000,629900000,549300000,145400000,694700000,6e+05,695300000,1325200000,6900000,1800000,2500000,-177800000,-166600000,-99999.9999999991,0,-1e+05,-7200000,307800000,141100000,141100000,141100000,6800000,458900000,-169700000,0.14626,0.05669,0.07823,0.00992,0.00521,-24.5942,1.32456,0.90594,0.34629,0.16444,0.16399,2.10201,16.5563,-4.04434,0.00598,-0.14703,34.69118,47.18
"8","2020_Q1",18.33,"Down",236300000,-213100000,23200000,-9100000,-9100000,14100000,1400000,1400000,0,15500000,6e+05,16100000,-3400000,12700000,12700000,0,12700000,12700000,382800000,382800000,3.86e+08,2400000,1067300000,7300000,1042600000,1069700000,1455700000,96400000,16800000,79600000,89900000,89900000,186300000,460500000,460500000,646800000,650200000,158100000,808300000,6e+05,808900000,1455700000,12700000,1900000,3200000,41100000,58900000,0,-1.16415321826935e-10,4.65661287307739e-10,0,100700000,159600000,159600000,159600000,1.6e+07,460500000,60500000,0.09818,0.0596700000000001,0.0537499999999999,0.0157,0.00872,4.76378,2.07193,0.7996,0.31634,0.3022,0.30238,5.62278,19.23356,1.4396,0.01,0.04766,4.85625,5.51064
"9","2020_Q2",13.7687301587302,"Down",247200000,-216600000,30600000,-10500000,-10500000,20100000,2200000,1700000,5e+05,22300000,-1e+05,22200000,-5400000,16800000,16800000,1e+05,16900000,16900000,373300000,373300000,377100000,9e+05,1101900000,5900000,1084200000,1102800000,1479900000,102500000,19800000,82700000,89700000,89700000,192200000,462100000,462100000,654300000,650500000,1.75e+08,825500000,1e+05,825600000,1479900000,16800000,1900000,6e+06,-36300000,-11600000,1300000,1800000,3100000,-1e+06,-1e+06,-9500000,-9500000,-9500000,2.2e+07,462100000,-7600000,0.12379,0.08131,0.06837,0.02047,0.01142,-0.449700000000001,1.96202,0.79251,0.31225,0.35208,0.35135,5.15,17.19792,-0.15833,0.01312,-0.0059,4.03636,4.41791
"10","2020_Q3",17.37546875,"Up",159200000,-136600000,22600000,-11200000,-11200000,11400000,2e+06,1700000,3e+05,13400000,2e+05,13600000,-3300000,10300000,10300000,-8e+05,9500000,9500000,438200000,438200000,440700000,1e+06,1233900000,5700000,1220200000,1234900000,1675600000,98100000,23100000,7.5e+07,100600000,100600000,198700000,640100000,640100000,838800000,651300000,184600000,835900000,9e+05,836800000,1675600000,10300000,1500000,4200000,-128200000,-112200000,-2e+05,6e+05,4e+05,-4400000,176700000,64900000,64900000,64900000,12900000,640100000,-112200000,0.14196,0.07161,0.05967,0.01135,0.00567,-11.81053,2.21792,1.00239,0.38201,0.19777,0.19771,3.31415,17.40135,-2.33572,0.00643,-0.07597,15.65116,17.71053
"11","2020_Q4",19.008125,"Up",177900000,-157100000,20800000,-11099999,-11099999,9700001,6e+05,8e+05,-2e+05,10300001,-1.16415321826935e-10,10300001,-2e+05,10100001,10100001,0,10100001,10100001,355600000,355600000,364500000,1200000,1319700000,5500000,1314200000,1320900000,1685400000,9.9e+07,2.6e+07,7.3e+07,98900000,98900000,197900000,640600000,640600000,838500000,651600000,194700000,846300000,6e+05,846900000,1685400000,10100000,8e+05,8700000,-101500000,-81900000,-4e+05,0,-4e+05,-3e+05,-3e+05,-82600000,-82600000,-82600000,10500001,640600000,-91199999,0.11692,0.05453,0.05677,0.01193,0.00599,-9.0297,1.84184,0.99008,0.38009,0.21058,0.20976,3.70907,17.64466,-1.90145,0.00679,-0.06131,27.14285,29.38144
"12","2021_Q1",22.3904918032787,"Up",347500000,-303400000,44100000,-12900001,-12900001,31199999,8e+05,7e+05,1e+05,31999999,0,31999999,-7500000,24499999,24499999,-2e+05,24299999,24299999,394300000,394300000,400600000,1100000,1338200000,3600000,1334600000,1339300000,1739900000,1.23e+08,29200000,93800000,1.04e+08,98300000,2.27e+08,641100000,641100000,868100000,6.52e+08,218900000,870900000,9e+05,871800000,1739900000,24500000,7e+05,6400000,5700000,37300000,0,1900000,1900000,-5e+05,-500000.00000003,38700000,38700000,38700000,31899999,641100000,45099999,0.12691,0.08978,0.06993,0.02787,0.01397,1.85597,1.76476,0.99576,0.36847,0.5052,0.50415,7.22453,18.10603,0.93763,0.01606,0.02981,7.73668,7.91026
"13","2021_Q2",23.392380952381,"Up",307100000,-262899999,44200001,-15500000,-15500000,28700001,5e+05,3e+05,2e+05,29200001,-10663839.4386065,29200001,-7100000,22100001,22100001,-1e+05,22000001,22000001,237400000,237400000,239500000,1900000,1567800000,1e+06,1566800000,1569700000,1809200000,134600000,42200000,92400000,126400000,118500000,2.61e+08,654100000,654100000,915100000,652200000,240900000,893100000,1e+06,894100000,1809200000,22100000,8e+05,2700000,-184300000,-158700000,-1e+05,2100000,2e+06,-2e+05,-2e+05,-156900000,-156900000,-156900000,29500001,654100000,-147799999,0.14393,0.09345,0.07164,0.02461,0.01216,-6.71818,0.91762,1.02349,0.36154,0.45738,0.45643,6.38462,18.56757,-3.07277,0.01421,-0.09547,14.12542,14.51916
