"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","other_adjustments_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2017_Q2",16.2031746031746,"Up",184074000,-99588000,84486000,-26454000,-14525000,-11929000,58032000,-2728000,-2881000,55304000,23897522.5266034,55304000,-12749000,42555000,42555000,-22760000,19795000,19795000,222395000,222182000,213000,63399000,63399000,801084000,13041000,1086878000,20617000,20617000,1107495000,81834000,21814000,60020000,685435000,685435000,966786000,966786000,127101000,13596000,-1776000,139541000,1168000,140709000,1107495000,42555000,42555000,1257000,28520000,18863000,46664000,118996000,-1491000,4641000,-17560000,-58232000,65405000,65405000,65405000,59289000,199517000,117211000,0.45898,0.31526,0.10754,0.14068,0.01787,5.92124,1.12422,6.87082,0.18015,0.36991,0.36991,3.43977,2.596,2.19031,0.17773,0.34451,-0.38587,-0.39423
"18","2017_Q3",17.8787301587302,"Up",196273000,-102765000,93508000,-27005000,-14744000,-12261000,66503000,-2747000,-2920000,63756000,18000,63774000,-14941000,48833000,48833000,-22201000,26632000,26632000,220763000,217391000,3372000,67757000,67757000,15775000,15775000,304295000,20106000,831119000,1135414000,104311000,35311000,6.9e+07,669857000,669857000,973726000,980581000,128905000,18536000,-1385000,146677000,8156000,154833000,1135414000,48833000,48833000,1292000,11568000,2621000,15811000,77504000,-8e+05,-3800000,-25779000,-78495000,-4791000,-4791000,-4791000,67795000,199558000,97747000,0.47642,0.33883,0.13569,0.172,0.02346,3.67028,0.31251,6.33315,0.17576,0.45054,0.45054,3.32041,2.47087,1.65361,0.15657,0.27058,-0.31278,-0.31886
"19","2017_Q4",21.7179365079365,"Up",204556000,-98525000,106031000,-25401000,-13642000,-11759000,80630000,-2692000,-2870000,77938000,2050000,79988000,-21479000,58509000,58509000,-27844000,30665000,30665000,227580000,221749000,5831000,73672000,73672000,14453000,14453000,315705000,20508000,845216000,1160921000,106051000,27760000,78291000,666589000,666589000,971572000,988860000,136546000,19900000,-923000,156146000,15915000,172061000,1160921000,58509000,58509000,1310000,15012000,4031000,-2589000,72242000,-2058000,-4058000,-26257000,-63826000,4358000,4358000,4358000,81940000,198932000,98772000,0.51835,0.39417,0.14991,0.17822,0.02641,3.221,0.32494,5.74715,0.17136,0.40578,0.40578,2.70683,2.05799,1.30702,0.15656,0.25438,-0.34962,-0.3553
"20","2018_Q1",21.725737704918,"Up",210721000,-102002000,108719000,-27473000,-14859000,-12614000,81246000,-2159000,-2778000,79087000,293092000,372179000,-371339000,840000,840000,-28333000,-27493000,-27493000,164145000,159167000,4978000,76693000,76693000,9598000,8969000,250436000,21025000,586719000,837155000,27747000,24836000,2911000,391776000,391776000,618652000,666509000,148042000,-37870000,-873000,109923000,60723000,170646000,837155000,840000,840000,1438000,48747000,-317084000,-93813000,-42788000,-1486000,-1486000,11990000,-18308000,-62582000,-62582000,-62582000,82684000,199129000,358724000,0.51594,0.38556,-0.13047,-0.16111,-0.03284,-13.04783,0.40481,3.9058,0.23786,-0.36015,-0.36015,2.76036,1.43177,4.69913,0.00672,0.85895,0.4231,0.43059
"21","2018_Q2",20.1415625,"Down",212008000,-105224000,106784000,-26798000,-14213000,-12585000,79986000,-2322000,-2776000,77664000,6285000,83949000,-12285000,71664000,71664000,-30390000,41274000,41274000,250912000,245614000,5298000,74758000,74758000,12924000,12295000,338594000,20262000,615589000,954183000,120218000,51728000,68490000,400467000,400467000,719856000,773611000,89139000,4040000,-739000,93072000,87500000,180572000,954183000,71664000,71664000,1265000,22461000,15209000,71934000,167324000,-829000,-829000,-9843000,-80048000,86447000,86447000,86447000,81251000,199171000,164641000,0.50368,0.37728,0.19468,0.22857,0.04326,3.98898,0.47036,4.28422,0.20873,0.87149,0.87149,4.47648,1.95184,3.47634,0.25716,0.3798,-0.6368,-0.64688
"22","2018_Q3",20.5938095238095,"Up",212296000,-106744000,105552000,-26675000,-13407000,-13268000,78877000,-2186000,-2846000,76691000,2941000.00000003,79632000,-11987000,67645000,67645000,-25639000,42006000,42006000,242586000,236983000,5603000,76819000,76819000,15245000,14616000,334650000,20801000,616075000,950725000,112966000,36988000,75978000,377504000,377504000,689683000,740494000,82933000,28694000,-1477000,110778000,99453000,210231000,950725000,67645000,67645000,1237000,2817000,-3638000,1936000,73635000,-1934000,-1934000,-20649000,-80332000,-8631000.00000001,-8631000.00000001,-8631000.00000001,80114000,199213000,92103000,0.49719,0.37154,0.19787,0.19981,0.04418,2.19262,0.48522,3.52229,0.20954,0.7201,0.7201,3.63936,1.88829,1.57891,0.16173,0.20011,-0.54139,-0.54988
"23","2018_Q4",17.1811111111111,"Down",212788000,-102741000,110047000,-28210000,-13317000,-14893000,81837000,-1437000,-2823000,80400000,489000,80889000,-14172000,66717000,66717000,-24199000,42518000,42518000,245178000,226974000,18204000,76820000,76820000,13959000,13330000,335957000,25562000,540345000,876302000,118807000,36351000,82456000,368986000,368986000,687048000,708733000,90751000,38678000,-1624000,128432000,39137000,167569000,876302000,66717000,66717000,1755000,3948000,-1813000,14868000,87288000,-6102000,-6352000,-9773000,-51186000,29750000,29750000,29750000,83592000,199255000,106530000,0.51717,0.38459,0.19981,0.25373,0.04852,2.50553,0.48899,4.2295,0.22738,0.77033,0.77033,3.85522,2.31553,1.93007,0.19323,0.2742,-0.54937,-0.56115
"24","2019_Q1",16.5211475409836,"Down",191543000,-98457000,93086000,-28845000,-13727000,-15118000,64241000,-3180000,-2778000,61061000,-3743000,57318000,-9154000,48164000,48164000,-15653000,32511000,32511000,193015000,174906000,18109000,67691000,67691000,10510000,9881000,271216000,29138000,533798000,805014000,34173000,21484000,12689000,379804000,379804000,613273000,630178000,97695000,38617000,-1895000,135044000,39792000,174836000,805014000,48164000,48164000,1411000,14661000,9266000,-59161000,5075000.00000001,-4976000,-5226000,-19327000,-51917000,-52068000,-52068000,-52068000,65652000,199296000,10669000,0.48598,0.33539,0.16973,0.18595,0.04039,0.32817,0.44224,3.60439,0.24757,0.60304,0.60304,3.55292,2.49329,0.1979,0.16648,0.02728,0.09567,0.0977699999999999
"25","2019_Q2",18.6953968253968,"Up",186962000,-99282000,87680000,-29948000,-12953000,-16995000,57732000,-818000,-2775000,56914000,2346000,59260000,-9442000,49818000,49818000,-18279000,31539000,31539000,175040000,154369000,20671000,79256000,79256000,13527000,12898000,267823000,32531000,638687000,906510000,86964000,25641000,61323000,482231000,482231000,768533000,777013000,69613000,21191000,-1658000,89782000,39715000,129497000,906510000,49818000,49818000,1471000,-1127000,-8620000,43692000,93854000,-4838000,-4838000,-23187000,-109553000,-20537000,-20537000,-20537000,59203000,199338000,107499000,0.46897,0.30879,0.16869,0.24355,0.03479,3.40845,0.34849,6.00024,0.2199,0.62895,0.62895,3.72838,1.77774,2.14373,0.34954,0.31869,0.41042,0.42088
"26","2019_Q3",20.09484375,"Up",200727000,-101486000,99241000,-28383000,-12773000,-15610000,70858000,-1444000,-2827000,69414000,2043000,71457000,-11484000,59973000,59973000,-20785000,39188000,39188000,180496000,158718000,21778000,87208000,87208000,14593000,13964000,282297000,41146000,646431000,928728000,111038000,37372000,73666000,464669000,464669000,775087000,783171000,77082000,29365000,-2006000,105081000,40476000,145557000,928728000,59973000,59973000,1496000,8343000,838999.999999996,18971000,88783000,-9428000,-9428000,-24966000,-75006000,4349000,4349000,4349000,72354000,199380000,93381000,0.49441,0.35301,0.19523,0.26923,0.0422,2.3829,0.36421,5.38051,0.21468,0.76539,0.69482,3.92045,2.03986,1.82385,0.19891,0.26452,0.26099,0.2665
