"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",25.6388888888889,"Up",7.406e+09,-4.57e+09,2.836e+09,-1.68e+09,-3.58e+08,-1.322e+09,1.156e+09,-4.57e+08,-5.33e+08,7.6e+07,6.99e+08,-1.82e+08,5.17e+08,-1.83e+08,3.34e+08,3.34e+08,-9.4e+07,2.4e+08,2.4e+08,5.53e+08,5.53e+08,4.06e+09,4.06e+09,8.81e+08,1.492e+09,5.76e+08,6.986e+09,1.1347e+10,2.5855e+10,-1.4508e+10,1.442e+09,4.034e+09,2.705e+09,1.329e+09,1.6823e+10,2.3809e+10,3.721e+09,1.348e+09,2.373e+09,5.46e+08,4.267e+09,2.482e+10,2.51e+09,2.51e+09,2.733e+10,3.1597e+10,3.062e+09,-1.1648e+10,-3.44e+08,-8.93e+09,1.142e+09,-7.788e+09,2.3809e+10,3.34e+08,3.58e+08,1e+09,-7.74e+08,9.18e+08,-3.29e+08,3.3e+07,2.3e+07,-2.73e+08,-2.9e+09,-7.9e+07,-5.03e+08,1.42e+08,1.42e+08,1.42e+08,1.514e+09,2.5366e+10,5.94e+08,0.38293,0.15609,0.03241,-0.03082,0.01008,2.475,1.63722,-4.05714,1.0654,0.54029,0.51952,16.67259,-20.10347,1.33723,0.01344,0.02957,16.38904,21.46453
"2","2011_Q3",18.19734375,"Down",7.249e+09,-4.615e+09,2.634e+09,-1.645e+09,-3.58e+08,-1.287e+09,9.89e+08,-4.47e+08,-5.2e+08,7.3e+07,5.42e+08,-7.5e+07,4.67e+08,-1.47e+08,3.2e+08,3.2e+08,-9.1e+07,2.29e+08,2.29e+08,5.39e+08,5.39e+08,3.946e+09,3.946e+09,8.87e+08,1.519e+09,6.25e+08,6.891e+09,1.1584e+10,2.6338e+10,-1.4754e+10,1.358e+09,4.044e+09,2.719e+09,1.325e+09,1.6986e+10,2.3877e+10,3.589e+09,1.297e+09,2.292e+09,6.89e+08,4.278e+09,2.4631e+10,2.502e+09,2.502e+09,2.7133e+10,3.1411e+10,3.077e+09,-1.1419e+10,-3.39e+08,-8.681e+09,1.147e+09,-7.534e+09,2.3877e+10,3.2e+08,3.58e+08,8.72e+08,-8.02e+08,7.48e+08,-4.47e+08,-1.47e+08,5.5e+07,-5.39e+08,-1.32e+08,-9.1e+07,-2.23e+08,-1.4e+07,-1.4e+07,-1.4e+07,1.347e+09,2.532e+10,2.45e+08,0.36336,0.13643,0.03159,-0.0304,0.00959,1.06987,1.6108,-4.16923,1.06043,0.44307,0.42489,14.0254,-16.79604,0.47403,0.01129,0.01208,18.39718,25.05662
"3","2011_Q4",17.1657142857143,"Down",7.258e+09,-4.596e+09,2.662e+09,-1.68e+09,-3.62e+08,-1.318e+09,9.82e+08,-4.51e+08,-5.19e+08,6.8e+07,5.31e+08,-4.08e+08,1.23e+08,2.3e+07,1.46e+08,1.46e+08,-8.5e+07,6.1e+07,6.1e+07,3.59e+08,3.59e+08,3.925e+09,3.925e+09,8.91e+08,1.518e+09,8.75e+08,6.693e+09,1.1645e+10,2.6647e+10,-1.5002e+10,1.382e+09,4.036e+09,2.701e+09,1.335e+09,1.7063e+10,2.3756e+10,3.546e+09,1.334e+09,2.212e+09,7.25e+08,4.271e+09,2.5871e+10,2.676e+09,2.676e+09,2.8547e+10,3.2818e+10,1.588e+09,-1.1358e+10,-4.24e+08,-1.0194e+10,1.132e+09,-9.062e+09,2.3756e+10,1.46e+08,3.62e+08,1.132e+09,-7.6e+08,8.8e+08,-3.94e+08,-4e+07,6e+06,-4.28e+08,1.035e+09,-1.63e+08,-6.32e+08,-1.8e+08,-1.8e+08,-1.8e+08,1.344e+09,2.6596e+10,1.67e+08,0.36677,0.1353,0.0084,-0.00673,0.00257,2.7377,1.56708,-3.6215,1.11955,0.11991,0.11557,14.26712,-20.03845,0.32827,0.00307,0.00826,19.52158,26.71792
"4","2012_Q1",20.0664516129032,"Up",7.769e+09,-4.838e+09,2.931e+09,-1.72e+09,-3.87e+08,-1.333e+09,1.211e+09,-4.24e+08,-4.65e+08,4.1e+07,7.87e+08,1.667e+09,2.454e+09,-4.12e+08,2.042e+09,2.042e+09,-1.07e+08,1.935e+09,1.935e+09,3.73e+08,3.73e+08,4.533e+09,4.533e+09,1.054e+09,1.273e+09,6.79e+08,7.233e+09,1.2834e+10,2.8075e+10,-1.5241e+10,6.49e+08,6.182e+09,5.251e+09,9.31e+08,1.9665e+10,2.6898e+10,4.147e+09,1.597e+09,2.55e+09,1.407e+09,5.554e+09,2.5645e+10,2.713e+09,2.713e+09,2.8358e+10,3.3912e+10,1.605e+09,-9.423e+09,-4.4e+08,-8.258e+09,1.244e+09,-7.014e+09,2.6898e+10,2.042e+09,3.87e+08,-4.25e+08,-6.17e+08,1.387e+09,-5.09e+08,-1.247e+09,999999.999999996,-1.755e+09,4.08e+08,-2.6e+07,3.82e+08,1.4e+07,1.4e+07,1.4e+07,1.598e+09,2.7052e+10,8.84e+08,0.37727,0.15588,0.24907,-0.27588,0.07194,0.456849999999999,1.3023,-4.8349,1.00573,4.43132,4.25253,17.79171,-18.91157,2.02444,0.08505,0.03886,16.69524,22.03055
"5","2012_Q2",21.8650793650794,"Up",8.405e+09,-5.155e+09,3.25e+09,-1.855e+09,-4.17e+08,-1.438e+09,1.395e+09,-4.31e+08,-4.42e+08,1.1e+07,9.64e+08,-1e+06,9.63e+08,-3.24e+08,6.39e+08,6.39e+08,-9.9e+07,5.4e+08,5.4e+08,4.71e+08,4.71e+08,4.878e+09,4.878e+09,1.046e+09,8.87e+08,6.61e+08,7.282e+09,1.2787e+10,2.8354e+10,-1.5567e+10,6.44e+08,6.426e+09,5.398e+09,1.028e+09,1.9857e+10,2.7139e+10,3.774e+09,1.412e+09,2.362e+09,1.841e+09,5.615e+09,2.6061e+10,2.787e+09,2.787e+09,2.8848e+10,3.4463e+10,1.652e+09,-9.854e+09,-4.11e+08,-8.613e+09,1.289e+09,-7.324e+09,2.7139e+10,6.39e+08,4.17e+08,1.125e+09,-1.384e+09,7.97e+08,-3.35e+08,-1.11e+08,9e+06,-4.37e+08,7.87e+08,-6.7e+07,-2.62e+08,9.8e+07,9.8e+07,9.8e+07,1.812e+09,2.7902e+10,4.17e+08,0.38667,0.16597,0.06425,-0.07373,0.0199,0.77222,1.29688,-4.70549,1.02811,1.23306,1.17824,19.1923,-19.66726,0.95219,0.06514,0.01785,15.13852,19.6638
"6","2012_Q3",23.7122222222222,"Up",8.112e+09,-5.129e+09,2.983e+09,-1.843e+09,-4.2e+08,-1.423e+09,1.14e+09,-4.39e+08,-4.48e+08,9e+06,7.01e+08,-2e+06,6.99e+08,-2.14e+08,4.85e+08,4.85e+08,-9.4e+07,3.91e+08,3.91e+08,5.18e+08,5.18e+08,4.485e+09,4.485e+09,1.055e+09,1.079e+09,7.56e+08,7.137e+09,1.2846e+10,2.8742e+10,-1.5896e+10,5.97e+08,6.552e+09,5.431e+09,1.121e+09,1.9995e+10,2.7132e+10,4.138e+09,1.517e+09,2.621e+09,1.309e+09,5.447e+09,2.5732e+10,2.896e+09,2.896e+09,2.8628e+10,3.4075e+10,1.669e+09,-9.463e+09,-4.49e+08,-8.243e+09,1.3e+09,-6.943e+09,2.7132e+10,4.85e+08,4.2e+08,1.098e+09,-5.43e+08,1.46e+09,-4.49e+08,-22000000.0000001,2.2e+07,-4.49e+08,-8.65e+08,-9.9e+07,-9.64e+08,4.7e+07,4.7e+07,4.7e+07,1.56e+09,2.7041e+10,7.82e+08,0.36773,0.14053,0.0482,-0.05632,0.01441,2,1.31026,-4.90782,0.99665,0.8897,0.852550000000001,18.45843,-18.75651,1.7794,0.017,0.03401,17.00192,23.26579
"7","2012_Q4",27.8146774193548,"Up",8.062e+09,-5.156e+09,2.906e+09,-1.796e+09,-4.17e+08,-1.379e+09,1.11e+09,-4.4e+08,-4.46e+08,6e+06,6.7e+08,7e+06,6.77e+08,-2.22e+08,4.55e+08,4.55e+08,-9.5e+07,3.6e+08,3.6e+08,4.72e+08,4.72e+08,4.598e+09,4.598e+09,1.052e+09,1.15e+09,8.28e+08,7.272e+09,1.296e+10,2.9145e+10,-1.6185e+10,5.76e+08,6.494e+09,5.46e+09,1.034e+09,2.003e+10,2.7302e+10,4.11e+09,1.585e+09,2.525e+09,1.751e+09,5.861e+09,2.5182e+10,2.822e+09,2.822e+09,2.8004e+10,3.3865e+10,1.684e+09,-9.103e+09,-4.4e+08,-7.859e+09,1.296e+09,-6.563e+09,2.7302e+10,4.55e+08,4.17e+08,7.79e+08,-9.96e+08,6.55e+08,-4.84e+08,-1.7e+07,4.7e+07,-4.54e+08,-1.36e+08,-1.1e+08,-2.47e+08,-4.6e+07,-4.6e+07,-4.6e+07,1.527e+09,2.6933e+10,2.69e+08,0.36046,0.13768,0.04465,-0.05485,0.01319,0.74722,1.24074,-5.15999,0.98648,0.81649,0.78341,18.28479,-17.82438,0.6101,0.01557,0.0116,17.32875,23.83874
"8","2013_Q1",35.004,"Up",8.434e+09,-5.366e+09,3.068e+09,-1.897e+09,-4.25e+08,-1.472e+09,1.171e+09,-4.52e+08,-4.62e+08,1e+07,7.19e+08,-1.64e+08,5.55e+08,-1.28e+08,4.27e+08,4.27e+08,-1.13e+08,3.14e+08,3.14e+08,7.05e+08,7.05e+08,4.672e+09,4.672e+09,1.086e+09,1.3e+09,9.15e+08,7.763e+09,1.3185e+10,2.9527e+10,-1.6342e+10,6.19e+08,6.508e+09,5.539e+09,9.69e+08,2.0312e+10,2.8075e+10,4.737e+09,1.768e+09,2.969e+09,1.435e+09,6.172e+09,2.7495e+10,2.749e+09,2.749e+09,3.0244e+10,3.6416e+10,1.757e+09,-1.096e+10,-4.57e+08,-9.66e+09,1.319e+09,-8.341e+09,2.8075e+10,4.27e+08,4.25e+08,1.151e+09,-7.4e+08,1.263e+09,-5.94e+08,-7.8e+07,-5.1e+07,-7.23e+08,1.938e+09,-8e+07,-3.07e+08,2.33e+08,2.33e+08,2.33e+08,1.596e+09,2.893e+10,3.9e+08,0.36377,0.13884,0.03723,-0.03765,0.01118,1.24204,1.25778,-4.3659,1.03045,0.70978,0.68091,19.06467,-21.83599,0.88158,0.10622,0.01671,17.68484,24.10333
"9","2013_Q2",36.9646875,"Up",8.44e+09,-5.396e+09,3.044e+09,-1.908e+09,-4.24e+08,-1.484e+09,1.136e+09,-4.64e+08,-4.72e+08,8e+06,6.72e+08,-3.3e+07,6.39e+08,-2.01e+08,4.38e+08,4.38e+08,-9.4e+07,3.44e+08,3.44e+08,5.94e+08,5.94e+08,4.877e+09,4.877e+09,1.104e+09,1.212e+09,8.27e+08,7.787e+09,1.3144e+10,2.9764e+10,-1.662e+10,5.3e+08,6.421e+09,5.541e+09,8.8e+08,2.0095e+10,2.7882e+10,4.553e+09,1.691e+09,2.862e+09,1.438e+09,5.991e+09,2.717e+10,2.733e+09,2.733e+09,2.9903e+10,3.5894e+10,1.768e+09,-1.0616e+10,-4.75e+08,-9.323e+09,1.311e+09,-8.012e+09,2.7882e+10,4.38e+08,4.24e+08,1.172e+09,-1.294e+09,7.4e+08,-4.04e+08,-2.1e+07,5.2e+07,-3.73e+08,-3.51e+08,-1.17e+08,-4.78e+08,-1.11e+08,-1.11e+08,-1.11e+08,1.56e+09,2.8608e+10,6.3e+07,0.36066,0.1346,0.04076,-0.04294,0.01234,0.18314,1.29978,-4.48003,1.02604,0.77408,0.744,18.99186,-20.9788,0.14176,0.01517,0.0027,17.95769,24.66021
"10","2013_Q3",37.33828125,"Up",8.45e+09,-5.318e+09,3.132e+09,-1.88e+09,-4.25e+08,-1.455e+09,1.252e+09,-4.5e+08,-4.62e+08,1.2e+07,8.02e+08,4e+06,8.06e+08,-2.69e+08,5.37e+08,5.37e+08,-1.14e+08,4.23e+08,4.23e+08,4.62e+08,4.62e+08,4.915e+09,4.915e+09,1.152e+09,1.262e+09,8.61e+08,7.791e+09,1.3229e+10,3.0077e+10,-1.6848e+10,5.25e+08,6.389e+09,5.534e+09,8.55e+08,2.0143e+10,2.7934e+10,4.564e+09,1.657e+09,2.907e+09,1.456e+09,6.02e+09,2.6744e+10,2.655e+09,2.655e+09,2.9399e+10,3.5419e+10,1.796e+09,-1.0193e+10,-4.26e+08,-8.823e+09,1.338e+09,-7.485e+09,2.7934e+10,5.37e+08,4.25e+08,8.93e+08,-1.041e+09,8.14e+08,-4.92e+08,2.9e+07,4.6e+07,-4.17e+08,-4.37e+08,-9.2e+07,-5.29e+08,-1.32e+08,-1.32e+08,-1.32e+08,1.677e+09,2.82e+10,4.13e+08,0.37065,0.14817,0.05006,-0.05651,0.01514,0.97636,1.29419,-4.732,1.00952,0.9471,0.91322,18.91968,-19.75483,0.92471,0.0181,0.01767,16.54025,22.15495
