"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","intangible_assets","goodwill","other_assets","total_assets","total_deposits","demand_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"21","2019_Q2",12.4960317460317,"Down",435553000,294508000,400615000,-106107000,141045000,31000,51280000,89734000,-9e+06,426553000,-296090000,-12299000,-283791000,130463000,130463000,130463000,-27058000,103405000,103405000,-2820000,100585000,-1550000,99035000,570589000,1655535000,6426177000,27805137000,-184911000,27990048000,148818000,1432787000,3059960000,41099003000,32462888000,7963048000,24499840000,1655649000,1177926000,848896000,36252482000,292725000,2983948000,1274417000,4551090000,295431000,4846521000,41099003000,19066686.5904352,16310784.4889981,24571360.3056629,1624071474.18739,-1153802891.21351,530217414.358983,-328137875.749441,-1832992069.3797,-180238837.85102,-2322452707.76045,-45315404.1592886,550771977.651988,-91611912.1684954,1584594611.74923,1988837774.6504,196602481.24893,196602481.24893,196602481.24893,37035767.9178383,2833575000,0.29953,0.22738,0.02043,0.00241,7.4801,0.06895,0.31199,0.30989,1.3721,13.41492,0.142556833203056,0.00241,0.79751002713471,17.34581
"22","2019_Q3",13.78171875,"Up",461603000,303610000,412089000,-108479000,157993000,49000,54382000,103562000,-1.3e+07,448603000,-300394000,-11291000,-289103000,148209000,148209000,148209000,-34467000,113742000,113742000,-2852000,110890000,-1550000,109340000,596081000,1246804000,6280072000,29520061000,-192749000,29712810000,142612000,1432787000,2953353000,42171770000,32308318000,8086748000,24221570000,2854009000,1186646000,808231000,37245689000,290923000,2941696000,1398031000,4630650000,295431000,4926081000,42171770000,51244505.9923015,21031905.0291051,35714648.8002804,1527931622.75596,-1214556074.90565,421366607.671989,-108018498.955724,-1765746659.63716,-747576774.443273,-2606206238.39918,-47282643.357664,2365527206.36666,-66463953.7299838,341945010.854522,2588003175.33859,403163544.611405,403163544.611405,403163544.611405,86418741.2251335,4040655000,0.32107,0.23687,0.0222,0.00259,7.56092,0.09581,0.34815,0.34625,1.46978,13.81801,0.150190395472561,0.00259,1.02894823860152,23.24133
"23","2019_Q4",14.27828125,"Up",472411000,300676000,407494000,-106818000,171735000,97000,55699000,115939000,-14273000,458138000,-308399000,-29081000,-279318000,149739000,149739000,149739000,-35796000,113943000,113943000,-2883000,111060000,-1550000,109510000,749719000,1110373000,6071674000,31067684000,-193149000,31260833000,136406000,1432787000,3149041000,43717684000,31944660000,8268812000,23675848000,4667979000,1195096000,830376000,38721641000,290111000,2925309000,1485192000,4700612000,295431000,4996043000,43717684000,113943000,20958000,14273000,542773000,-265864000,426083000,22060000.0000001,-683209000,-727932000,-1403480000,-48146000,1658230000,-23054000,-363658000,1223372000,245975000,245975000,245975000,170697000,5863075000,0.31697,0.23181,0.02192,0.0025,7.75046,0.13411,0.35112,0.34897,1.51468,14.1413,0.15437,0.00361,0.43965,34.14846
"24","2020_Q1",12.3106451612903,"Down",494433000,311206000,403802000,-92596000,183227000,-177000,55639000,127765000,-8727000.00000001,485706000,-328117000,-19329000,-308788000,157589000,157589000,157589000,-36679000,120910000,120910000,8555000,129465000,4650000,134115000,6.34e+08,1.115e+09,5.791e+09,3.0861e+10,-2e+08,3.1061e+10,1.31e+08,1.433e+09,2.891e+09,4.3311e+10,3.243e+10,8.429e+09,2.4001e+10,4.024e+09,7.91e+08,9.9e+08,3.8235e+10,9.6e+07,3.126e+09,-2.39e+08,4.781e+09,2.95e+08,5.076e+09,4.3311e+10,120910000,15598000,8727000,-594141000,562334000,113428000,-26630000,91773000,4704000,55246000,-47340000,-835270000,248000,485333000,-397029000,-228355000,-228355000,-228355000,173187000,4.815e+09,0.31873,0.27125,0.02642,0.0031,7.53251,0.11117,0.43089,0.428,1.58854,15.05221,0.1521,0.00419,0.35298,26.53104
"25","2020_Q2",8.21777777777778,"Down",4.77e+08,3.03e+08,3.78e+08,-7.5e+07,1.74e+08,-671761.113707827,5.3e+07,1.21e+08,-1.54e+08,3.23e+08,-3.02e+08,-9e+06,-2.93e+08,2.1e+07,2.1e+07,2.1e+07,-5e+06,1.6e+07,1.6e+07,-3e+06,1.3e+07,-1e+06,1.2e+07,537564000,1263010000,7128671000,32933813000,-444490000,33378303000,124892000,1432787000,3776641000,47197378000,34419650000,8939808000,25479842000,5777892000,792751000,916521000,42141798000,290538000,2938670000,1530941000,4760149000,295431000,5055580000,47197378000,1.6e+07,2e+07,1.54e+08,1.69e+08,-1.759e+09,-1.4e+09,20999999.9999999,-2.5e+09,3e+06,-2.482e+09,-4.9e+07,1.804e+09,0,1.99e+09,3.745e+09,-1.37e+08,-1.37e+08,-1.37e+08,4.1e+07,6570643000,0.04403,0.02516,0.00237,0.00025,8.3357,0.13922,0.03851,0.03832,1.53082,14.3442,0.15725,0.00129,4.08333,287.28948
"26","2020_Q3",8.63078125,"Up",5.12e+08,3.05e+08,3.47e+08,-4.2e+07,2.07e+08,-1e+06,5.2e+07,1.56e+08,-1.21e+08,3.91e+08,-3.21e+08,-1.3e+07,-3.08e+08,7e+07,7e+07,7e+07,-1.3e+07,5.7e+07,5.7e+07,-3e+06,5.4e+07,-2e+06,5.2e+07,604280000,3551111000,7202310000,32171056000,-537881000,32708937000,119608000,1432787000,3563507000,48644659000,37759351000,11787818000,25971533000,2624439000,2032476000,925619000,43436274000,435513000,2940610000,1536831000,4912954000,295431000,5208385000,48644659000,5.7e+07,2e+07,1.21e+08,-2.45e+08,9.44e+08,8.97e+08,-9.3e+08,-1.802e+09,1e+06,-2.744e+09,-5.2e+07,-1.694e+09,1.43e+08,3.34e+09,1.737e+09,-1.1e+08,-1.1e+08,-1.1e+08,9e+07,4656915000,0.13672,0.10156,0.00998,0.00107,8.33968,0.09573,0.16662,0.16617,1.64055,14.34663,0.16662,0.00214,1,57.89479
"27","2020_Q4",10.92390625,"Up",1.355e+09,5.32e+08,5.98e+08,-6.6e+07,8.23e+08,-1e+06,7.2e+07,7.52e+08,-2.27e+08,1.128e+09,-5.87e+08,-4.3e+07,-5.44e+08,5.41e+08,5.41e+08,5.41e+08,-2e+06,5.39e+08,5.39e+08,-2e+06,5.37e+08,-1.3e+07,5.24e+08,1074646000,6036759000,9381941000,58718429000,-988102000,59706531000,365700000,1510431000,5185560000,83029579000,68408907000,21384379000,47024528000,2618792000,2161870000,1695868000,74885437000,470370000,5407821000,-140470000,7848711000,295431000,8144142000,83029579000,5.39e+08,2.2e+07,2.27e+08,-8.96e+08,3.38e+08,2.3e+08,9.93e+08,-1.021e+09,6e+06,1.777e+09,-5.5e+07,-1.529e+09,-6e+06,2.31e+08,-1.359e+09,6.48e+08,6.48e+08,6.48e+08,5.63e+08,4780662000,0.39926,0.38672,0.06434,0.00631,9.19501,0.05758,0.95273,0.951,2.46364,13.41517,0.1,0.00697,0.10496,6.85031
"28","2021_Q1",14.9119672131148,"Up",8.1e+08,5.22e+08,5.75e+08,-5.3e+07,2.88e+08,-4e+06,7.6e+07,2.16e+08,-1e+06,8.09e+08,-5.01e+08,-1.9e+07,-4.82e+08,3.08e+08,3.08e+08,3.01e+08,-5.6e+07,2.45e+08,2.45e+08,-4e+06,2.41e+08,-7e+06,2.34e+08,1.203e+09,8.796e+09,9.233e+09,5.7269e+10,-9.63e+08,5.8232e+10,3.54e+08,1.511e+09,5.084e+09,8.4209e+10,6.9982e+10,2.2173e+10,4.7809e+10,2.551e+09,1.67e+09,1.699e+09,7.5902e+10,4.7e+08,5.421e+09,-1.4e+08,8.012e+09,2.95e+08,8.307e+09,8.4209e+10,2.45e+08,3e+07,1e+06,1.28e+08,4.1e+07,4.45e+08,-8.4e+07,-1.683e+09,4e+06,-1.518e+09,-9.5e+07,-4.37e+08,1e+07,1.582e+09,1.053e+09,-2e+07,-2e+07,-2e+07,3.38e+08,4.221e+09,0.38025,0.28889,0.02817,0.00278,9.13711,0.05013,0.42315,0.42011,1.46474,13.63834,0.17179,0.00391,0.40598,9.7987
"29","2021_Q2",17.2577777777778,"Up",8.06e+08,5.08e+08,5.52e+08,-4.4e+07,2.98e+08,-32470518.927192,7.4e+07,2.24e+08,4.5e+07,8.51e+08,-5.44e+08,-1.4e+07,-5.3e+08,3.07e+08,3.07e+08,3.07e+08,-7.1e+07,2.36e+08,2.36e+08,-3e+06,2.33e+08,-8e+06,2.25e+08,1.169e+09,1.2155e+10,9.427e+09,5.7686e+10,-9.14e+08,5.86e+10,3.39e+08,1.511e+09,4.507e+09,8.7513e+10,7.3166e+10,2.5046e+10,4.812e+10,2.657e+09,1.671e+09,1.712e+09,7.9206e+10,4.7e+08,5.381e+09,-2.41e+08,8.012e+09,2.95e+08,8.307e+09,8.7513e+10,2.36e+08,1.6e+07,-4.5e+07,5999999.99999976,8.51e+08,1.064e+09,-4.47e+08,-3.622e+09,6e+06,-4.072e+09,-9.5e+07,4e+06,-5e+07,3.19e+09,3.049e+09,4.1e+07,4.1e+07,4.1e+07,3.23e+08,4.328e+09,0.38089,0.27916,0.02709,0.00257,9.53485,0.04946,0.72095,0.719,2.58259,24.16611,0.3044,0.00366,0.42222,10.2899
"30","2021_Q3",15.2740625,"Down",7.72e+08,4.96e+08,5.42e+08,-4.6e+07,2.76e+08,1.1e+07,7.9e+07,1.86e+08,1.15e+08,8.87e+08,-4.89e+08,-2.6e+07,-4.63e+08,3.98e+08,3.98e+08,3.98e+08,-8.8e+07,3.1e+08,3.1e+08,-3e+06,3.07e+08,-1.3e+07,2.94e+08,1.303e+09,1.4073e+10,9.423e+09,5.5872e+10,-8.15e+08,5.6687e+10,3.25e+08,1.511e+09,4.687e+09,8.7908e+10,7.328e+10,2.5833e+10,4.7447e+10,2.777e+09,1.672e+09,1.614e+09,7.9343e+10,5.2e+08,5.341e+09,-2.03e+08,8.27e+09,2.95e+08,8.565e+09,8.7908e+10,3.1e+08,1.1e+07,-1.15e+08,2.108e+09,-2.363e+09,-4.9e+07,1.4e+07,1.23e+08,2e+06,1.26e+08,-9.4e+07,4.5e+07,9.4e+07,1.14e+08,1.59e+08,2.36e+08,2.36e+08,2.36e+08,4.09e+08,4.449e+09,0.51554,0.38083,0.03433,0.00334,9.26363,0.05061,0.53426,0.52805,1.40288,14.0833,0.17082,0.00441,0.31973,7.90452
"31","2021_Q4",16.1375,"Up",7.62e+08,4.92e+08,5.33e+08,-4.1e+07,2.7e+08,9.7e+07,9.3e+07,8e+07,8.5e+07,8.47e+08,-5.26e+08,-2.1e+07,-5.05e+08,3.21e+08,3.21e+08,2.98e+08,-6.3e+07,2.35e+08,2.35e+08,-3e+06,2.32e+08,-8e+06,2.24e+08,1.197e+09,1.519e+10,1.0117e+10,5.4701e+10,-7.34e+08,5.5435e+10,3.11e+08,1.511e+09,4.818e+09,8.8537e+10,7.4264e+10,2.7348e+10,4.6916e+10,2.54e+09,1.584e+09,1.617e+09,8.0005e+10,5.2e+08,5.205e+09,-2.41e+08,8.237e+09,2.95e+08,8.532e+09,8.8537e+10,2.35e+08,6.1e+07,-8.5e+07,-1.837e+09,1.179e+09,-4.47e+08,-4.44e+08,-88000000.0000005,7e+06,-5.27e+08,-9.6e+07,-1.34e+08,-1.46e+08,9.83e+08,6.07e+08,-3.67e+08,-3.67e+08,-3.67e+08,3.82e+08,4.124e+09,0.42126,0.29396,0.02625,0.00253,9.37705,0.04658,0.41039,0.40741,1.39607,14.13841,0.17588,0.00361,0.42857,9.11838
"32","2022_Q1",19.4775806451613,"Up",7.3e+08,4.98e+08,5.31e+08,-3.3e+07,2.32e+08,-9.5e+07,6.8e+07,2.59e+08,6.5e+07,7.95e+08,-5.03e+08,-7e+06,-4.96e+08,2.92e+08,2.92e+08,2.81e+08,-5.2e+07,2.29e+08,2.29e+08,-2e+06,2.27e+08,-8e+06,2.19e+08,1.147e+09,1.5548e+10,1.102e+10,5.4189e+10,-6.7e+08,5.4859e+10,2.98e+08,1.511e+09,4.714e+09,8.9092e+10,7.4895e+10,2.7883e+10,4.7012e+10,2.55e+09,1.59e+09,1.563e+09,8.0598e+10,5.2e+08,5.076e+09,-2.88e+08,8.199e+09,2.95e+08,8.494e+09,8.9092e+10,2.29e+08,2.9e+07,-6.5e+07,-5.9e+07,3.9e+07,1.73e+08,-7.01e+08,5.4e+08,4e+06,-1.44e+08,-9.2e+07,-9.8e+07,-1.41e+08,6.32e+08,2.01e+08,2.3e+08,2.3e+08,2.3e+08,3.21e+08,4.14e+09,0.4,0.3,0.02578,0.00246,9.48882,0.04647,0.29603,0.29259,0.98676,10.3799,0.12436,0.00349,0.42009,10.25
"33","2022_Q2",22.0796774193548,"Up",7.08e+08,4.79e+08,5.1e+08,-3.1e+07,2.29e+08,6e+06,8.1e+07,1.42e+08,4e+07,7.48e+08,-4.93e+08,-2.3e+07,-4.7e+08,2.55e+08,2.55e+08,2.55e+08,-5.7e+07,1.98e+08,1.98e+08,-3e+06,1.95e+08,-8e+06,1.87e+08,1.225e+09,1.4188e+10,1.1766e+10,5.439e+10,-6.22e+08,5.5012e+10,2.85e+08,1.511e+09,4.626e+09,8.866e+10,7.4114e+10,2.8051e+10,4.6063e+10,2.232e+09,1.591e+09,2.027e+09,7.9964e+10,1.014e+09,5.103e+09,-7.12e+08,8.401e+09,2.95e+08,8.696e+09,8.866e+10,1.98e+08,1.8e+07,-4e+07,5.9e+07,4.59e+08,6.94e+08,-1.067e+09,1.225e+09,2e+06,1.54e+08,-9.3e+07,-4.04e+08,5.07e+08,-7.81e+08,-7.71e+08,77000000.0000001,77000000.0000001,77000000.0000001,2.73e+08,3.823e+09,0.36017,0.26412,0.0215,0.00211,9.19549,0.04312,0.35084,0.34,1.32833,13.85929,0.17448,0.00316,0.49733,10.18824
"34","2022_Q3",22.48078125,"Up",7.64e+08,5.42e+08,5.84e+08,-4.2e+07,2.22e+08,0,7.8e+07,1.44e+08,-3e+07,7.34e+08,-5.1e+08,-3.8e+07,-4.72e+08,2.24e+08,2.24e+08,2.24e+08,-4.8e+07,1.76e+08,1.76e+08,-3e+06,1.73e+08,-8e+06,1.65e+08,1.133e+09,1.0187e+10,1.102e+10,5.5905e+10,-6.24e+08,5.6529e+10,2.72e+08,1.511e+09,4.468e+09,8.5132e+10,7.055e+10,2.7114e+10,4.3436e+10,2.347e+09,1.599e+09,2.085e+09,7.6581e+10,1.014e+09,5.126e+09,-9.63e+08,8.256e+09,2.95e+08,8.551e+09,8.5132e+10,1.76e+08,2.3e+07,3e+07,1.714e+09,-1.119e+09,8.24e+08,-5e+06,2.567e+09,2e+06,2.566e+09,-9.1e+07,2.42e+08,3e+06,-3.564e+09,-3.41e+09,-2e+07,-2e+07,-2e+07,2.47e+08,3.946e+09,0.29319,0.21597,0.0193,0.00194,8.95579,0.04635,0.30841,0.28998,1.42804,13.53645,0.17009,0.00301,0.55152,12.55804
