"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","intangible_assets","goodwill","other_assets","total_assets","total_deposits","demand_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2016_Q4",14.3065079365079,"Up",333740000,185195000,206972000,-21777000,148545000,-2e+05,44934000,103811000,-4e+06,329740000,-233558000,-4859000,-228699000,96182000,96182000,96182000,-28547000,67635000,67635000,-2883000,64752000,-1550000,63202000,335923866.528733,911570023.161455,5087592976.60798,19379478885.8038,-200072135.691466,19579551021.4953,24785856.9445205,200538069.95425,1846135663.27601,27927331318.3079,21490587364.3432,5694280825.03239,15796306539.3108,1959440387.75375,999586640.692949,598532154.229844,25212189868.7764,241595365.727335,1385080615.63884,793034186.599766,2419710449.60052,295430999.931005,2715141449.53153,27927331318.3079,67635000,18109000,4e+06,-82599000,-224532000,-217387000,-19346000,-826250000,-67328000,-931019000,-20585000,165526000,10800000,944166000,1100007000,-48399000,-48399000,-48399000,114291000,0,0.28819,0.18937,0.0219856597608738,0.00213597439058738,9.29133630675574,0.105971018221955,0.27259,0.26999,1.43943,9.39665924108059,0.08878,0.00291994233636217,0.3257,30.1737031963811
"12","2017_Q1",16.0293548387097,"Up",319628000,195551000,219897000,-24346000,124077000,-132000,45560000,78649000,0,319628000,-237897000,-4827000,-233070000,81731000,81731000,81731000,-24008000,57723000,57723000,-2879000,54844000,-1550000,53294000,373274000,1724554000,4976571000,19387452000,-202068000,19589520000,21017000,191371000,1880992000,28555231000,22672363000,5940594000,16731769000,1512285000,1040656000,488946000,25850147000,241639000,1386636000,781378000,2409653000,295431000,2705084000,28555231000,57723000,17207000,0,125621000,289645000,490196000,-41675000,-464199000,-459268000,-965142000,-20821000,-725509000,3274000,1098345000,355189000,-119757000,-119757000,-119757000,98938000,2552941000,0.25571,0.16674,0.0197,0.00187,9.55613,0.0894,0.22899,0.22622,1.37338,9.31554,0.08946,0.0026,0.39068,26.66879
"13","2017_Q2",14.5760317460317,"Down",306647000,189708000,218811000,-29103000,116939000,44000,43124000,73771000,1e+06,307647000,-222205000,-4746000,-217459000,85442000,85442000,85442000,-27054000,58388000,58388000,-2820000,55568000,-1550000,54018000,369290000,2973314000,5219062000,18888106000,-201968000,19090074000,19785000,191371000,1957672000,29618600000,23479841000,6355620000,17124221000,1838803000,1035036000,423113000,26878140000,241801000,1391777000,811451000,2445029000,295431000,2740460000,29618600000,58388000,15590000,-1e+06,11565000,-155855000,-71312000,-9886000,-546511000,114000,-554148000,-20867000,36870000,29000,807641000,823673000,198213000,198213000,198213000,101032000,2873839000,0.27863,0.17616,0.01971,0.00182,9.80789,0.09703,0.23176,0.22806,1.31565,9.45283,0.08953,0.00253,0.3863,29.31286
"14","2017_Q3",14.4474603174603,"Down",328374000,200701000,235341000,-34640000,127673000,405000,47585000,79683000,2e+06,330374000,-217917000,-9659000,-208258000,112457000,112457000,112457000,-17253000,95204000,95204000,-2852000,92352000,-1550000,90802000,387053000,1265693000,5367136000,19792062000,-197257000,19989319000,45121000,236335000,2276556000,29369956000,22333349000,6302585000,16030764000,2659027000,1033329000,424646000,26543068000,241960000,1395797000,893700000,2531457000,295431000,2826888000,29369956000,95204000,18511000,-2e+06,-53363000,-344258000,-285906000,11709000,633029000,-89034000,429598000,-25714000,873584000,-2159000,-1146330000,-300619000,-156927000,-156927000,-156927000,130968000,3692356000,0.34247,0.27652,0.03212,0.00309,9.3895,0.12572,0.3889,0.38433,1.40642,9.80588,0.11013,0.00397,0.28319,29.39171
"15","2017_Q4",15.9706349206349,"Up",322234000,209817000,248145000,-38328000,112417000,6000,46901000,65510000,0,322234000,-236869000,-6566000,-230303000,85365000,85365000,85365000,-13596000,71769000,71769000,-2883000,68886000,-1550000,67336000,347802000,1344279000,5523516000,19971224000,-194867000,20166091000,43157000,236335000,2156323000,29622636000,22099254000,6485245000,15614009000,3025964000,1059507000,471214000,26739085000,242019000,1401359000,944742000,2588120000,295431000,2883551000,29622636000,71769000,19032000,0,1294221000,-1265890000,119132000,-12449000,-745483000,548760000,-209172000,-25442000,234887000,2018000,-233932000,98715000,8675000,8675000,8675000,104397000,4085471000,0.26492,0.20897,0.02335,0.00227,9.27297,0.13792,0.28807,0.28491,1.37855,10.03684,0.10884,0.00313,0.37784,43.78456
"16","2018_Q1",16.4054098360656,"Up",375278000,242088000,287633000,-45545000,133190000,137000,49916000,83137000,-3e+06,372278000,-346670000,-26958000,-319712000,25608000,25608000,25608000,-73989000,-48381000,-48381000,-2910000,-51291000,-1550000,-52841000,639073000,1998573000,6678234000,27469374000,-189555000,27658929000,184389000,1386853000,3066892000,41423388000,30620362000,8023003000,22597359000,4321150000,1218097000,598230000,36842900000,299835000,3147613000,837609000,4285057000,295431000,4580488000,41423388000,-48381000,17791000,3e+06,-1106907000,1412280000,277783000,-48374000,-148569000,-649769000,-1059375000,-25515000,795245000,121874000,375463000,1145883000,364291000,364291000,364291000,43399000,5539247000,0.06824,-0.1408,-0.01154,-0.00128,8.04344,0.13372,-0.19927,-0.19927,1.41524,15.02899,0.09622,-0.00066,-0.48286,191.35325
"17","2018_Q2",15.7615625,"Down",437190000,301173000,363355000,-62182000,136017000,86000,56744000,79187000,1e+06,438190000,-313265000,-12272000,-300993000,124925000,124925000,124925000,-29931000,94994000,94994000,-2820000,92174000,-1550000,90624000,459820000,1282562000,6709933000,27062599000,-187194000,27249793000,174415000,1398501000,3375365000,40463195000,30818951000,7980846000,22838105000,3224371000,1214967000,510984000,35890667000,300120000,3155407000,821570000,4277097000,295431000,4572528000,40463195000,34561532.9500303,18162804.9584322,3444208.11371565,-2501867595.1291,2478162360.21955,32463311.1126375,209224327.036462,851684967.975985,-1159377288.25152,-380767388.153994,-30746792.0668621,871725516.098513,149280576.480909,-44663504.8888758,736426370.564966,388122293.523609,388122293.523609,388122293.523609,170790179.665866,4439338000,0.28575,0.20729,0.01982,0.00224,7.8492,0.10971,0.27757,0.27433,1.33907,12.18104,0.10161763206043,0.00224,-0.730588007668451,31.85526
"18","2018_Q3",15.2138095238095,"Down",438457000,310932000,387811000,-76879000,127525000,31000.0000000075,57955000,69539000,4.65661287307739e-10,438457000,-332768000,-15415000,-317353000,105689000,105689000,105689000,-19697000,85992000,85992000,-2852000,83140000,-1550000,81590000,602952000,1624702000,6505937000,27516278000,-185462000,27701740000,167955000,1409276000,3249695000,41076795000,30977867000,8237890000,22739977000,3645380000,1227281000,541169000,36527046000,298751000,3113612000,841955000,4254318000,295431000,4549749000,41076795000,219307701.827412,18858727.9273134,2367154.70021332,-1992187214.18242,1483882224.29205,-267771405.435433,500382069.376577,1186834720.14077,-684620171.74264,838806642.378131,-38226357.777531,193921239.674337,78016126.6463572,-518558592.80139,-393634245.439042,177400991.503655,177400991.503655,177400991.503655,359319363.558252,4872661000,0.24105,0.18608,0.01793,0.00199,8.02837,0.11862,0.25093,0.24843,1.34846,12.16525,0.119209184317938,0.00199,-0.320226546843969,40.3988
"19","2018_Q4",13.2006349206349,"Down",654672000,305700000,393669000,-87969000,348972000,212859000,57430000,78683000,-2e+06,652672000,-294031000,-9270000,-284761000,358641000,358641000,358641000,-83925000,274716000,274716000,-2883000,271833000,-1550000,270283000,642051000,1332840000,6603850000,27164255000,-185959000,27350214000,161495000,1409822000,3321611000,40635924000,31008085000,8025881000,22982204000,2925590000,1200134000,589860000,35893993000,298088000,3101102000,1047310000,4446500000,295431000,4741931000,40635924000,274716000,17353000,2e+06,-553413000,62416000.0000005,-196928000,395209000,555761000,15541999.999999,938913000.000001,-43403000,-743426000,-19183999.9999999,30218000.0000005,-775795000,-33809999.9999999,-33809999.9999999,-33809999.9999999,375994000,4125724000,0.54782,0.41285,0.057,0.00665,7.56949,0.10153,0.83316,0.82592,2.01806,12.78772,0.13379,0.00772,0.16058,9.71354
"20","2019_Q1",12.6467213114754,"Down",412681000,302195000,401165000,-98970000,110486000,24000.0000000596,45871000,64591000,-7e+06,405681000,-280936000,-20043000,-260893000,124745000,124745000,124745000,-23447000,101298000,101298000,8555000,109853000,4650000,114503000,781291000,1901645000,6166113000,27355108000,-180424000,27535532000,155034000,1432787000,3040280000,40832258000,32682992000,8141317000,24541675000,1469303000,1170963000,589907000,36046878000,294732000,3029425000,1165792000,4489949000,295431000,4785380000,40832258000,101298000,13897000,7e+06,876011000,-645418000,352788000,-193611000,-925572000,256057000,-853510000,-44042000,-1088342000,-80446000,1675388000,462558000,-38164000,-38164000,-38164000,138642000,2640266000,0.30228,0.27746,0.02393,0.0028,7.53271,0.06466,0.35615,0.35353,1.28359,13.04868,0.13699,0.00388,0.38464,14.9022
