"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",61.12359375,"Up",196237000,-27220000,169017000,-96830000,-70528000,-6747000,-19555000,72187000,-7128000,-7399000,271000,65059000,61059000,-17634000,43425000,43425000,43425000,43425000,450511000,450511000,93833000,93833000,22830000,80198000,11286000,21395000,647372000,7795000,1354523000,835003000,436355000,20232000,1362318000,2009690000,170372000,31634000,138738000,32656000,40697000,1138000,243725000,418506000,186085000,6566000,10343000,604591000,848316000,1168639000,-17871000,10606000,1161374000,1161374000,2009690000,43425000,20130000,16196000,-9861000,69890000,-6443000,-6443000,-5938000,9609000,9609000,-537999.999999998,3133000,66580000,66580000,-3265000,63315000,92317000,451162000,93647000,0.86129,0.36786,0.22129,0.03739,0.02161,2.15652,2.65616,0.73044,0.22449,0.74411,0.70597,3.36264,19.90085,1.6047,0.02414,0.05207,0.00705,0.00902
"12","2013_Q3",80.67,"Up",208252000,-25031000,183221000,-106155000,-77506000,-9250000,-19399000,77066000,-7527000,-7142000,-385000,69539000,65790000,-23605000,42185000,42185000,42185000,42185000,504307000,504307000,114075000,114075000,28130000,87664000,21410000,19716000,734176000,10768000,1348936000,822976000,439014000,21810000,1359704000,2093880000,134677000,20367000,114310000,5572000,1397000,1138000,141646000,546724000,230583000,6283000,56556000,777307000,918953000,1184971000,-29264000,19220000,1174927000,1174927000,2093880000,42185000,19994000,17810000,-71270000,8719000.00000001,-3567000,-3567000,96239000,-47724000,5854000,-1059000,47456000,52608000,52608000,1188000,53796000,97060000,552296000,45828000,0.8798,0.37006,0.20257,0.0359,0.02015,1.08636,5.18317,0.78214,0.26377,0.7182,0.68514,3.5455,20.00318,0.78022,0.02155,0.02341,0.49443,0.6227
"13","2013_Q4",103.4790625,"Up",232160000,-24252000,207908000,-106360000,-74970000,-11826000,-19564000,101548000,-6816000,-6202000,-614000,94732000,93744000,-18335000,75409000,75409000,75409000,75409000,588462000,588462000,113271000,113271000,24868000,83466000,19350000,18551000,810067000,12060000,1363372000,823724000,446823000,21849000,1375432000,2185499000,148674000,22434000,126240000,5572000,49113000,1138000,203359000,545564000,193401000,6001000,17273000,738965000,942324000,1201227000,-2674000,44622000,1243175000,1243175000,2185499000,75409000,20459000,11109000,23811000,130788000,-3152000,-3152000,-1393000,-40705000,8114000,-3624000,-45722000,81914000,81914000,2241000,84155000,122007000,551136000,161001000,0.89554,0.43741,0.32481,0.06066,0.0345,2.13504,3.98343,0.758,0.25218,1.29531,1.22588,3.98784,21.35416,2.76553,0.03794,0.081,-0.30593,-0.36757
"14","2014_Q1",150.523770491803,"Up",235774000,-25643000,210131000,-115632000,-81299000,-13809000,-20524000,94499000,-7142000,-6173000,-969000,87357000,87357000,-32064000,55293000,55293000,55293000,55293000,636504000,636504000,124805000,124805000,28669000,74639000,7183000,33843000,864617000,14246000,1359358000,812396000,450456000,21909000,1373604000,2238221000,141059000,21005000,120054000,5572000,57397000,1138000,204028000,544404000,194781000,5718000,20566000,739185000,943213000,1220323000,18532000,56153000,1295008000,1295008000,2238221000,55293000,21507000,25872000,-23638000,79034000,-3102000,-3102000.00000006,-1392999.99999997,-26961000,7126000,-369000,-28723000,47209000,47209000,833000,48042000,116006000,549976000,121330000,0.89124,0.4008,0.23452,0.0427,0.0247,2.19431,4.23774,0.72835,0.24572,0.9553,0.89645,4.0735,22.37402,2.09623,0.02711,0.05948,-0.745890000000001,-0.91565
"15","2014_Q2",138.685238095238,"Down",246919000,-30924000,215995000,-155654000,-106363000,-18109000,-31182000,60341000,-9953000,-10076000,123000,50388000,-76612000,-17027000,-93639000,-93639000,-92650000,-92650000,251376000,245874000,154986000,154986000,36988000,73970000,14335000,23747000,517320000,30048000,2649066000,1755861000,763763000,35192000,2679114000,3196434000,221099000,72538000,148561000,9513000,7397000,1138000,238009000,1189096000,503347000,5433000,25921000,1692443000,1930452000,1251593000,-74118000,70892000,1248367000,1265982000,3196434000,-93639000,32491000,141365000,-11494000,68723000,-128527000,-957203000,634056000,21467000,21467000,-157861000,497662000,-390818000,-390818000,188000,-390630000,92832000,1198609000,-30162000,0.87476,0.24438,-0.37522,-0.07318,-0.02899,0.32555,2.17353,1.52487,0.37498,-1.58306,-1.58306,4.21896,21.33013,-0.51536,-0.03122,-0.01016,10.20373,15.698
"16","2014_Q3",153.74734375,"Up",291230000,-30692000,260538000,-153441000,-100556000,-20090000,-32795000,107097000,-11355000,-11429000,74000,95742000,62936000,-19350000,43586000,43586000,43659000,43659000,268255000,268255000,160775000,160775000,33098000,82784000,28447000,18468000,544912000,38462000,2572375000,1680004000,760314000,35562000,2610837000,3155749000,180898000,32555000,148343000,9473000,7397000,1138000,197768000,1186960000,491460000,5148000,29701000,1678420000,1876188000,1273165000,-53946000,59946000,1279165000,1279561000,3155749000,43586000,34655000,46727000,-50044000,74924000,-13133000,-13132999.9999999,-2505000,-13312000,10175000,-23638000,-39455000.0000002,22336000,22336000,45000,22381000.0000001,141752000,1196433000,97925000,0.89461,0.36774,0.14991,0.03412,0.01383,2.24295,2.75531,1.46627,0.37913,0.73353,0.69991,4.89306,21.49171,1.64527,0.01471,0.033,6.5479,8.6667
"17","2014_Q4",165.97828125,"Up",306584000,-26994000,279590000,-146554000,-93501000,-22423000,-30630000,133036000,-8047000,-14530000,6483000,124989000,49989000,-24221000,25768000,25768000,25766000,25766000,575040000,575040000,187604000,187604000,37612000,78264000,24206000,18362000,878520000,44205000,2424811000,1550624000,724388000,48550000,2469016000,3347536000,206902000,29671000,177231000,9444000,7397000,1138000,223743000,1331340000,452366000,4784000,34122000,1783706000,2007449000,1431796000,-34666000,-57133000,1339997000,1340087000,3347536000,25768000,32498000,70582000,849000,129697000,-83139000,-83139000,256725000,10324000,16810000,-3782000.00000001,263267000,309825000,309825000,-3040000,306785000,165534000,1340784000,107465000,0.91195,0.43393,0.08404,0.01923,0.0077,4.17081,3.92647,1.498,0.40053,0.42726,0.41107,5.08389,22.22033,1.78202,0.00822,0.0343,4.6259,5.75592
"18","2015_Q1",171.624918032787,"Up",328142000,-28808000,299334000,-162230000,-105694000,-24559000,-31977000,137104000,-14675000,-16678000,2003000,122429000,115244000,-33633000,81611000,81611000,81612000,81612000,684042000,684042000,186371000,186371000,30037000,115395000,12800000,21322000,1015845000,58363000,2264747000,1437435000,702713000,49105000,2323110000,3338955000,196805000,25126000,171679000,9428000,10568000,1138000,216801000,1.333e+09,418472000,4499000,38919000,1751472000,1968273000,1458011000,34704000,-122097000,1370618000,1370682000,3338955000,81611000,34037000,18434000,179999.999999993,134262000,-14174000,-14174000,-3415000,-2207000,10035000,-4818000,-10440000,109648000,109648000,-646000,109002000,171141000,1342428000,190780000,0.91221,0.41782,0.24871,0.05954,0.02444,2.33765,4.68561,1.43598,0.40205,1.34598,1.22042,5.41185,22.60478,3.14642,0.02606,0.06092,3.84704,4.80209
"19","2015_Q2",179.593333333333,"Up",309303000,-28298000,281005000,-164246000,-112388000,-27181000,-24677000,116759000,-1.4e+07,-16245000,2245000,102759000,102759000,-32059000,70700000,70700000,70700000,70700000,782603000,782603000,189682000,189682000,30692000,99958000,27614000,21522000,1102935000,71283000,2063375000,1284308000,654470000,50412000,2134658000,3237593000,200626000,27317000,173309000,9388000,10568000,1138000,220582000,1334661000,377546000,4215000,45648000,1712207000,1932789000,1488268000,95066000,-278584000,1304750000,1304804000,3237593000,70700000,26909000,1989000,-3043000,96555000,-14410000,18293000,-2284000,3166000,13504000,-4143000,-3261000,111587000,111587000,-13026000,98561000,143668000,1344049000,158274000,0.90851,0.37749,0.22858,0.05418,0.02184,2.23867,5.00011,1.48129,0.41514,1.16277,1.12286,5.08697,21.45865,2.60306,0.02336,0.0523,3.90794,4.80859
"20","2015_Q3",172.18421875,"Down",333747000,-21813000,311934000,-158633000,-107132000,-27833000,-23668000,153301000,-17726000,-15812000,-1914000,135575000,118760000,-30647000,88113000,88113000,88114000,88114000,921643000,921643000,193647000,193647000,30781000,98839000,26250000,21985000,1244910000,80428000,2067936000,1282955000,664015000,47686000,2148364000,3393274000,185918000,26409000,159509000,28478000,10768000,1330000,225164000,1337986000,383827000,3930000,53190000,1721813000,1946977000,1512456000,181828000,-248042000,1446242000,1446297000,3393274000,88113000,26031000,50666000,-24239000,140571000,-13022000,-12022000,7885000,11874000,13226000,-12536000,7223000.00000001,135772000,135772000,3268000,139040000,179332000,1366464000,172718000,0.93464,0.45933,0.26401,0.06092,0.02597,1.96017,5.5289,1.34618,0.4027,1.44001,1.39664,5.45427,23.63527,2.82265,0.02757,0.05403,2.48043,2.90162
