"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",138.5740625,"Down",340872000,-28385000,312487000,-180955000,-104044000,-50784000,-26127000,131532000,-13627000,-12650000,-977000,117905000,117905000,-29945000,87960000,87960000,87960000,87960000,998859000,998859000,195816000,195816000,30018000,90250000,21275000,18969000,1314943000,83452000,2065905000,1270777000,669029000,49708000,2149357000,3464300000,211856000,29124000,182732000,117589000,10747000,1330000,340192000,1172103000,389054000,3646000,60192000,1561157000,1901349000,1534038000,260176000,-231277000,1562937000,1562951000,3464300000,87960000,28675000,23997000,34444000,175076000,-5159000,-5159000,-83004000,-2317000,7295000,-9103000,-94424000,75493000,75493000,1723000,77216000,160207000,1289692000,219437000,0.91673,0.38587,0.25804,0.05628,0.02539,2.49474,3.8653,1.21651,0.37228,1.43176,1.39279,5.5485,25.4405,3.57186,0.02713,0.06769,1.81536,2.21112
"22","2016_Q1",124.475573770492,"Down",340881000,-24030000,316851000,-178700000,-125555000,-29455000,-23690000,138151000,-10119000,-12210000,2091000,128032000,96509000,-13748000,82761000,82761000,82761000,82761000,988785000,988785000,209685000,209685000,19451000,39746000,20699000,19047000,1257667000,85572000,1989373000,1185606000,657139000,16480000,2074945000,3332612000,187685000,21807000,165878000,37587000,1370000,1370000,226642000,1150857000,356993000,3721000,69779000,1507850000,1734492000,1562906000,302686000,-267472000,1598120000,1598120000,3332612000,82761000,26441000,16663000,-6123999.99999999,119741000,-3367000,-3367000,-89715000,-33753000,6498000,-393000,-123861000,-7487000,-7487000,-2587000,-10074000,164592000,1188444000,168849000,0.92951,0.40528,0.24279,0.05179,0.02483,2.0402,5.54913,1.08533,0.35661,1.34571,1.315,5.54278,25.98569,2.74551,0.02633,0.05371,1.21305,1.44522
"23","2016_Q2",147.4171875,"Up",336010000,-23439000,312571000,-182659000,-128765000,-31252000,-22642000,129912000,-13011000,-12192000,-819000,116901000,108151000,-32339000,75812000,75812000,75812000,75812000,980544000,979780000,223802000,223802000,25369000,40903000,18472000,22431000,1270618000,86788000,2177573000,1348160000,670991000,36386000,2264361000,3534979000,359861000,32622000,327239000,37592000,1378000,1378000,398831000,1146433000,382802000,3441000,79734000,1529235000,1928066000,1586756000,242441000,-222284000,1606913000,1606913000,3534979000,75812000,25169000,35067000,15606000,151654000,-11222000,-11995000,-9397000,-130585000,3780000,-12476000,-152458000,-12799000,-12799000,3794000,-9005000,155081000,1184025000,191804000,0.93024,0.38663,0.22562,0.04718,0.02145,2.53,3.18586,1.19986,0.33495,1.23993,1.2135,5.49557,26.28166,3.13703,0.02389,0.06043,1.31209,1.5663
"24","2016_Q3",134.79453125,"Down",381161000,-23980000,357181000,-188446000,-122618000,-39091000,-26737000,168735000,-12121000,-12121000,0,156614000,156614000,-42112000,114502000,114502000,114502000,114502000,916375000,867966000,231837000,231837000,33291000,49387000,23143000,26244000,1230890000,93476000,2123728000,1300761000,661845000,43615000,2217204000,3448094000,187789000,28406000,159383000,37500000,1432000,1432000,226721000,1141652000,387790000,3161000,94723000,1529442000,1756163000,1617075000,324844000,-249988000,1691931000,1691931000,3448094000,114502000,29254000,26655000,-43397000,127014000,-153556000,-206267000,-9885000.00000006,-18048000,10831000,-1802000,-29735000,-108988000,-108988000,-2826000,-111814000,197989000,1179152000,43148000,0.93709,0.44269,0.3004,0.06768,0.03321,0.37683,5.4291,1.03796,0.34197,1.89263,1.85179,6.30029,27.96626,0.7132,0.03514,0.01324,1.32723,1.55734
"25","2016_Q4",111.384285714286,"Down",374181000,-24311000,349870000,-198617000,-124368000,-47796000,-26453000,151253000,-19247000,-18498000,-749000,132006000,116368000,-26437000,89828000,89828000,89828000,89828000,425985000,366567000,238072000,238072000,32351000,47821000,23304000,24517000,744229000,99898000,4086454000,3110439000,927993000,48022000,4186352000,4930581000,195266000,17626000,177640000,36094000,1499000,1499000,232859000,2147379000,834867000,2881000,106628000,2982246000,3215105000,1635437000,315415000,-235376000,1715476000,1715476000,4930581000,89828000,29574000,27528000,-13902000,133028000,-17382000,-1531034000,994777000,-93235000,3340000,-6317000,895225000,-502781000,-502781000,1382000,-501399000,180827000,2183473000,175980000,0.93503,0.40422,0.24007,0.05236,0.01822,1.95908,3.19605,1.87418,0.44284,1.48631,1.45721,6.19126,28.38453,2.91179,0.01898,0.03718,9.71917,11.61952
"26","2017_Q1",130.247419354839,"Up",396621000,-33656000,362965000,-197461000,-127141000,-44158000,-26162000,165504000,-14191000,-19131000,4940000,151313000,151313000,-34348000,116689000,116689000,116689000,116689000,425963000,365963000,234244000,234244000,34051000,53811000,24501000,29310000,748069000,107490000,3944668000,3012001000,893810000,23797000,4052158000,4800227000,220189000,22415000,197774000,36094000,1123000,1123000,257406000,1993531000,672478000,2601000,113144000,2666009000,2923415000,1665238000,528907000,-317333000,1876812000,1876812000,4800227000,116689000,29783000,13394000,18974000,178840000,578000,-4000,-159152000,-12254000,6223000,-639000,-172045000,6791000,6791000,-7395000,-604000,195287000,2029625000,249187000,0.91514,0.41729,0.29421,0.06217,0.02431,2.13548,2.90618,1.55765,0.42282,1.94735,1.89649,6.61895,31.32092,4.15852,0.02548,0.05442,8.21182,9.68957
"27","2017_Q2",152.922063492064,"Up",376053000,-25065000,350988000,-214848000,-144255000,-44928000,-25665000,136140000,-20308000,-18844000,-1464000,115832000,115832000,-29160000,86511000,86511000,86511000,86511000,406995000,346995000,243035000,243035000,37653000,65170000,38118000,27052000,752853000,119913000,3943058000,2998780000,899290000,26950000,4062971000,4815824000,248089000,29144000,218945000,136094000,8590000,8590000,392773000,1739594000,699998000,22624000,129336000,2439592000,2832365000,1681780000,601522000,-299843000,1983459000,1983459000,4815824000,86511000,28795000,18243000,30991000,164540000,-3574000,-3574000,-159023000,-8220000,5676000,-14431000,-181674000,-20708000,-20708000,1740000,-18968000,164935000,1875688000,221512000,0.93335,0.36202,0.23005,0.04362,0.01796,2.56051,1.91676,1.42799,0.38948,1.44474,1.41409,6.28011,33.1239,3.69927,0.01898,0.04859,8.90468,10.78811
"28","2017_Q3",151.233333333333,"Down",394386000,-28672000,365714000,-198671000,-132328000,-40157000,-26186000,167043000,-23721000,-18294000,-5427000,143322000,141322000,-35515000,105604000,105604000,105604000,105604000,319213000,239213000,238752000,238752000,39658000,64881000,28433000,36448000,662504000,136626000,4004894000,3033103000,926290000,25343000,4141520000,4804024000,205724000,28529000,177195000,36094000,8575000,8575000,250393000,1635800000,717326000,20470000,145217000,2353126000,2603519000,1720590000,690164000,-210249000,2200505000,2200505000,4804024000,105604000,29279000,27638000,-27430000,135091000,-10151000,-30150999.9999999,-209024000,-3568000,13395000,-1889000,-214481000,-109541000,-109541000,1759000,-107782000,196322000,1671894000,194256000,0.9273,0.42355,0.26777,0.04799,0.02198,1.83948,2.64586,1.18315,0.34802,1.75714,1.71817,6.56216,36.61406,3.23221,0.02301,0.04232,6.89011,8.0978
"29","2017_Q4",138.696349206349,"Down",411855000,-31203000,380652000,-219198000,-124523000,-47362000,-47313000,161454000,-21416000,-19192000,-2224000,140038000,65038000,-1239000,63526000,63526000,63526000,63526000,452615000,252615000,258616000,258616000,41344000,78369000,29249000,49120000,830944000,159386000,4008694000,3019035000,941428000,24569000,4168080000,4999024000,223465000,29972000,193493000,36094000,8618000,8618000,268177000,1543819000,718258000,18270000,159024000,2262077000,2530254000,1899634000,728123000,-158987000,2468770000,2468770000,4999024000,63526000,50378000,93238000,-18245000,188897000,-83347000,-203347000,50461000,-21844000,3722000,-1589000,27028000,12578000,12578000,824000,13402000,211832000,1579913000,111479000,0.92424,0.39202,0.15424,0.02573,0.01271,1.75486,3.09849,1.0249,0.31604,1.05686,1.03402,6.85192,41.07224,1.85464,0.01333,0.02339,5.32166,6.98216
"30","2018_Q1",146.693278688525,"Up",436399000,-25248000,411151000,-261946000,-143050000,-65995000,-52901000,149205000,-22280000,-21426000,-854000,126925000,118925000,113654000,232207000,232207000,232207000,232207000,601035000,386035000,224129000,224129000,43245000,99868000,23182000,76686000,968277000,170080000,3985315000,2979127000,947537000,24092000,4155395000,5123672000,244724000,24368000,220356000,40605000,8618000,8618000,293947000,1540433000,576722000,16115000,177135000,2117155000,2411102000,1935492000,917956000,-140878000,2712570000,2712570000,5123672000,232207000,56702000,-125800000,41450000,204559000,-16878000,-31878000,-9115000,-33343000,9031000,2474000,-39984000,132697000,132697000,723000,133420000,205907000,1581038000,116825000,0.94214,0.3419,0.5321,0.0856,0.04532,0.50311,3.29405,0.88886,0.30858,3.87115,3.79479,7.27526,45.22156,1.9476,0.04768,0.02399,4.75944,6.56816
"31","2018_Q2",163.4559375,"Up",444613000,-33919000,410694000,-322887000,-207213000,-62667000,-53007000,87807000,-22333000,-20605000,-1728000,65474000,65474000,-19146000,45991000,45991000,45991000,45991000,708169000,453169000,281424000,281424000,46384000,90344000,27476000,62868000,1126321000,178920000,3981887000,2953146000,960509000,30129000,4160807000,5287128000,323525000,46933000,276592000,45117000,6977000,6977000,375619000,1537044000,588421000,13641000,192708000,2125465000,2501084000,1955762000,929050000,-98768000,2786044000,2786044000,5287128000,45991000,56729000,36485000,28154000,167359000,-7149000,-52149000,-9023000,-23958000,10588000,-14594000,-47575000,67635000,67635000,-501000,67134000,144536000,1582161000,184687000,0.92371,0.19749,0.10344,0.01651,0.0087,4.01572,2.99857,0.89772,0.29925,0.76744,0.75176,7.41912,46.48985,3.08181,0.00928,0.03726,6.04688,9.95356
"32","2018_Q3",171.975079365079,"Up",500479000,-34714000,465765000,-269670000,-158579000,-56132000,-54959000,196095000,-22343000,-19646000,-2697000,173752000,129431000,-36524000,92321000,92321000,92321000,92321000,815081000,485081000,278441000,278441000,46156000,167253000,33586000,55634000,1306931000,188086000,3853950000,2842277000,936493000,34183000,4042036000,5348967000,308107000,31379000,276728000,33387000,6456000,6456000,347950000,1558314000,573478000,12288000,206258000,2131792000,2479742000,2037097000,1000356000,-168228000,2869225000,2869225000,5348967000,92321000,58694000,61508000,-25899000,186624000,-115234000,-185234000,0,35455000,56470000,-6582000,28873000,30263000,30263000,1649000,31912000,254789000,1591701000,150180000,0.93064,0.39181,0.18447,0.03218,0.01726,1.62672,3.75609,0.86425,0.29757,1.53416,1.50267,8.31678,47.67976,2.49564,0.01834,0.02983,3.04809,3.96043
"33","2018_Q4",148.346031746032,"Down",469373000,-26574000,442799000,-254022000,-155873000,-51160000,-46989000,188777000,-19676000,-18920000,-756000,169101000,169101000,-19348000,149316000,149316000,149316000,149316000,1064018000,499018000,279437000,279437000,43435000,77499000,23189000,54310000,1464389000,198053000,3823346000,2787281000,932422000,66061000,4021399000,5485788000,301965000,37373000,264592000,33387000,5935000,5935000,341287000,1560582000,557129000,10934000,209174000,2117711000,2458998000,2078038000,1128218000,-179466000,3026790000,3026790000,5485788000,149316000,50895000,22413000,-2049000,220575000,-3938000,-190846000,-8347000,-4456000,16998000,-1169000,-13972000,15757000,15757000,-1820000,13937000,239672000,1593969000,253033000,0.94338,0.40219,0.31812,0.04933,0.02722,1.69461,4.29078,0.81241,0.29056,2.46901,2.41389,7.76131,50.04944,4.18402,0.02884,0.04887,2.21115,2.80729
"34","2019_Q1",130.434590163934,"Down",476457000,-26337000,450120000,-265065000,-161865000,-56657000,-46543000,185055000,-21023000,-19329000,-1694000,164032000,165457000,-5144000,159470000,159470000,159470000,159470000,824622000,309622000,263838000,263838000,52956000,92589000,25017000,67572000,1234005000,200358000,3769128000,2731334000,927630000,52285000,3969486000,5203491000,306686000,40602000,266084000,33387000,5414000,5414000,345487000,1563025000,538084000,9581000,219406000,2101109000,2446596000,2113636000,841050000,-197791000,2756895000,2756895000,5203491000,159470000,50413000,-6414000,20877000,224346000,42749000,33742000,-8347000,-437376000,9281000,-733000,-446456000,-188368000,-188368000,-1028000,-189396000,235468000,1596412000,304238000,0.94472,0.3884,0.3347,0.05784,0.03065,1.90781,3.57178,0.88745,0.3068,2.68816,2.63975,8.03157,46.47262,5.1285,0.0326,0.0622,3.27769,4.1706
"35","2019_Q2",134.389206349206,"Up",508186000,-33506000,474680000,-284937000,-167947000,-60105000,-56885000,189743000,-18533000,-17922000,-611000,171210000,115210000,-29116000,85201000,85201000,85201000,85201000,832466000,547466000,320485000,320485000,60707000,91959000,28974000,62985000,1305617000,113006000,3861612000,2679393000,919972000,197157000,3974618000,5280235000,375892000,42669000,333223000,33387000,4720000,4720000,413999000,1565277000,571039000,8401000,266490000,2136316000,2550315000,2130744000,819850000,-220674000,2729920000,2729920000,5280235000,85201000,60424000,79344000,-22716000,202253000,-63948000,166052000,-8347000,-108192000,3057000,-13810000,-130349000,237956000,237956000,-112000,237844000,250167000,1598664000,192619000,0.93407,0.37337,0.16766,0.03121,0.01614,2.26076,3.15367,0.93421,0.30276,1.48937,1.46693,8.88344,47.72087,3.36711,0.01739,0.03931,3.06275,4.03808
"36","2019_Q3",134.046875,"Down",534133000,-27676000,506457000,-299974000,-176014000,-62384000,-61576000,206483000,-20167000,-18234000,-1933000,186316000,184116000,78650000,261898000,261898000,261898000,261898000,882739000,637739000,311249000,311249000,68999000,107079000,31712000,75367000,1370066000,127183000,3991412000,2687941000,924990000,194098000,4118595000,5488661000,331386000,82222000,249164000,33387000,4720000,4720000,369493000,1567842000,568419000,7221000,277529000,2136261000,2505754000,2171464000,1021879000,-210436000,2982907000,2982907000,5488661000,261898000,64931000,-94203000,-83779000,148847000,-41663000,-2638000,-8346000,-46804000,13065000,-1003000,-56153000,90056000.0000001,90056000.0000001,217000,90273000,271414000,1601229000,67322000,0.94819,0.38658,0.49032,0.0878,0.04772,0.25705,3.70796,0.84004,0.29173,4.61869,4.5607,9.41967,52.60488,1.18725,0.05083,0.01307,2.64721,3.47966
"37","2019_Q4",136.0828125,"Up",537702000,-31400000,506302000,-321424000,-178706000,-79855000,-62863000,184878000,-18894000,-17861000,-1033000,165984000,114209000,-10903000,102276000,102276000,102276000,102276000,1070175000,795175000,267031000,267031000,71108000,112242000,30841000,81401000,1520556000,129472000,3877822000,2593030000,906725000,194123000,4007294000,5527850000,352332000,70104000,282228000,33387000,4720000,4720000,390439000,1570781000,512752000,6041000,256544000,2083533000,2473972000,2209162000,1104158000,-259442000,3053878000,3053878000,5527850000,102276000,66854000,78149000,90224000,337503000,-69587000,-159661000,-8347000,-10029000,9968000,-1087000,-19463000,158379000,158379000,-943000,157436000,251732000,1604168000,283272000,0.9416,0.34383,0.19021,0.03349,0.0185,2.76968,3.89448,0.81011,0.2902,1.80476,1.78073,9.4883,53.88879,4.99862,0.01978,0.05478,2.12128,2.88835
"38","2020_Q1",129.293387096774,"Down",581740000,-35348000,546392000,-485147000,-214275000,-97382000,-173490000,61245000,-20478000,-18244000,-2234000,40767000,40767000,34523000,73992000,73992000,73992000,73992000,1077344000,637344000,355987000,355987000,78608000,118329000,39434000,78895000,1630268000,131506000,3777123000,2440977000,920018000,194725000,3908629000,5538897000,326383000,45732000,280651000,33387000,4720000,4720000,364490000,1573870000,490083000,4861000,261127000,2063953000,2428443000,2266032000,1067815000,-223393000,3110454000,3110454000,5538897000,73992000,177947000,-26239000,-137902000,87798000.0000001,149272000,-159053000,-8346999.99999999,-78594000,31741000,-839000,-87780000,-159035000,-159035000,1204000,-157831000,239192000,1607257000,216039000,0.93924,0.10528,0.12719,0.02379,0.01336,2.91976,4.47274,0.78074,0.29018,1.31154,1.29223,10.31161,55.13425,3.82939,0.01421,0.04148,2.21543,8.65235
"39","2020_Q2",110.58380952381,"Down",534726000,-28657000,506069000,-357354000,-208400000,-86107000,-62847000,148715000,-19628000,-18496000,-1132000,129087000,-209302000,51287000,-157833000,-157833000,-157833000,-157833000,981602000,701602000,317301000,317301000,85610000,133124000,38824000,94300000,1517637000,129562000,3568096000,2238658000,909226000,189970000,3697658000,5215295000,358560000,66308000,292252000,33387000,4176000,4176000,396123000,1576984000,434215000,4225000,264895000,2011199000,2407322000,2294480000,770929000,-257436000,2807973000,2807973000,5215295000,-157833000,67374000,319480000,43948000,272969000,-4830000,-60080000,-8347000,-125789000,13264000,-13547000,-147683000,65206000,65206000,-948000,64258000,216089000,1610371000,203920000,0.94641,0.27811,-0.29517,-0.05621,-0.03026,-1.292,3.83123,0.85732,0.30878,-2.82066,-2.82066,9.55619,50.1818,3.64429,-0.03253,0.04202,2.90977,4.22801
"40","2020_Q3",123.97296875,"Up",562436000,-28008000,534428000,-333302000,-191406000,-78922000,-62974000,201126000,-26674000,-26210000,-464000,174452000,171452000,-54754000,114801000,114801000,114801000,114801000,1696082000,786082000,351920000,351920000,92534000,161810000,49109000,112701000,2302346000,128259000,3635896000,2286126000,918021000,188354000,3764155000,6066501000,372940000,50043000,322897000,33387000,3633000,3633000,409960000,2069669000,445594000,3588000,279630000,2515263000,2925223000,2499141000,878246000,-236109000,3141278000,3141278000,6066501000,114801000,67713000,35240999.9999999,-35236000,182519000,-2690000,-741165000,640147000,3503000,10987000,-1116000,642534000,83888000,83888000,592000,84480000,268839000,2103056000,285667000,0.9502,0.3576,0.20411,0.03655,0.01892,2.48837,5.61603,0.93122,0.34667,2.07177,2.07177,10.15008,56.68949,5.15533,0.02018,0.05021,1.51382,2.02348
"41","2020_Q4",148.94421875,"Up",600888000,-42095000,558793000,-352586000,-207255000,-78647000,-66684000,206207000,-28067000,-27428000,-639000,178140000,168140000,-19283000,148234000,148234000,148234000,148234000,1916942000,741942000,361664000,361664000,91404000,185563000,58305000,127258000,2555573000,128204000,3608181000,2241107000,937099000,175165000,3736385000,6291958000,395044000,67063000,327981000,243999000,3090000,3090000,642133000,1843685000,429466000,2951000,284927000,2273151000,2915284000,2537995000,1026480000,-187801000,3376674000,3376674000,6291958000,148234000,71494000,32895000,5266000,257889000,-3369000,-279644000,-31647000,10088000,10088000,-1097000,-22656000,-44411000,-44411000,271000,-44140000,277701000,2087684000,298881000,0.92995,0.34317,0.24669,0.0439,0.02356,2.01628,3.97982,0.86336,0.3318,2.66882,2.57695,10.81843,60.79387,5.38107,0.02515,0.05071,0.61484,0.82801
"42","2021_Q1",164.55393442623,"Up",665517000,-50157000,615360000,-405946000,-247172000,-91699000,-67075000,209414000,-28609000,-27573000,-1036000,180805000,144805000,-10767000,133414000,133414000,133414000,133414000,2132769000,1057769000,396490000,396490000,95396000,214913000,62422000,152491000,2839568000,127935000,3568398000,2195051000,958303000,160128000,3696333000,6535901000,404877000,26945000,377932000,246322000,2546000,2546000,653745000,1848516000,374367000,2315000,241655000,2222883000,2876628000,2633676000,1159894000,-134352000,3659273000,3659273000,6535901000,133414000,71672000,80600000,-99415000,186271000,10144000,73219000.0000001,-8347000.00000012,65342000,65342000,-1117000,55877999.9999999,315368000,315368000,459000,315827000,281086000,2094838000,202582000,0.92463,0.31466,0.20047,0.03646,0.02041,1.51845,4.34354,0.78612,0.32051,2.38508,2.33335,11.89762,65.41677,3.62161,0.02177,0.03306,-0.134939999999999,-0.181129999999999
"43","2021_Q2",173.21873015873,"Up",607581000,-40189000,567392000,-405273000,-260508000,-76573000,-68192000,162119000,-26433000,-27376000,943000,135686000,135686000,-18019000,121832000,121832000,121832000,121832000,2432533000,2097533000,413976000,413976000,115475000,204912000,57185000,147727000,3166896000,123863000,3465711000,2108046000,938398000,160813000,3589574000,6756470000,501107000,77738000,423369000,248613000,2373000,2373000,752093000,1853033000,354182000,1852000,242415000,2207215000,2959308000,2694864000,1281726000,-179428000,3797162000,3797162000,6756470000,121832000,72971000,39912000,50282000,284997000,-2168000,737132000,-8347000,50407000,50407000,-23784000,18276000,1040405000,1040405000,-641000,1039764000,235090000,2101646000,301223000,0.93385,0.26683,0.20052,0.03209,0.01803,2.47245,4.21078,0.77935,0.31106,2.15754,2.08641,10.75974,67.24449,5.3344,0.01948,0.04817,-1.40749,-2.04101
"44","2021_Q3",151.089375,"Down",751811000,-119194000,632617000,-702207000,-429031000,-132696000,-140480000,-69590000,-66470000,-69420000,2950000,-136060000,-136060000,-228621000,-363316000,-363316000,-363316000,-363316000,891400000,891400000,506660000,506660000,1251259000,304645000,104455000,200190000,2953964000,277066000,9981963000,7588029000,1887699000,209742000,10259029000,13212993000,629562000,64826000,564736000,248585000,2441000,2441000,880588000,6489315000,1712127000,1510000,289590000,8201442000,9082030000,3403488000,918410000,-190935000,4130963000,4130963000,13212993000,-363316000,147315000,330049000,-72353000,41695000,-7178000,-5912370000,4615542000,51882000,51882000,-3388000,4664036000,-1206639000,-1206639000,506000,-1206133000,77725000,6737900000,226815000,0.84146,-0.09256,-0.48325,-0.08795,-0.0275,-0.62429,3.35454,2.19853,0.50995,-6.43402,-6.22191,13.31393,73.15582,4.0167,-0.02888,0.01803,75.22033,-84.01351
"45","2021_Q4",131.42140625,"Down",838115000,-145224000,692891000,-664522000,-363682000,-141036000,-159804000,28369000,-96003000,-93372000,-2631000,-67634000,-67634000,18057000,-46321000,-46321000,-46321000,-46321000,671780000,671780000,499023000,499023000,1137851000,319572000,94474000,225098000,2628226000,255006000,9594920000,7282579000,1849547000,148128000,9849926000,12478152000,701786000,63815000,637971000,3.1e+07,2267000,2267000,735053000,6247287000,1557862000,986000,227692000,7805149000,8540202000,3469890000,865577000,-397517000,3937950000,3937950000,12478152000,-52833000,167577000,100277000,59039000,274060000,-8328000,-26813000,-477572000,14822000,14822000,-2431000,-465181000,-217934000,-217934000,-1686000,-219620000,195946000,6278287000,228600000,0.82673,0.03385,-0.05527,-0.01176,-0.00371,-4.93513,3.57556,2.16869,0.50314,-0.75584,-0.75584,13.67592,64.25739,3.73017,-0.00393,0.01942,28.61251,197.62794
"46","2022_Q1",145.117096774194,"Up",896731000,-136153000,760578000,-711198000,-398462000,-155443000,-157293000,49380000,-94210000,-88598000,-5612000,-44830000,-44830000,12467000,-41862999.9999999,-41862999.9999999,-41862999.9999999,-41862999.9999999,591448000,591448000,563360000,563360000,1072721000,383805000,131413000,252392000,2611334000,256837000,9430468000,7152328000,1827609000,139428000,9687305000,12298639000,776210000,100298000,666304000,3.1e+07,2093000,2093000,809303000,6018943000,1505729000,463000,204725000,7524672000,8333975000,3534798000,830226000,-400360000,3964664000,3964664000,12298639000,-35351000,164620000,133406000,-84920000,177755000,-9967000,-10092000,-258760000,18150000,18150000,-5999000,-246609000,-78946000,-78946000,-1386000,-80331999.9999999,2.14e+08,6049943000,106646000,0.84817,0.05507,-0.04668,-0.01056,-0.0034,-2.5475,3.22665,2.10206,0.49192,-0.6831,-0.6831,14.63238,64.6933,1.74019,-0.00363,0.00926,25.50699,110.5406
"47","2022_Q2",153.941451612903,"Up",813721000,-115284000,698437000,-610888000,-308813000,-129981000,-172094000,87549000,-81224000,-70684000,-10540000,6325000,6325000,-536000,1647000,1647000,1647000,1647000,490835000,490835000,572392000,572392000,985454000,452175000,117399000,243888000,2500856000,257632000,9010429000,6783057000,1782444000,130256000,9268061000,11768917000,704723000,73336000,631387000,3.1e+07,1686000,1686000,737409000,5992868000,1430680000,347000,208249000,7423548000,8160957000,3239333000,959347000,-590720000,3607960000,3607960000,11768917000,1647000,179711000,68311000,-40690000,208979000,-12292000,-37292000,-258764000,21729000,21729000,-33776000,-270811000,-99124000,-99124000,-1489000,-100613000,267260000,6023868000,214814000,0.85832,0.10759,0.00202,0.00046,0.00014,130.42744,3.39141,2.26193,0.51185,0.02678,0.02678,13.23059,58.66315,3.49274,0.00015,0.01942,20.70281,63.19927
"48","2022_Q3",152.048125,"Down",932878000,-124208000,808670000,-653976000,-366473000,-139047000,-148456000,154694000,-64532000,-63189000,-1343000,90162000,21014000,16112000,34665000,34665000,34665000,34665000,771265000,711265000,594034000,594034000,861705000,363829000,108304000,255525000,2590833000,239523000,8369777000,6237959000,1687648000,123620000,8609300000,11200133000,673164000,74161000,599003000,3.1e+07,1278000,1278000,705442000,5989998000,1304439000,231000,207792000,7294437000,7999879000,3312325000,993958000,-1106029000,3200254000,3200254000,11200133000,34665000,156203000,190113000,-77945000,303036000,-12278000,-89162000.0000001,-7754000,24820000,24874000,-6289000,10776999.9999999,224651000,224651000,-4221000,220430000,310897000,6020998000,204562000,0.86686,0.16582,0.03716,0.01083,0.0031,5.90111,3.67264,2.49976,0.53758,0.55521,0.5465,14.94135,51.25655,3.27635,0.00329,0.01943,16.88576,33.93624
