"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.0395238095238,"Up",1478302000,-1368615000,109687000,-70029000,-62415000,-6436000,39658000,13259000,-26396000,39655000,52917000,52917000,6465000,59382000,59382000,59382000,59382000,5183611804.6434,5183611804.6434,-571496363.563381,-571496363.563381,-11753344.5723886,159108990.772226,159108990.772226,4759471087.27986,155422998.567853,-53525045.5073937,-53525071.9304837,101897953.060459,4861369040.34032,2001992175.36953,1818696979.86459,183295195.50494,535384816.99619,1779731105.13812,2249228405.1845,259815118.060098,259815118.060098,2509043523.2446,4288774628.38272,572594411.957596,4861369040.34032,59382000,21352000,6600000,-74305000,13029000,-12845000,-14541000,-172200000,0,0,-172200000,-173712000,-173712000,2056000,-171656000,61010000,0,-32605000,0.0742,0.02683,0.04017,-0.361871413624485,-0.0900675376895841,-0.54907,2.99207081906628,7.32173727493652,0.652353064445142,0.75535,0.73698,18.80432,-0.41474,-0.130697466710813,1.28530720602569,31.0807707945115,89.1780072820854
"2","2010_Q3",11.97421875,"Down",1527451000,-1409974000,117477000,-71739000,-63557000,-7123000,45738000,-25863000,-25983000,120000.000000007,19875000,19375000,-9284000,10091000,10091000,10091000,10091000,2581684402.3217,2581684402.3217,367793318.21831,367793318.21831,501049327.713806,138680495.386113,138680495.386113,3589207543.63993,391560499.283926,61067477.2463032,61067464.0347582,452627976.530229,4041835520.17016,1566488587.68476,1402463989.93229,164024597.75247,275892408.498095,1592831052.56906,1657340702.59225,199649559.030049,199649559.030049,1856990261.6223,3449821314.19136,592014205.978798,4041835520.17016,10091000,21319000,4468000,-68077000,-32199000,-22040000,-22637000,-715999.99999997,2105000,2105000,1389000,-53447000,-53447000,-1086000,-54533000,67057000,0,-13776000,0.07691,0.02994,0.00661,-0.120720706812243,-0.032268768844792,-1.36518,2.31843540953314,5.74731363746826,0.495011532222571,0.12773,0.12162,19.33458,-0.17438,-0.0457237333554066,0.509003603012844,17.6733353972558,44.2883836410427
"3","2010_Q4",11.81765625,"Down",1625170000,-1501055000,124115000,-75571000,-65392000,-9253000,48544000,-28607000,-26561000,-2046000,19937000,33133000,-11570000,21563000,21563000,21563000,21563000,1160975800.7739,1160975800.7739,852379772.739437,852379772.739437,760104775.904602,132645165.128704,132645165.128704,2906105514.54664,519653166.427975,120916159.082101,120916154.678253,640569325.510077,3546674840.05672,1249966529.22825,1107342996.6441,142623532.584157,129130802.832698,1407881017.52302,1350411567.53075,164738186.34335,164738186.34335,1515149753.8741,2923030771.39712,623644068.659599,3546674840.05672,21563000,21894000,-9279000,-59444000,-25266000,21555000,9172000,4759000,410000,410000,5169000,-10925000,-10925000,2532000,-8393000,70438000,0,44119000,0.07637,0.02987,0.01327,0.00471976439591913,-0.00162292294826401,2.04605,2.06136846984438,4.66854787915609,0.418217177407524,0.27122,0.25764,20.44136,0.55493,-0.00101791111846888,0.109891201004281,10.8489051324186,20.7468078803476
"4","2011_Q1",14.0356451612903,"Up",1687768000,-1556057000,131711000,-73576000,-61170000,-12014000,58135000,-23149000,-26958000,3809000,34986000,33817000,-2418000,31399000,31399000,31399000,31399000,592812000,592812000,1018612000,1018612000,844347000,134238000,134238000,2590009000,570258000,141529000,141529000,711787000,3301796000,1045972000,923038000,122934000,6.5e+07,1251343000,1240666000,148186000,148186000,1388852000,2640195000,661601000,3301796000,31399000,25008000,4702000,-95007000,-33898000,-37239000,-36289000,2482000,547000,1306000,3029000,-67158000,-67158000,-4599000,-71757000,83143000,1305666000,-46685000,0.07804,0.03444,0.0186,0.04746,0.00951,-1.48683,2.06978,3.99062,0.39544,0.39416,0.37982,21.18715,-0.58605,0.01484,-0.02207,8.57383,12.26205
"5","2011_Q2",10.6966666666667,"Down",1662451000,-1534404000,128047000,-68634000,-58471000,-9205000,59413000,-24872000,-26089000,1217000,34541000,36083000,-7724000,28359000,28359000,28359000,28359000,548519000,548519000,1002839000,1002839000,832710000,136694000,136694000,2520762000,573932000,138414000,138414000,712346000,3233108000,948051000,839253000,108798000,53400000,1149679000,1240329000,143098000,143098000,1383427000,2533106000,700002000,3233108000,28359000,25131000,1884000,-57633000,-2259000,-28058000,-36567000,-8673000,715000,715000,-7958000,-46784000,-46784000,2491000,-44293000,84544000,1293729000,6577000,0.07702,0.03574,0.01706,0.04051,0.00877,0.23192,2.19258,3.61871,0.40015,0.35517,0.3424,20.82072,0.08237,0.01327,0.00308000000000001,8.81446,12.54288
"6","2011_Q3",8.49734375,"Down",1569058000,-1452227000,116831000,-72595000,-62212000,-9424000,44236000,-23646000,-25707000,2061000,20590000,20988000,-7923000,13065000,13065000,13065000,13065000,654745000,654745000,965216000,965216000,820117000,135938000,135938000,2576016000,561249000,125484000,125484000,686733000,3262749000,962782000,854364000,108418000,61900000,1149942000,1239993000,141618000,141618000,1381611000,2531553000,731196000,3262749000,13065000,24866000,3080000,65787000,106798000,-18355000,-18355000,20210000,2426000,2426000,22636000,111079000,111079000,-4853000,106226000,69102000,1301893000,124457000,0.07446,0.02819,0.00833,0.01787,0.004,9.52599,2.24013,3.46221,0.39902,0.16282,0.15565,19.55407,1.55102,0.00601,0.05723,9.36511,14.62944
"7","2011_Q4",8.41301587301587,"Down",1674200000,-1542599000,131601000,-80134000,-67043000,-12133000,51467000,-39254000,-24487000,-14767000,12213000,13653000,-4248000,9405000,9405000,9405000,9405000,582816000,582816000,1042092000,1042092000,885502000,125205000,125205000,2635615000,562766000,118247000,118247000,681013000,3316628000,1083711000,958075000,125636000,60400000,1278594000,1151883000,136851000,136851000,1288734000,2567328000,749300000,3316628000,9405000,25371000,21329000,-4783000,51322000,-12634000,-18781000,-95193000,1084000,1084000,-105079000,-72538000,-72538000,609000,-71929000,76838000,1212283000,63669000,0.07861,0.03074,0.00562,0.01255,0.00284,6.7697,2.06134,3.4263,0.36552,0.11671,0.11323,20.77661,0.79012,0.00448,0.03034,8.19213,12.2305
"8","2012_Q1",11.2427419354839,"Up",1696702000,-1562830000,133872000,-80006000,-59401000,-19649000,53866000,-8589000,-20970000,12381000,45277000,28814000,-10726000,18088000,18088000,18088000,18088000,640288000,640288000,1014121000,1014121000,891325000,83512000,83512000,2629246000,588097000,136630000,136630000,724727000,3353973000,1096207000,984014000,112193000,60200000,1265885000,1182308000,135263000,135263000,1317571000,2583456000,770517000,3353973000,18088000,29203000,2471000,29285000,79047000,-24461000,-24402000,-9880000,357000,378000,1447000.00000003,56091999.9999999,56091999.9999999,1380000,57472000,83069000,1242508000,98619000,0.0789,0.03175,0.01066,0.02348,0.00539,5.45218,2.077,3.35289,0.37046,0.22411,0.21844,21.02194,1.22188,0.00842,0.04591,7.24964,11.17997
"9","2012_Q2",8.4031746031746,"Down",1502366000,-1393341000,109025000,-68284000,-59141000,-8187000,40741000,-23097000,-21579000,-1518000,17644000,16591000,-8016000,8575000,8575000,8575000,8575000,604469000,604469000,931034000,931034000,903780000,77519000,77519000,2516802000,587807000,134512000,134512000,722319000,3239121000,963586000,859337000,104249000,59100000,1137030000,1184620000,132873000,132873000,1317493000,2454523000,784598000,3239121000,8575000,25494000,6460000,-53780000,-13251000,-24259000,-24259000,930000,94000,94000,1024000,-36486000,-36486000,667000,-35819000,66235000,1243720000,-3788000,0.07257,0.02712,0.00571,0.01093,0.00265,-0.44175,2.21349,3.12838,0.38397,0.10608,0.10373,18.58605,-0.04686,0.00397,-0.00175,9.65126,15.69061
"10","2012_Q3",8.54333333333333,"Up",1463082000,-1356734000,106348000,-75116000,-62940000,-11409000,31232000,-24766000,-19925000,-4841000,6466000,5442000,-6881000,-1439000,-1439000,-1439000,-1439000,464419000,464419000,928943000,928943000,862392000,68507000,68507000,2324261000,577182000,129313000,129313000,706495000,3030756000,940145000,834272000,105873000,3e+07,1072825000,1033053000,132175000,132175000,1165228000,2238053000,792703000,3030756000,-1439000,25017000,11209000,25187000,59974000,-13879000,-15928000,-181652000,1608000,1608000,-182729000,-138683000,-138683000,-1367000,-140050000,56249000,1063053000,74438000,0.07269,0.02135,-0.00098,-0.00182,-0.00047,-51.72898,2.16649,2.82332,0.35076,-0.01772,-0.01772,18.01271,0.91644,-0.00072,0.03744,10.64257,19.16733
