"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.7195238095238,"Up",1969670000,-1772669000,197001000,-147850000,-141072000,11000,49151000,-3299000,-3299000,45852000,45852000,-18035000,27817000,27817000,27817000,27817000,203726672.870823,203726672.870823,210357664.74758,596569725.283022,75825607.3455547,75825607.3455547,1086479670.24698,114956063.837663,319310439.050146,26671388.3798342,247274863.980633,45364186.6896788,434266502.887809,1520746173.13479,338736555.116524,288959709.152986,49776845.9635382,85575048.7007312,76468487.0399397,424311602.730067,207934516.068332,100581140.126444,17616656.0086963,82964484.117748,308515656.194776,732827258.924843,285486978.06179,492793276.211801,9629295.29547012,787909549.569061,787918914.209945,1520746173.13479,27817000,6789000,6493000,98371000,139470000,-7857000,-7857000,-11138000,-72775000,-80932000,50681000,50221000,50221000,55940000,0,164489000,0.10002,0.02495,0.01412,-0.0164808602907695,-0.00628466612225579,5.91325,2.31809648974726,0.953930349773543,0.132715037746529,0.45073,0.44805,31.91506,12.8280641585112,2.66526,0.18047,-0.0052791206715368,-0.453892933411716,0.4004,1.40720428907677,1.88075863688003
"2","2010_Q3",20.7034375,"Down",2019893000,-1820953000,198940000,-146778000,-139641000,-30000,52162000,-3505000,-3505000,48657000,48657000,-19188000,29469000,29469000,29469000,29469000,157638000,157638000,468026000,712078000,54117000,54117000,1391859000,92565000,320320000,26345000,247271000,46704000,412885000,1804744000,593564000,578627000,14937000,126515000,95739000,720079000,207902000,61235000,8851000,52384000,269137000,989216000,288702000,539395000,-12569000,815528000,815528000,1804744000,29469000,7107000,4343000,2698999.99999999,43618000,-10830000,-10830000,-11186000,-12462000,-21027000,11761000,11281000,11281000,59269000,207902000,70326000,0.09849,0.02582,0.01459,0.03613,0.01633,2.38644,1.93293,1.21298,0.1152,0.47368,0.4715,32.46738,13.10864,1.13041,0.1798,0.03748,0.06484,0.37959,0.84807,0.96361
"3","2010_Q4",21.751875,"Up",2063879000,-1859925000,203954000,-148641000,-141116000,-61000,55313000,-3758000,-3758000,51555000,51555000,-20050000,31505000,31505000,31505000,31505000,145070000,145070000,501270000,733296000,49412000,49412000,1429048000,93714000,318577000,25585000,247271000,45721000,412291000,1841339000,600525000,586285000,14240000,140239000,101405000,740764000,208576000,54912000,9140000,45772000,263488000,1004252000,289724000,559701000,-12338000,837087000,837087000,1841339000,31505000,7464000,1789000,-9355000,31403000,-6024000,-6024000,-11196000,-26347000,-37409000,-12030000,-12568000,-12568000,62777000,208576000,67448000,0.09882,0.0268,0.01526,0.03764,0.01711,2.14087,1.92915,1.1997,0.11327,0.50482,0.50316,33.07074,13.41314,1.08076,0.1794,0.0388,0.06128,0.35537,1.01161,1.14812
"4","2011_Q1",23.2841935483871,"Up",2070166000,-1862336000,207830000,-168520000,-142340000,-18392000,39310000,-3761000,-3761000,35549000,35549000,-13761000,21788000,21788000,21788000,21788000,159213000,159213000,471661000,720116000,52799000,52799000,1403789000,101545000,316705000,24825000,247271000,44609000,418250000,1822039000,552323000,531735000,20588000,142158000,103076000,694481000,209096000,60944000,12107000,48837000,270040000,964521000,292314000,570320000,-5116000,857518000,857518000,1822039000,21788000,7788000,13455000,-114339000,-71308000,-12712000,-12712000,-11260000,108107000,98345000,14325000,14143000,14143000,47098000,209096000,-66192000,0.10039,0.01899,0.01052,0.02541,0.01196,-3.038,2.02135,1.12478,0.11476,0.34902,0.34784,33.16192,13.73655,-1.06033,0.18037,0.02931,-0.0587,0.5168,1.05913,1.26896
"5","2011_Q2",25.8319047619048,"Up",2123815000,-1913040000,210775000,-159778000,-150973000,-38000,50997000,-3717000,-3717000,47280000,47280000,-18540000,28740000,28740000,28740000,28740000,185850000,185850000,520688000,729546000,57150000,57150000,1493234000,100672000,317274000,24411000,247271000,45592000,417946000,1911180000,615669000,604477000,11192000,145167000,107943000,760836000,209007000,60651000,12182000,48469000,269658000,1030494000,299454000,586274000,-5042000,880686000,880686000,1911180000,28740000,8767000,12990000,-5978000,44519000,-7097000,-7097000,-12786000,-1492000,-10684000,26738000,26637000,26637000,59764000,209007000,65229000,0.09924,0.02401,0.01353,0.03263,0.01504,2.26962,1.96262,1.1701,0.10936,0.4588,0.4572,33.90455,14.05926,1.04131,0.20412,0.0361,0.0567,0.44489,0.38747,0.45409
"6","2011_Q3",23.47953125,"Down",2131448000,-1915382000,216066000,-165027000,-156321000,-457000.000000002,51039000,-3020000,-3020000,48019000,48019000,-18855000,29164000,29164000,29164000,29164000,159194000,159194000,504509000,751613000,70600000,70600000,1485916000,100807000,319147000,23575000,247271000,48301000,419954000,1905870000,600394000,581768000,18626000,132639000,97829000,733033000,212137000,64921000,15860000,49061000,277058000,1010091000,302708000,597945000,-4874000,895779000,895779000,1905870000,29164000,8249000,1511000,-43678000,-4753999.99999999,-6607000,-6607000,-12710000,-1260999.99999999,-15257000,-26618000,-26656000,-26656000,59288000,212137000,27858000,0.10137,0.02395,0.01368,0.03256,0.0153,0.95522,2.02708,1.12761,0.11131,0.4631,0.46173,33.84594,14.22436,0.44237,0.20183,0.0357,0.02375,0.43581,0.89298,1.0373
"7","2011_Q4",22.832380952381,"Down",2176759000,-1960077000,216682000,-157866000,-152825000,3422000,58816000,-3426000,-3426000,55390000,55039000,-21687000,33352000,33352000,33352000,33352000,196852000,196852000,507152000,760992000,64560000,64560000,1529556000,105065000,314993000,22802000,247271000,44920000,420058000,1949614000,628225000,612923000,15302000,131674000,99822000,759899000,213111000,69625000,20477000,49148000,282736000,1042635000,303388000,608344000,-4753000,906979000,906979000,1949614000,33352000,8463000,2906000,23640000,68361000,-11131000,-11131000,-12660000,3608000,-19547000,37683000,37658000,37658000,67279000,213111000,101475000,0.09954,0.02702,0.01532,0.03677,0.01711,3.04255,2.01284,1.14957,0.10931,0.53119,0.53,34.66894,14.44533,1.61618,0.20163,0.03867,0.08529,0.37959,0.24167,0.27644
"8","2012_Q1",23.3709677419355,"Up",2195890000,-1981876000,214014000,-158183000,-150538000,1011000,55831000,-3519000,-3519000,52312000,39495000,-15553000,23942000,23942000,23942000,23942000,135938000,135938000,506758000,806366000,76763000,76763000,1525825000,108061000,312929000,22142000,248498000,42289000,420990000,1946815000,596461000,575793000,20668000,135904000,93608000,732365000,212681000,82552000,21894000,60658000,295233000,1027598000,305952000,619629000,-7494000,918087000,919217000,1946815000,23942000,8656000,5798000,-78103000,-39707000,-9050000,-9050000,-12753000,-532000,-12043000,-60800000,-60914000,-60914000,64487000,212681000,-7112999.99999997,0.09746,0.02543,0.0109,0.02605,0.0123,-0.297089999999999,2.08342,1.11791,0.10925,0.38233,0.38158,35.06635,14.66101,-0.11359,0.20365,0.03022,-0.00586,0.53266,1.19005,1.37456
"9","2012_Q2",22.9022222222222,"Down",2217882000,-2003554000,214328000,-162456000,-155572000,1694000,51872000,-3422000,-3422000,48450000,48450000,-19090000,29360000,29360000,29360000,29360000,213927000,213927000,499015000,724206000,66647000,66647000,1503795000,107705000,313310000,21547000,248498000,43265000,421015000,1924810000,547985000,537514000,10471000,144293000,104856000,692278000,212285000,84321000,23505000,60816000,296606000,988884000,310431000,631521000,-7156000,934796000,935926000,1924810000,29360000,8578000,916000,63043000,101897000,-8277000,-8277000,-14001000,-1251000,-15631000,77989000,77989000,77989000,60450000,212285000,134306000,0.09664,0.02339,0.01324,0.03137,0.01525,4.57446,2.17224,1.05658,0.11029,0.4675,0.46677,35.31547,14.88481,2.13856,0.22294,0.03518,0.10897,0.47687,-0.0271600000000001,-0.03165
"10","2012_Q3",23.1366666666667,"Up",2185444000,-1974015000,211429000,-157635000,-150288000,1168000,53794000,-3487000,-3487000,50307000,49690000,-19577000,30113000,30113000,30113000,30113000,224937000,224937000,485249000,748847000,72346000,72346000,1531379000,103889000,320156000,21018000,248498000,50640000,424045000,1955424000,577456000,559718000,17738000,130341000,92462000,707797000,212032000,85632000,25467000,60165000,297664000,1005461000,311635000,644220000,-7022000,948833000,949963000,1955424000,30113000,8515000,1930000,323999.99999997,40882000,-9765000,-9765000,-13955000,-2792000,-20107000,11010000,11010000,11010000,62309000,212032000,72445000,0.09674,0.02461,0.01378,0.0317,0.0154,2.40577,2.16359,1.05842,0.10843,0.47914,0.47854,34.77349,15.09727,1.1527,0.22204,0.03532,0.05807,0.46342,-0.20711,-0.2399
