"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.870625,"Down",8585141,-5147589,3437552,-3582089,-3279513,-302576,-144537,-115361,-124756,9395,-259898,-421699,-1817,-423516,-423516,-423516,-516516,-2172563.08299253,-2172563.08299253,17032104.6177116,17032104.6177116,1761613.31944886,838499.241531572,826177.087470916,17459654.0956995,3133770.19653228,1139864.60274504,817883.129832927,321981.475366327,4273634.79927732,21733288.8949769,4327430.46109357,4436730.0256108,-109299.564517233,6109745.11236513,6109745.11236513,10881844.4316797,-0.0855745675858344,-0.0855745675858344,-1145551.34862082,9736293.08305892,55598511.1946938,-43602837.4070912,11996995.8119179,11996995.8119179,21733288.8949769,-423516,311651,880676,586435,1355246,-75086,-75086,-11394,-63692,-75086,-578358,182457,182457,-395901,884259,884259,884259,167114,0,680280,0.40041,-0.01684,-0.06016,0.200454156670741,0.091180148901017,-1.31706,1.7145747983803,0.729934306734754,-0.0167872518917057,-0.04007,-0.0397,0.66599,0.921069150015389,0.05277,0.117122229501629,-0.547768150775047,-140.75593463598,-42.5720392611083
"2","2011_Q1",1.84274193548387,"Down",9068820,-5702724,3366096,-3698414,-3253156,-445258,-332318,-39350,-122126,82776,-371668,-384159,1817.00000000001,-382342,-382342,-382342,-475340,7216580,7216580,7669625,7669625,3106600,710558,665210,18703363,3204670,967628,664418,303210,4172298,22875661,5557787,2008183,3549604,3892602,3892602,10648367,0,0,2611609,13259976,56695282,-47080919,9615685,9615685,22875661,-382342,378179,706456,-463247,239046,-247738,-247738,-34609,-213129,-247738,7264,65780,65780,73043.9999999999,64352,64352,64352,45861.0000000001,3809587,-666941,0.37117,-0.03664,-0.05241,-0.04943,-0.02078,1.40308,1.75645,1.37899,0.16653,-0.03557,-0.03557,0.67855,0.71937,-0.0499,-0.03541,-0.04968,-74.28955,10.25221
"3","2011_Q2",2,"Up",8998624,-5658856,3339768,-4238207,-3725829,-512378,-898439,-116408,-114423,-1985,-1014847,-1014847,-10020,-1024867,-1024867,-1024867,-1066495,9518666.61099751,9518666.61099751,5301818.71076279,5301818.71076279,3697015.81018371,681177.169489476,628776.137509695,19198678.3014335,3206283.43448924,920967.632418321,636542.540055691,284425.091544558,4127251.06690756,23325929.368341,5893757.17963548,1273220.0747964,4620537.10483908,2472837.71254496,2472837.71254496,9872414.52277342,0.0285248558619448,0.0285248558619448,4292469.53287361,14164884.055647,57550053.6851021,-48390330.3643029,9161045.31269402,9161045.31269402,23325929.368341,-1024867,327413,841752,464956,609254,-146424,-146424,-102221,-44203,-146424,-293769,132379,132379,-161390,301440,301440,301440,-571026,0,-242474,0.37114,-0.09984,-0.11852,-0.0924430522235805,-0.040229216300339,0.22736,1.93322673387323,1.52488023108842,0.248137417297235,-0.07909,-0.07909,0.66732,0.674478616661537,-0.01798,-0.0593532431672098,0.0784452169250157,-33.3489767880068,21.0260622537028
"4","2011_Q3",1.60015625,"Down",9623590,-5962221,3661369,-3871545,-3203764,-667781,-210176,-46482,-84302,37820,-256658,-256658,0,-256658,-256658,-256658,-289366,8066006,8066006,6675480,6675480,3772483,733061,688057,19247030,3144099,928178,662551,265627,4072277,23319307,5708579,1498678,4209901,1685740,1685740,8943765,0,0,4583864,13527629,58227133,-48436777,9791678,9791678,23319307,-256658,382856,472288,93428,691914,-227262,-227262,-71724,-155538,-227262,33345,49989,49989,83334.0000000001,547986,547986,547986,172680,6133310,38846,0.38046,-0.02184,-0.03007,-0.02955,-0.01241,-0.13425,2.15201,1.38154,0.26301,-0.02122,-0.02122,0.7057,0.71793,0.00285,-0.01817,0.00243999999999994,-11.19236,9.19561000000001
"5","2011_Q4",1.23333333333333,"Down",8843010,-5349201,3493809,-3181068,-2410952,-770116,312741,-69951,-91909,21958,242790,242790,-287,242503,242503,242503,221887,6833450,6833450,7908792,7908792,3570266,884807,849090,19197315,3010999,898885,652050,246835,3909884,23107199,5375890,1860793,3515097,1408562,1408562,8334644,0,0,4196033,12530677,58790093,-48214893,10576522,10576522,23107199,242503,332431,464932,-1776779,-736913,-188832,-188832,-115832,-73000,-188832,-387084,80273,80273,-306811,-1232556,-1232556,-1232556,645172,5746225,-1320152,0.39509,0.03537,0.02509,0.02098,0.0096,-5.94966,2.30332,1.18476,0.24868,0.01623,0.01396,0.6469,0.77362,-0.09657,0.01359,-0.08088,-1.68517,-3.47644
"6","2012_Q1",1.61241935483871,"Up",1316721,-1102521,214200,-2266205,-1942594,-323611,-2052005,72819,-96953,169772,-1979186,-1979186,489247,-1489939,-353338,-353338,-385848,8939127,8939127,5958086,5958086,3330773,1107155,1071438,19335141,2816674,767606,539563,228043,3584280,22919421,5268795,1656602,3612193,1462603,1462603,8407347,2.77555756156289e-17,2.77555756156289e-17,3808008,12215355,59303485,-48600741,10704066,10704066,22919421,-353338,419811,482193,1975343,2524009,-112999,-112999,-37927,-75072,-112999,-262268,-43065,-43065,-305333,2105677,2105677,2105677,-1632194,5483957,-259097,0.16268,-1.55842,-0.29304,-0.03605,-0.01683,0.6715,2.29979,1.14119,0.23927,-0.02796,-0.01884,0.0954200000000001,0.77563,-0.01878,-0.02384,-0.01601,2.11689,1.6838
"7","2012_Q2",1.60333333333333,"Down",6656514,-3946691,2709823,-3341754,-2646782,-694972,-631931,-56393,-79658,23265,-688324,-688324,-4421,-692745,-334748,-334748,-368844,7879363,7879363,6824530,6824530,3273384,967485,930689,18944762,2711445,722908,513656,209252,3434353,22379115,5219758,1649169,3570589,1211972,1211972,7983447,0,0,3544787,11528234,59819144,-48969585,10850881,10850881,22379115,-334748,284101,466470,-962148,-546325,-152965,-152965,-104719,-48246,-152965,-387453,26979,26979,-360474,-1059764,-1059764,-1059764,-347830,5096504,-1458522,0.40709,-0.09493,-0.05541,-0.03399,-0.01648,3.95431,2.37301,1.06242,0.22773,-0.02663,-0.0226,0.48059,0.78332,-0.1053,-0.02313,-0.09146,8.00063,4.40374
"8","2012_Q3",1.53412698412698,"Down",6740709,-3996309,2744400,-3135100,-2536832,-598268,-390700,-51089,-74357,23268,-441789,-441789,-1377.99999999994,-443167,-242520,-242520,-269304,6639519,6639519,7170950,7170950,3395620,956866,921149,18162955,2556583,645920,455460,190460,3202503,21365458,4433487,1854041,2579446,1134112,1134112,7120095,-4.44089209850063e-16,-4.44089209850063e-16,3156367,10276462,60326563,-49238889,11088996,11088996,21365458,-242520,244012,473930,-1307862,-832440,-26614,-26614,-19013,-7601,-26614,-387641,6851.00000000001,6850.99999999999,-380790,-1239844,-1239844,-1239844,-146688,4708863,-1479786,0.40714,-0.05796,-0.03995,-0.02429,-0.0126,5.49485,2.55094,0.92673,0.2204,-0.01938,-0.01651,0.48519,0.79809,-0.10651,-0.01705,-0.09367,13.16165,4.94153
"9","2012_Q4",1.55161290322581,"Up",6847107,-3953575,2893532,-3223652,-2593592,-630060,-330120,-29908,-68458,38550,-360028,-360028,-15618,-375646,-220209,-220209,-254303,6722311,6722311,7729108,7729108,3569999,999329,962612,19020747,2470723,621145,449477,171668,3091868,22112615,5285468,2357536,2927932,1103353,1103353,8067109,0,0,2642745,10709854,60894631,-49493192,11402761,11402761,22112615,-220209,286385,524161,24158,614495,-194544,-194544,-118664,-75880,-194544,-387830,50671,50671,-337159,82792,82792,82792,-43735,4321033,-198503,0.42259,-0.04821,-0.03714,-0.0223,-0.0115,0.78058,2.35781,0.93923,0.19541,-0.01824,-0.01559,0.49119,0.8179,-0.01424,-0.01617,-0.01262,54.90518,7.27395
"10","2013_Q1",1.27066666666667,"Down",6133221,-4094803,2038418,-3061778,-2472238,-589540,-1023360,-66921,-89899,22978,-1090281,-1090281,462175,-628106,-586908,-586908,-611688,6340461,6340461,7059635,7059635,3336916,703402,667773,17440414,2426638,590716,437839,152877,3017354,20457768,4544746,1797571,2747175,832822,832822,6931659,0,0,2253917,9185576,61375750,-50104880,11272192,11272192,20457768,-586908,277529,417972,258909,367502,-221804,-221804,-128994,-92810,-221804,-513025,-14523,-14523,-527548,-381850,-381850,-381850,-745831,3808008,-1170901,0.33236,-0.16686,-0.09973,-0.05427,-0.0299,1.91421,2.51605,0.81489,0.18614,-0.04357,-0.03753,0.43691,0.8029,-0.08341,-0.04056,-0.07764,3.39547999999999,2.47465
