"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",43.0455555555556,"Up",2.242e+09,-8.69e+08,1.373e+09,-3.71e+08,-4.5e+07,-8.9e+07,-2.24e+08,-1.3e+07,1.002e+09,-1.16e+08,-7.5e+07,-4.1e+07,8.86e+08,8.86e+08,-1.41e+08,-2e+06,7.43e+08,-143023423.444801,-143023423.444801,7.43e+08,-1.97e+08,5.46e+08,5.46e+08,3.437e+09,3.364e+09,7.3e+07,6.01e+08,6.01e+08,9.71e+08,9.52e+08,7.23e+08,5.961e+09,1.2456e+10,1.232e+09,2.996e+09,1.03e+09,1.966e+09,1.6684e+10,2.2645e+10,8.15e+08,3.56e+08,4.59e+08,7.8e+07,1.12e+09,1.12e+09,2.013e+09,4.496e+09,2.731e+09,3.95e+08,1.37e+09,9.66e+08,7.227e+09,9.24e+09,8.961e+09,1.646e+09,7.43e+08,1.135e+10,2.055e+09,1.3405e+10,2.2645e+10,7.43e+08,2.24e+08,-6.6e+07,-1.73e+08,-1.3e+07,7.15e+08,-2.71e+08,-3e+06,-1.1e+07,-2.85e+08,-4.9e+07,-2.5e+08,1.6e+07,-2.8e+08,1.5e+08,1.5e+08,-1e+06,1.49e+08,1.226e+09,4.574e+09,9.23e+08,0.6124,0.44692,0.24353,0.04073,0.02411,1.69048,2.96125,0.6893,0.20199,1.11202,1.10751,4.56619,23.11609,1.87984,0.0998,0.02873,0.04457,0.08974,0.92741,1.13473
"2","2010_Q3",46.48171875,"Up",2.153e+09,-8.48e+08,1.305e+09,-3.97e+08,-4.3e+07,-1.1e+08,-2.31e+08,-1.3e+07,9.08e+08,-8.6e+07,-6.9e+07,-1.7e+07,8.22e+08,8.22e+08,-2.83e+08,-2e+06,5.37e+08,0,0,5.37e+08,-1.55e+08,3.82e+08,3.82e+08,3972443348.16376,3971560084.50055,883263.663211539,480004676.979535,480004676.979535,866341900.963952,1586811073.75634,1372359035.73431,6905600999.86359,12147693275.7751,1101756986.556,3098309667.9775,803547840.614498,2294761827.363,16347759930.3086,23253360930.1721,756712668.231697,357296067.875695,399416600.356002,423085045.266386,1714110963.33775,1714110963.33775,2893908676.83583,4263822971.00326,2530444816.04339,381898253.629828,1347407774.84746,801138787.566098,6794267787.04665,9688176463.88247,9011293947.80886,1794731843.31668,574281549.920275,11380307341.0458,2184877125.24385,13565184466.2897,23253360930.1721,5.37e+08,2.31e+08,6.3e+07,-78000000.0000001,1.86264514923096e-09,7.53e+08,-3.05e+08,-3e+06,-1.2e+07,-3.2e+08,-4.9e+07,-1.3e+07,-1.55e+08,-1.9e+08,2.43e+08,2.43e+08,-5e+06,2.38e+08,1.139e+09,0,1.039e+09,0.60613,0.42174,0.17743,0.0204265819560021,0.0114174457886629,2.7199,2.4312202842262,0.710977973083785,0.200924103975569,0.77642,0.76553,4.37602,23.048178949861,2.11179,0.09959,0.0160975787692658,0.0693904954744643,0.12827,0.480158437313237,0.566902107019806
"3","2010_Q4",47.56625,"Up",2.597e+09,-8.91e+08,1.706e+09,-4.18e+08,-4.5e+07,-1.13e+08,-2.42e+08,-1.8e+07,1.288e+09,-1.11e+08,-6.6e+07,-4.5e+07,1.177e+09,1.177e+09,-3.6e+08,-3e+06,8.14e+08,0,0,8.14e+08,-2.77e+08,5.37e+08,5.37e+08,3.997e+09,3.951e+09,4.6e+07,5.82e+08,5.82e+08,1.064e+09,1.413e+09,1.218e+09,7.056e+09,1.2532e+10,1.278e+09,3.51e+09,1.086e+09,2.424e+09,1.732e+10,2.4376e+10,8.88e+08,3.96e+08,4.92e+08,2.89e+08,1.621e+09,1.621e+09,2.798e+09,4.289e+09,2.77e+09,3.49e+08,1.432e+09,9.89e+08,7.059e+09,9.857e+09,9.038e+09,2.442e+09,7.68e+08,1.2248e+10,2.271e+09,1.4519e+10,2.4376e+10,8.14e+08,2.42e+08,1.33e+08,-3.35e+08,0,8.54e+08,-3.43e+08,-2e+06,-5e+07,-3.97e+08,-7.4e+07,-1.1e+07,-5.5e+07,-1.14e+08,3.43e+08,3.43e+08,6e+06,3.49e+08,1.53e+09,4.578e+09,1.212e+09,0.65691,0.49596,0.20678,0.03699,0.02203,2.25698,2.5218,0.6789,0.18781,1.08925,1.06972,5.26775,24.84381,2.45842,0.1501,0.02794,0.05543,0.1378,0.37974,0.45109
"4","2011_Q1",43.4267741935484,"Down",2.548e+09,-8.76e+08,1.672e+09,-4.36e+08,-4.5e+07,-1.22e+08,-2.48e+08,-2.1e+07,1.236e+09,-1.18e+08,-6.9e+07,-4.9e+07,1.118e+09,1.112e+09,-72000000.0000001,1e+07,1.05e+09,-2.8e+07,-2.8e+07,1.022e+09,-2.1e+08,8.12e+08,8.12e+08,4.169e+09,4.056e+09,1.13e+08,6.7e+08,6.7e+08,1.275e+09,1.139e+09,9.62e+08,7.253e+09,1.2907e+10,1.568e+09,3.935e+09,1.437e+09,2.498e+09,1.841e+10,2.5663e+10,1.07e+09,4.27e+08,6.43e+08,2.59e+08,1.418e+09,1.418e+09,2.747e+09,4.182e+09,3.018e+09,3.25e+08,1.488e+09,1.205e+09,7.2e+09,9.947e+09,9.057e+09,3.18e+09,1.108e+09,1.3345e+10,2.371e+09,1.5716e+10,2.5663e+10,1.05e+09,2.48e+08,-2.85e+08,-1.68e+08,0,8.45e+08,-4.27e+08,-1.7e+07,2.9e+07,-4.17e+08,-7.4e+07,-1.56e+08,-1.05e+08,-3.31e+08,9.7e+07,9.7e+07,8e+06,1.05e+08,1.484e+09,4.441e+09,9.61e+08,0.6562,0.48509,0.31868,0.05167,0.03164,1.1835,2.64033,0.63292,0.17305,1.65041,1.60474,5.17886,27.12398,1.95325,0.15041,0.03823,0.04147,0.09113,0.18329,0.22006
"5","2011_Q2",43.17,"Down",2.465e+09,-9.4e+08,1.525e+09,-4.45e+08,-4.5e+07,-1.3e+08,-2.56e+08,-1.4e+07,1.08e+09,-1.07e+08,-6.5e+07,-4.2e+07,9.73e+08,9.73e+08,-3.05e+08,2e+06,6.7e+08,0,0,6.7e+08,-1.56e+08,5.14e+08,5.14e+08,4.662e+09,4.533e+09,1.29e+08,5.52e+08,5.52e+08,1.264e+09,1.406e+09,1.228e+09,7.884e+09,1.3074e+10,1.779e+09,4.117e+09,1.456e+09,2.661e+09,1.897e+10,2.6854e+10,1.134e+09,4.2e+08,7.14e+08,7.54e+08,1.613e+09,1.613e+09,3.501e+09,3.676e+09,3.056e+09,3.36e+08,1.531e+09,1.189e+09,6.732e+09,1.0233e+10,9.083e+09,3.62e+09,1.389e+09,1.4092e+10,2.529e+09,1.6621e+10,2.6854e+10,6.7e+08,2.56e+08,4.2e+07,2.1e+07,0,9.89e+08,-3.96e+08,-1.2e+07,-3e+06,-4.18e+08,-7.4e+07,-3.1e+07,-1.5e+07,-1.17e+08,4.54e+08,4.54e+08,2.3e+07,4.77e+08,1.336e+09,4.43e+09,1.266e+09,0.61866,0.43813,0.20852,0.03092,0.01914,2.46304,2.25193,0.61567,0.16497,1.0426,1.02595,5,28.58418,2.56795,0.1501,0.02439,0.05252,0.14397,-0.17365,-0.21481
"6","2011_Q3",47.2190625,"Up",2.384e+09,-9.17e+08,1.467e+09,-5.18e+08,-5e+07,-1.75e+08,-2.5e+08,-4.3e+07,9.49e+08,-1.02e+08,-6.3e+07,-3.9e+07,8.47e+08,8.47e+08,-1.87e+08,0,6.6e+08,-1.36e+08,-1.36e+08,5.24e+08,-1.37e+08,3.87e+08,3.87e+08,2.058e+09,1.855e+09,2.03e+08,5.53e+08,5.53e+08,1.367e+09,1.921e+09,1.613e+09,5.899e+09,1.6663e+10,1.675e+09,4.401e+09,1.505e+09,2.896e+09,2.2739e+10,2.8638e+10,9.03e+08,4.9e+08,4.13e+08,5.39e+08,1.998e+09,1.998e+09,3.44e+09,3.771e+09,4.434e+09,3.53e+08,2.735e+09,1.346e+09,8.205e+09,1.1645e+10,9.11e+09,3.908e+09,1.31e+09,1.4328e+10,2.665e+09,1.6993e+10,2.8638e+10,6.6e+08,2.5e+08,6.5e+07,-5.61e+08,-2e+06,4.12e+08,-6.18e+08,5.2e+07,-1.2e+07,-2.862e+09,-9.9e+07,-1.67e+08,-1999999.99999999,-2.63e+08,-2.713e+09,-2.713e+09,3.5e+07,-2.678e+09,1.199e+09,4.31e+09,2.07e+08,0.61535,0.39807,0.16233,0.02277,0.01351,0.53488,1.71483,0.68528,0.1505,0.7834,0.77246,4.82591,29.00405,0.41903,0.2004,0.01888,0.00804,0.25581,1.87823,2.37302
"7","2011_Q4",51.6122222222222,"Up",2.744e+09,-1.008e+09,1.736e+09,-5.23e+08,-5e+07,-1.97e+08,-2.7e+08,-6e+06,1.213e+09,-1.77e+08,-6.5e+07,-1.12e+08,1.036e+09,1.036e+09,-3.71e+08,1e+07,6.75e+08,2.98023223876953e-08,2.98023223876953e-08,6.75e+08,-1.82e+08,4.93e+08,4.93e+08,2.229e+09,2.135e+09,9.4e+07,5.71e+08,5.71e+08,1.347e+09,2.213e+09,1.788e+09,6.36e+09,1.7019e+10,1.254e+09,4.506e+09,1.629e+09,2.877e+09,2.2779e+10,2.9139e+10,1.192e+09,5.42e+08,6.5e+08,5.78e+08,2.705e+09,2.705e+09,4.475e+09,3.659e+09,4.301e+09,3.5e+08,2.592e+09,1.359e+09,7.96e+09,1.2435e+10,9.145e+09,4.253e+09,4.62e+08,1.386e+10,2.844e+09,1.6704e+10,2.9139e+10,6.75e+08,2.7e+08,1.21e+08,1.97e+08,-2e+06,1.261e+09,-7.61e+08,1.7e+07,6e+06,-7.48e+08,-1.48e+08,-9e+07,3e+06,-2.08e+08,3.05e+08,3.05e+08,-2.5e+07,2.8e+08,1.483e+09,4.237e+09,1.29e+09,0.63265,0.44206,0.17966,0.02951,0.01692,2.61663,1.42123,0.74443,0.14541,0.99798,0.97817,5.55466,28.05668,2.61134,0.2996,0.02539,0.05111,0.3002,1.35401,1.6554
"8","2012_Q1",46.7777419354839,"Down",2.765e+09,-1.025e+09,1.74e+09,-5.91e+08,-5.3e+07,-2.21e+08,-2.6e+08,-5.7e+07,1.149e+09,-1.11e+08,-5.1e+07,-6e+07,1.038e+09,-1.046e+09,1.5e+08,-999999.999999996,-8.97e+08,0,0,-8.97e+08,-1.31e+08,-1.028e+09,-1.028e+09,1.854e+09,1.76e+09,9.4e+07,6.2e+08,6.2e+08,1.385e+09,1.529e+09,1.133e+09,5.388e+09,1.5881e+10,1.472e+09,3.37e+09,2.42e+08,3.128e+09,2.0723e+10,2.6111e+10,1.118e+09,5.61e+08,5.57e+08,6.89e+08,2.133e+09,2.133e+09,3.94e+09,3.624e+09,2.776e+09,4.59e+08,7.84e+08,1.533e+09,6.4e+09,1.034e+10,9.192e+09,3.052e+09,6.52e+08,1.2896e+10,2.875e+09,1.5771e+10,2.6111e+10,-8.97e+08,2.6e+08,1.53e+09,3.2e+07,-3e+06,9.22e+08,-1.003e+09,2999999.99999999,-3.1e+07,-1.039e+09,-1.73e+08,2.6e+07,-1.24e+08,-2.66e+08,-3.83e+08,-3.83e+08,8e+06,-374999999.999999,1.409e+09,4.313e+09,2.88e+08,0.62929,0.41555,-0.37179,-0.06518,-0.03937,-0.28016,1.36751,0.65563,0.16518,-2.07677,-2.01569,5.58586,26.05253,0.58182,0.34949,-0.0374,0.0126,-0.16829,1.74521,2.14012
"9","2012_Q2",38.554126984127,"Down",2.683e+09,-1.017e+09,1.666e+09,-4.91e+08,-5.4e+07,-1.9e+08,-2.31e+08,-1.6e+07,1.175e+09,-1.39e+08,-5.2e+07,-8.7e+07,1.036e+09,1.036e+09,-3.43e+08,-1.9e+07,6.74e+08,-7.1e+07,-7.1e+07,6.03e+08,-1.13e+08,4.9e+08,4.9e+08,2.791e+09,2.612e+09,1.79e+08,7.11e+08,7.11e+08,1.443e+09,1.147e+09,8.84e+08,6.092e+09,1.6364e+10,1.479e+09,5.026e+09,1.652e+09,3.374e+09,2.2869e+10,2.8961e+10,1.085e+09,4.97e+08,5.88e+08,6.9e+07,1.417e+09,1.417e+09,2.571e+09,6.081e+09,4.244e+09,4.84e+08,2.1e+09,1.66e+09,1.0325e+10,1.2896e+10,9.048e+09,3.369e+09,6.58e+08,1.3075e+10,2.99e+09,1.6065e+10,2.8961e+10,6.74e+08,2.31e+08,6.4e+07,-3.56e+08,-4e+06,6.09e+08,-6.84e+08,-1.43e+08,-1.7e+07,-8.55e+08,-1.73e+08,1.439e+09,-1.74e+08,1.094e+09,8.48e+08,8.48e+08,4e+06,8.52e+08,1.406e+09,6.15e+09,7.09e+08,0.62095,0.43794,0.18263,0.0305,0.01692,1.44694,2.36951,0.80274,0.21235,0.9899,0.97222,5.4202,26.41414,1.43232,0.34949,0.02506,0.0268,0.35306,2.38905,2.85872
"10","2012_Q3",39.584126984127,"Up",2.229e+09,-1.002e+09,1.227e+09,-5.09e+08,-5.7e+07,-1.88e+08,-2.48e+08,-1.6e+07,7.18e+08,-1.61e+08,-7.1e+07,-9e+07,5.57e+08,5.57e+08,-1.75e+08,-1.1e+07,3.71e+08,0,0,3.71e+08,-9.2e+07,2.79e+08,2.79e+08,2.029e+09,1.897e+09,1.32e+08,6.49e+08,6.49e+08,1.601e+09,9.93e+08,7.38e+08,5.272e+09,1.6936e+10,1.185e+09,5.267e+09,1.686e+09,3.581e+09,2.3388e+10,2.866e+10,1.04e+09,5.74e+08,4.66e+08,4e+07,1.287e+09,1.287e+09,2.367e+09,6.088e+09,4.216e+09,4.87e+08,2.056e+09,1.673e+09,1.0304e+10,1.2671e+10,9.077e+09,3.474e+09,3.61e+08,1.2912e+10,3.077e+09,1.5989e+10,2.866e+10,3.71e+08,2.48e+08,1.44e+08,-4.12e+08,-4e+06,3.47e+08,-8.81e+08,5.3e+07,-2e+07,-8.59e+08,-1.74e+08,-3.7e+07,-2e+06,-2e+08,-7.12e+08,-7.12e+08,-3e+06,-7.15e+08,9.66e+08,6.128e+09,-1.52e+08,0.55047,0.32212,0.12517,0.01745,0.00973,-0.5448,2.22729,0.79248,0.21382,0.5625,0.56024,4.49395,26.03226,-0.30645,0.35081,0.0172,-0.00577,0.62366,4.24327,5.70891
