"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",19.63984375,"Up",236017000,-160310000,75707000,-53991000,-43427000,-10564000,21716000,-194000,-326000,21522000,21530000,-8435000,13095000,13095000,13095000,13095000,363473488.293834,219010674.633104,144462813.660731,54715761.7516299,-4119489.01805745,-22957047.5850615,623589273.20593,16935726.9865631,51385431.0214869,-21978739.336422,56422552.730901,16941617.6270084,68321158.00805,691910431.21398,210665619.285183,51552903.3882149,21390387.7180674,157186709.296452,9747605.22111694,9747605.22111817,220413224.5063,16673762.8965856,10791679.9731775,5882082.92340811,16673762.8965856,237086987.402886,271664071.445476,182906175.071601,253197.29401729,454823443.811094,454823443.811094,691910431.21398,13095000,3412000,-2597000,360000,14270000,-3940000,-25043000,-28983000,2075000,2075000,0,246000,2321000,-12392000,-12392000,-12392000,25128000,0,29983000,0.32077,0.09201,0.05548,0.0583113021223536,0.0402659950947114,2.28965,2.70955648966645,0.566978098012655,0,0.36925,0.36388,6.65512,12.6863925127234,0.84545,0.0563384381939103,0.26384411511345,-11.0712772172203,-12.31412849447
"2","2011_Q1",21.2188709677419,"Up",258531000,-177377000,81154000,-56035000,-45877000,-10158000,25119000,-52000,-176000,25067000,25079000,-11457000,13622000,13622000,13622000,13622000,270737000,126173000,144564000,127394000,43182000,23850000,668044000,17503000,94774000,6241000,74198000,14335000,112277000,780321000,227185000,89155000,3487000,134543000,27538000,27538000,254723000,25162000,19719000,5443000,25162000,279885000,316144000,184011000,281000,500436000,500436000,780321000,13622000,3613000,1494000,-1681000,17048000,-2671000,2933000,-2747000,11966000,12048000,-82000,1358000,13324000,27625000,27625000,27625000,28732000,0,35837000,0.3139,0.09716,0.05269,0.02722,0.01746,2.63082,2.62263,0.55928,0,0.37959,0.36993,7.20423,13.94516,0.99863,0.02592,0.06818,-9.42284,-10.77818
"3","2011_Q2",23.9812698412698,"Up",278823000,-191037000,87786000,-57307000,-46293000,-11014000,30479000,-201000,-330000,30278000,30331000,-9142000,21189000,21189000,21189000,21189000,251440170.568722,106074191.788965,145365978.779756,146517746.08279,58861746.3393525,39279932.5283538,678053658.931357,17292007.6711456,115919939.659504,19671663.1121407,83059649.0896997,13188627.4576639,133211947.33065,811265606.262007,214079376.904939,88464365.5372617,-3957532.63084046,123531180.234516,28709214.9262944,28709214.9262939,242788591.831233,27352079.0344715,22097440.0089408,5254639.02553063,27352079.0344715,270140670.865705,340886892.851508,200043608.309466,194434.23532757,541124935.396302,541124935.396302,811265606.262007,21189000,3707000,3602000,-23936000,4562000,-1906000,22686000,20280000,5628000,6527000,-899000,893000,6521000,31363000,31363000,31363000,34186000,0,17486000,0.31484,0.10931,0.07599,0.0244103992925488,0.0160671683017629,0.82524,2.84013783677785,0.494732300662448,0,0.58189,0.56746,7.65703,14.8736508290922,0.4802,0.0231363539353632,0.0146777949621833,-8.5833900942599,-9.83855300184333
"4","2011_Q3",20.0259375,"Down",291240000,-200863000,90377000,-60934000,-49584000,-11350000,29443000,-235000,-341000,29208000,27339000,-6742000,20597000,20597000,20597000,20597000,277896000,129423000,148473000,137789000,56253000,36313000,681898000,16636000,122235000,23196000,85944000,13095000,138871000,820769000,194345000,72376000,-4168710.17445395,121969000,22843000,22843000,217188000,25955000,20760000,5195000,25955000,243143000,352665000,224898000,63000,577626000,577626000,820769000,20597000,3746000,3977000,-12918000,15402000,-2014000,-26945000,-65968000,20016000,20016000,-1.16415321826935e-10,2437000,22453000,-28113000,-28113000,-28113000,33189000,0,24999000,0.31032,0.1011,0.07072,0.03566,0.02509,1.21372,3.13967,0.42093,0,0.55642,0.54248,7.86774,15.60434,0.67534,0.03412,0.04142,-8.37314,-9.43844
"5","2011_Q4",21.192380952381,"Up",301800000,-205490000,96310000,-63189000,-50451000,-12738000,33121000,-152000,-267000,32969000,32925000,-6178000,26747000,26747000,26747000,26747000,321059000,174278000,146781000,135963000,50939000,29919000,726614000,16079000,121595000,22034000,85944000,13617000,137674000,864288000,206688000,75672000,-372032.630840456,131016000,23934000,23934000,230622000,23835000,18685000,5150000,23835000,254457000,358200000,251645000,-14000,609831000,609831000,864288000,26747000,3615000,1549000,11278000,43189000,-1896000,1610000,-286000,1856000,1856000,0,96000,1952000,44855000,44855000,44855000,36736000,0,52296000,0.31912,0.10974,0.08862,0.04386,0.03095,1.95521,3.15067,0.41726,0,0.71358,0.70239,8.05165,16.26954,1.39519,0.04221,0.08253,-8.73963,-9.69352
"6","2012_Q1",24.2695161290323,"Up",309155000,-214182000,94973000,-61254000,-47657000,-13597000,33719000,-71000,-198000,33648000,33615000,-10780000,22835000,22835000,22835000,22835000,353695000,208898000,144797000,163724000,55503000,32415000,834229000,15884000,121257000,20956000,85944000,14357000,137141000,971370000,268868000,117285000,4207000.00000001,147376000,40093000,40093000,308961000,23652000,18657000,4995000,23652000,332613000,364281000,274453000,23000,638757000,638757000,971370000,22835000,3667000,846000,5509000,32857000,-2395000,1447000,-948000,2465000,2492000,-27000,246000,2711000,34620000,34620000,34620000,37386000,0,51280000,0.3072,0.10907,0.07386,0.03575,0.02351,2.24568,2.70011,0.52072,0,0.6078,0.59559,8.22877,17.00178,1.36492,0.03447,0.07741,-9.46063,-10.48949
"7","2012_Q2",21.2866666666667,"Down",325620000,-225771000,99849000,-63504000,-49383000,-14121000,36345000,-482000,-601000,35863000,35712000,-10565000,25147000,25147000,25147000,25147000,369420000,149258000,220162000,134314000,52086000,29174000,805028000,14716000,120818000,19977000,85944000,14897000,135534000,940562000,218476000,79534000,5172000,133770000,25156000,25156000,243632000,24009000,19174000,4835000,24009000,267641000,373972000,299004000,-55000,672921000,672921000,940562000,25147000,3609000,3660000,-19624000,12792000,-1462000,-76117000,-78079000,4737000,5333000,-596000,910000,5647000,-59640000,-59640000,-59640000,39954000,0,29433000,0.30664,0.11162,0.07723,0.03737,0.02674,1.17044,3.30428,0.39773,0,0.66533,0.65188,8.6152,17.80403,0.77873,0.03608,0.04223,-9.24613,-10.16426
"8","2012_Q3",23.0273015873016,"Up",320655000,-226017000,94638000,-63653000,-48896000,-14757000,30985000,470000,354000,31455000,31455000,-9933000,21522000,21522000,21522000,21522000,360428000,157155000,203273000,152820000,58708000,36226000,843725000,17282000,127131000,23088000,88985000,15058000,144413000,988138000,240852000,101176000,0,139676000,25478000,25478000,266330000,22261000,16818000,5443000,22261000,288591000,379124000,320307000,116000,699547000,699547000,988138000,21522000,3884000,4134000,-27696000,1844000,-5402000,16138000,4136000,1734000,1953000,-219000,183000,1917000,7897000,7897000,7897000,34869000,0,11704000,0.29514,0.09663,0.06712,0.03077,0.02178,0.54382,3.16797,0.41254,0,0.56673,0.55687,8.44362,18.42077,0.30819,0.02982,0.01621,-10.33663,-11.63234
"9","2012_Q4",22.8714516129032,"Down",315210000,-217522000,97688000,-66887000,-49488000,-17399000,30801000,3179000,3070000,33980000,33711000,-9920000,23791000,23791000,23791000,23791000,362420000,134601000,227819000,178916000,60878000,38173000,851076000,18927000,148634000,27701000,100880000,20053000,167561000,1018637000,234844000,91070000,1829000,141945000,28205000,28205000,263049000,22811000,17525000,5286000,22811000,285860000,388850000,344098000,-171000,732777000,732777000,1018637000,23791000,4632000,-146000,-5353000,22924000,-4628000,-25075000,-51228000,5469000,5469000,0,281000,5750000,-22554000,-22554000,-22554000,35433000,0,35372000,0.30991,0.09772,0.07548,0.03247,0.02336,1.48678,3.23543,0.39011,0,0.62342,0.61314,8.25979,19.20175,0.92689,0.03149,0.04681,-10.22832,-11.7665
"10","2013_Q1",22.6643333333333,"Down",310436000,-219058000,91378000,-61815000,-47026000,-14789000,29563000,1000.00000000093,-153000,29564000,28404000,-12325000,16079000,16079000,16079000,16079000,376877000,149032000,227845000,174903000,56415000,33724000,864209000,19025000,151335000,27621000,100880000,22834000,170360000,1034569000,233285000,87310000,1382000,144593000,27645000,27645000,260930000,19028000,13735000,5293000,19028000,279958000,394465000,360142000,3999.99999999994,754611000,754611000,1034569000,16079000,4650000,3112000,-6358000,17483000,-4670000,-467000.000000015,-5137000,1907000,1942000,-35000.0000000001,178000,2085000,14431000,14431000,14431000,34213000,0,35510000,0.29435,0.09523,0.05179,0.02131,0.01554,2.20847,3.31203,0.371,0,0.41988,0.41268,8.10665,19.70572,0.9273,0.02078,0.0459,-11.01561,-12.74827
"11","2013_Q2",19.7990625,"Down",293399000,-205662000,87737000,-64054000,-48716000,-15338000,23683000,223000,74000,23906000,23888000,-8545000,15343000,15343000,15343000,15343000,422412000,279098000,143314000,158555000,58825000,34773000,877688000,18387000,149241000,26079000,100880000,22282000,167628000,1045316000,220767000,82410000,4667000,133690000,26998000,26998000,247765000,20174000,13187000,6987000,20174000,267939000,402089000,375149000,139000,777377000,777377000,1045316000,15343000,4942000,2948000,21844000,45077000,-2761000,84132000,81371000,3264000,3600000,-336000,354000,3618000,130066000,130066000,130066000,28625000,0,56253000,0.29904,0.08072,0.05229,0.01974,0.01468,3.66636,3.54242,0.34467,0,0.39921,0.39291,7.63404,20.22681,1.46366,0.01924,0.07053,-14.75675,-17.83608
"12","2013_Q3",19.31671875,"Down",357719000,-254289000,103430000,-76706000,-52725000,-23981000,26724000,-453000,-548000,26271000,21129000,-7144000,13985000,13985000,13985000,13985000,288103000,146934000,141169000,185383000,66936000,41708000,828905000,26397000,273438000,95149000,155405000,22884000,299835000,1128740000,280694000,129535000,9.31322574615479e-10,151159000,31838000,31838000,312532000,19629000,12972000,6657000,19629000,332161000,407544000,388987000,48000,796579000,796579000,1128740000,13985000,9387000,3421000,-15707000,11086000,-5273000,1882000,-144316000,851000.000000001,998000,-147000,215000,1066000,-132164000,-132164000,-132164000,36111000,0,22275000,0.28914,0.07471,0.03909,0.01756,0.01239,1.59278,2.65222,0.41698,0,0.36288,0.35791,9.282,20.66943,0.57799,0.01713,0.02729,-7.97826,-10.78068
"13","2013_Q4",19.59390625,"Up",361895000,-260236000,101659000,-74715000,-51395000,-23320000,26944000,582000,511000,27526000,24821000,-10364000,14457000,14457000,14457000,14457000,301418000,160484000,140934000,211275000,63932000,38477000,846589000,25450000,269155000,88631000,155916000,24608000,294605000,1141194000,276706000,119273000,3541000,153892000,26225000,26225000,302931000,19680000,13314000,6366000,19680000,322611000,415293000,403441000,-151000,818583000,818583000,1141194000,14457000,9416000,4438000,-11680000,16631000,-3950000,5000,-6345000,3168000,3171000,-3000,96000,3264000,13550000,13550000,13550000,36360000,0,31094000,0.28091,0.07445,0.03995,0.01766,0.01267,2.15079,2.79466,0.39411,0,0.37357,0.36882,9.35129,21.15202,0.80346,0.01725,0.03709,-8.28982,-11.18683
