"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",29.66859375,"Up",-15267000,-4165000,-11102000,-15267000,-971000,0,-971000,-16238000,-16133000,-16133000,-16133000,-16133000,-18424000,236079000,236079000,2254000,2096000,238333000,32000,11000,11000,43000,238376000,7908000,4431000,3477000,7908000,-113086000,351462000,351462000,351462000,238376000,-16133000,4000,2013000,1353000,-12763000,564787.565893717,564787.565893717,208994000,196226000,196226000,196226000,-15263000,0,-0.05242,-0.07729,30.13821,-0.32176,0,-10.25264,-10.25264,195.58264,-0.07994,15.4674,15.46335
"2","2014_Q1",33.7326229508197,"Up",-20444000,-5065000,-15379000,-20444000,55999.9999999999,0,55999.9999999999,-20388000,-20388000,-20388000,-20388000,-20388000,-20388000,210596000,210596000,6804000,6804000,217400000,27000.0000000001,255000,255000,282000,217682000,6295000,3810000,2485000,6295000,47962000,352770000,169720000,169720000,217682000,-20388000,6000,1214000,-6408999.99999999,-25577000,94000,94000,94000,-25483000,-25483000,-25483000,-20438000,0,-0.12013,-0.09366,34.53535,0.28259,0,-0.651890000000002,-0.651890000000002,5.42670000000004,-0.09645,10.30414,10.30112
"3","2014_Q2",36.692380952381,"Up",-20726000,-6349000,-14377000,-20726000,44000,44000,463911.289720793,-20682000,-20682000,-20682000,-20682000,-20682000,-20682000,263062000,66562000,5270000,5270000,268332000,743000,255000,255000,28761000,297093000,6555000,3753000,2802000,6555000,-113844000,410919000,410937000,410937000,297093000,-20682000,12000,2729000,1795000,-16146000,11000,11000,97087000,-144034000,-144034000,-144034000,-20714000,0,-0.05033,-0.06961,40.93547,-0.27704,0,-0.64067,-0.64067,12.7296,-0.07119,12.69972,12.69237
"4","2014_Q3",39.2475,"Up",-42277000,-7570000,-34707000,-42277000,72000,72000,455267.860161644,-42205000,-42205000,-72990000,-72990000,-72990000,-72990000,437231000,248498000,4924000,4087000,442155000,826000,19890000,255000,35971000,478126000,35362000,4039000,1783000,235362000,62464000,415637000,415662000,415662000,478126000,-72990000,31000,3967000,230086000,161094000,289000,289000,1533000,181936000,181936000,181936000,-42246000,0,-0.1756,-0.15266,1.87862,0.15028,0,-2.18677,-2.18677,12.45317,-0.30066,10.34964,10.34205
"5","2014_Q4",41.99734375,"Up",-25917000,-8812000,-17105000,13658000,117160.28642738,82833.0994753,232990.500521673,13658000,13658000,13658000,13658000,13658000,8552000,408782000,94804000,3862000,2793000,462644000,1289000,26553000,366000,27842000,490486000,20833000,6706000,6342000,24039000,314591000,421227000,175895000,175895000,490486000,8552000,37000,-345000,-52871000,-44627000,921000,921000,2012000,-153694000,-153694000,-153694000,13695000,0,0.04862,0.01744,19.24556,1.78852,0,0.25481,0.25481,5.2409,0.01833,-29.849,-29.92986
"6","2015_Q1",51.9137704918033,"Up",-32852000,-10656000,-22196000,-31168000,101000,101000,-4.65661287307739e-10,-31067000,-31067000,-36758000,-36758000,-36758000,-31652000,463560000,39814000,9772000,8812000,473332000,1555000,4899000,382000,6454000,479786000,16625000,8707000,7918000,19831000,351249000,428424000,128537000,128537000,479786000,-31652000,47000,4243000,38129000,10767000,1728000,1728000,45315000,-54990000.0000001,-54990000.0000001,-54990000.0000001,-31121000,0,-0.24625,-0.06597,23.86829,2.73267,0,-0.93617,-0.93617,3.80175,-0.0688200000000001,14.89541,14.87295
"7","2015_Q2",49.7468253968254,"Down",-34141000,-9584000,-24557000,7537000,73000,125000,-52000,7610000,7610000,6636000,6636000,6636000,6636000,433286000,39568000,59219000,8900000,492505000,1563000,4773000,361000,6336000,498841000,13860000,5757000,8103000,20497000,356806000,435238000,142035000,142035000,498841000,6636000,56000,6045000,-44246000,-31509000,1760000,1760000,1760000,-246000,-246000,-246000,7593000,0,0.04672,0.0133,24.02815,2.5121,0,0.1943,0.18831,4.15866,0.01387,-57.06387,-57.48786
"8","2015_Q3",52.9775,"Up",-44018000,-11959000,-32059000,-42421000,218000,139000,79000,-42203000,-42203000,-37131000,-37131000,-37131000,-37131000,449040000,36720000,11238000,10885000,460278000,1809000,8962000,519000,10771000,471049000,15925000,6150000,9775000,22680000,357273000,444069000,113776000,113776000,471049000,-37131000,403000,3358000,49204000,15834000,2452000,2452000,2452000,-2848000.00000001,-2848000.00000001,-2848000.00000001,-42018000,0,-0.32635,-0.07883,20.29444,3.14014,0,-1.08083,-1.11608,3.31187,-0.08281,10.68685,10.58532
"9","2015_Q4",57.82234375,"Up",-50891000,-10412000,-40479000,-47443000,339000,320000,19000,-47104000,-47104000,-39573000,-39573000,-39573000,-39573000,281042000,254895000,7041000,5541000,288083000,2590000,15134000,502000,162668000,450751000,27930000,7850000,20080000,34644000,367640000,452922000,83111000,83111000,450751000,-39573000,76000,-187000,15864000,-23820000,1812000,1812000,1812000,218175000,218175000,218175000,-47367000,0,-0.47615,-0.08779,8.31552,4.42348,0,-1.13755,-1.13755,2.38907,-0.0951,5.93329,5.92378
"10","2016_Q1",50.9509836065574,"Down",-45983000,-12066000,-33917000,-41201000,394000,387000,6999.99999999999,-40807000,-40807000,-35649000,-35649000,-35649000,-35649000,296592000,221861000,9893000,5504000,306485000,3466000,23602000,489000,122366000,428851000,30838000,12018000,18820000,37505000,368904000,465959000,59947000,59947000,428851000,-35649000,163000,-310000,-3240000,-39036000,5449000,5449000,6751000,-33034000,-33034000,-33034000,-41038000,0,-0.59468,-0.08313,8.17184,6.15384,0,-1.01784,-1.01784,1.7116,-0.09109,7.22725,7.19866
