"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",18.2308196721311,"Down",137989000,-116752000,21237000,-11382000,-11382000,9855000,-8341000,-8341000,1514000,1514000,2035000,3549000,3549000,3549000,3549000,7925000,7925000,13420000,13420000,35162000,14246000,14246000,70753000,75285000,870574000,823974000,945859000,1016612000,39740000,39740000,80720000,612787000,119369000,119369000,732156000,812876000,203736000,1016612000,3549000,9951000,20321000,18866000,-5337000,-5337000,-5337000,-17599000,-23846000,-15256000,-1458000,-7773999.99999999,-12754000,-12754000,-12754000,19806000,647794000,0.1539,0.07142,0.02572,0.01742,0.00349,0.87652,3.98985,0.63721,0.08683,0.0864500000000001,3.37591,0.37324,3,0.01937,4.29868,32.30683,64.92836
"25","2016_Q2",22.39578125,"Up",127896000,-109815000,18081000,-13009000,-13009000,5072000,-6025000,-6025000,-953000,-953000,1110000,157000,157000,157000,157000,7824000,7789000,14710000,14710000,25028000,14106000,14106000,61668000,74060000,865627000,818982000,939687000,1001355000,44580000,44580000,50553000,641327000,118999000,118999000,760326000,810879000,190476000,1001355000,157000,8605000,20131000,28893000,-3174000,-3174000,-3174000,116000,-3058000,-15258000,-342000,-25936000,-101000,-101000,-101000,13677000,641327000,0.14137,0.03966,0.00123,0.00082,0.00016,1.21987,4.25712,0.64046,0.00384,0.00383,3.12894,0.37328,4,0.01621,97.18471,46.31886,124.90201
"26","2016_Q3",25.085,"Up",141495000,-113377000,28118000,-13824000,-13824000,14294000,-8206000,-8206000,6088000,-42434000,11196000,-31238000,-31238000,-31238000,-31238000,65378000,25301000,22531000,22531000,30045000,17162000,17162000,135116000,74558000,704471000,652902000,779029000,914145000,48290000,48290000,59345000,594667000,119590000,119590000,714257000,773602000,140543000,914145000,-31238000,7869000,40137000,16768000,-5858000,-5858000,-5858000,-6999.99999999814,104434000,-15195000,-2733000,-63648000,57554000,57554000,57554000,22163000,599749000,0.19872,0.10102,-0.22077,-0.22227,-0.03417,2.27679,5.50438,0.65608,-0.76568,-0.76727,3.4682,0.37245,5,-0.01866,-0.486429999999999,24.11095,37.38429
"27","2016_Q4",27.2457142857143,"Up",174027000,-122132000,51895000,-11879000,-11879000,40016000,-7786000,-7786000,32230000,31208000,-3562000,27646000,27646000,27646000,27646000,72855000,32734000,37175000,37175000,41006000,9940000,9940000,160976000,73259000,698890000,656497000,772149000,933125000,52838000,52838000,63864000,594819000,118679000,118679000,713498000,777362000,155763000,933125000,27646000,9249000,-8166000,28729000,-5651000,-5651000,-5651000,416000,-5254000,-15194000,-804000,-15998000,7477000,7477000,7477000,49265000,599872000,0.2982,0.22994,0.15886,0.17749,0.02963,2.52061,4.99067,0.64286,0.67846,0.67846,4.2708,0.37288,7,0.049,0.54959,10.69759,13.17016
"28","2017_Q1",29.43,"Up",155681000,-115276000,40405000,-5550000,-5550000,34855000,-16063000,-6924000,18792000,18792000,-4419000,14373000,14373000,14373000,14373000,82584000,82584000,14842000,14842000,52622000,13597000,13597000,163645000,72820000,691216000,649165000,764036000,927681000,43710000,43710000,60581000,587542000,123284000,123284000,710826000,771407000,156274000,927681000,14373000,8467000,23837000,27727000,-4605000,-4605000,-4605000,1898000,-2771000,-15195000,-32000.0000000002,-15227000,9728999.99999999,9728999.99999999,9728999.99999999,43322000,598574000,0.25954,0.22389,0.09232,0.09197,0.01549,2.70126,4.93625,0.64524,0.35254,0.34457,3.81851,0.3727,7,0.03367,1.05719,11.91058,14.8039
"29","2017_Q2",31.6012698412698,"Up",149681000,-112498000,37183000,-11368000,-11368000,25815000,-6876000,-4970000,18939000,18939000,-2018000,16921000,16921000,16921000,16921000,101664000,101664000,16328000,16328000,45347000,8675000,8675000,172014000,74466000,686191000,644641000,760657000,932671000,44209000,44209000,75456000,574014000,123939000,123939000,697953000,773409000,159262000,932671000,16921000,6702000,18326000,41949000,-6281000,-6281000,-6281000,-102000,-6383000,-15228000,-1258000,-16486000,19080000,19080000,19080000,32517000,599422000,0.24841,0.17247,0.11305,0.10625,0.01814,2.27966,4.85621,0.64269,0.41496,0.412,3.67064,0.37344,8,0.03642,0.89995,15.30762,19.28174
"30","2017_Q3",32.7763492063492,"Up",163229000,-111356000,51873000,-13079000,-13079000,38794000,-8634000,-7348000,30160000,33425000,-9181000,24244000,24244000,24244000,24244000,110324000,110324000,23536000,23536000,40124000,12396000,12396000,186380000,74671000,685723000,646278000,760394000,946774000,53130000,53130000,79318000,573382000,123745000,123745000,697127000,776445000,170329000,946774000,24244000,6641000,6549000,37434000,-5450000,-5450000,-5450000,28000.0000000002,-8554000,-15229000,9000,-20220000,8660000,8660000,8660000,45435000,593731000,0.31779,0.23767,0.14853,0.14234,0.02561,2.34978,4.5585,0.62711,0.59383,0.58821,3.99814,0.37302,8,0.04446,0.62816,10.63953,12.46087
"31","2017_Q4",36.0214285714286,"Up",190441000,-124727000,65714000,-13240000,-13240000,52474000,-8932000,-7336000,43542000,36457000,-2757000,33700000,33700000,33700000,33700000,116803000,116803000,23461000,23461000,39261000,8820000,8820000,188345000,76138000,706510000,665621000,782648000,970993000,60741000,60741000,86884000,574414000,118505000,118505000,692919000,779803000,191190000,970993000,33700000,8565000,7697000,49962000,-9291000,-9291000,-9291000,-32000,-28224000,-15229000,-30000,-15259000,6479000,6479000,6479000,61039000,594718000,0.34506,0.27554,0.17696,0.17626,0.03471,2.16778,4.07868,0.61248,0.82521,0.81675,4.6633,0.37291,7,0.0541,0.4519,7.82967,9.10765
"32","2018_Q1",36.5813114754098,"Up",175244000,-120812000,54432000,-12309000,-12309000,42123000,-8991000,-7395000,33132000,29653000,-18065000,11588000,11588000,11588000,11588000,120457000,120457000,11240000,11240000,50132000,11478000,11478000,193307000,77229000,682543000,662747000,759772000,953079000,55201000,55201000,74798000,574215000,103524000,103524000,677739000,752537000,200542000,953079000,11588000,8004000,-5018000,33314000,-6946000,-7040000,-7040000,97000,-6859000,-16245000,-556000,-22801000,3654000,3654000,3654000,50127000,588478000,0.31061,0.24037,0.06612,0.05778,0.01216,2.58439,3.75252,0.61745,0.28364,0.28017,4.28938,0.39762,7,0.03118,1.40188,9.3367,11.11082
"33","2018_Q2",35.9346875,"Down",199897000,-139155000,60742000,-13656000,-13656000,47086000,-7517000,-5660000,39569000,20314000,-5717000,14597000,14597000,14597000,14597000,102340000,102340000,28212000,28212000,62153000,21824000,21824000,214529000,343176000,1814648000,1717194000,2157824000,2372353000,75241000,75241000,81298000,800727000,154886000,131959000,955613000,1036911000,1335442000,2372353000,14597000,12635000,8290000,34914000,-6492000,-6492000,-6492000,232000,-2841000,-25102000,-4838000,-50190000,-18117000,-18117000,-18117000,59721000,800727000,0.30387,0.23555,0.07302,0.01093,0.00615,2.6388,0.77646,0.33752,0.28948,0.28742,3.96424,0.49781,6,0.01733,1.71967,11.69416,14.83216
