"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.01,"Down",1217238,-149409,1067829,-759364,-668765,-90599,308465,-84785,-87477,2692,223680,223680,0,223680,223680,223680,223680,-918930.105403317,-918930.105403317,131584.177200147,202629.736765542,202629.761494612,-573493.176280115,6343854.10856224,11040.5906861095,2540.59070168159,8500.00000000375,6354894.69924834,5781401.52296823,-326231.4873703,-396897.240254342,306413.74813346,-19849.7376946106,3374829.09246591,3374829.09246591,3354979.3547713,4871227.58717644,-3250,-2441555.41897951,2426422.16819693,2426422.16819693,5781401.52296823,1304549.62874119,109491.18072868,86232.4655467115,-218279.266504541,1281994.00851204,-101167.165887111,-101167.175039113,-1473792.4248091,-1497127.55868327,-316300.725210334,-316300.725210334,-316300.725210334,956001.765674698,0,636546.185396505,0.87726,0.25341,0.18376,-1.24470252487577,-0.426985520789982,7.94631343029353,-0.363226630604852,1.36059835529744,0.63362827349509,0.00304,0.00304,0.01654,0.0329290522424648,0.00865613966397666,-0.44021587203717,-0.550826967582627,-800.595350070402,-126.133899088519
"2","2011_Q2",0.0152380952380952,"Down",521406,-115069,406337,-738381,-643683,-94698,-332044,27177,-70896,98073,-304867,-304867,0,-304867,-304867,-304867,-304867,9918,9918,76802,103451,103451,190171,6487391,12424,3924,8500,6499815,6689986,166562,95448,630513,797075,3677157,3677157,4474232,4864862,-3250,-2645858,2215754,2215754,6689986,-304867,83821,-95115,-47934,-364095,-8355,-8355,318769,318769,-53681,-53681,-53681,-248223,4307670,-304512,0.77931,-0.63682,-0.5847,-0.13759,-0.04557,0.99884,0.23859,2.01928,0.6439,-0.00413,-0.00413,0.00707,0.03003,-0.00413,-0.04673,-0.04668,-17.31408,-12.94332
"3","2011_Q3",0.02046875,"Up",476369,-79862,396507,-501593,-424939,-76654,-105086,-85950,-96650,10700,-191036,-191036,0,-191036,-191036,-191036,-191036,277845.785134439,277845.785134439,76071.0242666175,51308.3377448192,51308.329501796,402890.808760038,6479430.13047925,12403.0531046302,3903.05309943947,8499.99999999875,6491833.18358389,6894723.99234392,304829.2457901,222263.580084781,667836.667288847,972676.579231537,3721294.30251136,3721294.30251136,4693970.8817429,4863469.30427452,-3250,-2659466.1936735,2200753.11060102,2200753.11060102,6894723.99234392,-191036,76654,0,30718,-83664,-19749,-19749,182770,182770,79357,79357,79357,-28432,0,-17463.0000000001,0.83235,-0.2206,-0.40103,0.207880841625256,0.0723868402633275,0.0914100000000002,0.422145543534951,2.12460554823419,0.63729640883497,-0.00259,-0.00259,0.00646,0.0298203159191784,-0.000240000000000001,0.0749552906790567,0.103015655860876,154.162541690134,24.218802196173
"4","2011_Q4",0.02,"Down",1221817,-177837,1043980,-728454,-650712,-77742,315526,-57329,-61314,3984.99999999999,258197,258197,8.88178419700125e-16,258197,258197,258197,258197,174962,174962,102656,30303,30303,307921,6388807,11530,3030,8500,6400337,6708258,248314,149980,607822,856136,3569207,3569207,4425343,4864862,-3250,-2578697,2282915,2282915,6708258,258197,77742,107742,1463,445144,-46046,-46046,-313411,-313411,85687,85687,85687,393268,4177029,348685,0.85445,0.25824,0.21132,0.1131,0.03849,1.35046,0.35966,1.93846,0.62267,0.0035,0.0035,0.01656,0.03094,0.00473,0.0399700000000001,0.05398,10.1764399999999,12.68379
"5","2012_Q2",0.0198412698412698,"Up",514950,-74041,440909,-567997,-490441,-77556,-127088,-53145,-57693,4548,-180233,-180233,0,-180233,-180233,-180233,-180233,41192,41192,127415,23899,23899,194616,6287614,10649,2149,8500,6298263,6492879,169582,55717,557130,726712,3459298,3459298,4186010,4866612,-3250,-2556493,2306869,2306869,6492879,-180233,77556,1750.00000000001,-116576,-217503,-10929,-10929,228527,228527,95.0000000000146,95.0000000000146,95.0000000000146,-49532,4016428,-177037,0.85622,-0.2468,-0.35,-0.07813,-0.02776,0.98227,0.2678,1.81459,0.61859,-0.00244,-0.00244,0.00697,0.03125,-0.0024,-0.0285,-0.028,-80.25592,-31.2794
"6","2012_Q3",0.0198412698412698,"Up",573603,-135565,438038,-489928,-418333,-71595,-51890.0000000001,-61913,-72998,11085,-113803,-113803,0,-113803,-113803,-113803,-113803,150039,150039,124415,16410,16410,290864,6243601,10215,1715,8500,6253816,6544680,224103,102342,732790,956893,3394721,3394721,4351614,4866612,-3250,-2670296,2193066,2193066,6544680,-113803,77554,0,67120,30871,-33107,-33107,222473,111083,108847,108847,108847,25664,4127511,59677,0.76366,-0.09046,-0.1984,-0.05189,-0.01739,-0.52439,0.30397,1.98426,0.63067,-0.00154,-0.00154,0.00776,0.02965,0.00081,-0.01801,0.00944000000000001,154.98254,-76.65199
"7","2012_Q4",0.0251612903225806,"Up",1378702,-168020,1210682,-766636,-689079,-77557,444046,-236247,-71043,-165204,207799,207799,0,207799,207799,207799,207799,80464,80464,121415,15924,15924,217803,6239655,9780,1280,8500,6249435,6467238,299312,193518,1825736,2125048,1768851,1768851,3893899,4866612,-3250,-2290023,2573339,2573339,6467238,380273,77557,-3.63797880709171e-12,78695,536525,-73176,-73176,-644314,-532924,-69575,-69575,-69575,521603,3594587,527122,0.87813,0.32208,0.15072,0.08075,0.03213,2.53669,0.10249,1.51317,0.55581,0.00281,0.00281,0.01864,0.0348,0.00713,0.03369,0.08546,6.73716,7.91387
"8","2013_Q1",0.035,"Up",1223087,-153724,1069363,-789625,-707841,-81784,279738,102351,-72296,174647,382089,382089,-1.13686837721616e-13,382089,382089,382089,382089,147962,147962,147792,44808,44808,340562,6196845,13597,5097,8500,6210442,6551004,248612,134758,1773935,2022547,1745503,1745503,3768050,4866612,-3250,-2080408,2782954,2782954,6551004,209615,83820,-7995,-105961,179479,-32580,-32580,-75151,-79401,67498,67498,67498,363558,3519438,225017,0.87431,0.22871,0.3124,0.1373,0.05833,0.58891,0.16838,1.35397,0.53724,0.00517,0.00517,0.01654,0.03763,0.00304,0.06063,0.0357,9.27356000000003,12.05226
"9","2013_Q2",0.03625,"Up",577425,-77506,499919,-663676,-601014,-62662,-163757,-48678,-54847,6169,-212435,-212435,0,-212435,-212435,-212435,-212435,111974,111974,147701,44859,44859,304534,6164319,39948,31448,8500,6204267,6508801,167427,104811,2058190,2225617,1711165,1711165,3936782,4868112,-3250,-2292843,2572019,2572019,6508801,-212435,73822,-9660,-79645,-227918,-31425,-31425,249917,223355,-35988,-35988,-35988,-89935,3769355,-201005,0.86577,-0.2836,-0.3679,-0.08259,-0.03264,0.9462,0.13683,1.53062,0.57912,-0.00287,-0.00287,0.00779,0.03471,-0.00271,-0.0335,-0.0317,-40.66694,-22.3342
"10","2013_Q3",0.02890625,"Down",547083,-108821,438262,-612849,-547060,-65789,-174587,-72534,-70736,-1797.99999999997,-247121,-143801,-1.81898940354586e-12,-143801,-143801,-143801,-143801,159449,159449,145701,43842,43842,348992,6243661,193814,185314,8500,6437475,6786467,203287,81460,604874,808161,3550088,3550088,4358249,4868112,-3250,-2436644,2428218,2428218,6786467,-143801,65789,-103320,37377,-143955,-141384,-141384,3905045,332814,47475,47475,47475,-108798,4154962,-212805,0.80109,-0.31912,-0.26285,-0.05922,-0.02119,1.47986,0.43183,1.79483,0.61224,-0.00194,-0.00194,0.00738,0.03277,-0.00287,-0.02184,-0.03233,-36.72414,-22.88551
