"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",6.70421875,"Down",6654000,-1772000,4882000,-4765000,-3729000,-1036000,117000,-180000,-535000,355000,-63000,1276000,1213000,0,1213000,1213000,1213000,1213000,39048000,39048000,1749000,1749000,496000,718000,718000,42011000,2049000,18802000,6650000,12005000,147000,20851000,62862000,4647000,1036000,3611000,11118000,3775000,2771000,10705000,21823000,200409000,-159370000,41039000,41039000,62862000,1213000,132000,-1061000,-3945000,-3661000,-169000,-169000,-199000,-1403000,39246000,39246000,35036000,31176000,31176000,31176000,249000,12728000,-3865000,0.73369,0.01758,0.1823,0.02956,0.0193,-3.18631,3.77865,0.53176,0.20248,0.13072,0.10812,0.71705,4.42247,-0.4165,0.02108,-0.06717,-105.70281,-224.95726
"2","2015_Q1",6.59409836065574,"Down",7952000,-2204000,5748000,-5282000,-3984000,-1298000,466000,-659000,-389000,-270000,-193000,188000,-4999.99999999977,0,-4999.99999999977,-4999.99999999977,-5000,-5000,36431000,36431000,2687000,2687000,686000,542000,542000,40346000,1968000,18827000,6650000,12005000,172000,20795000,61141000,4669000,1128000,3541000,11135000,3257000,2786000,8708000,19843000,200673000,-159375000,41298000,41298000,61141000,-4999.99999999977,158000,-472000,-403000,-722000,-4e+05,-4e+05,-594000,-1298000,13999.9999999925,13999.9999999925,-1301000,-2617000,-2617000,-2617000,624000,11412000,-179000,0.72284,0.0586,-0.000629999999999992,-0.000119999999999999,-8.00000000000002e-05,35.8,3.62335,0.48048,0.18665,-0.000420000000000004,-0.00028000000000003,0.66494,3.45331,-0.0149699999999999,-8.99999999999998e-05,-0.00319999999999999,-40.09455,-53.68884
"3","2015_Q2",5.43142857142857,"Down",7216000,-2711000,4505000,-6149000,-4728000,-1421000,-1644000,-881000,-827000,-54000,-2525000,253000,-2272000,2363.32926657936,-2272000,-2272000,-2272000,-2272000,38985000,38985000,1794000,1794000,775000,747000,747000,42301000,2174000,18802000,6650000,12005000,147000,20976000,63277000,4731000,1371000,3360000,6275000,2926000,2468000,17535000,23810000,201116000,-161649000,39467000,39467000,63277000,-2272000,165000,405000,688000,-1014000,-364000,-364000,-364000,3921000,11000,11000,3932000,2554000,2554000,2554000,-1479000,15665000,-606864.684013926,0.62431,-0.22783,-0.31486,-0.05757,-0.03591,22.360998392894,6.7412,0.60329,0.24756,-0.19231,-0.19231,0.61078,3.34057,-0.0383326481595336,-0.03913,-0.0101708164125142,15.76741,14.18491
"4","2015_Q3",6.60921875,"Up",7128000,-2507000,4621000,-7365000,-4855000,-2510000,-2744000,-299000,-256000,-43000,-3043000,-142000,-3185000,-9.09494701772928e-13,-3185000,-3185000,-3185000,-3185000,36894000,36894000,1706000,1706000,731000,674000,674000,40005000,2559000,18802000,6650000,12005000,147000,21361000,61366000,5362000,1203000,4159000,8242000,2962000,2545000,16351000,24593000,201607000,-164834000,36773000,36773000,61366000,-3185000,193000,567000,692000,-1733000,-369000,-369000,-369000,-20000.0000000009,31000.0000000005,31000.0000000005,11000.0000000009,-2091000,-2091000,-2091000,-2551000,15769000,-2228000,0.64829,-0.38496,-0.44683,-0.08661,-0.0519,0.699530000000003,4.8538,0.66878,0.25697,-0.26911,-0.26911,0.60226,3.10703,-0.18825,-0.05738,-0.04014,8.28107,7.69862
"5","2015_Q4",5.44390625,"Down",7152000,-2568000,4584000,-8121000,-5423000,-2698000,-3537000,-296000,-251000,-45000,-3833000,345000,-3488000,0,-3488000,-3488000,-3488000,-3488000,33954000,33954000,2241000,2241000,814000,960000,960000,37969000,2571000,18802000,6650000,12005000,147000,21373000,59342000,6724000,1949000,4775000,10454000,2860000,2136000,14985000,25439000,202225000,-168322000,33903000,33903000,59342000,-3488000,217000,-311000,553000,-3029000,-390000,-390000,-390000,273000,206000,206000,479000,-2940000,-2940000,-2940000,-3320000,15719000,-3157000,0.64094,-0.49455,-0.4877,-0.10288,-0.05878,0.9051,3.63201,0.75035,0.26489,-0.29335,-0.29335,0.60151,2.85137,-0.26552,-0.06646,-0.06015,5.49247,5.1555
"6","2016_Q1",5.11770491803279,"Down",6648000,-2487000,4161000,-8294000,-5590000,-2704000,-4133000,-299000,-253000,-46000,-4432000,-330000,-4762000,0,-4762000,-4762000,-4762000,-4762000,29888000,29888000,2367000,2367000,766000,1341000,1341000,34362000,2425000,18851000,6650000,12005000,196000,21276000,55638000,7144000,1644000,5500000,10152000,3105000,2402000,15992000,26144000,202578000,-173084000,29494000,29494000,55638000,-4762000,221000,669000,-104000,-3976000,-76000,-76000,-75999.9999999998,-15000,1000,1000,-14000.0000000005,-4066000,-4066000,-4066000,-3912000,15753000,-4092000,0.6259,-0.62169,-0.71631,-0.16146,-0.08559,0.8593,3.38475,0.88642,0.28313,-0.40005,-0.40005,0.55849,2.47774,-0.34376,-0.09849,-0.08463,3.61324,3.42003
"7","2016_Q2",4.63703125,"Down",6562000,-2772000,3790000,-10572000,-7413000,-3159000,-6782000,-3183000,-266000,-2917000,-9965000,213000,-9752000,0,-9752000,-9752000,-9752000,-9752000,23752000,23752000,2512000,2512000,595000,807000,807000,27666000,2346000,18822000,6650000,12005000,167000,21168000,48834000,9675000,2536000,7139000,14231000,2775000,2082000,14143000,28374000,203296000,-182836000,20460000,20460000,48834000,-9752000,261000,258000,3041000,-6192000,-109000,-109000,-109000,-16000,181000,181000,165000,-6136000,-6136000,-6136000,-6521000,15787000,-3589000,0.57757,-1.03353,-1.48613,-0.47664,-0.1997,0.36803,1.94407,1.3868,0.32328,-0.81472,-0.81472,0.54822,1.70931,-0.29984,-0.24991,-0.09197,1.22144,1.17443
"8","2016_Q3",4.58921875,"Down",10735000,-5908000,4827000,-11893000,-8750000,-3143000,-7066000,-800000.000000001,-517000,-283000,-7866000,-3068000,-10934000,440000,-10494000,-10494000,-10471000,-10471000,17144000,17144000,4887000,4887000,8651000,1779000,1779000,32461000,3413000,64579000,36344000,28072000,163000,67992000,100453000,14239000,3339000,10900000,32439000,25432000,16954000,35504000,67943000,226612000,-193305000,31899000,32510000,100453000,-10494000,836000,4659000,-1068000,-6067000,-167000,-167000,-20734000,-412000,20622000,20622000,20210000,-6591000,-6591000,-6608000,-6230000,28207000,-7905000,0.44965,-0.65822,-0.97541,-0.32209,-0.10424,0.75494,1.00068,2.08991,0.2808,-0.77174,-0.77174,0.79119,2.35103,-0.58262,-0.12155,-0.09176,-1.77576,-1.56567
"9","2016_Q4",3.46412698412698,"Down",12474000,-5959000,6515000,-11560000,-8631000,-2929000,-5045000,-702000,-568000,-134000,-5747000,1498000,-4249000,448000,-3801000,-3801000,-3766000,-3766000,22265000,22265000,4568000,4568000,7444000,846000,846000,35123000,3305000,63664000,35444000,28047000,173000,66969000,102092000,15703000,3464000,12239000,33663000,23153000,15513000,31649000,65312000,235108000,-197071000,36206000,36780000,102092000,-3801000,1098000,1e+06,5e+05,-1203000,-351000,-351000,-351000,-1742000,8428000,8428000,6686000,5132000,5132000,5121000,-3947000,26398000,-4246000,0.52229,-0.40444,-0.30191,-0.10239,-0.03689,1.12746,1.04337,1.77575,0.25857,-0.19719,-0.19331,0.65314,1.89574,-0.22232,-0.04362,-0.04918,-1.04712,-0.81923
"10","2017_Q1",2.22870967741935,"Down",10860000,-6483000,4377000,-10251000,-7097000,-3154000,-5874000,905000,-509000,1414000,-4969000,-11458000,-16427000,718000,-15709000,-15709000,-15480000,-15480000,17258000,17258000,2768000,2768000,5461000,1186000,1186000,26673000,2931000,47126000,33124000,13839000,163000,50057000,76730000,12499000,3065000,9434000,35387000,20484000,13668000,21582000,56969000,235694000,-212553000,19482000,19761000,76730000,-15709000,725000,12925000,-1002000,-3061000,78000,78000,73000,-1774000,-360000,-360000,-2134000,-5122000,-5122000,-5011000,-5149000,23944000,-6791000,0.40304,-0.54088,-1.42541,-0.783359999999999,-0.20175,0.4387,0.75375,2.8829,0.31206,-0.72502,-0.73825,0.50864,0.91246,-0.31806,-0.24116,-0.1058,-1.2985,-1.13824
