"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.1587301587302,"Up",81017000,-80493000,524000,-6501000,-6501000,-5977000,-233000,-233000,-6210000,-6210000,4866000,-1344000,-1344000,-1344000,-1344000,42905000,29205000,11963000,11963000,51079000,32006000,3351000,137953000,26826000,38821000,38821000,85453000,223406000,26343000,14308000,11722000,8238000,8238000,43681000,13683000,13683000,19372000,63053000,55387000,-380419000,409084000,76301000,160353000,160353000,223406000,-1344000,1684000,150000,-6347000,-5857000,-465000,-464000,-929000,-234000,-249000,-341000,-575000,-7361000,-7361000,-7361000,-4293000,14789000,-15971000,0.00647,-0.07377,-0.01659,-0.00838,-0.00602,11.88318,3.15819,0.39321,0.0662,-0.04623,-0.04621,2.78667,5.51553,-0.54934,3,-0.00712,-0.08458,6.54927,4.70403
"2","2010_Q3",8.7815625,"Down",110529000,-105745000,4784000,-6642000,-6642000,-1858000,364000,364000,-1494000,-1494000,2200000,706000,706000,706000,706000,50609000,41609000,20344000,20344000,59824000,9918000,2844000,140695000,25646000,38887000,38887000,84281000,224976000,30639000,17110000,13298000,9233000,9233000,46192000,13081000,13081000,17936000,64128000,55405000,-380227000,409790000,75880000,160848000,160848000,224976000,706000,1612000,275000,8166000,10759000,-432000,22000.0000000001,4290000,79000,0,56000.0000000001,-2645000,12404000,12404000,12404000,-246000,11175000,5288000,0.04328,-0.01681,0.00639,0.00439,0.00314,7.49008,3.04587,0.39869,0.04967,0.02428,0.02427,3.80086,5.53122,0.18184,6,0.00381,0.02857,160.30081,21.2239
"3","2010_Q4",10.34609375,"Up",134813000,-125058000,9755000,-6351000,-6351000,3404000,158000,158000,3562000,3562000,2430000,5992000,5992000,5992000,5992000,77446000,76296000,10105000,10105000,39134000,11561000,3898000,138246000,24536000,38256000,38256000,82064000,220310000,28675000,15334000,13261000,8918000,8918000,38203000,11056000,11056000,15699000,53902000,55368000,-379827000,415782000,75085000,166408000,166408000,220310000,5992000,1554000,-73000,24436000,31909000,-512000,569000,8257000,186000,0,45000,-5479000,34687000,34687000,34687000,4958000,5253000,26452000,0.07236,0.02525,0.04445,0.03601,0.0272,4.41455,3.61872,0.32391,0.02384,0.20592,0.20586,4.63307,5.71888,0.90907,7,0.03279,0.14477,-14.56091,-21.20828
"4","2011_Q1",13.233064516129,"Up",123125000,-111921000,11204000,-6253000,-6253000,4951000,-67000,-67000,4884000,4884000,9000,4893000,4893000,4893000,4893000,74691000,74691000,18798000,18798000,43526000,4702000,4570000,141717000,25677000,42178000,42178000,85640000,227357000,31715000,19725000,11891000,13860000,13860000,45575000,84255000,10674000,84255000,129830000,55352000,-379742000,420675000,1242000,97527000,97527000,227357000,4893000,1490000,-1580000,-8575000,-3772000,-369000,135000,2716000,-1000,-1000.00000000001,62000,-549000.000000001,-1605000,-1605000,-1605000,6441000,0,-2512000,0.091,0.04021,0.03974,0.05017,0.02152,-0.51339,3.10953,1.33122,0,0.16807,0.16803,4.22921,3.34995,-0.08628,5,0.02692,-0.01382,-11.59618,-15.08604
"5","2011_Q2",10.2838095238095,"Down",123711000,-112512000,11199000,-6918000,-6918000,4281000,152000,152000,4433000,5077000,-1291000,3786000,3786000,3786000,3786000,86415000,81165000,16508000,16508000,45173000,5930000,4597000,154026000,24949000,39350000,39350000,75445000,229471000,30476000,17035000,12140000,9223000,9223000,39699000,9848000,9848000,14347000,54046000,55178000,-379761000,424461000,75547000,175425000,175425000,229471000,3786000,1430000,-236000,-2807000,2173000,3102000,24000,4326000,-89000,-89000,64000,-25000,6474000,6474000,6474000,5711000,4499000,7297000,0.09053,0.0346,0.0306,0.02158,0.0165,1.92736,3.87985,0.30809,0.01961,0.13005,0.13004,4.24948,6.02587,0.25065,7,0.01995,0.03845,-14.34355,-19.13478
"6","2011_Q3",6.90828125,"Down",106593000,-95269000,11324000,-7274000,-7274000,4050000,322000,322000,4372000,4372000,-1057000,3315000,3315000,3315000,3315000,62787000,62787000,20870000,20870000,71655000,6161000,4828000,161473000,24427000,42119000,40132000,77437000,238910000,35569000,20932000,13690000,13888000,13888000,49457000,10284000,10284000,10284000,59741000,55128000,-379574000,427776000,75839000,179169000,179169000,238910000,3315000,1415000,394000,-23779000,-18655000,-588000,174000,142000,75000,0,60000,135000,-18378000,-18378000,-18378000,5465000,0,-17845000,0.10624,0.03799,0.0311,0.0185,0.01388,-5.38311,3.26492,0.33343,3.46944695195361e-18,0.11385,0.11384,3.66073,6.1532,-0.61285,6,0.0175,-0.09419,-11.48893,-15.50296
"7","2011_Q4",6.44730158730159,"Down",135568000,-126865000,8703000,-7560000,-7560000,1143000,76000,76000,1219000,614000,581000,1195000,1195000,1195000,1195000,65480000,65230000,17408000,17408000,76346000,5278000,4298000,164512000,23365000,42225000,40258000,76501000,241013000,35594000,22563000,12965000,14017000,14017000,49611000,10373000,10373000,10373000,59984000,55935000,-379495000,428971000,75618000,181029000,181029000,241013000,1195000,1348000,1754000,-1878000,2419000,-95000,51000,-44000,8000,0,60000,68000,2443000,2443000,2443000,2491000,0,-63000,0.0642,0.00843,0.00881,0.0066,0.00496,-0.05272,3.31604,0.33135,0,0.04103,0.04097,4.65486,6.2158,-0.00216,5,0.00624,-0.00033,-26.28663,-57.28784
"8","2012_Q1",8.20258064516129,"Up",130546000,-122018000,8528000,-6762000,-6762000,1766000,108000,108000,1874000,1874000,1673000,3547000,3547000,3547000,3547000,69307000,69307000,19981000,19981000,69165000,6401000,4227000,164854000,22589000,41857000,39909000,75073000,239927000,33729000,21610000,12015000,17589000,17589000,51318000,79879000,5387000,79879000,131197000,56019000,-379353000,432518000,-454000,108730000,108730000,239927000,3547000,1299000,366000,-1268000,3944000,-385000,-504000,-189000,1.45519152283669e-11,0,322000,322000,4077000,4077000,4077000,3065000,0,-261000,0.06533,0.01353,0.02717,0.03262,0.01478,-0.073579999999999,3.2124,1.20663,0,0.12176,0.12153,4.4815,3.73258,-0.00896000000000003,5,0.01881,-0.00138,-22.6124,-39.24519
"9","2012_Q2",8.29111111111111,"Up",131837000,-123341000,8496000,-7869000,-7869000,627000,257000,257000,884000,884000,151000,1035000,1035000,1035000,1035000,71549000,71299000,14670000,14670000,65190000,7529000,5003000,158938000,21930000,41016000,39088000,72699000,231637000,26542000,15580000,10847000,16420000,16420000,42962000,79287000,5213000,79287000,122249000,56061000,-379218000,433553000,-1008000,109388000,109388000,231637000,1035000,1311000,-591000,-595000,1160000,-456000,755000,799000,0,0,33000,33000,1992000,1992000,1992000,1938000,0,736000,0.06444,0.00476,0.00785,0.00946,0.00447,0.71111,3.6995,1.11757,0,0.03552,0.03543,4.52457,3.75414,0.02526,5,0.00549,0.0039,-36.91899,-114.11324
"10","2012_Q3",9.97507936507936,"Up",131600000,-124754000,6846000,-8010000,-8010000,-1164000,-110000,-110000,-1274000,-1274000,362000,-912000,-912000,-912000,-912000,80800000,80800000,18528000,18528000,60183000,8109000,5146000,167620000,21184000,40610000,38701000,71697000,239317000,35073000,21697000,13245000,16868000,16868000,51941000,74483000,5034000,74483000,126424000,55091000,-377972000,432641000,3133000,112893000,112893000,239317000,-912000,1279000,1485000,8386000,10238000,-705000,-47000.0000000002,-502000,-235000,-235000,0,-235000,9501000,9501000,9501000,115000,0,7434000,0.05202,-0.00884,-0.00693,-0.00808,-0.00381,-8.15132,3.22712,1.11986,0,-0.03128,-0.03118,4.51427,3.87256,0.25501,3,-0.00487,0.03967,-702.6087,69.41581
