"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",15.7590322580645,"Up",85810000,-51589000,34221000,-26112000,-6709000,-19403000,8109000,-29998000,-10411000,-19244000,-343000,-21889000,-35585000,-57474000,-57757000,-57757000,-57757000,-57757000,92001000,92001000,1338000,77570000,5350000,72220000,170909000,1100050000,1100050000,391562000,358681000,32881000,1491612000,1662521000,38920000,38920000,6183000,45103000,433468000,4438000,4438000,437906000,483009000,1306236000,-74457000,-52267000,1179512000,1179512000,1662521000,-57757000,19403000,66120000,-29980000,-2214000,-2232000,-2232000,-2232000,0,-23387000,-1545000,0,-1545000,-27146000,-27146000,-27146000,27512000,439651000,0.3988,0.0945,-0.67308,-0.04897,-0.03474,3.7893,0.4095,0.26445,-1.98071,-1.98071,2.94275,40.44992,-0.03557,12.6363,42.87212
"2","2017_Q2",17.4846031746032,"Up",88750000,-49697000,39053000,-24890000,-6274000,-18616000,14163000,4643000,-9167000,13606000,203999.999999998,18806000,-735000,18071000,18067000,18067000,18067000,18067000,101067000,101067000,1391000,82303000,10998000,71305000,184761000,1085678000,1085678000,412890000,376237000,36653000,1498568000,1683329000,37626000,37626000,22883000,60509000,417017000,4590000,4590000,421607000,482116000,1306749000,-56390000,-49146000,1201213000,1201213000,1683329000,18067000,18616000,-10581000,-14829000,11273000,-422999.999999998,-422999.999999998,-422999.999999998,-73999.9999999998,-497000,-1546000,-164000,-1710000,9066000,9066000,9066000,32779000,439900000,0.44003,0.15958,0.20357,0.01504,0.01073,3.05345,0.40136,0.26133,0.61915,0.61883,3.04144,41.16527,0.01098,10.33689,23.92382
"3","2017_Q3",17.9112698412698,"Up",71957000,-49086000,22871000,-24195000,-5096000,-19099000,-1324000,-2056000,-9278000,13866000,-6644000,-3380000,-8235000,-11615000,-11619000,-11619000,-11619000,-11619000,121230000,121230000,1556000,75405000,8951000,66454000,198191000,1089782000,1089782000,413117000,372109000,41008000,1502899000,1701090000,29721000,29721000,22600000,52321000,452904000,4834000,4834000,457738000,510059000,1307727000,-68009000,-48687000,1191031000,1191031000,1701090000,-11619000,19099000,6259000,-11218000,2521000,-18534000,-18534000,-18534000,-30000,-10167000,27886000,-77000,27809000,20163000,20163000,20163000,17775000,475504000,0.31784,-0.0184,-0.16147,-0.00976,-0.00683,3.78798,0.42825,0.27953,-0.39799,-0.39726,2.46476,40.79667,-0.00695,19.93103,-267.57855
"4","2017_Q4",16.4455555555556,"Down",59968000,-50532000,9436000,-27044000,-6516000,-20528000,-17608000,1869000,-11232000,12796000,305000.000000002,-15739000,-6054000,-21793000,-21816000,-21816000,-21816000,-21816000,73390000,73390000,1659000,69527000,6155000,63372000,144576000,1161767000,1161767000,417982000,380718000,37264000,1579749000,1724325000,24495000,24495000,13750000,38245000,511948000,5046000,5046000,516994000,555239000,1305531000,-89825000,-46620000,1169086000,1169086000,1724325000,-21816000,20528000,160000,-1576000,-2704000,-92156000,-99818000,-99818000,-1776000,-90600000,48661000,-20000,45464000,-47840000,-47840000,-47840000,2920000,525698000,0.15735,-0.29362,-0.36379,-0.01866,-0.01265,3.78026,0.47493,0.30487,-0.74706,-0.74883,2.05352,40.03362,-0.01283,154.9,-25.68764
"5","2018_Q1",15.415737704918,"Down",69426000,-48726000,20700000,-27177000,-6567000,-20610000,-6477000,-2555000,-11570000,8698000,317000,-9032000,-81675000,-90707000,-90720000,-90720000,-90720000,-90720000,60027000,60027000,3270000,68495000,5881000,62598000,131792000,1104727000,1104727000,427965000,378894000,49071000,1532692000,1664484000,23172000,23172000,24063000,47235000,528874000,2721000,2721000,531595000,578830000,1306606000,-180545000,-40407000,1085654000,1085654000,1664484000,-90720000,20610000,82156000,-5741000,6305000,-44484000,-55166000,-55166000,1149000,-35534000,26533000,-88000,26445000,-2784000,-2784000,-2784000,14133000,552937000,0.29816,-0.09329,-1.30672,-0.08356,-0.0545,2.79013,0.53316,0.3322,-3.12175,-3.12175,2.38901,37.3583,-0.05527,34.87653,-76.10159
"6","2018_Q2",17.7609375,"Up",51978000,-48458000,3520000,-23653000,-6029000,-17624000,-20133000,-2602000,-11621000,8340000,679000,-22735000,-6573000,-29308000,-29316000,-29316000,-29316000,-29316000,53472000,53472000,3977000,63098000,9781000,53317000,120547000,1019049000,1019049000,472876000,384024000,88852000,1491925000,1612472000,24741000,24741000,20625000,45366000,500643000,2821000,2821000,503464000,548830000,1306869000,-209861000,-33366000,1063642000,1063642000,1612472000,-29316000,17624000,7300000.00000003,-62000.0000000019,-4454000,55393000,-2037000,-2037000,869000,58750000,-33438000,-278000,-33716000,20580000,20580000,20580000,-2509000,521268000,0.06772,-0.38734,-0.56401,-0.02756,-0.01818,2.65721,0.51599,0.32327,-1.00721,-1.00721,1.78581,36.54351,-0.01846,-186.44719,-23.23529
"7","2018_Q3",18.217619047619,"Up",56909000,-49148000,7761000,-22868000,-6064000,-16804000,-15107000,-9127000,-13086000,8822000,-4863000,-24234000,5438000,-18796000,-18796000,-18796000,-18796000,-18796000,115843000,115843000,4828000,83110000,8573000,72799000,203781000,1405577000,1405577000,337122000,275034000,62088000,1742699000,1946480000,53955000,53955000,48492000,102447000,789537000,3955000,3955000,793492000,895939000,1307645000,-228657000,-28447000,1050541000,1050541000,1946480000,-18796000,16804000,22353000,-5784000,14577000,-58134000,-127208000,-127208000,1097000,33617000,3592000,-119000,3473000,51667000,51667000,51667000,1697000,838029000,0.13638,-0.26546,-0.33028,-0.01789,-0.00966,1.98914,0.85284,0.43054,-0.64524,-0.64524,1.9536,36.06344,-0.00993,425.56629,-47.80473
"8","2018_Q4",16.9309523809524,"Down",60926000,-54845000,6081000,-24751000,-5434000,-19317000,-18670000,-11762000,-17320000,5338000,220000,-30432000,-17351000,-47783000,-47786000,-47786000,-47786000,-47786000,91547000,91547000,3941000,85331000,5641000,79071000,180819000,1354359000,1354359000,351528000,275420000,76108000,1705887000,1886706000,46081000,46081000,57680000,104531000,770305000,3822000,3822000,774127000,878658000,1308310000,-276443000,-23819000,1008048000,1008048000,1886706000,-47786000,19317000,20235000,-41999.9999999963,-8276000,79000,-6302999.99999997,-6302999.99999997,925000,3849000,-14553000,-13000,-14566000,-18993000,-18993000,-18993000,647000.000000002,827985000,0.0998099999999999,-0.30644,-0.78433,-0.0474,-0.02533,1.72981,0.87164,0.43885,-1.63905,-1.63905,2.08974,34.57576,-0.02597,1138.23493,-39.44499
"9","2019_Q1",15.495737704918,"Down",100548000,-9813000,90735000,-70370000,-6777000,-18683000,20365000,-11023000,-18204000,6932000,249000,9342000,-2500000,6842000,6958000,6958000,6958000,6958000,58313000,58313000,3066000,106241000,5912000,99869000,167620000,1330795000,1330795000,350186000,268322000,81864000,1680981000,1848601000,23008000,23008000,51555000,75270000,759112000,4364000,4364000,763476000,838746000,1309269000,-269485000,-29929000,1009855000,1009855000,1848601000,6958000,18683000,-2270000,-37698000,-14327000,21912000,-14494000,-14494000,788000,27493000,-19160000,-222000,-19382000,-6216000,-6216000,-6216000,39048000,810667000,0.9024,0.20254,0.0692,0.00689,0.00376,2.22692,0.83056,0.43853,0.23865,0.23865,3.44871,34.63718,0.00381,19.26741,36.94348
"10","2019_Q2",16.2352380952381,"Up",101874000,-55568000,46306000,-2.7e+07,-6773000,-18929000,19306000,-8427000,-17533000,8070000,1036000,10879000,18000,10897000,10897000,10897000,10897000,10897000,79537000,79537000,4122000,108849000,9008000,99690000,192508000,1320642000,1320642000,377920000,267518000,110402000,1698562000,1891070000,33234000,33234000,57680000,100450000,767467000,5166000,5166000,772633000,873083000,1309881000,-258588000,-33306000,1017987000,1017987000,1891070000,10897000,18929000,-3333000,-2502000.00000001,23991000,-3252000,-3170000.00000001,-3170000.00000001,478000,2675999.99999999,-6764000,-392000,-7156000,19511000,19511000,19511000,38235000,825147000,0.45454,0.18951,0.10697,0.0107,0.00576,1.91646,0.85766,0.43634,0.37342,0.37289,3.49108,34.88499,0.0059,19.50072,38.62064
