"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2016_Q2",1.46796875,"Up",-8434000,-4255000,-4179000,-8434000,140000,140000,-8294000,-8294000,-8294000,-8294000,-8294000,-8294000,99535000,15147000,1002000,1002000,100537000,1865000,162000,162000,2027000,102564000,6124000,2595000,3529000,6124000,472000,472000,472000,6596000,303010000,-207177000,95968000,95968000,102564000,-8294000,183000,1694000,-4405000,-10822000,1104000,1104000,-5000,-9723000,-9723000,-9723000,-8251000,0,-0.08642,-0.08087,16.41688,0.06873,0,-0.22431,-0.22431,2.59548,-0.086,12.06339,11.80164
"18","2016_Q3",1.3421875,"Down",-8709000,-4217000,-4492000,-8709000,140000,140000,-8569000,-8569000,-8569000,-8569000,-8569000,-8569000,92866000,39564000,667000,667000,93533000,1728000,162000,162000,1890000,95423000,5925000,2149000,3776000,5925000,430000,430000,430000,6355000,304737000,-215746000,89068000,89068000,95423000,-8569000,176000,1647000,55000,-6691000,31108000,31108000,0,24417000,24417000,24417000,-8533000,0,-0.09621,-0.0898,15.78616,0.07135,1.0842021724855e-19,-0.23165,-0.23165,2.40783,-0.09575,10.88316,10.66322
"19","2016_Q4",1.24015873015873,"Down",-8059000,-3843000,-4216000,-8059000,137000,137000,-7922000,-7922000,-7922000,-7922000,-7922000,-7922000,86882000,37274000,431000,431000,87313000,1569000,162000,162000,1731000,89044000,6220000,1962000,4258000,6220000,388000,388000,388000,6608000,306044000,-223668000,82436000,82436000,89044000,-7922000,159000,1257000,487000,-6019000,3727000,3729000,0,-2290000,-2290000,-2290000,-7900000,0,-0.0961,-0.08897,14.03746,0.08016,0,-0.21415,-0.21415,2.22848,-0.09565,10.99772,10.78074
"20","2017_Q1",1.32322580645161,"Up",-11800000,-4908000,-6892000,-11800000,145000,145000,-11655000,-11655000,-11655000,-11655000,-11655000,-11655000,80897000,32349000,398000,398000,81295000,1417000,917000,917000,2334000,83629000,10991000,4095000,6896000,10991000,341000,341000,341000,11332000,307591000,-235323000,72297000,72297000,83629000,-11655000,152000,1549000,4002000,-5952000,1027000,1027000,1.16415321826935e-10,-4925000,-4925000,-4925000,-11648000,0,-0.16121,-0.13937,7.39651,0.15674,8.67361737988404e-19,-0.31505,-0.31505,1.95429,-0.16045,6.94514,6.85568
"21","2017_Q2",2.11936507936508,"Up",-13148000,-4763000,-8385000,-13148000,143000,143000,-13005000,-13005000,-13005000,-13005000,-13005000,-13005000,72571000,28179000,1434000,1434000,74005000,1271000,973000,973000,2244000,76249000,13233000,8809000,4424000,13233000,295000,295000,2544000,15777000,308805000,-248345000,60472000,60472000,76249000,-13005000,146000,1243000,964000,-10652000,4096000,4096000,2386000,-4170000,-4170000,-4170000,-13002000,2249000,-0.21506,-0.17056,5.59246,0.2609,0.0295,-0.35156,-0.35156,1.63473,-0.20638,5.40855,5.34849
"22","2017_Q3",3.93190476190476,"Up",-13467000,-4425000,-9042000,-13467000,31000,31000,-13436000,-13436000,-13436000,-13436000,-13436000,-13436000,57918000,27583000,1835000,1835000,59753000,1127000,959000,959000,2086000,61839000,11066000,6825000,4241000,11066000,248000,248000,2541000,13607000,310018000,-261781000,48232000,48232000,61839000,-13436000,144000,1272000,-2461000,-14481000,14023000,14023000,-138000,-596000.000000001,-596000.000000001,-596000.000000001,-13323000,2293000,-0.27857,-0.21727,5.39969,0.28212,0.03708,-0.36321,-0.36321,1.30385,-0.26463,4.17511,4.13047
"23","2017_Q4",3.76301587301587,"Down",-23137000,-5394000,-17743000,-23137000,11000,11000,-23126000,-23126000,-23126000,-23126000,-23126000,-23126000,60264000,51270000,940000,940000,61204000,989000,946000,946000,1935000,63139000,19618000,7363000,12255000,19618000,201000,201000,2536000,22154000,325890000,-284907000,40985000,40985000,63139000,-23126000,138000,1725000,9413000,-11850000,21325000,21325000,14212000,23687000,23687000,23687000,-22999000,2335000,-0.56426,-0.36627,3.11979,0.54054,0.03698,-0.61445,-0.61445,1.08896,-0.53138,2.51876,2.50374
"24","2018_Q1",3.22819672131148,"Down",-18052000,-6799000,-11253000,-18052000,-183000,-183000,-18235000,-18235000,-18235000,-18235000,-18235000,-18235000,86672000,82176000,1115000,1115000,87787000,861000,1143000,1143000,2004000,89791000,17128000,9186000,7942000,17128000,151000,151000,14979000,32107000,360828000,-303142000,57684000,57684000,89791000,-18235000,128000,1016000,-3236000,-20327000,4509000,4509000,46724000,30906000,30906000,30906000,-17924000,14828000,-0.31612,-0.20308,5.12535,0.5566,0.16514,-0.43348,-0.43348,1.37124,-0.25095,4.00826,3.97984
"25","2018_Q2",5.10140625,"Up",-20761000,-9827000,-10934000,-20761000,-289000,-289000,-21050000,-21050000,-21050000,-21050000,-21050000,-21050000,64215000,64215000,1815000,1815000,66030000,1003000,1378000,1378000,2381000,68411000,14845000,7267000,7578000,14845000,101000,101000,15014000,29859000,362744000,-324192000,38552000,38552000,68411000,-21050000,125000,1378000,-2907000,-22454000,4500000,4435000,299000,-17720000,-17720000,-17720000,-20636000,14913000,-0.54602,-0.3077,4.44796,0.77451,0.21799,-0.41408,-0.41408,0.75838,-0.39297,2.38913,2.37474
"26","2018_Q3",8.28571428571429,"Up",-28194000,-15813000,-12381000,-18194000,-173000,-173000,-18367000,-18367000,-18367000,-18367000,-18367000,-18367000,168692000,168692000,1745000,1745000,170437000,1270000,1211000,1211000,2481000,172918000,20748000,8514000,12234000,22132000,399000,399000,23919000,46051000,469422000,-342559000,126867000,126867000,172918000,-18367000,667000,1588000,5799000,-10313000,0,-529999.999999998,115320000,104477000,104477000,104477000,-17527000,24904000,-0.14477,-0.10622,7.70093,0.36299,0.14402,-0.29956,-0.29956,2.06917,-0.1207,8.2038,7.90304
