"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",26.999375,"Up",5237000,-1469000,3768000,-4581000,-3110000,-1471000,-813000,62000,-751000,-1309000,-151000,-1460000,-1460000,-1460000,-1460000,43092405.7141276,-2208217.1069409,45300622.8210685,6283200.01793023,6283200.01793023,2622201.87301257,2622201.87301257,51997807.6050704,1708678.56623278,1237865.09697514,2365035.6646194,475073.516738528,12958345.8144012,64956153.4194716,3214648.02475804,3105422.55765253,1119498.31541833,1119498.31541833,4334146.34017637,468117.222044197,468117.222044197,468117.222044197,4802263.56222057,50000,63442432.6832073,-3338542.82595626,60153889.8572511,60153889.8572511,64956153.4194716,-1460000,157000,1340000,-66000,-29000,-384000,564000,-520000,-15000,-15000,-15000,-564000,-564000,-564000,-656000,0,-955000,0.7195,-0.15524,-0.27879,-0.238014771274789,-0.214959487841457,0.65411,12.4607081391431,0.0761713291972512,-1.57944224668679e-21,-0.20572,-0.18998,0.73792,7.61149724337706,-0.13456,-0.235219909359959,0.240786877221202,-23.5087909325983,-27.6626193283841
"2","2011_Q1",27.928064516129,"Up",10473000,-1834000,8639000,-5490000,-3854000,-1636000,3149000,61000,3210000,2606000,148000,2754000,2754000,2754000,2754000,34781000,6340000,28441000,3481000,3481000,1345000,1345000,39607000,1330000,3665000,2174000,462000,16158000,55765000,1519000,1519000,2562000,2562000,4081000,525000,525000,525000,4606000,50000,49616000,1493000,51159000,51159000,55765000,2754000,160000,1385000,286000,4585000,-648000,-1411000,-2759000,-5784000,-5784000,-2747000,-921000,-921000,-921000,3309000,0,2799000,0.82488,0.30068,0.26296,0.05383,0.04939,1.01634,9.70522,0.09003,0,0.38309,0.34421,1.45681,7.10933,0.38934,0.05329,0.05416,-10.51103,-11.04509
"3","2011_Q2",27.352380952381,"Down",9091000,-1649000,7442000,-6025000,-4250000,-1775000,1417000,58000,1475000,938000,1800306.72558856,938000,938000,938000,938000,29969364.7619575,7377322.3689803,22592042.3929772,2606849.99402326,2606849.99402326,1038516.04232914,1038516.04232914,33614730.7983099,1271523.81125574,5376461.63434162,2232321.44512687,462392.161087157,15604551.3951996,49219282.1935095,1168033.99174732,1204442.48078249,2663667.22819389,2663667.22819389,3831701.21994121,531377.592651934,531377.592651934,531377.592651934,4363078.81259314,50000,40408689.1055976,4397514.27531875,44856203.3809163,44856203.3809163,49219282.1935095,938000,179000,1523000,1223000,3863000,-294000,13919000,12925000,-15705000,-15705000,-15705000,1083000,1083000,1083000,1596000,0,1044031.32757713,0.81861,0.15587,0.10318,0.130912423758263,0.119034829280486,0.350899528179025,8.70214312028563,0.0977628902675829,5.26480748895597e-22,0.13666,0.12498,1.32445,6.57379758554098,0.137826201608107,0.129477469786653,-0.0195922924070673,-7.95803052246723,-7.84692189053863
"4","2011_Q3",33.469375,"Up",9473000,-1690000,7783000,-5437000,-3553000,-1884000,2346000,48000,2394000,1696000,1930000,3626000,3626000,3626000,3626000,27713000,4710000,23003000,2846000,2846000,1252000,1252000,31811000,1378000,6366000,2439000,458000,13700000,45511000,1532000,1532000,2154000,2154000,3686000,508000,508000,508000,4194000,50000,35210000,6057000,41317000,41317000,45511000,3626000,184000,-740000,-745000,2325000,-356000,-3274000,-4330000,-1942000,-1942000,-708000,-2713000,-2713000,-2713000,2530000,0,-501000,0.8216,0.24765,0.38277,0.08776,0.07967,-0.13817,8.63022,0.10151,0,0.54152,0.50048,1.41473,6.16293,-0.0748200000000002,0.08669,-0.01198,-10.95375,-11.81287
"5","2011_Q4",24.7826984126984,"Down",8550000,-1742000,6808000,-5383000,-3425000,-1958000,1425000,43000,1468000,773000,-134000,639000,639000,639000,639000,26533000,2119000,24414000,3420000,3420000,1486000,1486000,31439000,1468000,6649000,2661000,428000,12800000,44239000,1631000,1631000,1928000,1928000,3559000,479000,479000,479000,4038000,50000,33455000,6696000,40201000,40201000,44239000,639000,205000,1552000,-820000,1576000,-495000,-138000,-1333000,-3947000,-3947000,-2834000,-2591000,-2591000,-2591000,1630000,0,449000,0.79626,0.16667,0.07474,0.0159,0.01444,0.70266,8.83366,0.10045,0,0.09529,0.08701,1.27498,5.98732,0.06695,0.01571,0.01104,-16.27791,-18.61965
"6","2012_Q1",26.7801612903226,"Up",8925000,-1856000,7069000,-5868000,-4158000,-1710000,1201000,46000,1247000,463000,-10000,453000,453000,453000,453000,25663000,3419000,22244000,3502000,3502000,1306000,1306000,30471000,1395000,6212000,2808000,355000,15322000,45793000,952000,952000,2660000,2660000,3612000,464000,464000,464000,4076000,50000,34518000,7149000,41717000,41717000,45793000,453000,188000,1760000,88000,2489000,-245000,-861999.999999999,-1107000,1197000,1197000,-82000.0000000009,1300000,1300000,1300000,1389000,-2.52435489670724e-29,1242000,0.79204,0.13457,0.05076,0.01086,0.00988999999999999,2.74172,8.43605,0.09771,0,0.06763,0.0594,1.33249,6.22081,0.18543,0.01074,0.02944,-18.47588,-21.36803
"7","2012_Q2",25.1919047619048,"Down",17046000,-1810000,15236000,-6082000,-4084000,-1998000,9154000,58000,9212000,8105000,-3106000,4999000,4999000,4999000,4999000,30875000,8547000,22328000,2470000,2470000,1134000,1134000,34479000,1400000,5416000,3215000,272000,19946000,54425000,2647000,1629000,2580000,2580000,5227000,441000,441000,441000,5668000,50000,36559000,12148000,48757000,48757000,54425000,4999000,228000,3174000,2231000,10632000,-613000,-5499000,-6112000,-799000,-799000,608000,5128000,5128000,5128000,9382000,0,14106000,0.89382,0.53702,0.29327,0.10253,0.09185,2.82176,6.59633,0.11625,0,0.74191,0.70014,2.52983,7.2287,2.0935,0.10161,0.28672,-3.29088,-3.37284
"8","2012_Q3",23.0047619047619,"Down",9112000,-1583000,7529000,-5598000,-3452000,-2146000,1931000,33000,1964000,1964000,-748000,1216000,1216000,1216000,1216000,33998000,7473000,26525000,2543000,2543000,1162000,1162000,37703000,1357000,5804000,3361000,214000,16683000,54386000,1665000,651000,2338000,2338000,4003000,419000,419000,419000,4422000,50000,37329000,12585000,49964000,49964000,54386000,1216000,218000,1107000,-603000,1938000,-298000,-589000,-1579000,-1388000,-1388000,-1433000,-1074000,-1074000,-1074000,2149000,-4.03896783473158e-28,1996000,0.82627,0.21192,0.13345,0.02434,0.02236,1.64145,9.41869,0.0885,6.01853107621011e-36,0.1805,0.17389,1.35253,7.40894,0.29627,0.0396,0.03962,-15.82038,-17.60642
"9","2012_Q4",19.4167741935484,"Down",8903000,-1467000,7436000,-5848000,-3528000,-2320000,1588000,48000,1636000,1636000,-633000,1003000,1003000,1003000,1003000,30428000,8669000,21759000,3630000,3630000,1333000,1333000,35391000,1327000,5903000,3570000,188000,19882000,55273000,1717000,842000,2156000,2156000,3873000,397000,397000,397000,4270000,50000,38147000,12806000,51003000,51003000,55273000,1003000,211000,1485000,-1390000,1309000,-363000,1636000,1273000,-1712000,-1712000,-1386000,1196000,1196000,1196000,1799000,0,679000,0.83522,0.17837,0.11266,0.01967,0.01815,0.67697,9.13788,0.08372,0,0.14835,0.14361,1.31682,7.53631,0.10043,0.03473,0.01321,-16.91384,-19.16121
"10","2013_Q1",21.6583333333333,"Up",9314000,-1648000,7666000,-5745000,-3468000,-2277000,1921000,40000,1961000,1961000,-907000,1054000,1054000,1054000,1054000,32269000,6866000,25403000,4216000,4216000,1016000,1016000,37501000,1453000,11590000,6721000,166000,19830000,57331000,1143000,1143000,2512000,2512000,3655000,673000,673000,673000,4328000,50000,39876000,13077000,53003000,53003000,57331000,1054000,328000,957000,-617000,1722000,-466000,2222000,-3336000,799000,799000,-189000,-1803000,-1803000,-1803000,2249000,-6.46234853557053e-27,2073000,0.82306,0.20625,0.11316,0.01989,0.01838,1.96679,10.26019,0.08166,9.62964972193618e-35,0.15518,0.15412,1.37132,7.79638,0.30521,0.03422,0.03862,-14.34815,-16.79802
