"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",10.9471875,"Down",28283000,-4852000,23431000,-30547000,-25949000,-10296000,-15653000,-4598000,-7116000,-396000,-14000,-382000,-7512000,-9254000,-112000,-9366000,-9366000,-9366000,-9436000,105688000,105688000,91174000,91174000,5159000,202021000,11809000,13298000,248000,11559000,25107000,227128000,119096000,119096000,2276000,2276000,121580000,1471000,1471000,1471000,123051000,181463000,-77519000,133000,104077000,104077000,227128000,-9366000,2678000,8948000,97000,2357000,-3393000,-3393000,-3393000,-2404000,-5797000,89859000,89859000,84596000,81156000,81156000,68000,81224000,-4438000,208000,-7622000,0.82845,-0.2516,-0.33363,-0.09066,-0.04154,0.80776,1.66163,1.18231,0.00092,-0.29144,-0.29144,0.87355,3.21454,-0.23541,-0.08922,-0.07207,23.76746,14.82293
"2","2014_Q4",12.9309375,"Up",32165000,-5144000,27021000,-32463000,-26697000,-11540000,-15157000,-5766000,-5442000,803000,-23000,826000,-4639000,-4639000,17000,-4622000,-4622000,-4622000,-4622000,104089000,104089000,99913000,99913000,6336000,210338000,14111000,14317000,180000,12646000,28428000,238766000,127982000,127982000,2133000,2133000,130272000,1674000,1674000,1674000,131946000,188899000,-82141000,62000,106820000,106820000,238766000,-4622000,3070000,5673000,582999.999999993,4704000,-4044000,-4044000,-4044000,-2170000,-6214000,124000,124000,-66999.9999999851,-1577000,-1577000,-22000,-1599000,-2372000,157000,-5850000,0.84007,-0.16919,-0.1437,-0.04327,-0.01936,1.26569,1.61461,1.23522,0.00066,-0.13675,-0.13675,0.95168,3.16054,-0.17309,-0.04254,-0.05384,43.81619,19.09813
"3","2015_Q1",16.8545901639344,"Up",41832000,-6298000,35534000,-35285000,-27608000,-12340000,-15268000,-7677000,249000,1207000,-16000,1223000,1456000,1456000,-27000,1429000,1429000,1429000,1429000,97196000,97196000,133267000,133267000,7514000,237977000,15196000,41881000,14090000,11501000,58504000,296481000,151021000,151021000,3276000,3276000,154402000,13327000,12720000,13327000,167729000,209472000,-80712000,-8000,128752000,128752000,296481000,1429000,4394000,7781000,-12211000,1393000,-2142000,-2142000,-2142000,-1915000,-8040000,2304000,2304000,-71000,-6718000,-6718000,-175000,-6893000,4643000,105000,-9683000,0.84945,0.00595,0.03416,0.0111,0.00482,-6.77607,1.54128,1.30273,0.00035,0.04145,0.04145,1.2133,3.73432,-0.28085,0.01005,-0.0681,-20.91126,-389.92369
"4","2015_Q2",17.2331746031746,"Up",37178000,-6561000,30617000,-37742000,-29328000,-15049000,-14279000,-8414000,-7125000,2178000,-12000,2190000,-4947000,-4947000,-84000,-5031000,-5031000,-5031000,-5031000,120336000,120336000,120723000,120723000,5416000,246475000,14061000,42318000,13071000,12957000,56379000,302854000,153680000,153680000,2680000,2680000,156413000,13082000,13082000,13082000,169495000,219173000,-85743000,-71000,133359000,133359000,302854000,-5031000,4390000,4610000,18467000,22436000,-2259000,-2259000,-2259000,-864000,-3123000,4031000,4031000,3979000,23292000,23292000,-152000,23140000,-2735000,53000,13557000,0.82352,-0.19165,-0.13532,-0.03773,-0.01661,-2.69469,1.5758,1.27097,0.00018,-0.1407,-0.1407,1.03971,3.72949,0.37913,-0.03434,0.09254,43.97916,16.8818200000001
"5","2015_Q3",15.2621875,"Down",53046000,-14009000,39037000,-50535000,-40145000,-22161000,-17984000,-10390000,-11498000,-858000,-11000,-847000,-12356000,-12356000,413000,-11943000,-11943000,-11943000,-11943000,99234000,99234000,147706000,147706000,19710000,266650000,15706000,148414000,60221000,19390000,164120000,430770000,177339000,177339000,1951000,1951000,179290000,41998000,29643000,41998000,221288000,307149000,-97686000,19000,209482000,209482000,430770000,-11943000,9459000,9167000,-493000,6190000,-1987000,-1987000,-1987000,-2097000,-30783000,3438000,3438000,3385000,-21208000,-21208000,106000,-21102000,-2039000,0,-4932000,0.73591,-0.21676,-0.22514,-0.05701,-0.02772,0.41296,1.48726,1.05636,0,-0.30286,-0.30286,1.34518,5.31222,-0.12507,-0.04749,-0.01961,48.66797,8.63054
"6","2015_Q4",15.4671875,"Up",64253000,-16556000,47697000,-52864000,-41042000,-22817000,-18225000,-11822000,-5167000,75000,37000,37999.9999999995,-5092000,-5092000,2083000,-3009000,-3009000,-3009000,-3009000,79865000,79865000,158804000,158804000,28177000,266846000,16067000,144975000,55428000,20744000,161042000,427888000,167075000,167075000,1365000,1365000,168440000,39977000,29724000,39977000,208417000,320139000,-100695000,27000,219471000,219471000,427888000,-3009000,8621000,8095000,-21148000,-7441000,-3511000,-3511000,-3511000,-1997000,-15740000,3964000,3964000,3964000,-19217000,-19217000,-152000,-19369000,3454000,0,-23288000,0.74233,-0.08042,-0.04683,-0.01371,-0.00703,7.73945,1.58422,0.94963,1.35525271560688e-20,-0.07277,-0.07277,1.55392,5.30777,-0.56321,-0.0116,-0.08976,-23.12247,15.45674
"7","2016_Q1",15.3104918032787,"Down",94007000,-21369000,72638000,-54446000,-43017000,-23306000,-19711000,-11429000,18192000,64000,45000,19000,18256000,18256000,2149000,20405000,20405000,20405000,20405000,139748000,116499000,218235000,218235000,7724000,365707000,25403000,132143000,50783000,15655000,171029000,536736000,247967000,247967000,2196000,2196000,250163000,8472000,2247000,8472000,258635000,358406000,-80290000,-15000,278101000,278101000,536736000,20405000,8540000,9725000,17001000,55671000,-12347000,-12347000,-12347000,-3375000,-24238000,4140000,4140000,4140000,35573000,35573000,38000,35611000,26732000,0,29237000,0.77269,0.19352,0.21706,0.07337,0.03802,1.43284,1.46187,0.93,0,0.48455,0.33212,2.23236,6.604,0.69428,0.0712,0.10202,-5.22774,-7.68184
"8","2016_Q2",16.0959375,"Up",69232000,-16783000,52449000,-54326000,-41883000,-21278000,-20605000,-12443000,-1877000,-167000,94000,-261000,-2044000,-2044000,4328000,2284000,2284000,2284000,2284000,136567000,136567000,159268000,159268000,29193000,325028000,24308000,127162000,46726000,14731000,161921000,486949000,185399000,185399000,1844000,1844000,187243000,3915000,2047000,3915000,191158000,373721000,-78006000,76000,295791000,295791000,486949000,2284000,8626000,9366000,-9608000.00000001,10668000,-1443000,-1443000,-1443000,-2306000,2651000,6718000,6718000,6718000,20037000,20037000,31000,20068000,6749000,0,-8630000.00000001,0.75758,-0.02711,0.03299,0.00772,0.00469,-3.77846,1.73586,0.64626,0,0.05114,0.04692,1.5501,6.62273,-0.19322,0.00762000000000002,-0.02879,-20.23515,72.75812
"9","2016_Q3",10.62984375,"Down",70511000,-17540000,52971000,-51650000,-38356000,-21966000,-16390000,-13294000,1321000,906000,131000,578000,2227000,2227000,-4904000,-2677000,-2677000,-2677000,-2677000,186888000,147188000,158333000,158333000,7303000,352524000,24845000,123417000,41923000,15789000,150162000,502686000,188557000,188557000,2556000,2556000,191113000,8728000,1954000,8728000,199841000,383570000,-80683000,-42000,302845000,302845000,502686000,-2677000,9782000,5571000,9906000,22582000,-2490000,-2490000,-2490000,-2723000,-14500000,7278000,7278000,2392000,10474000,10474000,-109000,10365000,11103000,0,23423000,0.75124,0.01873,-0.03797,-0.00884,-0.00533,-8.74972,1.84458,0.65988,0,-0.05777,-0.06324,1.52157,6.53514,0.50545,-0.00859,0.07518,-16.83221,-141.47464
"10","2016_Q4",7.79238095238095,"Down",65811000,-17798000,48013000,-50386000,-37873000,-21635000,-16238000,-12513000,-2373000,346000,134000,21000.0000000002,-2027000,-2027000,5557000,3530000,3530000,3530000,3530000,193200000,154264000,152639000,152639000,10391000,356230000,29025000,118772000,36470000,16597000,149723000,505953000,186181000,186181000,2622000,2622000,188803000,3133000,1899000,3133000,191936000,391931000,-77811000,-103000,314017000,314017000,505953000,3530000,10954000,7674000,-6597000,15561000,-7460000,-7460000,-7460000,-2497000,-9430000,937000,937000,937000,7068000,7068000,7000,7075000,8581000,0,-11033000,0.72956,-0.03606,0.05364,0.01124,0.00698,-3.1255,1.88678,0.61123,-1.05879118406788e-22,0.07423,0.06262,1.38392,6.60338,-0.23201,0.01113,-0.03479,-22.51486,81.41593
