"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",29.32390625,"Up",677000,-21011000,-3134000,-17877000,-20334000,603000,290000,313000,-19731000,-21957000,-44000,-22001000,-22001000,-22001000,-22001000,247226000,208506000,38720000,4556000,4556000,251782000,7702000,5744000,5744000,13446000,265228000,15433000,3823000,11610000,15826000,6214000,89000,89000,6303000,22129000,384545000,-140195000,-1251000,243099000,243099000,265228000,-22001000,439000,3419000,-1698000,-19841000,-3303000,43646000,-1478000,38865000,-5143654.03691551,169409000,169409000,171527000,190551000,190551000,86000,190637000,-19895000,6214000,-24852000,-30.03545,-32.49778,-0.0905,-0.08295,1.12959,15.90939,0.09103,0.02343,-0.97273,-0.97273,0.02993,10.74815,-1.09878,-0.08822,-0.09965,12.1142,11.85266
"2","2016_Q3",29.036875,"Down",393000,-25021000,-3904000,-21117000,-24628000,867000,121000,746000,-23761000,-23989000,-135000,-24124000,-24124000,-24124000,-24124000,226619000,58084000,168535000,6135000,6135000,232754000,9752000,8724000,8724000,18476000,251230000,20465000,6071000,14394000,20465000,10553000,165000,165000,10718000,31183000,385830000,-164320000,-1463000,220047000,220047000,251230000,-24124000,492000,1513000,2863000,-19256000,-5455000,-130093000,0,-135548000,4521000,3000,3000,4521000,-150283000,-150283000,-139000,-150422000,-24136000,10553000,-26593000,-62.66667,-61.38422,-0.10963,-0.09602,1.10235,11.37327,0.14171,0.04201,-0.7332,-0.7332,0.01194,6.6879,-0.80824,-0.10454,-0.11524,8.95202,8.77318
"3","2016_Q4",31.4253968253968,"Up",0,-34828000,-4722000,-30106000,-34828000,-402000,-75000,-327000,-35230000,-35367000,-127000,-35494000,-35494000,-35494000,-35494000,203618000,85532000,118086000,6335000,6335000,209953000,16554000,8918000,8918000,25472000,235425000,29316000,7307000,22009000,29316000,18030000,247000,247000,18277000,47593000,388611000,-199814000,-965000,187832000,187832000,235425000,-35494000,505000,2941000,7772000,-24276000,-6682000,50758000,0,44076000,7640000,0,0,7640000,27440000,27440000,8000,27448000,-34323000,18030000,-33106000,-66.3584317845174,-63.6013772868433,-0.18897,-0.15077,0.93272,7.16172,0.25338,0.07658,-1.07655,-1.07655,0,5.69704,-1.00412,-0.17221,-0.16062,5.4071,5.3287
"4","2017_Q1",36.436935483871,"Up",0,-37270000,-8337000,-28933000,-37270000,-242000,47000,-289000,-37512000,-37850000,252000,-37598000,-37598000,-37598000,-37598000,368174000,87514000,280660000,6225000,6225000,374399000,25977000,5437000,4669000,31414000,405813000,35058000,11957000,23101000,35058000,17284000,564000.000000002,563999.999999998,17848000,52906000,591265000,-237412000,-946000,352907000,352907000,405813000,-37598000,473000,3520000,7465000,-26140000,-8058000,-162661000,-740000,-171459000,2002000,199545000,199545000,199432000,1833000,1833000,149000,1982000.00000003,-36797000,17284000,-37642000,-51.3867787342383,-48.7280269831368,-0.10654,-0.09265,1.00117,10.67942,0.14991,0.04259,-1.0533,-1.0533,-5.55111512312578e-17,9.88658,-1.05453,-0.10141,-0.10153,9.53583,9.41481
"5","2017_Q2",39.4079365079365,"Up",-67640929.194708,-51542000,-8769000,-42773000,-51542000,1099000,186000,913000,-50443000,-50443000,-180000,-50623000,-50623000,-50623000,-50623000,327476000,97750000,229726000,8702000,8702000,336178000,30723000,9828000,6900000,40551000,376729000,47515000,20482000,27033000,49985000,17434000,893000,893000,18327000,68312000,597320000,-288035000,-868000,308417000,308417000,376729000,-50623000,864000,3831000,10217000,-35711000,-5068000,50930000,-2319000,43543000,2470000,63000,63000,2533000,10365000,10365000,-129000,10236000,-50678000,19904000,-45349000,-28.2503987917005,-26.5543700360086,-0.16414,-0.13438,0.89582,6.72558,0.22149,0.05283,-1.27436,-1.27436,-1.60567889401552,7.76392,-1.14159,-0.15377,-0.13775,6.06914,5.96741
"6","2017_Q3",74.5161904761905,"Up",-2.98023223876953e-08,-58022000,-10777000,-47245000,-58022000,-2457000,-1982000,-475000,-60479000,-60479000,-201000,-60680000,-60680000,-60545000,-60545000,407430000,261006000,146424000,11261000,11261000,418691000,33770000,21514000,16687000,55284000,473975000,49952000,24419000,25533000,49952000,17701000,136150000,136150000,153851000,203803000,604655000,-348580000,-322000,255753000,270172000,473975000,-60680000,540000,7413000,841000,-51886000,-3813000,83324000,-9805000,69706000,130287000,253000,253000,145067000,162887000,162887000,369000,163256000,-57482000,17701000,-60253000,-7.44797989944185,-6.87060739258692,-0.2241,-0.12774,0.99518,8.38187,0.75435,0.03735,-1.5205,-1.5205,-8.88178419700125e-16,6.42285,-1.51316,-0.14279,-0.1421,6.78002,6.71692
"7","2017_Q4",91.5368253968254,"Up",220213000,-103364000,-15641000,-87660000,114905000,-682000,-1785000,1103000,114223000,114223000,3061000,117284000,117284000,117386000,117386000,757435000,208510000,548925000,188662000,17712000,962330000,67573000,19156000,2051000,86729000,1049059000,85011000,35168000,49843000,103161000,9018000,172391000,170532000,181409000,284570000,981296000,-231194000,38000,750140000,764489000,1049059000,117284000,1300000,14157000,-126141000,6600000,-18560000,-402452000,-904000,-4.02e+08,0,340382000,340382000,340382000,-55018000,-55018000,2522000,-52496000,116205000,18036000,-31557000,0.521790000000017,0.533060000000013,0.15355,0.1119,-0.26883,9.32843,0.37224,0.01719,2.78542,2.34924,5.22537,17.79985,-0.74881,0.12293,-0.03305,-6.36288,-6.43487
"8","2018_Q1",135.43737704918,"Up",18174000.0000001,-118942000,-27415000,-91340000,-103798000,9389000,-527000,9916000,-94409000,-94365000,-4915000,-99280000,-99280000,-99323000,-99323000,837516000,239602000,597914000,35623000,35623000,913497000,75033000,57949000,42915000,132982000,1046479000,128533000,69779000,58754000,149988000,9222000,203038000,203038000,212260000,362248000,1000806000,-330517000,-480000,669809000,684231000,1046479000,-99280000,2054000,18693000,172282000,93749000,-18933000,-49309000.0000001,0,-68242000.0000001,0,3048000.00000006,3048000.00000006,3048000.00000012,28555000,28555000,2537000,31092000,-101744000,18444000,56520000,-5.71135,-5.46511,-0.14516,-0.0949099999999999,-0.56905,6.09047,0.52942,0.01762,-2.18577,-2.64044,0.399949999999999,14.74031,1.24382,-0.10966,0.0624,8.05032,7.89102
"9","2018_Q2",178.34703125,"Up",32544000,-138803000,-28915000,-109700000,-110809000,2281000,1552000,729000,-108528000,-108528000,3412000,-105116000,-105116000,-104596000,-104596000,1464015000,490634000,973381000,90704000,49382000,1585702000,89853000,33372000,14210000,123225000,1708927000,118320000,52719000,65601000,141896000,9565000,198744000,198744000,208309000,350205000,1782103000,-438042000,320000,1344381000,1358722000,1708927000,-105116000,2244000,24836000,-26465000,-104501000,-9696000,-374656000,-10414000,-394766000,180244881.281894,764315000,764315000,764315000,265048000,265048000,3444000,268492000,-108565000,19130000,-148138000,-3.4049,-3.21399,-0.07698,-0.06121,1.41629,11.1751,0.25775,0.01119,-2.02801,-2.02801,0.631,26.06618,-2.87225,-0.06634,-0.09396,13.30894,13.03942
"10","2018_Q3",168.165238095238,"Down",52804000,-209598000,-45160000,-164251000,-163050000,1967000,1892000,75000,-161083000,-161083000,3368000,-157715000,-157715000,-156887000,-156887000,1369628000,438420000,931208000,107586000,63293000,1516707000,102642000,34507000,11452000,137149000,1653856000,162066000,85878000,76188000,186435000,51467000,189286000,189286000,240753000,427188000,1805012000,-594929000,3114000,1213197000,1226668000,1653856000,-157715000,2336000,14567000,23675000,-117137000,-10613000,44744999.9999999,0,34132000,42315000,4268000,4268000,46582999.9999999,-36422000,-36422000,-1661000,-38083000,-160714000,60534000,-151020000,-3.08783,-2.97112,-0.1279,-0.09486,0.9626,8.13531,0.34825,0.0366,-2.91931,-2.91931,0.98256,22.57487,-2.81014,-0.10626,-0.10228,8.14549,8.02879
