"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2018_Q1",107.676721311475,"Down",68994000,-40378000,28616000,-12189000,-12169000,16427000,60000,-128000,188000,16487000,16487000,-5074000,11413000,11413000,11413000,11413000,47354000,47354000,38051000,38051000,25618000,3112000,3112000,114135000,34760000,105843000,46846000,50784000,6033000,140603000,254738000,27340000,14455000,10552000,27340000,16469000,12666000,979000,2824000,16469000,43809000,14995000,209403000,-13469000,210929000,210929000,254738000,11413000,3582000,265000,-1664000,13596000,-1001000,1030000,257000.000000001,-20945000,-7092000,-7092000,-7092000,20009000,0,22418000,0.41476,0.23809,0.16542,0.05411,0.0448,1.96425,4.17465,0.2077,0,1.23189,1.20961,7.44701,22.76705,2.41973,0.05019,0.09858,-2.36664,-2.88269
"29","2018_Q2",111.0353125,"Up",61917000,-36895000,25022000,-12059000,-12059000,12963000,-364000,-45000,-319000,12599000,12599000,-4284000,8315000,8315000,8315000,8315000,54262000,54262000,34976000,34976000,27331000,4902000,3847000,121471000,34430000,103353000,44607000,50911000,5716000,137783000,259254000,28842000,13114000,8230000,28842000,16308000,12368000,1071000,2869000,16308000,45150000,15671000,210221000,-11788000,214104000,214104000,259254000,8315000,3568000,406000,-5735000,6554000,-851000,-47000,-898000,143000,5799000,5799000,5799000,16531000,0,14229000,0.40412,0.20936,0.13429,0.03884,0.03207,1.71124,4.2116,0.21088,0,0.89583,0.88604,6.67074,23.06689,1.53299,0.03609,0.06175,-3.28244,-4.18591
"30","2018_Q3",118.324603174603,"Up",65875000,-41991000,23884000,-12531000,-12138000,11353000,-698000,-440000,-258000,10655000,11740000,-1618000,10122000,10122000,10122000,10122000,44137000,44137000,41745000,41745000,34813000,6029000,3762000,126724000,35874000,161135000,67737000,84423000,5619000,197009000,323733000,25696000,17353000,8343000,25696000,17551000,12038000,985000,4528000,72551000,98247000,14775000,220343000,-9632000,225486000,225486000,323733000,10122000,4283000,1114000,-2089000,13430000,265000,75000.0000000005,-71094000,46111000,-11553000,-11553000,-11553000,15636000,5.5e+07,15430000,0.36257,0.17234,0.15365,0.04489,0.03127,1.5244,4.93166,0.43571,0.16989,1.08964,1.08497,7.09147,24.27365,1.66105,0.05912,0.05177,0.69474,0.95684
"31","2018_Q4",103.596984126984,"Down",78918000,-48252000,30666000,-13705000,-13705000,16961000,211000,-389000,6e+05,17172000,18652000,-5109000,13543000,13543000,13543000,13543000,33107000,33107000,46351000,46351000,35825000,3806000,2876000,119089000,35570000,159390000,64480000,85976000,5657000,194960000,314049000,24728000,14809000,9919000,24728000,16857000,11258000,1034000,4565000,51857000,76585000,15310000,233886000,-11732000,237464000,237464000,314049000,13543000,4469000,-838000,-5508000,11666000,-1322000,-88000,-1370000,-2e+07,-9704000,-9704000,-9704000,21430000,3.5e+07,19709000,0.38858,0.21492,0.17161,0.05703,0.04312,1.45529,4.81596,0.32251,0.11145,1.45518,1.44483,8.47967,25.51529,2.11771,0.04681,0.06812,0.0883300000000001,0.111609999999999
"32","2019_Q1",91.9477049180328,"Down",77478000,-47998000,29480000,-11073000,-9801000,18407000,-493000,-298000,-195000,17914000,13974000,-2811000,11163000,11163000,11163000,11163000,34828000,34828000,44610000,44610000,39699000,7095000,2595000,126232000,32845000,157392000,65330000,84696000,5718000,190237000,316469000,28935000,17810000,11125000,28935000,15778000,10736000,1105000,3937000,40778000,69713000,14043000,245049000,-12336000,246756000,246756000,316469000,11163000,5304000,-44999.9999999998,-2001000,14421000,-580000,18999.9999999999,-404000.000000007,-11831000,2186000,2186000,2186000,23711000,2.5e+07,23941000,0.3805,0.23758,0.14408,0.04524,0.03527,2.14467,4.36261,0.28252,0.079,1.19921,1.19044,8.32323,26.50824,2.57191,0.03882,0.08326,-0.41449,-0.53393
"33","2019_Q2",95.6819047619048,"Up",72503000,-46575000,25928000,-13622000,-13362000,12306000,-498000,-204000,-294000,11808000,11808000,-2985000,8823000,8823000,8823000,8823000,35520000,35520000,42998000,42998000,43335000,5028000,3701000,126881000,32215000,154001000,62206000,84605000,5700000,186216000,313097000,34513000,17877000,9114000,34513000,15391000,10453000,1097000,3841000,30391000,64904000,14548000,246372000,-12727000,248193000,248193000,313097000,8823000,4351000,752000,-2349000,11577000,-639000,-56000,-295000,-1e+07,1282000,1282000,1282000,16657000,1.5e+07,16654000,0.35761,0.16973,0.12169,0.03555,0.02818,1.88757,3.67632,0.26151,0.04791,0.9457,0.94049,7.77131,26.60283,1.78508,0.03167,0.05978,-1.23191,-1.66748
"34","2019_Q3",98.78953125,"Up",66631000,-43213000,23418000,-12826000,-13086000,10592000,-990000,-162000,-828000,9602000,6932000,-1659000,5273000,5273000,5273000,5273000,25088000,25088000,41699000,41699000,45418000,7044000,4488000,119249000,31686000,149188000,59152000,82334000,5725000,180874000,300123000,23468000,14991000,8477000,23468000,15020000,10173000,1132000,3715000,21020000,44488000,15269000,251645000,-11279000,255635000,255635000,300123000,5273000,4365000,3168000,-7080000,5726000,-665000,-15000,-680000,-16340000,-11294000,-11294000,-11294000,14957000,6e+06,8871000,0.35146,0.15897,0.07914,0.02063,0.01757,1.68234,5.08134,0.17403,0.01999,0.56503,0.56257,7.13984,27.39253,0.95057,0.04625,0.03207,-1.27619,-1.80211
"35","2019_Q4",112.376875,"Up",72112000,-46406000,25706000,-13251000,-13251000,12455000,-74000,-91000,17000,12381000,12188000,-3647000,8541000,8541000,8541000,8541000,30638000,30638000,41161000,41161000,45730000,6174000,3243000,123703000,30157000,145642000,55852000,82128000,5756000,175799000,299502000,22773000,13216000,9557000,22773000,13373000,9892000,1174000,2307000,13373000,36146000,15857000,260186000,-12687000,263356000,263356000,299502000,8541000,4257000,770000,-596000,12972000,-537000,-51000,-588000,-6e+06,6384000,6384000,6384000,16712000,0,19226000,0.35647,0.17272,0.11844,0.03243,0.02852,2.25102,5.432,0.13725,0,0.91471,0.91066,7.72289,28.20432,2.05902,0.03086,0.06948,-1.83329,-2.4599
"36","2020_Q1",89.3753225806452,"Down",70105000,-43969000,26136000,-14015000,-9008000,12121000,51000,-62000,113000,12172000,12625000,-2551000,10074000,10074000,10074000,10074000,47771000,47771000,39324000,39324000,42354000,4933000,2418000,134382000,29326000,144260000,52704000,81986000,5766000,173586000,307968000,22440000,12105000,10335000,22440000,14301000,10485000,1275000,2541000,14301000,36741000,15291000,270260000,-14324000,271227000,271227000,307968000,10074000,4234000,-1733000,6685000,19260000,-647000,44000,-603000,-1110000,17547000,17547000,17547000,16355000,0,24944000,0.37281,0.1729,0.1437,0.03714,0.03271,2.47608,5.9885,0.13546,0,1.07886,1.07358,7.50779,29.04665,2.67134,0.03528,0.08736,-2.92088,-3.94118
"37","2020_Q2",90.8431746031746,"Up",66802000,-41783000,25019000,-13271000,-12622000,11748000,-659000,-55000,-604000,11089000,10071000,-2709000,7362000,7362000,7362000,7362000,66056000,66056000,37274000,37274000,39019000,4034000,2970000,146383000,28110000,151548000,49847000,82194000,15637000,179658000,326041000,31558000,13091000,10152000,31558000,21010000,10182000,1380000,9448000,21010000,52568000,16005000,271471000,-14003000,273473000,273473000,326041000,7362000,3967000,757000,6067000,18153000,-699000,-45000,-744000,-5665107.52949914,17409000,17409000,17409000,15715000,0,23792000,0.37452,0.17586,0.11021,0.02692,0.02258,3.23173,4.63854,0.19222,4.33680868994202e-19,0.7872,0.78035,7.14296,29.24173,2.54401,0.025,0.08079,-4.20337,-5.62274
"38","2020_Q3",98.86265625,"Up",65582000,-42753000,22829000,-12668000,-12608000,10161000,-241000,-56000,-185000,9920000,10805000,-2926000,7879000,7879000,7879000,7879000,67664000,67664000,38243000,38243000,39185000,5792000,2815000,150884000,27375000,148010000,46932000,82175000,15066000,175385000,326269000,23906000,14681000,9225000,23906000,20246000,9879000,1338000,9029000,20246000,44152000,16827000,279350000,-14060000,282117000,282117000,326269000,7879000,3900000,832000,-3303000,9308000,-128000,5000,-123000,-7539000,1646000,1646000,1646000,14061000,-2.91038304567337e-11,13556000,0.3481,0.15494,0.12014,0.02793,0.02415,1.72052,6.31155,0.1565,0,0.84215,0.83427,7.00975,30.15416,1.44894,0.05099,0.04483,-4.81218,-6.65919
"39","2020_Q4",102.21953125,"Up",64871000,-37602000,27269000,-15108000,-11795000,12161000,-374000,-67000,-307000,11787000,12527000,-2619000,9908000,9908000,9908000,9908000,83259000,83259000,35999000,35999000,40551000,3045000,2604000,162854000,26656000,144360000,44003000,82044000,14546000,171016000,333870000,23104000,12087000,11017000,23104000,19273000,9575000,1424000,8274000,19273000,42377000,17180000,289258000,-14945000,291493000,291493000,333870000,9908000,3846000,-255000,1705000,15204000,1593000,-75000,1518000,-484000,16238000,16238000,16238000,16007000,0,21924000,0.42036,0.18746,0.15273,0.03399,0.02968,2.21276,7.04874,0.14538,2.71050543121376e-20,1.05814,1.05077,6.92803,31.13058,2.34142,0.03188,0.07055,-5.20141,-6.84639
"40","2021_Q1",109.39393442623,"Up",63907000,-39477000,24430000,-13131000,-12339000,11299000,-647000,-68000,-579000,10652000,11917000,-2909000,9008000,9008000,9008000,9008000,99068000,99068000,36993000,36993000,39058000,2701000,2470000,177820000,25574000,143436000,41200000,82402000,14905000,169010000,346830000,23143000,12525000,10618000,23143000,20895000,10930000,1629000,8336000,20895000,44038000,17618000,298266000,-13092000,302792000,302792000,346830000,9008000,3878000,-1230000,1413000,13069000,1478000,-52000,1426000,-397000.000000001,14098000,14098000,14098000,15177000,1.81898940354586e-12,20977000,0.38227,0.1768,0.14095,0.02975,0.02597,2.32871,7.68353,0.14544,0,0.96155,0.9531,6.82167,32.32115,2.23916,0.02783,0.06481,-6.52751,-8.76786
"41","2021_Q2",108.359365079365,"Down",67176000,-39605000,27571000,-13311000,-12260000,14260000,-283000,-69000,-214000,13977000,13977000,-3140000,10837000,10837000,10837000,10837000,90062000,90062000,38894000,38894000,35962000,5189000,4389000,170107000,25477000,165729000,50217000,95486000,14985000,191206000,361313000,29131000,12070000,9504000,29131000,25236000,10617000,1790000,9317000,25236000,54367000,18209000,301546000,-12809000,306946000,306946000,361313000,10837000,4074000,853000,-1712000,14052000,-660000,-62000,-22963000,-226000,-9137000,-9137000,-9137000,18334000,0,19102000,0.41043,0.21228,0.16132,0.03531,0.02999,1.76266,5.83938,0.17712,-1.6940658945086e-21,1.15585,1.15059,7.16481,32.73805,2.03737,0.03262,0.0575,-4.91229,-6.31571
"42","2021_Q3",109.21578125,"Up",68447000,-40915000,27532000,-13455000,-12331000,14077000,-351000,-67000,-284000,13726000,12865000,-3694000,9171000,9171000,9171000,9171000,86229000,86229000,43146000,43146000,37034000,5620000,3792000,172029000,25072000,171917000,53880000,98244000,14891000,196989000,369018000,23850000,15294000,8556000,23850000,26624000,10304000,1825000,11077000,26624000,50474000,18667000,310717000,-10840000,318544000,318544000,369018000,9171000,4068000,520000,-1425000,12334000,-4e+05,72000,-9325000,-7697000,-4688000,-4688000,-4688000,18145000,-1.13686837721616e-13,20014000,0.40224,0.20566,0.13399,0.02879,0.02485,2.18231,7.21296,0.15845,0,0.97815,0.9737,7.30038,33.97506,2.13464,0.04846,0.05798,-4.75222,-6.12552
"43","2021_Q4",100.6075,"Down",79593000,-46312000,33281000,-14948000,-13969000,18333000,-328000,-68000,-260000,18005000,17743000,-3454000,14289000,14289000,14289000,14289000,102947000,102947000,45515000,45515000,38395000,7634000,2616000,194491000,24685000,171058000,50617000,98457000,17128000,195743000,390234000,27197000,16419000,10778000,27197000,27751000,9992000,2045000,12387000,27751000,54948000,19542000,325006000,-9262000,335286000,335286000,390234000,14289000,4349000,1769000,-3793000,16614000,-689000,-129000,-818000,81000,15877000,15877000,15877000,22682000,0,21654000,0.41814,0.23033,0.17953,0.04262,0.03662,1.51543,7.15119,0.16388,0,1.52403,1.51709,8.48918,35.76072,2.30956,0.03936,0.05965,-4.53871,-5.61539
"44","2022_Q1",91.7446774193548,"Down",78120000,-47828000,30292000,-15419000,-13540000,14873000,-95000,-93000,-2000,14778000,14009000,-3386000,10623000,10623000,10623000,10623000,119429000,119429000,46212000,46212000,41217000,6106000,2851000,212964000,24267000,166928000,46954000,97866000,16843000,191195000,404159000,32922000,19575000,12586000,32922000,26913000,9416000,2267000,11929000,26913000,59835000,19905000,335629000,-11210000,344324000,344324000,404159000,10623000,4313000,638000,2643000,18217000,-692000,-129000,-821000,-406000.000000001,16990000,16990000,16990000,19186000,0,24523000,0.38776,0.19039,0.13598,0.03085,0.02628,2.30848,6.46874,0.17378,0,1.13036,1.1255,8.31252,36.6385,2.60942,0.02862,0.06606,-6.2248,-8.02992
"45","2022_Q2",81.0256451612903,"Down",75010000,-47281000,27729000,-14427000,-13375000,13302000,290000,-87000,377000,13592000,13117000,-3390000,9727000,9727000,9727000,9727000,124234000,124234000,43726000,43726000,47075000,6258000,3808000,221293000,23752000,163485000,43359000,97124000,17892000,187237000,408530000,37619000,17427000,10384000,37619000,27636000,9114000,2355000,12842000,27636000,65255000,20680000,335896000,-13301000,343275000,343275000,408530000,9727000,4002000,1237000,-9063000,5903000,-496000,-121000,-617000,-5720078.86395424,5286000,5286000,5286000,17304000,0,11135000,0.36967,0.17734,0.12968,0.02834,0.02381,1.14475,5.88248,0.1901,0,1.03502,1.03057,7.98159,36.52688,1.18484,0.02622,0.03002,-7.1795,-9.3395
"46","2022_Q3",87.408125,"Up",73953000,-46911000,27042000,-14809000,-13125000,12233000,-66000,-86000,20000,12167000,12367000,-3241000,9126000,9126000,9126000,9126000,116044000,116044000,46081000,46081000,52996000,7909000,4629000,223030000,24137000,159594000,40305000,97131000,17279000,183731000,406761000,26793000,17331000,9462000,26793000,26694000,8811000,2329000,12392000,26694000,53487000,21461000,345022000,-13209000,353274000,353274000,406761000,9126000,3941000,1013000,-11226000,2854000,-1273000,-84000,-1357000,-9460000,-7963000,-7963000,-7963000,16174000,0,6916000,0.36566,0.16542,0.1234,0.02583,0.02244,0.75783,8.32419,0.1514,0,0.97107,0.9669,7.86912,37.59085,0.73591,0.04891,0.0182,-7.17472,-9.48614
