"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",10.12796875,"Down",26615000,-23190000,3425000,-11545000,-9626000,-1919000,-8120000,-34027000,-34027000,-42147000,-42147000,-42147000,-42147000,-42147000,-42147000,56917000,56917000,18549000,18549000,5490000,1065000,1065000,82021000,59162000,303000,303000,59465000,141486000,12790000,8872000,3918000,959000,959000,13825000,1085000,1085000,1212000,15037000,520405000,-393956000,126449000,126449000,141486000,-42147000,2548000,39932000,-921000,-588000,-1089000,-1089000,-20368000,77807000,57439000,55762000,55762000,55762000,-5572000,203000,0.12869,-0.30509,-1.58358,-0.33331,-0.29789,5.9328,0.11892,0.00143,-27.58662,-13.88371,17.42041,82.76509,-0.32995,10.17839,6.98448
"2","2014_Q4",8.48609375,"Down",25437000,-20364000,5073000,-7437000,-6179000,-1258000,-2364000,-47000,-47000,-2411000,-2411000.00000001,-2411000.00000001,-2411000.00000001,-2411000.00000001,-2411000.00000001,53651000,53651000,20067000,20067000,6349000,1025000,1025000,81092000,65879000,225000,225000,66104000,147196000,19441000,14736000,4705000,1490000,1440000,21007000,1031000,1031000,1139000,22146000,521417000,-396367000,125050000,125050000,147196000,-2411000.00000001,2513000,1099999.99999999,537000,1739000,-2413000,-2413000,-19000.0000000037,-2573000.00000001,-2592000,-3266000,-3266000,-3266000,149000,184000,0.19943,-0.09294,-0.0947800000000001,-0.0192800000000001,-0.01638,3.86024,0.1771,0.00125,-0.103769999999997,-0.119870000000001,1.09487,5.38243000000001,-0.01909,-358.83893,22.61717
"3","2015_Q1",7.57213114754098,"Down",27984000,-22748000,5236000,-7897000,-6378000,-1519000,-2661000,-56000,-56000,-2717000,-2717000,-2717000,-2717000,-2717000,-2717000,49719000,49719000,17924000,17924000,4897000,836000,836000,73376000,71492000,175000,175000,71667000,145043000,19790000,14202000,5588000,342000,292000,20208000,1030000,1030000,1119000,21327000,522800000,-399084000,123716000,123716000,145043000,-2717000,2491000,1456000,3488000,4718000,-8631000,-8631000,-19000,0,-19000,-3932000,-3932000,-3932000,-170000,165000,0.18711,-0.09509,-0.09709,-0.02196,-0.01873,3.63104,0.17239,0.00114,-0.11757,-0.11757,1.21094,5.35353,-0.02175,291.49412,18.62232
"4","2015_Q2",6.84206349206349,"Down",23500000,-18986000,4514000,-7259000,-5955000,-1304000,-2745000,-45000,-45000,-2790000,-2790000,-2790000,-2790000,-2790000,-2790000,35511000,33010000,19260000,19260000,5905000,1195000,1195000,61871000,79520000,130000,130000,79650000,141521000,16715000,13390000,3325000,1412000,1362000,18204000,1027000,1027000,1096000,19300000,524095000,-401874000,122221000,122221000,141521000,-2790000,2184000,1295000,-4347000,-3658000,-10531000,-13032000,-19000.0000000002,5914532.03949237,-19000,-16709000,-16709000,-16709000,-561000,146000,0.19209,-0.11681,-0.11872,-0.02283,-0.01971,3.39876,0.15791,0.00103,-0.12135,-0.12135,1.02208,5.31574,-0.02261,63.03922,12.88342
"5","2015_Q3",7.280625,"Up",30096000,-24986000,5110000,-7807000,-6256000,-1551000,-2697000,-45000,-45000,-2742000,-2742000,-2742000,-2742000,-2742000,-2742000,32079000,29575000,19957000,19957000,6075000,2105000,2105000,60216000,78149000,123000,123000,78272000,138488000,13872000,9791000,4081000,2568000,2531000,16515000,1038000,1038000,1090000,17605000,525499000,-404616000,120883000,120883000,138488000,-2742000,2575000,1404000,1778000,3015000,-6428000,-6431000,-19000,3328386.73248727,-19000,-3435000,-3435000,-3435000,-122000,127000,0.16979,-0.08961,-0.09111,-0.02268,-0.0198,3.64614,0.14564,0.00092,-0.11922,-0.11922,1.30852,5.25578,-0.02247,261.90164,11.84724
"6","2015_Q4",6.92203125,"Down",31538000,-26367000,5171000,-7648000,-6502000,-1146000,-2477000,-46000,-46000,-2523000,-2523000,-2523000,-2523000,-2523000,-2523000,29964000,29964000,24491000,24491000,6629000,1837000,1837000,62921000,77424000,1e+05,1e+05,77524000,140445000,14059000,9594000,4465000,6419000,5601000,20554000,241000,241000,293000,20847000,526737000,-407139000,119598000,119598000,140445000,-2523000,2663000,1476000,-1055000,561000.000000002,-2418000,85999.9999999991,-20000,-238000.000000007,-258000,389000,389000,389000,186000,128000,0.16396,-0.07854,-0.08,-0.0211,-0.01796,3.06125,0.17431,0.00091,-0.1094,-0.1094,1.36758,5.18612,-0.02103,-160.4086,12.04522
"7","2016_Q1",4.53508196721311,"Down",37384000,-27531000,9853000,-8169000,-6917000,-1252000,1684000,-46000,-46000,1638000,1638000,1638000,1638000,1638000,1638000,32804000,32804000,20624000,20624000,6532000,1687000,1687000,61647000,78322000,105000,105000,78427000,140074000,16252000,10684000,5568000,1090000,681000,17409000,151000,151000,191000,17600000,527975000,-405501000,122474000,122474000,140074000,1638000,2465000,1099000,239000,5441000,-2579000,-2579000,-22000,0,-22000,2840000,2840000,2840000,4149000,107000,0.26356,0.04505,0.04382,0.01337,0.01169,3.5411,0.1437,0.00076,0.07155,0.07155,1.6329,5.34955,0.01335,-7.88069,-19.41627
"8","2016_Q2",4.38078125,"Down",32821000,-26294000,6527000,-8285000,-6975000,-1310000,-1758000,-39000,-39000,-1797000,-1797000,-1797000,-1797000,-1797000,-1797000,29357000,29357000,23207000,23207000,6139000,707000,707000,59410000,79539000,94000,94000,79633000,139043000,16186000,12745000,3441000,672000.000000001,431000,16912000,136000,136000,166000,17078000,529263000,-407298000,121965000,121965000,139043000,-1797000,2410000,1357000,-2184000,-213999.999999998,-3128000,-3128000,-23000,-81999.9999999998,-105000,-3447000,-3447000,-3447000,652000,84000,0.19887,-0.05356,-0.05475,-0.01473,-0.01292,3.51289,0.14002,6e-04,-0.07792,-0.07792,1.42307,5.28823,-0.01471,-44.89724,16.65131
"9","2016_Q3",5.03671875,"Up",27718000,-21065000,6653000,-8001000,-6715000,-1286000,-1348000,-39000,-39000,-1387000,-1387000,-1387000,-1387000,-1387000,-1387000,19737000,19737000,24734000,24734000,11788000,1635000,1635000,57894000,81146000,147000,147000,81293000,139187000,16322000,12208000,4114000,449000,449000,16818000,341000,341000,358000,17176000,530696000,-408685000,122011000,122011000,139187000,-1387000,2416000,1446000,-7475000,-5e+06,-4600000,-4600000,-20000,0,-20000,-9620000,-9620000,-9620000,1068000,64000,0.24002,-0.04863,-0.05004,-0.01137,-0.00997,3.44238,0.14077,0.00046,-0.06001,-0.06001,1.19934,5.27932,-0.01133,-18.42041,14.59421
"10","2016_Q4",4.87301587301587,"Down",29560000,-23158000,6402000,-8806000,-7478000,-1328000,-2404000,-693000,-37000,-3097000,-3097000,-3097000,-3097000,-3097000,-3097000,21129000,21129000,19625000,19625000,12902000,1831000,1831000,55487000,81905000,79000,79000,81984000,137471000,15689000,11544000,4145000,753000,753000,16483000,703000,703000,714000,17197000,532056000,-411782000,120274000,120274000,137471000,-3097000,2472000,2130000,2343000,3848000,-2266000,-2266000,-12000,-178000,-190000,1392000,1392000,1392000,68000,52000,0.21658,-0.08133,-0.10477,-0.02575,-0.02253,3.36632,0.14298,0.00038,-0.13367,-0.13367,1.27588,5.19133,-0.02559,-309.95588,8.76747
