"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",30.4412698412698,"Down",5.65e+09,-2.811e+09,2.839e+09,-1.756e+09,-1.324e+09,-4.32e+08,1.083e+09,-1.35e+08,-2.07e+08,7.2e+07,9.48e+08,-2.6e+08,6.88e+08,-5.4e+07,7e+06,6.41e+08,6.41e+08,4e+06,6.45e+08,5.8e+08,3939823594.85495,3939823594.85495,21905022528.9521,21905022518.5641,-1489973698.15706,14557984677.7203,1611899870.97392,10908461559.2998,2037623247.44657,38912857103.3703,8073631921.77296,12462687902.9676,3072280246.55885,4170697095.18651,2204866715.60127,3014843845.62093,20536319824.7405,59449176928.1108,3533218868.41816,2619189147.17108,914029721.247077,31879441987.9853,21820217309.2433,21820217309.2433,57232878165.6468,28107996747.8388,1198855462.08685,1636905493.52828,-438050031.441429,29306852209.9256,86539730375.5724,26650927299.6903,-4180660292.94154,-29793010674.8788,-18734258016.3313,-25332672439.4026,-1757862937.03494,-27090535376.4376,59449194999.1348,6.41e+08,4.8e+08,-2.05e+08,-7.8e+08,1.36e+08,-2.02e+08,1.412e+09,3.34e+08,-2.8e+07,1.516e+09,-1.35e+09,-7e+06,-1.768e+09,-1.16e+08,-1.16e+08,2.8e+07,-8.8e+07,1.563e+09,0,6.35e+08,0.50248,0.19168,0.10265,-15.4955233818962,-4.18022458076014,1.09483,0.421419762145786,10.5985796031023,0.927401453067221,0.57087,0.57087,5.56102,-26.2216224753676,0.625,-5.15960679431244,-0.505636041564835,112.956003846186,226.034534635824
"2","2017_Q3",22.3009523809524,"Down",5.72e+09,-2.865e+09,2.855e+09,-1.776e+09,-1.307e+09,-4.69e+08,1.079e+09,-2.14e+08,-2.38e+08,23999999.9999999,8.65e+08,-6.843e+09,-5.978e+09,2.2e+07,-1.4e+07,-5.97e+09,-5.97e+09,0,-5.97e+09,-6.035e+09,1806911797.42747,1806911797.42747,14157011264.476,14157011259.282,1990513150.92147,7967492338.86016,1249949935.48696,5490730779.64992,1226811623.72329,25921928551.6851,8048815960.88648,32677343951.4838,11530140123.2794,17888848547.5933,1366933357.80063,1891421922.81046,40726159912.3703,66648088464.0554,5153609434.20908,2421094573.58554,2732514860.62354,18051720993.9927,14486108654.6216,14486108654.6216,37691439082.8234,27599998373.9194,3616927731.04342,2787452746.76414,829474984.279285,31216926104.9628,68908365187.7862,25085963649.8452,-4161830146.47077,-16096505337.4394,-9172629008.16567,-2197836219.70131,-62431468.5174708,-2260267688.21878,66648097499.5674,-5.97e+09,5.77e+08,6.365e+09,-5.37e+08,4.35e+08,-1.93e+08,7.3e+07,3.06e+08,-2.72e+08,-8.6e+07,-1.89e+08,-5.2e+07,-6.51e+08,-3.02e+08,-3.02e+08,999999.999999996,-3.01e+08,1.656e+09,1.9073486328125e-06,9.04e+08,0.49913,0.18864,-1.05507,-7.59351169094811,-2.04538729038007,-0.14979,0.530349881072893,6.42073980155117,0.67495072653361,-5.93996,-5.93996,5.62992,-4.50379123768378,0.88976,-2.52548839715622,-0.230293020782417,62.3208869230928,119.488217317912
"3","2017_Q4",14.9928571428571,"Down",5.617e+09,-2.967e+09,2.65e+09,-1.746e+09,-1.215e+09,-5.31e+08,9.04e+08,-2.55e+08,-2.59e+08,4e+06,6.49e+08,-5.3e+08,1.19e+08,4.94e+08,-3e+06,6.1e+08,6.1e+08,-1.5e+07,5.95e+08,5.3e+08,953637265.809158,953637265.809158,9491003754.82534,9491003753.09402,4005837716.97382,4152164112.95339,1108316645.16232,2216910259.88331,826937207.907762,18602642850.5617,7898938653.62883,43568781317.1613,16049046707.7598,25429282849.1978,849311119.266878,1241140640.93682,51467719970.7901,70070362821.3518,5740203144.73636,2235364857.86185,3504838286.87451,8934906997.99756,10401702884.8739,10401702884.8739,25076813027.6078,28026332791.3065,4812642577.01447,3270484248.92138,1542158328.0931,32838975368.3209,57915788395.9287,24054654549.9484,-4152276715.49026,-7852835112.4798,-3938876336.05522,11226054593.4329,928522843.82751,12154577437.2604,70070365833.1891,6.1e+08,5.27e+08,4.9e+07,-3.91e+08,7.95e+08,-2.12e+08,1.22e+08,3.65e+08,-1.71e+08,1.04e+08,-5.89e+08,-4.8e+07,-8.25e+08,7.4e+07,7.4e+07,7e+06,8.1e+07,1.431e+09,0,3.34e+08,0.47178,0.16094,0.09436,-2.9010538969827,-0.77894243012669,0.63019,0.689656627024298,3.95190660051706,0.527906908844537,0.52165,0.52165,5.52854,7.92969625410541,0.32874,-0.96233946571874,-0.0738610069274724,33.7797556410309,59.4463991059706
"4","2018_Q1",19.5249180327869,"Up",5.398e+09,-3.127e+09,2.271e+09,-1.346e+09,-1e+09,-3.46e+08,9.25e+08,9.08e+08,-1.91e+08,1.099e+09,1.833e+09,-1.5041e+10,-1.3208e+10,1.471e+09,7e+06,-1.173e+10,-1.173e+10,1.95e+08,-1.1535e+10,-1.16e+10,9.63e+08,9.63e+08,7.128e+09,7.128e+09,4.924e+09,2.367e+09,1.1e+09,5.66e+08,7.01e+08,1.5382e+10,7.673e+09,4.756e+10,1.764e+10,2.8414e+10,5.74e+08,9.32e+08,5.5233e+10,7.0615e+10,5.632e+09,2.069e+09,3.563e+09,3.646e+09,8.643e+09,8.643e+09,1.7921e+10,2.8829e+10,5.12e+09,3.277e+09,1.843e+09,3.3949e+10,5.187e+10,2.3533e+10,-4.149e+09,-3.803e+09,-1.853e+09,1.7359e+10,1.386e+09,1.8745e+10,7.0615e+10,-1.173e+10,5.28e+08,1.1985e+10,75999999.9999999,8.59e+08,-2.67e+08,1.87e+09,3.2e+08,-1.1e+07,1.912e+09,-2.349e+09,-4999999.99999999,-2.506e+09,2.65e+08,2.65e+08,1.8e+07,2.83e+08,1.453e+09,3.2475e+10,-2.09e+08,0.42071,0.17136,-2.14894,-0.61883,-0.16427,0.0180199999999999,0.85832,2.76714,0.45989,-11.41732,-11.41732,5.31299,13.51181,-0.20571,-0.20319,-0.00371,21.68754,34.06703
"5","2018_Q2",20.39296875,"Up",5.065e+09,-2.75e+09,2.315e+09,-1.384e+09,-1.067e+09,-3.17e+08,9.31e+08,-6.8e+07,-2.71e+08,2.03e+08,8.63e+08,3.91e+08,1.254e+09,-4.6e+07,-7.4e+07,1.134e+09,1.134e+09,-1.4e+07,1.12e+09,1.055e+09,1.418e+09,1.418e+09,6.289e+09,6.289e+09,5.113e+09,1.867e+09,1.138e+09,1.7e+07,7.12e+08,1.4687e+10,7.42e+09,4.7074e+10,1.7314e+10,2.8465e+10,4.63e+08,8.32e+08,5.4494e+10,6.9181e+10,5.168e+09,1.929e+09,3.239e+09,1.302e+09,8.286e+09,8.286e+09,1.4756e+10,2.945e+10,4.873e+09,2.998e+09,1.875e+09,3.4323e+10,4.9079e+10,2.3497e+10,-4.149e+09,-2.688e+09,-1.735e+09,1.8621e+10,1.481e+09,2.0102e+10,6.9181e+10,1.134e+09,5.07e+08,4.63e+08,-6.08e+08,1.496e+09,-1.63e+08,8.24e+08,4.44e+08,-6.6e+07,1.039e+09,-2.064e+09,-2.7e+07,-2.091e+09,4.44e+08,4.44e+08,1.1e+07,4.55e+08,1.438e+09,3.0752e+10,7.13e+08,0.45706,0.18381,0.20829,0.0524799999999999,0.01525,0.67583,0.99532,2.4415,0.44452,1.03736,1.03431,4.98033,14.67552,0.70108,0.01893,0.01279,20.39917,31.50806
"6","2018_Q3",23.215873015873,"Up",4.701e+09,-2.607e+09,2.094e+09,-1.349e+09,-1.059e+09,-2.9e+08,7.45e+08,-1.4e+08,-2.36e+08,9.6e+07,6.05e+08,-854999999.999998,-249999999.999998,7.6e+07,8e+06,-166000000.000002,-166000000.000002,-1e+07,-175999999.999998,-2.41e+08,1.861e+09,1.861e+09,6.061e+09,6.061e+09,4.971e+09,1.818e+09,1.104e+09,2.9e+07,6.85e+08,1.4711e+10,7.213e+09,4.5106e+10,1.6212e+10,2.7648e+10,4.4e+08,8.06e+08,5.2319e+10,6.703e+10,4.701e+09,1.779e+09,2.922e+09,1.272e+09,8.242e+09,8.242e+09,1.4215e+10,2.8965e+10,4.482e+09,2.668e+09,1.814e+09,3.3447e+10,4.7662e+10,2.348e+10,-4.149e+09,-2.864e+09,-2.289e+09,1.7938e+10,1.43e+09,1.9368e+10,6.703e+10,-1.66e+08,4.79e+08,465000000.000002,-6.16e+08,1.62e+08,-1.36e+08,17000000.0000001,5.26e+08,-1000000.00000003,4.06e+08,-5.1e+07,1.7e+07,-5.6e+07,5.12e+08,5.12e+08,-6.9e+07,4.43e+08,1.224e+09,3.0237e+10,3.96e+08,0.44544,0.15848,-0.05127,-0.01244,-0.0036,-1.64315,1.03489,2.46086,0.4511,-0.236510000000002,-0.236270000000001,4.61335,13.91364,0.38862,-0.00405,0.00732,23.18301,38.08859
"7","2018_Q4",20.5007936507936,"Down",4.529e+09,-2.508e+09,2.021e+09,-1.363e+09,-1.052e+09,-3.11e+08,6.58e+08,-1.94e+08,-2.29e+08,3.5e+07,4.64e+08,-6.77e+08,-2.13e+08,2.6e+07,-1e+07,-1.97e+08,-1.97e+08,-1.1e+07,-2.08e+08,-2.73e+08,1.875e+09,1.875e+09,5.665e+09,5.665e+09,4.866e+09,1.475e+09,9.11e+08,8.1e+07,4.83e+08,1.3881e+10,7.101e+09,4.4079e+10,1.5345e+10,2.7585e+10,4.27e+08,7.22e+08,5.118e+10,6.5061e+10,4.57e+09,1.626e+09,2.944e+09,2.673e+09,7.587e+09,7.587e+09,1.483e+10,2.6816e+10,4.281e+09,2.478e+09,1.803e+09,3.1097e+10,4.5927e+10,2.3458e+10,-4.146e+09,-3.072e+09,-2.335e+09,1.773e+10,1.404e+09,1.9134e+10,6.5061e+10,-1.97e+08,4.74e+08,4.49e+08,-3.05e+08,4.21e+08,-1.39e+08,3.9e+07,4.02e+08,4.5e+07,3.47e+08,-7.02e+08,-3e+06,-7.05e+08,6.3e+07,6.3e+07,-4.9e+07,1.4e+07,1.132e+09,2.9489e+10,6.62e+08,0.44624,0.14529,-0.06028,-0.01427,-0.0042,-2.42491,0.93601,2.40028,0.45325,-0.26817,-0.26765,4.44892,13.65914,0.65029,-0.00516,0.01251,24.39399,41.96657
"8","2019_Q1",17.6347540983607,"Down",3.976e+09,-2.11e+09,1.866e+09,-1.331e+09,-1.036e+09,-2.95e+08,5.35e+08,-2.66e+08,-2.23e+08,-4.3e+07,2.69e+08,-3.656e+09,-3.387e+09,1.39e+08,4999999.99999999,-3.243e+09,-3.243e+09,3.57e+08,-2.886e+09,-2.94e+09,1.782e+09,1.782e+09,5.822e+09,5.822e+09,4.731e+09,1.459e+09,8.99e+08,9.2e+07,4.68e+08,1.3794e+10,6.868e+09,4.0021e+10,1.4005e+10,2.4917e+10,3.68e+08,7.31e+08,4.6889e+10,6.0683e+10,4.591e+09,1.853e+09,2.738e+09,2.216e+09,7.515e+09,7.515e+09,1.4322e+10,2.67e+10,3.867e+09,2.14e+09,1.727e+09,3.0567e+10,4.4889e+10,2.7266e+10,-4.142e+09,-5.958e+09,-2.459e+09,1.4707e+10,1.087e+09,1.5794e+10,6.0683e+10,-3.243e+09,3.82e+08,3.657e+09,-4.29e+08,3.67e+08,1.522e+09,-1.09e+08,-1.372e+09,3.3e+07,7.4e+07,-4.55e+08,-6.6e+07,-4.99e+08,-58000000.0000001,-58000000.0000001,-3.5e+07,-9.3e+07,9.17e+08,2.8916e+10,1.871e+09,0.46932,0.13456,-0.73944,-0.18615,-0.04845,-0.63639,0.96313,2.84216,0.47651,-2.85437,-2.87109,3.86019,14.27864,1.8165,-0.06098,0.03852,29.58997,50.71776
"9","2019_Q2",12.0579365079365,"Down",4.295e+09,-2.44e+09,1.855e+09,-1.201e+09,-9.4e+08,-2.61e+08,6.54e+08,-2.12e+08,-2.18e+08,6e+06,4.42e+08,-5.27e+08,-8.5e+07,-9e+06,-4e+06,-9.8e+07,-9.8e+07,-8e+06,-1.06e+08,-1.06e+08,1.973e+09,1.973e+09,5.108e+09,5.108e+09,4.782e+09,1.569e+09,9.69e+08,1.62e+08,4.38e+08,1.3432e+10,6.785e+09,3.9637e+10,1.3191e+10,2.4822e+10,3.51e+08,1.273e+09,4.6422e+10,5.9854e+10,4.265e+09,1.763e+09,2.502e+09,2.79e+09,6.973e+09,6.973e+09,1.4028e+10,2.5834e+10,4.172e+09,2.079e+09,2.093e+09,3.0006e+10,4.4034e+10,2.729e+10,-4.137e+09,-6.063e+09,-2.359e+09,1.4731e+10,1.089e+09,1.582e+10,5.9854e+10,-9.7e+07,4.43e+08,4.88e+08,-7.22e+08,1.12e+08,-1.25e+08,1.3e+07,3.62e+08,2.2e+07,2.72e+08,-1.27e+08,-6.2e+07,-1.89e+08,1.95e+08,1.95e+08,-4e+06,1.91e+08,1.097e+09,2.8624e+10,2.59e+08,0.4319,0.15227,-0.02468,-0.00670000000000001,-0.00177,-2.4434,0.95751,2.78344,0.47823,-0.09725,-0.09725,3.94037,13.51468,0.23761,-0.00217999999999999,0.00532999999999999,24.29444,40.75076
"10","2019_Q3",7.66171875,"Down",4.337e+09,-2.443e+09,1.894e+09,-1.238e+09,-9.62e+08,-2.76e+08,6.56e+08,-1.98e+08,-2.07e+08,9e+06,4.58e+08,-1.309e+09,-8.51e+08,1.79e+08,1.86264514923096e-09,-6.72e+08,-6.72e+08,-1.8e+07,-6.9e+08,-6.9e+08,2.165e+09,2.165e+09,5.26e+09,5.26e+09,4.85e+09,1.53e+09,1.069e+09,2.4e+07,4.37e+08,1.3805e+10,6.732e+09,3.8886e+10,1.2435e+10,2.4913e+10,3.17e+08,1.221e+09,4.5618e+10,5.9423e+10,4.728e+09,1.806e+09,2.922e+09,2.771e+09,6.953e+09,6.953e+09,1.4452e+10,2.5955e+10,3.766e+09,1.698e+09,2.068e+09,2.9721e+10,4.4173e+10,2.7314e+10,-4.128e+09,-6.752e+09,-2.312e+09,1.4122e+10,1.128e+09,1.525e+10,5.9423e+10,-6.71e+08,4.5e+08,3.17e+08,-3.23e+08,-2.27e+08,-1.12e+08,1.21e+08,3.84e+08,3.6e+07,4.29e+08,-3.2e+07,-3e+06,-35000000.0000001,1.67e+08,1.67e+08,2.5e+07,1.92e+08,1.106e+09,2.8726e+10,4.92e+08,0.43671,0.15126,-0.1591,-0.04525,-0.01161,-0.71304,0.95523,2.89659,0.48342,-0.63187,-0.63187,3.97161,12.93223,0.45055,-0.01445,0.01031,24.01537,40.48933
