"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",34.1316129032258,"Up",2602446000,-2257227000,345219000,-257282000,-257282000,87937000,64528000,-8065000,72454000,139000,152465000,152465000,-57784000,94681000,94681000,94681000,94681000,445110000,445110000,62660000,62660000,1339044000,238550000,229235000,2085364000,1411588000,5800731000,147571000,5653160000,7212319000,9297683000,389702000,272807000,265999.999999993,116629000,185990000,169399000,575692000,5552488000,5211064000,145834000,145834000,5698322000,6274014000,1056125000,114108000,942017000,2019289000,-51745000,3023669000,3023669000,9297683000,94681000,24279000,29070000,16391000,-6493000,19172000,-361326000,7766000,-141031000,-228061000,-213296000,-81024000,-81024000,-298000,4614000,-76708000,-4006000,-362000,-3644000,-3644000,-25814000,25277000,-51091000,306367000,276547000,-13457000,-13457000,-13457000,112216000,5738478000,-272350000,0.13265,0.03379,0.03638,0.03131,0.01018,-2.8765,3.62236,2.07497,0.61719,0.41363,0.40697,11.36936,13.20956,-1.18982,0.01063,-0.03057,47.17124,60.195
"12","2013_Q1",39.4376666666667,"Up",2827948000,-2458713000,369235000,-265475000,-265475000,103760000,68391000,-7997000,75958000,430000,172151000,172151000,-64930000,107221000,107221000,107221000,107221000,449364000,449364000,91961000,91961000,1517813000,250993000,245800000,2310131000,1428970000,6149501000,145875000,6003626000,7578471000,9888602000,484764000,336721000,222000,147821000,199409000,182915000,684173000,6009627000,5672175000,175635000,175635000,6185262000,6869435000,1085203000,112953000,972250000,1993772000,-59808000,3019167000,3019167000,9888602000,107221000,24562000,74014000,15515000,10427000,48072000,-485010000,-29301000,-178769000,-276940000,-279213000,-50765000,-50765000,-30231000,4937000,-76059000,-4069000,-351000,-3718000,-3718000,-118404000,33910000,-152314000,481999000,359526000,4253999.99999999,4253999.99999999,4253999.99999999,128322000,6209036000,-342523000,0.13057,0.03669,0.03791,0.03551,0.01084,-3.19455,3.37653,2.27527,0.6279,0.47163,0.46386,12.43918,13.28029,-1.50664,0.0114,-0.03642,44.88452,55.50956
"13","2013_Q2",45.40421875,"Up",3311057000,-2862961000,448096000,-290189000,-290189000,157907000,79382000,-7878000,87019000,241000,237289000,237289000,-90638000,146651000,146651000,146651000,146651000,725267000,725267000,70452000,70452000,1398200000,260854000,256117000,2454773000,1444128000,6551553000,138158000,6413395000,7995681000,10450454000,485319000,316640000,58965000,109714000,224915000,207113000,710234000,6493207000,6160242000,171631000,171631000,6664838000,7375072000,1102851000,112073000,990778000,2030041000,-57510000,3075382000,3075382000,10450454000,146651000,24335000,49880000,22941000,6695000,20244000,-298445000,21509000,119613000,-439567000,-77579000,-37435000,-42045000,-1161000,-7916000,-46512000,-3179000,617000,-3796000,-3796000,-119011000,11204000,-130215000,522184000,399994000,275903000,275903000,275903000,182242000,6718122000,-6.3e+07,0.13533,0.04769,0.04429,0.04769,0.01403,-0.42959,3.45629,2.3981,0.64285,0.65289,0.64165,14.74084,13.69161,-0.28048,0.01472,-0.00632,32.88405,37.9518
"14","2013_Q3",48.916875,"Up",3245552000,-2810809000,434743000,-283206000,-283206000,151537000,75588000,-7761000,84422000,-1073000,227125000,227125000,-86851000,140274000,140274000,140274000,140274000,750032000,750032000,85549000,85549000,1364016000,281813000,277513000,2481410000,1535431000,6916933000,146167000,6770766000,8452364000,10933774000,492909000,346152000,1808000,144949000,237010000,218104000,729919000,6837820000,6512328000,181256000,181256000,7019076000,7748995000,1111923000,111665000,1000258000,2126765000,-53909000,3184779000,3184779000,10933774000,140274000,24825000,33494000,15061000,-9895000,28328000,-384623000,-15097000,34184000,-403710000,-186030000,-93860000,-93966000,-244000,-8069000,-102173000,-6369000,767000,-7136000,-7136000,-45514000,3549000,-49063000,364851000,312968000,24765000,24765000,24765000,176362000,7074830000,-215270000,0.13395,0.04669,0.04322,0.04405,0.01283,-1.53464,3.39957,2.43313,0.64706,0.62732,0.61623,14.51434,14.24256,-0.9627,0.01344,-0.02062,35.86259,41.73765
"15","2013_Q4",49.02421875,"Up",2941407000,-2559686000,381721000,-284366000,-284366000,97355000,75845000,-7649000,83905000,-411000,173200000,173200000,-66748000,106452000,106452000,106452000,106452000,664758000,664758000,68027000,68027000,1556277000,269732000,267081000,2558794000,1588633000,7156448000,151281000,7005167000,8745081000,11303875000,514942000,367478000,8554000,138910000,233659000,214535000,748601000,7076325000,6755534000,190580000,190580000,7266905000,8015506000,1125553000,111614000,1013939000,2219943000,-57127000,3288369000,3288369000,11303875000,106452000,24823000,53082000,16946000,-1376000,37512000,-413888000,17522000,-192261000,-239149000,-229531000,-76462000,-76889000,-463000.000000001,-3089000,-80014000,-4483000,-452000,-4031000,-4031000,-12256000,5214000,-17470000,241010000,224271000,-85274000,-85274000,-85274000,122178000,7309984000,-301424000,0.12977,0.0331,0.03619,0.03237,0.00942,-2.83155,3.4181,2.43753,0.64668,0.4768,0.46808,13.17451,14.72855,-1.35007,0.00987,-0.02794,54.38971,68.25768
"16","2014_Q1",46.7060655737705,"Down",3076283000,-2692142000,384141000,-297454000,-297454000,86687000,73021000,-7546000,80821000,-254000,159708000,159708000,-60499000,99209000,99209000,99209000,99209000,627901000,627901000,79923000,79923000,1641424000,293976000,286110000,2643224000,1652977000,7410956000,152199000,7258757000,9063933000,11707157000,632518000,427492000,2438000,202588000,242979000,223938000,875497000,7340431000,7024506000,174232000,174232000,7514663000,8390160000,1149052000,110843000,1038209000,2214216000,-46271000,3316997000,3316997000,11707157000,99209000,27928000,64504000,11532000,-12609000,65581000,-311664000,-11896000,-85147000,-214621000,-120023000,-97465000,-97417000,-183000,-10334000,-107982000,-5338000,-705000,-4633000,-4633000,-91467000,25179000,-116646000,287953000,191148000,-36857000,-36857000,-36857000,114615000,7583410000,-234015000,0.12487,0.02818,0.03225,0.02991,0.00847,-2.35881,3.01911,2.52944,0.64776,0.44516,0.43757,13.80347,14.88357,-1.05004,0.00896,-0.02113,60.68585,80.23705
"17","2014_Q2",45.4168253968254,"Down",3750196000,-3248465000,501731000,-313446000,-313446000,188285000,86737000,-7601000,94615000,-277000,275022000,275022000,-105369000,169653000,169653000,169653000,169653000,532191000,532191000,97810000,97810000,1681800000,324935000,316855000,2636736000,1696940000,7815284000,150905000,7664379000,9512224000,12148960000,687229000,433115000,94816000,159298000,274929000,253972000,962158000,7688765000,7373003000,168665000,168665000,7857430000,8819588000,1145439000,109242000,1036197000,2229709000,-45776000,3329372000,3329372000,12148960000,169653000,27343000,53548000,15388000,771000,37389000,-459624000,-17887000,-40376000,-401361000,-209080000,-53709000,-53709000,-2798000,-37612000,-94119000,-3544000,660000,-4204000,-4204000,-171804000,120000,-171924000,382837000,207489000,-95710000,-95710000,-95710000,215628000,7963694000,-192336000,0.13379,0.05021,0.04524,0.05096,0.01396,-1.1337,2.74044,2.64902,0.6555,0.77021,0.75863,17.02561,15.1151,-0.87319,0.0148,-0.01678,34.46446,39.46944
"18","2014_Q3",51.18875,"Up",3599194000,-3135855000,463339000,-297638000,-297638000,165701000,84940000,-7351000,92574000,-283000,250641000,250641000,-96123000,154518000,154518000,154518000,154518000,354600000,354600000,108859000,108859000,1708955000,344028000,335753000,2516442000,1753992000,8129479000,157175000,7972304000,9883471000,12399913000,623993000,418269000,244000,205480000,282934000,260425000,906927000,7958973000,7648284000,176026000,176026000,8134999000,9041926000,1197669000,108352000,1089317000,2204785000,-44467000,3357987000,3357987000,12399913000,154518000,28423000,53288000,22390000,-7301000,38199000,-463768000,-11049000,-27155000,-425564000,-227539000,-75755000,-81584000,-309000,-13610000,-89674000,-3521000,987000,-4507999.99999999,-4507999.99999999,-164075000,44150000,-208225000,307218000,139622000,-177591000,-177591000,-177591000,194124000,8241907000,-249276000,0.12873,0.04604,0.04293,0.04602,0.01246,-1.61325,2.77469,2.69266,0.66467,0.70821,0.69896,16.49644,15.3909,-1.14252,0.01312,-0.02117,40.63025,47.59963
"19","2014_Q4",55.4528125,"Up",3405234000,-2958614000,446620000,-316632000,-316632000,129988000,80848000,-7338000,89722000,-1536000,210836000,210836000,-80787000,130049000,130049000,130049000,130049000,189880000,189880000,88180000,88180000,1964673000,330519000,324151000,2573252000,1833600000,8436554000,166811000,8269743000,10270154000,12843406000,662886000,459929000,424000,202533000,265296000,241807000,928182000,8550397000,8238626000,182675000,182675000,8733072000,9661254000,1185726000,105459000,1080267000,2042284000,-45858000,3182152000,3182152000,12843406000,130049000,29228000,53533000,19414000,-6817000,40936000,-560806000,20679000,-255718000,-325767000,-347996000,-103563000,-103567000,-361000,21549000,-82375000,295662000,345000,295317000,-4683000,-305410000,10023000,-315433000,275399000,265651000,-164720000,-164720000,-164720000,159216000,8815693000,-424366000,0.13116,0.03817,0.03819,0.04087,0.01013,-3.26312,2.77236,3.03608,0.6864,0.60706,0.59924,15.89537,14.85404,-1.98091,0.01068,-0.03484,54.1768,66.35853
"20","2015_Q1",65.2003278688525,"Up",3514092000,-3038255000,475837000,-330009000,-330009000,145828000,87004000,-2183000,90383000,-1196000,232832000,232832000,-89694000,143138000,143138000,143138000,143138000,27606000,27606000,137690000,137690000,2086874000,338768000,338768000,2590938000,1862538000,8744725000,175738000,8568987000,10607263000,13198201000,706671000,454810000,1554000,250307000,290502000,268163000,997173000,8818750000,8512466000,225493000,225493000,9044243000,10041416000,1227955000,104435000,1123520000,1994221000,-65391000,3156785000,3156785000,13198201000,143138000,30179000,74394000,24688000,9048000,40658000,-431226000,-49510000,-122201000,-259515000,-183515000,-70921000,-70957000,-346000,-23309000,-94576000,3363000,-1789000,5152000,-679848000,-193229000,35517000,-228746000,305683000,115817000,-162274000,-162274000,-162274000,176007000,9109252000,-236446000,0.13541,0.0415,0.04073,0.04534,0.01085,-1.65187,2.59828,3.1809,0.69019,0.68229,0.67189,16.75036,15.04721,-1.12705,0.01146,-0.01893,51.59821,62.27642
"21","2015_Q2",71.278253968254,"Up",4014888000,-3471094000,543794000,-349779000,-349779000,194015000,101964000,-7103000,109108000,-41000,295979000,295979000,-114005000,181974000,181974000,181974000,181974000,351698000,351698000,103663000,103663000,1844077000,366387000,357142000,2665825000,1896348000,9108504000,156726000,8951778000,11004852000,13670677000,689819000,446453000,59089000,184277000,309754000,287350000,999573000,9176253000,8874773000,220185000,220185000,9396438000,10396011000,1274371000,104341000,1170030000,2066753000,-66458000,3274666000,3274666000,13670677000,181974000,32066000,67889000,23409000,10475000,34005000,-164375000,34027000,242797000,-441199000,117554000,-58018000,-59437000,-3942000,-35117000,-97077000,-14656000,-4000,-14652000,-34652000,-99903000,34323000,-134226000,418174000,303615000,324092000,324092000,324092000,226081000,9486007000,117693000,0.13544,0.04832,0.04532,0.05557,0.01331,0.64676,2.66696,3.17468,0.69389,0.87195,0.85978,19.23779,15.69093,0.56394,0.01402,0.00907,40.40282,47.08043
