"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",2.64650793650794,"Up",5829000,-3645000,2184000,-1779000,-1188000,-424000,-764000,-591000,405000,-57000,-57000,-57000,348000,348000,-6000,342000,342000,342000,342000,-24174864.6481164,-24174864.6607331,33685282.2772317,33685282.2772317,34555502.0247912,-6661554.60576552,-2512115.99805903,165108.269873951,37404365.0481411,-8111011.26817431,-8111000.68042465,-8109889.07508272,29294475.9730584,29482627.7334367,20895124.7060654,8587503.02737136,30289996.7551056,-508793.679433839,-654249.128394135,203038.172576728,30493034.9276823,16646843.6799522,-17845405.5251991,-1198558.95462395,-1198558.95462395,29294475.9730584,342000,172000,-26000,-107000,381000,-6000,-6000,-1e+05,-1628000,-1253000,-1253000,-1253000,577000,0,470000,0.37468,0.06948,0.05867,-0.432862654902244,-0.373123388420297,1.37427,-21.289289703509,3.39049953864454,0.00561425986999119,0.10517,0.1048,1.79252,-0.366132037872932,0.14453,-0.41367689264435,-1.24299937576233,1181.2763422694,834.107817380001
"2","2011_Q3",1.90171875,"Down",6157000,-3733000,2424000,-1852000,-1247000,-351000,-896000,-605000,572000,-23000,-23000,-23000,549000,549000,-148000,401000,401000,401000,401000,-7741932.32405818,-7741932.33036654,18906641.1386159,18906641.1386159,16240251.0123956,-2699777.30288276,-1105057.99902952,74554.1349369754,24705182.5240705,-3295005.63408716,-3295000.34021233,-3294444.53754136,21410737.9865292,15078813.8667184,9512062.35303268,5566751.51368568,15660998.3775528,72603.1602830806,-81124.5641970676,862019.086288364,16523017.4638412,16699421.8399761,-11811702.7625996,4887720.52268803,4887720.52268803,21410737.9865292,401000,170000,28000,-1038000,-439000,-9999.99999999997,-10000,-1e+05,-72999.9999999998,-522000,-522000,-522000,742000,0,-158000,0.3937,0.0929,0.06513,-0.0779563274511219,-0.0903016942101487,-0.394010000000001,-7.42557485175452,1.80785976932227,0.0331621299349956,0.12288,0.12286,1.88666,1.49372398106353,-0.04842,-0.0823434463221748,-0.398009687881167,504.075671134699,359.04941369
"3","2011_Q4",2.22492063492063,"Up",5328000,-2714000,2614000,-1161000,-967000,-422000,-545000,-194000,1453000,-55000,-55000,-55000,1398000,1398000,-272000,1126000,868000,868000,868000,1176022.55864727,1176022.55654449,10538880.3795386,10538880.3795386,6862750.3374652,-551259.100960921,-265352.666343172,26184.7116456585,18026394.1746902,-813668.544695719,-813666.780070775,-813481.512513787,17212912.6621764,7034937.95557279,3469687.45101089,3565250.50456189,7466999.45918426,392534.386761027,232625.145267644,1202006.36209612,8669005.82128038,16728473.9466587,-8184567.58753319,8543906.84089601,8543906.84089601,17212912.6621764,868000,166000,9000,827000,1870000,-165000,-165000,54000,54000,1759000,1759000,1759000,1619000,0,2553000,0.49062,0.27271,0.16291,0.0797245575162927,0.0412194352632837,2.94124,0.453435049415161,0.908259923107423,0.0468773766449985,0.26527,0.26428,1.62829,2.61099132702118,0.78022,0.0668988512259417,0.00271677070627777,138.398880378233,99.8289012300001
"4","2012_Q1",2.36516129032258,"Up",6746000,-3827000,2919000,-1871000,-1372000,-403000,-969000,-499000,1048000,-13000,-13000,-13000,1035000,1035000,-104000,931000,1029000,1029000,1029000,4689000,4689000,6789000,6789000,3703000,320000,145000,12000,15501000,60000,60000,60000,15561000,3586000,1207000,2379000,3943000,520000,357000,1294000,5237000,16744000,-6420000,10324000,10324000,15561000,1029000,189000,14000,-146000,1086000,-84000,-84000,-90000,-91000,911000,911000,911000,1237000,774000,1111000,0.4327,0.15535,0.15253,0.09967,0.06613,1.07969,3.93127,0.50726,0.04974,0.31446,0.30827,2.06153,3.15495,0.33951,0.08857,0.09563,-3.16492,-3.73569
"5","2012_Q2",2.09603174603175,"Down",5045000,-2937000,2108000,-1751000,-1190000,-374000,-816000,-561000,357000,-10000,-10000,-10000,347000,347000,-1000,346000,446000,446000,446000,4907000,4907000,5864000,5864000,4041000,450000,264000,24000,15262000,53000,53000.0000000001,53000.0000000001,15315000,2967000,1163000,1804000,3324000,524000,362000,1209000,4533000,16756000,-5974000,10782000,10782000,15315000,446000,169000,13000,-279000,349000,-42000,-42000,-89000,-89000,218000,218000,218000,526000,685000,206000,0.41784,0.07076,0.0884,0.04137,0.02912,0.46188,4.59146,0.42042,0.04473,0.13629,0.13597,1.54171,3.29488,0.06295,0.03719,0.01718,-8.02662000000001,-11.82633
"6","2012_Q3",1.84460317460317,"Down",4017000,-2770000,1247000,-1565000,-1057000,-369000,-688000,-508000,-318000,-10000,-10000,-10000,-328000,-328000,-1000,-329000,-292000,-292000,-292000,4267000,4267000,5807000,5807000,4733000,448000,234000,52000,15255000,53000,53000,53000,15308000,3368000,1624000,1744000,3725000,477000,315000,1072000,4797000,16777000,-6266000,10511000,10511000,15308000,-292000,170000,26000,-259000,-355000,-195000,-195000,-90000,-90000,-640000,-640000,-640000,-148000,595000,-601000,0.31043,-0.07916,-0.07269,-0.02778,-0.01907,2.05822,4.0953,0.45638,0.03887,-0.08923,-0.08835,1.22756,3.21206,-0.18366,-0.02521,-0.05189,24.81081,11.54717
"7","2012_Q4",1.96032258064516,"Up",4539000,-3336000,1203000,-1908000,-1422000,-449000,-973000,-486000,-705000,-8000,-8000,-8000,-713000,-713000,167000,-546000,-486000,-486000,-486000,4879000,4879000,4825000,4825000,3059000,850000,193000,88000,13613000,787000,787000,787000,14400000,3024000,1029000,1995000,3381000,448000,286000,954000,4335000,16817000,-6752000,10065000,10065000,14400000,-486000,154000,41000,918000,627000,74000,74000,-89000,-89000,612000,612000,612000,-551000,506000,274000,0.26504,-0.15532,-0.10707,-0.04829,-0.03375,-0.56379,4.02632,0.4307,0.03514,-0.14852,-0.14852,1.38708,3.07577,0.08373,-0.04411,0.02487,7.93648,6.20284
"8","2013_Q1",2.08516666666667,"Up",3656000,-2798000,858000,-1557000,-1044000,-339000,-705000,-513000,-699000,-8000,-8000,-8000,-707000,-707000,276000,-431000,-544000,-544000,-544000,4112000,4112000,4120000,4120000,2791000,1013000,172000,123000,12036000,786000,786000,786000,12822000,2038000,633000,1405000,2832000,440000,331000,440000,3272000,16846000,-7296000,9550000,9550000,12822000,-544000,154000,37000,-223000,-576000,-96000,-96000,-89000,-95000,-767000,-767000,-767000,-545000,0,-1140000,0.23468,-0.19119,-0.1488,-0.05696,-0.04243,2.09559,4.25,0.34262,0,-0.16624,-0.16832,1.11724,2.91839,-0.34837,-0.05445,-0.11411,7.54495,5.88269
"9","2013_Q2",1.963125,"Down",3461000,-2225000,1236000,-1288000,-882000,-274000,-608000,-406000,-52000,-6000,-6000,-6000,-58000,-58000,-1000,-59000,-17000,-17000,-17000,3125000,3125000,4268000,4268000,3482000,911000,152000,83000,11786000,786000,786000,786000,12572000,2571000,1107000,1464000,2571000,438000,329000,438000,3009000,16876000,-7313000,9563000,9563000,12572000,-17000,151000,24000,-330000,-172000,-41000,-41000,-774000,-774000,-987000,-987000,-987000,99000,0,-271000,0.35712,-0.01502,-0.00491,-0.00177999999999999,-0.00135,15.94118,4.58421,0.31465,-3.46944695195361e-18,-0.00518,-0.00518,1.05532,2.91592,-0.08263,-0.00170000000000001,-0.0271,-31.56566,60.09615
"10","2013_Q3",1.9384375,"Down",3007000,-1974000,1033000,-1412000,-948000,-322000,-626000,-464000,-379000,0,0,0,-379000,-379000,20000,-359000,-348000,-348000,-348000,2549000,2549000,3465000,3465000,3515000,1006000,237000,90000,10535000,786000,786000,786000,11321000,1584000,576000,1008000,1584000,436000,327000,436000,2020000,16962000,-7661000,9301000,9301000,11321000,-348000,147000,38000,-456000,-619000,-7000.00000000001,-7000,0,50000,-576000,-576000,-576000,-232000,0,-715000,0.34353,-0.12604,-0.11573,-0.03742,-0.03074,2.0546,6.65088,0.21718,0,-0.10485,-0.10485,0.90595,2.8022,-0.21541,-0.03574,-0.07343,10.98707,6.72559
