"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",27.6930158730159,"Up",1.265e+09,-1.029e+09,2.36e+08,-1.47e+08,-1.24e+08,-1.8e+07,-5e+06,8.9e+07,-2.6e+07,-2.6e+07,6.3e+07,5.7e+07,-9e+06,1e+06,4.9e+07,4.9e+07,-1e+06,4.8e+07,4.8e+07,-381719239.933578,-381719239.933578,-1067000163.56046,-1067000163.56046,-249082208.777768,-676748589.775166,-166084836.569555,-2374550202.04697,3713160492.10813,715689758.368709,895700685.378104,442193170.798823,-316980189.688384,-305223908.119834,4428850250.47684,2054300048.42987,4954246615.44181,-10432716635.2019,2984022559.18829,185163387.573749,2798859171.61454,-7448694076.01365,-2494447460.57184,3828005471.19225,-338596593.948154,485478872.710059,469959179.12481,4444846929.07897,103895819.993239,4548742749.07221,2054295288.50037,0,0.18656,0.07036,0.03794,-0.498702319875956,-0.252839611187625,-8.34532103765748,-0.881669395118875,-0.476467327990221,0.37945,0.37647,10,24.7166634156716,-0.292411269651328,-1508.78074228703
"2","2010_Q3",24.32046875,"Down",1.378e+09,-1.094e+09,2.84e+08,-1.56e+08,-1.38e+08,-1.8e+07,0,1.28e+08,-3.1e+07,-3.1e+07,9.7e+07,9.4e+07,8.44e+08,1e+06,9.39e+08,9.39e+08,-2e+06,9.37e+08,9.37e+08,-141359619.966789,-141359619.966789,-350500081.780229,-350500081.780229,219958895.611116,-200874294.887583,9457581.71522236,-472775101.023485,3112080246.05407,2044844879.18435,1005350342.68905,822096585.399412,177509905.155808,39888045.9400828,5156925125.23842,4684150024.21494,2601623307.7209,-3761858317.60097,1865511279.59414,122581693.786874,1742929585.80727,-1896347038.00682,705276269.714082,3847002735.59613,-285298296.974077,319739436.35503,31479589.562405,3912923464.53948,65947909.9966194,3978871374.5361,4684147644.25019,0,0.2061,0.09289,0.67997,-0.261776159937978,-0.133114805593813,-2.89364051882874,0.123970302440562,-0.0981286639951104,7.38377,7.33751,10.85894,26.8555167078358,-0.153830634825664,-708.699676143514
"3","2010_Q4",24.528125,"Up",1.186e+09,-9.5e+08,2.36e+08,-1.52e+08,-1.23e+08,-1.9e+07,-1e+07,8.4e+07,-2.8e+07,-2.8e+07,5.6e+07,4.1e+07,1.9e+07,1e+06,6.1e+07,6.1e+07,-3e+06,5.8e+07,5.8e+07,-6119873.32226291,-6119873.32226291,183166639.40659,183166639.40659,490652965.203705,70041901.7041391,117485860.571741,737741632.992172,2824026748.68469,2743281626.39478,1065783447.56302,1018365528.46647,436503301.718603,222629348.646694,5567308375.07947,6305050008.07165,1375541102.57363,-2952772.53365564,1206837093.19805,88860564.5956248,1117976528.60242,1203884320.66439,2579425423.23803,3863334245.19871,-247432765.658026,225246478.78501,-161173470.145865,3679974488.17983,45649303.3322065,3725623791.51203,6305049214.75006,0,0.19899,0.07083,0.0489,-0.112358719979326,-0.0573849351979375,0.167889827057087,0.692216767480187,0.123313778668297,0.46437,0.45669,9.4956,28.3746022359453,-0.0662335449418881,-242.096718714505
"4","2011_Q1",29.721935483871,"Up",1.168e+09,-9.68e+08,2e+08,-2.66e+08,-1.31e+08,-2.1e+07,-1.14e+08,-6.6e+07,-2.5e+07,-2.5e+07,-9.1e+07,-9.6e+07,-13999999.9999999,1e+06,-1.09e+08,-1.09e+08,-1e+06,-1.1e+08,-1.1e+08,5.2e+07,5.2e+07,5.46e+08,5.46e+08,6.2e+08,1.9e+08,1.74e+08,1.408e+09,2.754e+09,2.996e+09,1.09e+09,1.088e+09,5.29e+08,2.89e+08,5.75e+09,7.158e+09,9.48e+08,1.629e+09,8.95e+08,7.5e+07,8.2e+08,2.524e+09,3.472e+09,3.877e+09,-2.29e+08,1.94e+08,-1.94e+08,3.648e+09,3.8e+07,3.686e+09,7.158e+09,1.635e+09,0.17123,-0.05651,-0.09418,-0.02984,-0.01537,1.48523,0.94194,0.22842,-0.886380000000001,-0.885669999999999,9.41176,29.39565,-0.0177,-23.98485
"5","2011_Q2",31.9133333333333,"Up",1.238e+09,-1.036e+09,2.02e+08,-1.41e+08,-1.35e+08,-1.9e+07,1.3e+07,6.1e+07,-2.5e+07,-2.5e+07,3.6e+07,3.6e+07,-1.1e+07,0,2.5e+07,2.5e+07,-1e+06,2.4e+07,2.4e+07,6.1e+07,6.1e+07,7.5e+08,7.5e+08,6.65e+08,2.13e+08,1.95e+08,1.689e+09,2.807e+09,2.988e+09,1.091e+09,1.088e+09,5.24e+08,2.85e+08,5.795e+09,7.484e+09,9.91e+08,1.919e+09,8.17e+08,7.2e+07,7.45e+08,2.736e+09,3.727e+09,3.888e+09,-2.34e+08,2.18e+08,-1.53e+08,3.719e+09,3.8e+07,3.757e+09,7.484e+09,1.929e+09,0.16317,0.04927,0.01939,0.00639,0.00321,1.70434,0.99201,0.25775,0.19386,0.19154,10,30.04039,0.00369,30.62295
"6","2011_Q3",25.90671875,"Down",1.451e+09,-1.172e+09,2.79e+08,-1.44e+08,-1.41e+08,-1.9e+07,1.6e+07,1.35e+08,-2.8e+07,-2.8e+07,1.07e+08,1.07e+08,-2.9e+07,1e+06,7.9e+07,7.9e+07,-1e+06,7.8e+07,7.8e+07,5.1e+07,5.1e+07,8.25e+08,8.25e+08,6.88e+08,2.03e+08,2.03e+08,1.767e+09,2.867e+09,2.939e+09,1.083e+09,1.088e+09,4.97e+08,2.71e+08,5.806e+09,7.573e+09,1.179e+09,1.725e+09,8.46e+08,7e+07,7.76e+08,2.571e+09,3.75e+09,3.896e+09,-2.77e+08,2.96e+08,-1.32e+08,3.783e+09,4e+07,3.823e+09,7.573e+09,1.95e+09,0.19228,0.09304,0.05376,0.0204,0.0103,1.49873,0.98091,0.25749,0.62802,0.62151,11.68277,30.45894,0.01178,14.06667
"7","2011_Q4",23.3068253968254,"Down",1.45e+09,-1.133e+09,3.17e+08,-1.4e+08,-1.19e+08,-2e+07,-1e+06,1.77e+08,-2.8e+07,-2.8e+07,1.49e+08,1.49e+08,-2.3e+07,0,1.26e+08,1.26e+08,-2e+06,1.24e+08,1.24e+08,5e+07,5e+07,7.83e+08,7.83e+08,7.46e+08,2.14e+08,2.14e+08,1.793e+09,2.839e+09,3.034e+09,1.079e+09,1.145e+09,5.17e+08,2.93e+08,5.873e+09,7.666e+09,1.184e+09,1.832e+09,8.69e+08,6e+07,8.09e+08,2.701e+09,3.885e+09,3.901e+09,-3.62e+08,4.2e+08,-2.17e+08,3.742e+09,3.9e+07,3.781e+09,7.666e+09,2.056e+09,0.21862,0.12207,0.08552,0.0328,0.01618,1.51436,1.02751,0.2682,1.01974,1.01806,11.92434,30.77303,0.01849,11.33333
"8","2012_Q1",29.1816129032258,"Up",1.196e+09,-9.66e+08,2.3e+08,-1.42e+08,-1.3e+08,-1.9e+07,7e+06,8.8e+07,-2.7e+07,-2.7e+07,6.1e+07,6.1e+07,-1.1e+07,1e+06,5.1e+07,5.1e+07,-1e+06,5e+07,5e+07,5.2e+07,5.2e+07,6.1e+08,6.1e+08,7.95e+08,1.79e+08,1.79e+08,1.636e+09,2.904e+09,2.987e+09,1.073e+09,1.144e+09,5.38e+08,2.32e+08,5.891e+09,7.527e+09,9.08e+08,1.93e+09,9.48e+08,5.1e+07,8.97e+08,2.878e+09,3.786e+09,3.908e+09,-3.62e+08,4.7e+08,-3.15e+08,3.701e+09,4e+07,3.741e+09,7.527e+09,1.962e+09,0.19231,0.07358,0.04181,0.01337,0.00664,1.80176,1.01203,0.26066,0.41528,0.41186,9.93355,30.7392,0.00752,21.70455
"9","2012_Q2",27.3346031746032,"Down",1.346e+09,-1.16e+09,1.86e+08,-1.64e+08,-1.37e+08,-1.9e+07,-8e+06,2.2e+07,-2.8e+07,-2.8e+07,-6e+06,-4e+07,-5e+06,0,-4.5e+07,-4.5e+07,-1e+06,-4.6e+07,-4.6e+07,5.8e+07,5.8e+07,8.89e+08,8.89e+08,8e+08,1.88e+08,1.88e+08,1.935e+09,2.922e+09,2.976e+09,1.066e+09,1.144e+09,5.29e+08,2.37e+08,5.898e+09,7.833e+09,9.63e+08,2.202e+09,9.45e+08,5.3e+07,8.92e+08,3.147e+09,4.11e+09,3.918e+09,-3.67e+08,4.24e+08,-2.94e+08,3.681e+09,4.2e+07,3.723e+09,7.833e+09,2.228e+09,0.13819,0.01634,-0.03418,-0.01236,-0.00587,2.00935,1.10395,0.28444,-0.37985,-0.37985,11.11478,30.39637,-0.00667,98.63636
"10","2012_Q3",26.9961904761905,"Down",1.391e+09,-1.152e+09,2.39e+08,-1.52e+08,-1.28e+08,-2.1e+07,-3e+06,8.7e+07,-2.8e+07,-2.8e+07,5.9e+07,5.7e+07,-1.7e+07,0,4e+07,4e+07,-1e+06,3.9e+07,3.9e+07,5.4e+07,5.4e+07,8.04e+08,8.04e+08,8.15e+08,1.73e+08,1.73e+08,1.846e+09,2.904e+09,2.965e+09,1.055e+09,1.143e+09,5.25e+08,2.42e+08,5.869e+09,7.715e+09,9.32e+08,2.205e+09,9.27e+08,4.8e+07,8.79e+08,3.132e+09,4.064e+09,3.925e+09,-4.44e+08,4.63e+08,-3.34e+08,3.61e+09,4.1e+07,3.651e+09,7.715e+09,2.237e+09,0.17182,0.06254,0.02804,0.01068,0.00506,1.98069,1.11312,0.28995,0.32312,0.32312,11.52444,29.90886,0.00572,25.09195
