"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.8825396825397,"Up",332927000,-213402000,119525000,-55974000,-38099000,-4780000,-13095000,63551000,-306000,-710000,404000,63245000,63245000,-24982000,38263000,38263000,38263000,38263000,-165263035.186734,-179345055.991403,14082020.8046698,205452944.936415,205452944.936415,35445863.8244622,8029455.29231373,2457730.75118899,75635773.5741431,20237942.0380666,2262163847.22628,2147214173.64554,114949673.293137,2275336103.53461,2350971877.10876,8273075.08863533,27082892.6680349,-73900.9918214253,-73900.9918214253,8199174.09681392,652209231.812469,440363328.627689,78756305.8789991,361607022.74869,1092572560.44016,1100771734.53697,643681663.570296,606518478.985375,1250200142.55567,1250200142.57178,2350971877.10876,38263000,4780000,4479000,-89128000,-41606000,-4062000,753000,-40185000,-43494000,78933000,3193000,3193000,410000,82536000,-2564000,-2564000,-2564000,68331000,0,123000,0.35901,0.19089,0.11493,0.00303600309845974,-0.00851302274232334,0.00321,1.04625161145125,0.823502930301599,0.339851341846283,0.41321,0.40475,3.59532,13.6427772446257,0.00133,-0.0186982972857029,0.110488132532878,8.92479154788841,9.55669534013565
"2","2010_Q3",25.03140625,"Down",349094000,-208762000,140332000,-58232000,-39164000,-5006000,-14062000,82100000,-853000,-1118000,265000,81247000,81247000,-31889000,49358000,49358000,49358000,49358000,37109000,26141000,10968000,178983000,178983000,82716000,5564000,5368000,298808000,44548000,1392340000,1337878000,54462000,1460886000,1759694000,285174000,276836000,178000,178000,285352000,58117000,115902000,64374000,51528000,174019000,459371000,627509000,672814000,1300323000,1300323000,1759694000,49358000,5006000,12220000,23509000,90093000,-3158000,-1848000,-18350000,-23356000,-71081000,4818000,4818000,1728000,-64535000,2201999.99999999,2201999.99999999,2201999.99999999,87106000,58117000,139346000,0.40199,0.23518,0.14139,0.03796,0.02805,2.82317,1.04716,0.35327,0.03303,0.53055,0.51925,3.75241,13.97716,1.49783,0.03348,0.09451,0.24118,0.25588
"3","2010_Q4",30.55640625,"Up",351058000,-211884000,139174000,-57800000,-37499000,-6321000,-13980000,81374000,-43000,-481000,438000,81331000,81331000,-20061000,61270000,61270000,61270000,61270000,75607000,61387000,14220000,174722000,174722000,83648000,5051000,5602000,333977000,44043000,1393506000,1340473000,53033000,1467022000,1800999000,311084000,299245000,158000,158000,311242000,84000,116352000,66247000,50105000,116436000,427678000,639237000,734084000,1373321000,1373321000,1800999000,61270000,6321000,7749000,30052000,105392000,-2834000,-8727000,-5601000,-17162000,-58053000,1560000,1560000,3509000,-52984000,35246000,35246000,35246000,87695000,84000,134974000,0.39644,0.2318,0.17453,0.04461,0.03402,2.20294,1.07305,0.31142,4.99999999999598e-05,0.65476,0.64519,3.75158,14.676,1.4424,0.04113,0.0906,-0.8612,-0.9281
"4","2011_Q1",32.8979032258065,"Up",368480000,-220872000,147608000,-61722000,-39505000,-5843000,-16374000,85886000,-557000,-884000,327000,85329000,85329000,-31529000,53800000,53800000,53800000,53800000,43632000,26251000,17381000,181395000,181395000,70982000,5162000,5241000,296009000,42774000,1671470000,1601319000,70151000,1741637000,2037646000,220936000,207937000,125000,125000,221061000,146556000,222575000,74066000,148509000,369131000,590192000,659570000,787884000,1447454000,1447454000,2037646000,53800000,5843000,26587000,449000,86679000,-2059000,-1081000,-274460000,-277600000,146439000,12961000,12961000,-3615000,155785000,-35136000,-35136000,-35136000,91729000,146556000,121648000,0.40059,0.23308,0.14601,0.03717,0.0264,2.26112,1.33904,0.40774,0.07192,0.57337,0.56038,3.92702,15.42602,1.29644,0.02962,0.06697,1.12204,1.19838
"5","2011_Q2",35.488253968254,"Up",382283000,-243894000,138389000,-62669000,-41798000,-5781000,-15090000,75720000,-586000,-911000,325000,75134000,75134000,-29678000,45456000,45456000,45456000,45456000,29707000,15049000,14658000,188170000,188170000,74297000,4673000,5980000,292174000,60572000,1680188000,1611401000,68787000,1773626000,2065800000,149394000,121111000,287000,287000,149681000,177050000,233318000,78394000,154924000,410368000,560049000,672411000,833340000,1505751000,1505751000,2065800000,45456000,5781000,8040000,-73738000,-14461000,-20250000,-2750000,-10083000,-33083000,29905000,6135000,6135000,302000,36342000,-11202000,-11202000,-11202000,81501000,177050000,17191000,0.36201,0.19807,0.11891,0.03019,0.022,0.37819,1.95198,0.37194,0.08571,0.48205,0.46997,4.05399,15.96801,0.18231,0.02372,0.00897000000000001,1.80787,1.94589
"6","2011_Q3",33.23109375,"Down",393402000,-235292000,158110000,-64987000,-42702000,-6032000,-16253000,93123000,-659000,-988000,329000,92464000,92464000,-36523000,55941000,55941000,55941000,55941000,34939000,23964000,10975000,194032000,194032000,76350000,5316000,5046000,305321000,60106000,1681634000,1614815000,66819000,1767406000,2072727000,174612000,159110000,190000,190000,174802000,66388000,241319000,83662000,157657000,307707000,482509000,700937000,889281000,1590218000,1590218000,2072727000,55941000,6032000,9896000,23434000,95303000,-3169000,10883000,-1450000,6263999.99999997,-110759000,16966000,16966000,1141000,-92652000,8915000,8915000,8915000,99155000,66388000,155943000,0.4019,0.23671,0.1422,0.03518,0.02699,2.78763,1.74667,0.30342,0.03203,0.58847,0.57399,4.13837,16.72822,1.64043,0.02947,0.08216,0.31717,0.33771
"7","2011_Q4",33.1846031746032,"Down",407665000,-246687000,160978000,-65941000,-43010000,-6213000,-16718000,95037000,-719000,-1056000,337000,94318000,94318000,-36077000,58241000,58241000,58241000,58241000,42958000,35749000,7209000,207060000,207060000,83985000,8882000,6547000,334003000,61639000,1749155000,1683336000,65819000,1845813000,2179816000,214909000,200069000,160000,160000,215069000,50359000,252168000,88829000,163339000,302527000,517596000,714698000,947522000,1662220000,1662220000,2179816000,58241000,6213000,8472000,27153000,100079000,-5203000,-5587000,-68395000,-79185000,-16059000,5207000,5207000,1743000,-9109000,11785000,11785000,11785000,101250000,50359000,159277000,0.39488,0.23313,0.14286,0.03504,0.02672,2.73479,1.553,0.31139,0.0231,0.6068,0.59509,4.2474,17.3184,1.65948,0.02964,0.08107,0.0731,0.0778699999999999
"8","2012_Q1",36.2640322580645,"Up",404898000,-244523000,160375000,-68866000,-42846000,-7266000,-18754000,91509000,-180000,-684000,504000,91329000,91329000,-32970000,58359000,58359000,58359000,58359000,22735000,18596000,4139000,230388000,230388000,84150000,6305000,7531000,337273000,60530000,1829854000,1746762000,83092000,1935375000,2272648000,254158000,234535000,143000,143000,254301000,29327000,258004000,93831000,164173000,287331000,541632000,725135000,1005881000,1731016000,1731016000,2272648000,58359000,7266000,9480000,14643000,89748000,-2710000,-6902000,-74957000,-84569000,-23020000,3054000,3054000,-2366000,-22332000,-17153000,-17153000,-17153000,98775000,29327000,143678000,0.39609,0.22601,0.14413,0.03371,0.02568,2.46197,1.32627,0.3129,0.0129,0.60596,0.59359,4.2042,17.97375,1.49186,0.02891,0.07119,0.06674,0.07204
"9","2012_Q2",33.1001587301587,"Down",422616000,-272261000,150355000,-70967000,-46869000,-7113000,-16985000,79388000,-126000,-554000,428000,79262000,79262000,-30912000,48350000,48350000,48350000,48350000,26326000,22388000,3938000,236717000,236717000,98222000,4998000,6683000,361265000,59571000,1860633000,1771340000,89293000,1963772000,2325037000,172747000,122960000,121000,121000,172868000,83806000,270550000,98922000,171628000,354356000,527224000,743582000,1054231000,1797813000,1797813000,2325037000,48350000,7113000,-3835000,-83744000,-32116000,-2920000,1624000,-28095000,-29391000,54457000,9262000,9262000,1580000,65299000,3792000,3792000,3792000,86501000,83806000,30749000,0.35577,0.18785,0.11441,0.02689,0.0208,0.63597,2.08983,0.29326,0.03605,0.50084,0.48938,4.37772,18.62285,0.31852,0.02247,0.01429,0.6645,0.72404
"10","2012_Q3",34.6095238095238,"Up",449530000,-275951000,173579000,-73843000,-48200000,-7687000,-17956000,99736000,-483000,-848000,365000,99253000,99253000,-38709000,60544000,60544000,60544000,60544000,15463000,12146000,3317000,240920000,240920000,83840000,7775000,6801000,340223000,59874000,1897743000,1807628000,90115000,2006743000,2346966000,197114000,180408000,95000,95000,197209000,289000,279355000,104545000,174810000,279644000,476853000,755338000,1114775000,1870113000,1870113000,2346966000,60544000,7687000,27765000,21153000,117149000,-3901000,-4937000,-36774000,-45612000,-83543000,4541000,4541000,-2777000,-81779000,-10242000,-10242000,-10242000,107423000,289000,163384000,0.38613,0.22187,0.13468,0.03237,0.0258,2.6986,1.72519,0.25499,0.00012,0.62361,0.611,4.63022,19.26244,1.68288,0.02816,0.076,-0.14125,-0.15214
