"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.89349206349206,"Down",56078986,-37322137,18756849,-18024687,732162,-1607906,36685,-875744,-875744,315000,-560744,-560744,-560744,-560744,3517629,3517629,39994342,39994342,53123111,5149377,2036964,1216568,101784459,22540705,33337104,30519994,2817110,55877809,157662268,12130237,8916985,1595623,3680383,3680383,16330687,12896341,9071639,3824702,59121380,75452067,54801424,30535970,82210201,82210201,157662268,-560744,1433982,270733,10662102,11806073,-1297682,-1312417,-8846540,-8773120,1720536,1720536,1720536,2166144,46745106,11215564,0.33447,0.01306,-0.01,-0.00682,-0.00356,-20.00122,6.23271,0.91779,0.29649,-0.10101,-0.10101,10.10181,4.93729,2.02032,5,-0.00395,0.07907,19.95596,59.04086
"2","2010_Q3",5.844375,"Down",55223054,-36123970,19099084,-16163354,2935730,-2118120,3432,817610,817610.000000001,-294000,523610.000000001,523610.000000001,523610.000000001,523610.000000001,3166143,3166143,40782470,40782470,61811667,4860411,1876888,1182335,110620691,22436535,32625297,30512822,2112475,55061832,165682523,15472567,13415750,1875315,3410048,3410048,19411049,12946687,9071639,3875048,49317550,68728599,68931586,31059580,96953924,96953924,165682523,523610.000000001,1374714,154861,-5263594,-3210409,-1270838,-1275430,-9845809,4134353,-351486,-351486,-351486,4310444,36899297,-1929988,0.34585,0.05316,0.00948,0.0054,0.00316,-3.68593,5.69885,0.70888,0.22271,0.09432,0.09432,9.94762,5.04781,-0.34766,4,0.00357,-0.01315,7.82591,11.49055
"3","2010_Q4",7.17015625,"Up",74760244,-47575649,27184595,-19159541,8025054,-708699,246334,7316355,7316355,-2634000,4682355,4682355,4682355,4682355,3965906,3965906,61261175,61261175,62913777,4304843,1494653,1319589,132445701,22114258,32401699,30504785,1896914,54515957,186961658,15407646,9449927,3179178,3426795,3426795,19342817,12985604,9060211,3925393,65896212,85239029,68927984,35741935,101722629,101722629,186961658,4682355,1400725,112901,-20772272,-14576291,-1136239,-1140030,16519686,16516084,799763,799763,799763,9425779,53418984,-9848732,0.36362,0.10734,0.06263,0.04603,0.02504,-2.10337,6.84728,0.83796,0.28572,0.6939,0.69223,11.07913,4.86002,-1.45954,4,0.02785,-0.05858,5.24658,6.16234
"4","2011_Q1",10.0429032258065,"Up",66729979,-42397793,24332186,-18955677,5376509,-1377511,365762,3998998,3998998,-960487,3038511,3038511,3038511,3038511,4362531,4362531,47593807,47593807,58852556,3923056,1793852,911103,114731950,22129282,31718197,30495485,1222712,53847479,168579429,13527056,9024851,4079976,2561205,2561205,16575741,12391792,9374685,177814,47000130,63575871,69052101,38780446,105003558,105003558,168579429,3038511,1429354,1358502,14209461,20035828,-1010134,-1012709,-18323166,-18626494,396625,396625,396625,6805863,35095818,20965677,0.36464,0.08057,0.04553,0.02894,0.01802,6.89998,6.92168,0.60546,0.20819,0.45029,0.44921,9.88908,5.32784,3.10702,7,0.01993,0.13749,4.51571,5.71622
"5","2011_Q2",10.5369841269841,"Up",52306275,-33040330,19265945,-18229351,1036594,-202978,12554,833616,833616,-292000,541616,541616,541616,541616,2230661,2230661,37459868,37459868,61654840,5522639,3033002,1010981,106868008,22631554,32060333,30512025,1548308,54691887,161559895,12614564,10368817,2245747,2776211,2776211,15854524,12292619,9374685,2917934,39592706,55447230,69546028,39322062,106112665,106112665,161559895,541616,1454857,264915,4649946,6911334,-2053943,-2082649,-7331982,-6960555,-2131870,-2131870,-2131870,2491451,27763836,5379454,0.36833,0.01982,0.01035,0.0051,0.00335,9.93223,6.74054,0.52253,0.17185,0.07244,0.07242,6.99614,4.89091,0.71952,8,0.00371,0.0368,10.24832,24.6318
"6","2011_Q3",9.218125,"Down",52282632,-31665304,20617328,-16853029,3764299,-257599,34855,3506700,3506700,-1227000,2279700,2279700,2279700,2279700,3194944,3194944,41965418,41965418,74391866,4771497,2783290,770106,124323725,23501917,31435401,30504268,931133,54937318,179261043,16188961,13000426,2352364,2556337,2556337,18752163,12525947,9374685,3151262,52042952,70795115,69546028,41601762,108465928,108465928,179261043,2279700,1414678,449988,-12691293,-8546927,-2244472,-2248824,11760034,11760034,964282.999999999,964282.999999999,964282.999999999,5178977,39523870,-8529788,0.39434,0.072,0.0436,0.02102,0.01272,-3.74163,6.62983,0.65269,0.22048,0.30492,0.30483,6.99298,5.20567,-1.14089,4,0.0142,-0.05314,7.01469,9.65091
"7","2011_Q4",7.81333333333333,"Down",71020546,-45430389,25590157,-18026065,7564092,-146825,106033,7417267,7417267,-2205000,5212267,5212267,5212267,5212267,3330196,3330196,63339879,63339879,78887067,5117609,2822954,1055666,150674751,23572687,31242756,30505267,737489,54815443,205490194,16265957,11054561,3295080,5357443,5357443,21626355,10057789,9521852,535937,70112080,91738435,69546028,46814029,113751759,113751759,205490194,5212267,1410132,241748,-25577468,-18713321,-1671763,-1684803,20533376,20533376,135252,135252,135252,8974224,60057246,-16070007,0.36032,0.10651,0.07339,0.04582,0.02537,-3.08311,6.96718,0.80648,0.29226,0.69621,0.69616,9.48629,5.9046,-2.14649,3,0.02835,-0.0874,6.32111,7.49952
"8","2012_Q1",9.04451612903226,"Up",64359317,-41532318,22826999,-16744251,6082748,-524869,-306202,5557879,276881.000000002,-3569,273312,273312,273312,273312,3650291,3650291,45008793,45008793,65019048,5827331,2561941,946686,119505463,23557102,31003400,30493107,510293,54560502,174065965,9250515,5696363,3554152,1680007,1680007,10930522,11475832,10987395,488437,46475832,57406354,69572270,47087341,116659611,116659611,174065965,273312,1379338,220057,25005765,26878472,-1527373,-1527373,-25057246,-25031004,320095,320095,320095,7462086,3.5e+07,30944047,0.35468,0.09451,0.00424999999999999,0.00234000000000001,0.00157,113.21876,10.93319,0.49208,0.20107,0.03651,0.0364999999999999,8.59654,6.2895,4.13323,5,0.00168,0.18968,4.2012,5.15387
"9","2012_Q2",10.3585714285714,"Up",53325918,-35303837,18022081,-16742058,1280023,-153336,-8989,1126687,1126687,-406000,720687,720687,720687,720687,2424864,2424864,38587112,38587112,64113346,5727069,2842105,783349,110852391,24572535,30967237,30498545,468692,55539772,166392163,14353955,12643640,1710315,1546928,1546928,15900883,11475832,10987395,488437,32988482,48889365,69694770,47808028,117502798,117502798,166392163,720687,1344368,105656,12123869,14294580,-2014875,-2032657,-13487350,-13487350,-1225427,-1225427,-1225427,2624391,21512650,13139385,0.33796,0.024,0.01351,0.00613,0.00433,18.23175,6.97146,0.41607,0.12929,0.09605,0.09605,7.10702,6.37163,1.75115,6,0.00479,0.08731,7.27322,14.91206
"10","2012_Q3",9.53968253968254,"Down",44408358,-29056731,15351627,-14893727,457900,-117336,13270,340564,340564,-122000,218564,218564,218564,218564,1850905,1850905,36729487,36729487,74048921,5088390,2240461,760596,117717703,24822919,30927386,30490861,436525,55750305,173468008,12969969,10740705,2229264,1390888,1390888,14360857,11475832,10987395,488437,41385789,55746646,69694770,48026592,117721362,117721362,173468008,218564,1477833,-40659,-8684953,-7029215,-1937286,-1942051,8397307,8397307,-573959,-573959,-573959,1935733,29909957,-8564506,0.34569,0.01031,0.00492000000000001,0.00186,0.00126,-39.18535,8.19712,0.47355,0.17242,0.02913,0.02913,5.9183,6.4005,-1.14139,3,0.00137,-0.05383,14.49531,61.27769
