"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2017_Q2",1.28650793650794,"Down",-18518000,-15389000,-3129000,-18057000,-2637000,-2651000,14000,-20694000,4370000,-16324000,-16324000,-16324000,-16324000,-16324000,47978000,47978000,3980000,3508000,56094000,28482000,609000,609000,29091000,85185000,12176000,1519000,10657000,93049000,68157000,67405000,190861000,283910000,2555188000,-198725000,-198725000,85185000,-16324000,908000,-3103000,27026000,8507000,16651000,16651000,-75000,-75000,25083000,25083000,25083000,-17149000,194499000,0.08214,-0.19163,0.60284,-1.42866,2.28325,-0.1705,-0.1705,-2.07559,-0.25534,-8.544,-8.11436
"28","2017_Q3",1.56873015873016,"Up",-21689000,-18567000,-3122000,-24613000,-2364000,-2363000,-1000,-26977000,-8362000,-35339000,-35339000,-35339000,-35339000,-35339000,43384000,43384000,3063000,2563000,50931000,27920000,523000,523000,28443000,79374000,15617000,6541000,9076000,85869000,88098000,87493000,214748000,300617000,2568006000,-221243000,-221243000,79374000,-35339000,879000,11050000,3376000,-20034000,24000,23999.9999999963,-13000,15416000,-4594000,-4594000,-4594000,-23734000,184134000,0.15973,-0.44522,0.59312,-1.35876,2.31983,-0.35379,-0.35379,-2.21491,-0.69307,-5.93031,-5.71852
"29","2017_Q4",3.41539682539683,"Up",-22085000,-17725000,-4360000,-24617000,-2246000,-2246000,0,-26863000,-6023000,-32886000,-32886000,-32886000,-32886000,-32886000,20092000,20092000,3604000,3061000,28629000,27374000,480000,480000,27854000,56483000,17775000,5283000,12492000,91468000,88604000,88604000,216030000,307498000,2571119000,-251015000,-251015000,56483000,-32886000,920000,7644000,1052000,-23270000,0,0,-22000,-22000,-23292000,-23292000,-23292000,-23697000,185368000,0.13101,-0.58223,0.31299,-1.22502,3.28184,-0.31409,-0.31409,-2.3974,-1.4325,-6.97455,-6.7139
"30","2018_Q1",2.69262295081967,"Down",-26785000,-23278000,-3507000,-27273000,-1941000,-1941000,0,-29214000,-3519000,-32733000,-32784000,-32784000,-32784000,-32784000,43946000,43946000,7824000,3010000,57216000,26922000,437000,437000,27359000,84575000,19433000,6984000,12449000,87597000,89714000,89714000,211710000,299307000,2640184000,-214732000,-214732000,84575000,-32784000,821000,5861000,-3879000,-29981000,0,4.65661287307739e-10,-3320000,58244000,28263000,28263000,28263000,-26452000,174741000,0.15267,-0.38763,0.65317,-1.39386,2.06611,-0.28106,-0.28106,-1.8409,-0.659330000000001,-4.94462,-4.79577
"31","2018_Q2",1.87109375,"Down",-23262000,-20618000,-2644000,-23805000,-1657000,-1688000,31000,-25462000,-4923000,-30385000,-30385000,-30385000,-30385000,-30385000,26706000,26706000,2881000,2354000,35028000,26481000,368000,368000,26849000,61877000,20906000,4976000,15930000,80669000,83354000,83354000,204416000,285085000,2660217000,-223208000,-223208000,61877000,-30385000,706000,7586000,443000,-21650000,-582054.023061129,-2769114.15996759,-106000,528000,-21122000,-21122000,-21122000,-23099000,164716000,0.13613,-0.49105,0.43422,-1.27722,2.66199,-0.2513,-0.2513,-1.84605,-1.22215,-5.97472,-5.79752
"32","2018_Q3",1.53253968253968,"Down",-24698000,-21731000,-2967000,-25900000,-1624000,-1654000,30000,-27524000,5089000,-22435000,-22675000,-22675000,-22675000,-22675000,26178000,26178000,3097000,2570000,35799000,26036000,320000,320000,26356000,62155000,23312000,9237000,14075000,74901000,86366000,86366000,193873000,268774000,2699484000,-206619000,-206619000,62155000,-22675000,753000,-2656000,-2572000,-27150000,-252021.662385526,-3912671.76855323,-1713000,26622000,-528000,-528000,-528000,-25147000,145509000,0.10974,-0.36481,0.47795,-1.30082,2.34107,-0.1619,-0.1619,-1.47528,-0.897809999999994,-4.74534,-4.60737
"33","2018_Q4",1.69777777777778,"Up",-21433000,-19391000,-2042000,-22267000,-839000,-849000,10000,-23106000,-1058000,-24164000,-24164000,-24164000,-24164000,-24164000,10446000,10446000,3542000,3015000,19525000,25632000,199000,199000,25831000,45356000,19249000,5815000,13434000,59627000,87675000,87675000,191170000,250797000,2724826000,-205441000,-205441000,45356000,-24164000,1030000,3676000,5539000,-13919000,9999.99999999977,10000.0000000005,-8000,-1823000,-15732000,-15732000,-15732000,-21237000,117697000,0.11762,-0.53276,0.32745,-1.22077,2.59496,-0.15732,-0.15732,-1.33753,350.2029,-5.0502,-4.81659
"34","2019_Q1",1.58393442622951,"Down",-19060000,-17976000,-1084000,-8024000,-932000,-424000,-508000,-8956000,-795000.000000001,-9751000,-9751000,-9751000,-9751000,-9751000,71157000,71157000,3083000,2556000,81854000,25602000,249000,249000,25851000,107705000,20401000,5379000,15022000,75241000,96805000,96805000,207546000,282787000,2764937000,-175082000,-175082000,107705000,-9751000,368000,1099000,33272000,24988000,-244000,-244000,-2398000,35967000,60711000,60711000,60711000,-7656000,122039000,0.05569,-0.09053,1.08789,-1.61517,1.13309,-0.0602,-0.0602,-1.08087,-0.222820000000013,-6.64603,-6.34123
"35","2019_Q2",1.38285714285714,"Down",-27340000,-25673000,-1667000,-13912000,-289000,-275000,-14000,-14201000,-682000,-14883000,-14883000,-14883000,-14883000,-14883000,59294000,34530000,2919000,2392000,69692000,25750000,5519000,5519000,31269000,100961000,25042000,6978000,18064000,77868000,106688000,106688000,211097000,288965000,2766898000,-188004000,-188004000,100961000,-14883000,367000,697000,2222000,-11597000,-269000,-25033000,3000,3000,-36627000,-36627000,-36627000,-13545000,115794000,0.07916,-0.14741,0.895,-1.53702,1.14692,-0.0794,-0.0794,-1.00304,-0.43167,-4.17128,-4.06124
"36","2019_Q3",1.1653125,"Down",-18241000,-16609000,-1632000,-7566000,-326000,-309000,-16999.9999999999,-7892000,-4495000,-12387000,-12387000,-12387000,-12387000,-12387000,32877000,7968000,8020000,2704000,49834000,27146000,4815000,4815000,31961000,81795000,23985000,7533000,16452000,76978000,99807000,99807000,200816000,277794000,2771290000,-195999000,-195999000,81795000,-12387000,372000,5202000,-12915000,-19728000,-1224000,-1369000,-37298186.9164884,-676000,-21773000,-21773000,-21773000,-7194000,109983000,0.0632,-0.15144,0.64738,-1.41732,1.34462,-0.06587,-0.06587,-1.04225,-0.898190000000003,-10.7181,-10.19112
