"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",47.0668253968254,"Down",3.22e+09,-1.438e+09,-5.35e+08,-4.14e+08,-4.89e+08,1.782e+09,-8.2e+07,4e+06,1.7e+09,-1.12e+08,1.588e+09,-5.14e+08,1.074e+09,1.192e+09,1.192e+09,1.192e+09,7.24e+08,7.24e+08,1.296e+09,1.296e+09,1.728e+09,2.64e+08,3.748e+09,1.8812e+10,8.117e+09,6.018e+09,2.099e+09,2.6929e+10,3.0677e+10,1.199e+09,1.199e+09,1.669e+09,1.669e+09,3.108e+09,5.845e+09,4.769e+09,2.766e+09,1.0614e+10,1.3722e+10,6.622e+09,8.733e+09,1.6e+09,1.6955e+10,1.6955e+10,3.0677e+10,1.074e+09,1.192e+09,4.89e+08,-2.52e+08,3e+07,1.341e+09,1e+07,1.8e+07,-7.2e+07,3e+06,-1.253e+09,1.06e+08,1.53e+08,1.8e+07,1.71e+08,2.271e+09,6.085e+09,2.825e+09,0.55342,0.37019,0.0703,0.03886,2.36997,1.20592,0.80932,0.19836,2.8932,2.87923,7.81553,41.15291,6.8568,0.17476,0.04545,0.10159,0.0604,2.36063,3.00842
"2","2010_Q3",45.01046875,"Down",2.232e+09,-1.341e+09,-4.1e+08,-4.42e+08,-4.89e+08,8.91e+08,-8.9e+07,2.2e+07,8.02e+08,-1.89e+08,6.13e+08,-2.61e+08,3.52e+08,7.06e+08,7.06e+08,7.06e+08,2.174e+09,2.174e+09,1.205e+09,1.205e+09,1.67e+09,6.5e+08,5.049e+09,1.6841e+10,8.081e+09,5.892e+09,2.189e+09,2.4922e+10,2.9971e+10,1.133e+09,1.133e+09,2.216e+09,2.216e+09,3.402e+09,5.571e+09,4.168e+09,2.454e+09,9.739e+09,1.3141e+10,6.23e+09,9.369e+09,1.296e+09,1.683e+10,1.683e+10,2.9971e+10,3.52e+08,7.06e+08,4.89e+08,-1.29e+08,5.66e+08,1.278e+09,8.98e+08,9.08e+08,-7e+07,3e+06,-1.08e+09,1.106e+09,1.761e+09,-2.7e+07,1.734e+09,1.38e+09,5.624e+09,3.105e+09,0.39919,0.31631,0.04195,0.02356,4.39802,1.48413,0.78081,0.18765,1.71359,1.70531,5.41748,40.84951,7.53641,0.1699,0.02915,0.11663,0.09915,2.5,3.87205
"3","2010_Q4",50.63015625,"Up",2.353e+09,-1.345e+09,-4.67e+08,-4.15e+08,-4.63e+08,1.008e+09,-7.5e+07,8e+06,9.33e+08,-2.34e+08,6.99e+08,-2.7e+08,4.29e+08,2.09e+09,2.09e+09,2.09e+09,3.608e+09,3.608e+09,1.028e+09,1.028e+09,1.314e+09,7.38e+08,5.95e+09,1.8199e+10,7.714e+09,5.977e+09,1.737e+09,2.5913e+10,3.1863e+10,1.192e+09,1.192e+09,1.45e+09,1.45e+09,4.45e+09,3.821e+09,4.94e+09,2.535e+09,8.761e+09,1.3211e+10,5.757e+09,1.139e+10,1.512e+09,1.8652e+10,1.8652e+10,3.1863e+10,4.29e+08,2.09e+09,4.63e+08,7.35e+08,-3.47e+08,1.28e+09,-1.57e+09,-1.568e+09,-6.9e+07,1e+06,-5.64e+08,-8.52e+08,1.068e+09,1.4e+07,1.082e+09,1.471e+09,5.629e+09,-1.76e+08,0.42839,0.88823,0.11205,0.06559,-0.08421,1.33708,0.70829,0.17666,5.07282,5.04831,5.71117,45.27184,-0.42718,0.16748,0.07389,-0.00602,0.03301,1.3739,2.00496
"4","2011_Q1",62.5437096774194,"Up",2.135e+09,-1.415e+09,-5.08e+08,-4.18e+08,-4.89e+08,7.2e+08,-1.5e+08,-6.7e+07,5.7e+08,9.8e+07,6.68e+08,-1.9e+08,4.78e+08,5.62e+08,5.62e+08,5.62e+08,3.011e+09,2.866e+09,1.202e+09,1.202e+09,1.342e+09,7.79e+08,5.555e+09,1.9652e+10,7.72e+09,6.08e+09,1.64e+09,2.7372e+10,3.2927e+10,1.411e+09,1.411e+09,1.361e+09,1.361e+09,4.583e+09,3.819e+09,5.272e+09,2.516e+09,9.091e+09,1.3674e+10,5.644e+09,1.1882e+10,1.76e+09,1.9253e+10,1.9253e+10,3.2927e+10,4.78e+08,5.62e+08,4.89e+08,6.89e+08,-5.31e+08,1.125e+09,-1.504e+09,-1.669e+09,-7e+07,9e+06,-2.07e+08,-7.51e+08,-7.2e+08,1.2e+07,-7.08e+08,1.209e+09,5.63e+09,-6.36e+08,0.33724,0.26323,0.02919,0.01707,-1.13167,1.21209,0.71023,0.17098,1.36408,1.35749,5.18204,46.73058,-1.54369,0.1699,0.02096,-0.02109,0.12456,2.16625,3.6375
"5","2011_Q2",60.2904761904762,"Down",2.147e+09,-1.393e+09,-4.63e+08,-4.24e+08,-5.06e+08,7.54e+08,-7.1e+07,1e+07,6.83e+08,-1.03e+08,5.8e+08,-1.91e+08,3.89e+08,4.16e+08,4.16e+08,4.16e+08,2.947e+09,1.311e+09,1.269e+09,1.269e+09,1.383e+09,8.5e+08,5.599e+09,2.1081e+10,7.87e+09,6.151e+09,1.719e+09,2.8951e+10,3.455e+10,1.353e+09,1.353e+09,1.398e+09,1.398e+09,5.754e+09,3.8e+09,5.767e+09,2.568e+09,9.567e+09,1.5321e+10,5.071e+09,1.223e+10,1.951e+09,1.9229e+10,1.9229e+10,3.455e+10,3.89e+08,4.16e+08,5.06e+08,5.65e+08,-1.98e+08,1.262e+09,-1.827e+09,-3.318e+09,-6.8e+07,9e+06,5.2e+08,-1.536e+09,-1.594e+09,2e+07,-1.574e+09,1.26e+09,6.803e+09,-5.74e+08,0.35119,0.19376,0.02163,0.01204,-1.37981,0.97306,0.79677,0.1969,1.00971,1.00483,5.21117,46.67233,-1.3932,0.16505,0.01522,-0.01805,0.16346,3.06032,5.11406
"6","2011_Q3",50.5265625,"Down",3.22e+09,-1.594e+09,-5.91e+08,-4.53e+08,-5.5e+08,1.626e+09,-1.22e+08,-3.7e+07,1.504e+09,-1.26e+08,1.378e+09,-1.194e+09,1.84e+08,2.743e+09,2.743e+09,2.743e+09,6.718e+09,3.351e+09,1.446e+09,1.446e+09,7.47e+08,7.11e+08,8.911e+09,2.2427e+10,7.199e+09,6.176e+09,1.023e+09,2.9626e+10,3.8537e+10,1.365e+09,1.365e+09,1.157e+09,1.157e+09,4.484e+09,5.968e+09,6.657e+09,2.309e+09,1.2625e+10,1.7109e+10,4.531e+09,1.4901e+10,2.021e+09,2.1428e+10,2.1428e+10,3.8537e+10,1.84e+08,2.743e+09,5.5e+08,8.49e+08,-4.7e+07,1.536e+09,-1.888e+09,-3.619e+09,-7.2e+07,3e+06,4.98e+08,-1.585e+09,1.623e+09,1.2e+07,1.635e+09,2.176e+09,7.93e+09,1.435e+09,0.50497,0.85186,0.12801,0.07118,0.52315,1.98729,0.79844,0.20578,6.65777,6.6256,7.81553,52.00971,3.48301,0.17476,0.07816,0.03984,0.02625,0.55699,0.74539
"7","2011_Q4",45.4265079365079,"Down",3.502e+09,-1.694e+09,-6.53e+08,-4.75e+08,-5.66e+08,1.808e+09,-1.65e+08,-6.1e+07,1.643e+09,-1.05e+08,1.538e+09,-4.98e+08,1.04e+09,1.038e+09,1.038e+09,1.038e+09,6.849e+09,5.618e+09,1.43e+09,1.43e+09,1.328e+09,1.302e+09,9.607e+09,2.317e+10,7.089e+09,5.951e+09,1.138e+09,3.0259e+10,3.9866e+10,1.512e+09,1.512e+09,1.231e+09,1.231e+09,6.031e+09,5.969e+09,6.764e+09,1.955e+09,1.2733e+10,1.8764e+10,3.868e+09,1.587e+10,1.412e+09,2.1102e+10,2.1102e+10,3.9866e+10,1.04e+09,1.038e+09,5.66e+08,2.71e+08,-4.71e+08,1.406e+09,-1.787e+09,3.49e+08,-6.9e+07,-1e+06,5.55e+08,2.31e+09,2.309e+09,-4.2e+07,2.267e+09,2.374e+09,9.257e+09,6.14e+08,0.51628,0.2964,0.04919,0.02604,0.59152,1.59294,0.8892,0.2322,2.51942,2.50725,8.5,51.21845,1.49029,0.16748,0.02982,0.01654,0.06647,1.01432,1.33186
"8","2012_Q1",50.0717741935484,"Up",2.576e+09,-1.708e+09,-5.94e+08,-4.99e+08,-6.26e+08,8.68e+08,1.4e+07,7.5e+07,8.82e+08,-8.8e+07,7.94e+08,-2.73e+08,5.21e+08,5.07e+08,5.07e+08,5.07e+08,7.058e+09,5.555e+09,1.379e+09,1.379e+09,8.68e+08,8.68e+08,9.305e+09,2.4774e+10,7.038e+09,6.013e+09,1.025e+09,3.1812e+10,4.1117e+10,1.471e+09,1.471e+09,1.456e+09,1.456e+09,6.738e+09,5.969e+09,6.98e+09,2.217e+09,1.2949e+10,1.9687e+10,3.547e+09,1.6308e+10,1.575e+09,2.143e+10,2.143e+10,4.1117e+10,5.21e+08,5.07e+08,6.26e+08,4.25e+08,4.41e+08,2.013e+09,-1.903e+09,-2.175e+09,-6.9e+07,2e+06,1.18e+08,-4.4e+07,-6.9e+07,6e+06,-6.3e+07,1.494e+09,9.78e+09,3.05e+08,0.33696,0.19682,0.02366,0.01233,0.60158,1.38097,0.91867,0.23786,1.23058,1.22464,6.25243,52.01456,0.74029,0.16748,0.01508,0.00799,0.13609,1.82195,3.13594
"9","2012_Q2",45.7609523809524,"Down",2.497e+09,-1.687e+09,-4.93e+08,-5.14e+08,-6.8e+08,8.1e+08,-9.7e+07,-1e+07,7.13e+08,-1.02e+08,6.11e+08,-1.97e+08,4.14e+08,3.93e+08,3.93e+08,3.93e+08,7.11e+09,5.828e+09,1.107e+09,1.107e+09,8.61e+08,8.61e+08,9.078e+09,2.6561e+10,6.966e+09,6.067e+09,8.99e+08,3.3527e+10,4.2605e+10,1.079e+09,1.079e+09,1.063e+09,1.063e+09,6.262e+09,6.719e+09,7.668e+09,2.696e+09,1.4387e+10,2.0649e+10,3.604e+09,1.6621e+10,1.731e+09,2.1956e+10,2.1956e+10,4.2605e+10,4.14e+08,3.93e+08,6.8e+08,2.54e+08,-3.49e+08,9.99e+08,-2.088e+09,-1.867e+09,-8e+07,1e+06,1.048e+09,1.8e+08,2.64e+08,9e+06,2.73e+08,1.49e+09,1.0839e+10,-7.5e+08,0.32439,0.15739,0.0179,0.00922,-1.9084,1.4497,0.94047,0.25441,0.9825,0.98005,6.2425,54.89,-1.875,0.2,0.01169,-0.01854,0.20356,2.50268,4.6037
"10","2012_Q3",43.0312698412698,"Down",2.559e+09,-1.582e+09,-3.85e+08,-5.13e+08,-6.84e+08,9.77e+08,-1.43e+08,-4.4e+07,8.34e+08,-1e+08,7.34e+08,-2.57e+08,4.77e+08,4.77e+08,4.77e+08,4.77e+08,7.045e+09,6.101e+09,1.005e+09,1.005e+09,1.167e+09,1.167e+09,9.217e+09,2.7241e+10,7.012e+09,6.007e+09,1.005e+09,3.4253e+10,4.347e+10,1.51e+09,1.51e+09,1.303e+09,1.303e+09,4.961e+09,8.455e+09,7.829e+09,2.741e+09,1.6284e+10,2.1245e+10,3.644e+09,1.7016e+10,1.565e+09,2.2225e+10,2.2225e+10,4.347e+10,4.77e+08,4.77e+08,6.84e+08,-8.3e+07,3.63e+08,1.441e+09,-1.315e+09,-9.77e+08,-8.2e+07,0,-2.2e+08,2.44e+08,2.44e+08,2.9e+07,2.73e+08,1.661e+09,1.0603e+10,9.66e+08,0.38179,0.1864,0.02146,0.01097,2.02516,1.85789,0.95591,0.24392,1.1925,1.18953,6.3975,55.5625,2.415,0.205,0.01375,0.02376,0.17191,2.14208,3.64176
