"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2019_Q2",145.71873015873,"Up",244752000,-65503000,179249000,-108080000,-63107000,-44973000,71169000,6161000,6161000,77330000,77330000,-3881000,73449000,73449000,73449000,73449000,1329648000,748158000,581490000,164108000,164108000,44095000,20729000,1537851000,55266000,182987000,22951000,95804000,6494000,57738000,238253000,1776104000,48644000,8361000,9874000,30409000,363943000,363943000,412587000,28414000,21114000,28414000,441001000,641925000,691989000,1188000,1335102000,1335102000,1776103000,73449000,5438000,24612000,132790000,236289000,-39928999.9999999,-419000,-41542000,3391000,3391000,3142000,197889000,197889000,197187000,76607000,0,0.73237,0.29078,0.3001,0.05501,0.04135,3.72734,0.33031,0,0.50065,0.46513,1.66829,9.1004,0.05387,-17.35674,-18.68297
"23","2019_Q3",160.403125,"Up",266900000,-70218000,196682000,-122826000,-71680000,-51146000,73856000,7332000,7332000,81188000,81188000,-1946000,79242000,79242000,79242000,79242000,1432156000,827468000,604688000,145463000,145463000,43219000,21835000,1620838000,54354000,184661000,21438000,95804000,6499000,60920000,239015000,1859853000,53888000,8613000,11970000,33305000,329053000,329053000,382941000,31895000,23451000,31895000,414836000,673878000,771231000,-93000,1445016000,1445016000,1859852000,79242000,5561000,32921000,-17251000,100473000,-21423000,-286000,-22801000,3620000,3620000,3381000,81053000,81053000,79311000,79417000,0,0.73691,0.27672,0.2969,0.05484,0.04261,4.23261,0.28708,0,0.53715,0.49911,1.8092,9.79512,0.05365,-18.03337,-19.39119
"24","2019_Q4",146.925625,"Down",280921000,-73329000,207592000,-126792000,-74217000,-52575000,80800000,9141000,9141000,89941000,89941000,-7696000,82245000,82245000,82245000,82245000,1494988000,892581000,602407000,116874000,116874000,46259000,15360000,1658121000,53290000,189030000,19948000,95804000,6455000,66823000,242320000,1900441000,56223000,9914000,14625000,31684000,250674000,250674000,306897000,34979000,25937000,34979000,341876000,704915000,853476000,173000,1558564000,1558564000,1900440000,82245000,627000,39075000,-60443000,61504000,-567432000,572103000,2729000,1607000,1607000,1366000,65599000,65599000,65112000,81427000,0,0.73897,0.28763,0.29277,0.05277,0.04328,5.40286,0.21935,0,0.55508,0.52155,1.89595,10.51883,0.05161,-18.35986,-18.50233
"25","2020_Q1",146.587903225806,"Down",311508000,-94319000,217189000,-156795000,-95594000,-61201000,60394000,4844000,4844000,65238000,65238000,944000,66182000,66182000,66182000,66182000,1086748000,476733000,610015000,389690000,389690000,54686000,21869000,1531124000,54752000,685901000,134601000,438529000,11870000,100901000,740653000,2271777000,72272000,19420000,5613000,47239000,478900000,468887000,551172000,55011000,52594000,55011000,606183000,745476000,919658000,460000,1665594000,1665594000,2271777000,66182000,8233000,37972000,-73278000,39109000,-123734000,116693000,-450975000,2376000,2376000,-2200000,-414066000,-414066000,-413991000,68627000,0,0.69722,0.19388,0.21246,0.03973,0.02913,2.77794,0.36394,0,0.44482,0.41673,2.09371,11.19479,0.03846,-15.83557,-17.9943
"26","2020_Q2",198.310793650794,"Up",337106000,-94880000,242226000,-154661000,-92424000,-62237000,87565000,3414000,3414000,90979000,90979000,-4409000,86570000,86570000,86570000,86570000,1380975000,720776000,660199000,235923000,235923000,58374000,21105000,1675272000,52886000,676461000,129403000,438529000,11701000,96828000,729347000,2404619000,80078000,15041000,14568000,50469000,470262000,470262000,550340000,53243000,51570000,53243000,603583000,792660000,1006228000,2146000,1801034000,1801034000,2404617000,86570000,7878000,43210000,144514000,282172000,-188818000,140342000,-48209000.0000001,9781000,9781000,9533000,243496000,243496000,244044000,95443000,0,0.71855,0.25976,0.2568,0.04807,0.036,3.04407,0.33513,0,0.5789,0.54285,2.25427,12.04375,0.04669,-14.46911,-15.77086
"27","2020_Q3",263.54125,"Up",353683000,-97204000,256479000,-166398000,-96345000,-70053000,90081000,2881000,2881000,92962000,92962000,589000,93551000,93551000,93551000,93551000,1495489000,795782000,699707000,220803000,220803000,69140000,32490000,1785432000,52576000,678401000,124420000,438529000,12167000,103285000,730977000,2516409000,80315000,16476000,13582000,50257000,421167000,421167000,501482000,58200000,56376000,58200000,559682000,850776000,1099779000,6170000,1956725000,1956725000,2516407000,93551000,7317000,58190000,-53738000,105320000,-267749000,229224000,-43932000,9278000,9278000,9027000,70415000,70415000,73149000,97398000,0,0.72517,0.25469,0.26451,0.04781,0.03718,3.56031,0.28603,0,0.62192,0.58054,2.35126,13.00815,0.04643,-15.35441,-16.6016
"28","2020_Q4",280.154375,"Up",377519000,-102997000,274522000,-173217000,-93225000,-79992000,101305000,3455000,3455000,104760000,104760000,-7801000,96959000,96959000,96959000,96959000,1590432000,634265000,956167000,183435000,183435000,79130000,25895000,1852997000,54352000,676292000,119165000,436029000,15689000,105409000,730644000,2583641000,75176000,21324000,2555000,51297000,342216000,331166000,417392000,59870000,58866000,59870000,477262000,906139000,1196738000,3502000,2106379000,2106379000,2583641000,96959000,7525000,56792000,-65873000,95403000,-426354000,158628000,-262586000,6186000,6186000,6265000,-160918000,-160918000,-161517000,108830000,0,0.72717,0.26834,0.25683,0.04603,0.03753,4.43946,0.22658,0,0.6421,0.60248,2.50009,13.94935,0.04476,-14.61391,-15.69944
"29","2021_Q1",278.592459016393,"Down",396761000,-113847000,282914000,-184071000,-102133000,-81938000,98843000,6449000,6449000,105292000,105292000,-2374000,102918000,102918000,102918000,102918000,1663626000,730504000,933122000,564387000,564387000,82813000,35607000,2310826000,53650000,681591000,114595000,436029000,14100000,116867000,735241000,3046067000,87235000,23253000,2590000,61392000,628717000,616992000,715952000,63795000,61960000,63795000,779747000,965672000,1299656000,992000,2266320000,2266320000,3046067000,102918000,6735000,59247000,-100549000,68351000,-96371000,126147000,29776000,9612000,9612000,310000,98437000,98437000,96238000,105578000,0,0.71306,0.24912,0.2594,0.04541,0.03379,3.22763,0.34406,0,0.67844,0.63775,2.61547,14.93968,0.04417,-15.75732,-16.83099
"30","2021_Q2",278.753492063492,"Up",433573000,-116136000,317437000,-188991000,-105765000,-83226000,128446000,4564000,4564000,133010000,133010000,-17443000,115567000,115567000,115567000,115567000,2150433000,1184980000,965453000,262327000,262327000,82306000,30939000,2495066000,52248000,674835000,110166000,436029000,13845000,114795000,727083000,3222149000,89593000,18858000,6299000,64436000,619953000,608673000,709546000,67619000,61131000,67619000,777165000,1032065000,1415223000,-2304000,2444984000,2444984000,3222149000,115567000,6628000,65045000,291145000,478385000,-256938000,221645000,-35293000,17091000,17091000,14149000,457241000,457241000,454476000,135074000,0,0.73214,0.29625,0.26655,0.04727,0.03587,3.51643,0.31786,0,0.76704,0.719,2.87771,16.22784,0.04599,-15.92041,-16.74192
"31","2021_Q3",317.3515625,"Up",455594000,-122097000,333497000,-208873000,-113974000,-94899000,124624000,1666000,1666000,126290000,126290000,-17432000,108858000,108858000,108858000,108858000,2263516000,1064731000,1198785000,283619000,283619000,84657000,33557000,2631792000,52805000,666786000,107253000,437261000,7590000,114682000,719591000,3351383000,93012000,21301000,2573000,69138000,569825000,558720000,662837000,68449000,60938000,68449000,731286000,1098705000,1524081000,-2689000,2620097000,2620097000,3351383000,108858000,6880000,80409000,-77082000,119065000,-422680000,187324000,-237489000,20851000,20851000,332000,-118092000,-118092000,-118272000,131504000,0,0.732,0.27354,0.23894,0.04155,0.03248,3.9705,0.27911,0,0.71257,0.66934,2.98226,17.15082,0.04049,-17.21253,-18.16276
"32","2021_Q4",290.72546875,"Down",476111000,-129564000,346547000,-213839000,-115204000,-98635000,132708000,824000,824000,133532000,133532000,-27663000,105869000,105869000,105869000,105869000,2351487000,1149946000,1201541000,211046000,211046000,97262000,29292000,2659795000,53463000,654228000,102559000,437261000,4884000,109524000,707691000,3367486000,108329000,25605000,14477000,68247000,428558000,417755000,536887000,61238000,59297000,61238000,598125000,1145149000,1629950000,-5738000,2769361000,2769361000,3367486000,105869000,6899000,71043000,-70852000,112959000,-419190408.872309,-7915000.00000003,-7915000.00000003,5368000,5368000,-18360000,86684000,86684000,85215000.0000001,139607000,0,0.72787,0.27873,0.22236,0.03823,0.03144,4.95411,0.21598,0,0.69301,0.65096,3.11656,18.12789,0.0374,-16.84362,-17.71926
"33","2022_Q1",216.929677419355,"Down",485499000,-135881000,349618000,-229900000,-124625000,-105275000,119718000,-239000,-239000,119479000,119479000,-22383000,97096000,97096000,97096000,97096000,2376104000,1138040000,1238064000,631134000,631134000,99945000,36679000,3107183000,54495000,654787000,101940000,439877000,5097000,107873000,709282000,3816465000,98052000,20348000,7761000,69943000,742727000,731746000,840779000,64049000,61833000,64049000,904828000,1196549000,1727046000,-11958000,2911637000,2911637000,3816465000,97096000,7041000,72467000,-122550000,54054000,-437458000,391864000,-51241000,8228000,8228000,-14475000,-11662000,-11662000,-11905000,126759000,0,0.72012,0.24659,0.19999,0.03335,0.02544,3.6956,0.31076,0,0.64445,0.60409,3.22235,19.32511,0.03263,-18.74505,-19.84751
"34","2022_Q2",184.013225806452,"Down",505102000,-139515000,365587000,-237915000,-124440000,-113475000,127672000,2709000,2709000,130381000,130381000,-30266000,100115000,100115000,100115000,100115000,2838553000,1239998000,1598555000,329677000,329677000,107065000,45094000,3275295000,53816000,682111000,97194000,439877000,40674000,104366000,735927000,4011222000,143533000,25404000,50984000,67145000,735327000,723721000,878860000,64087000,62362000,64087000,942947000,1265325000,1827161000,-24211000,3068275000,3068275000,4011222000,100115000,7058000,44092000,329762000,481027000,-572344000,196190000,-376154000,16291000,16291000,-1041000,103832000,103832000,101958000,134730000,0,0.72379,0.25276,0.19821,0.03263,0.02496,3.72675,0.30732,0,0.64793,0.61827,3.26897,19.85759,0.03196,-21.06846,-22.23317
"35","2022_Q3",199.76890625,"Up",534218000,-151669000,382549000,-281457000,-147449000,-134008000,101092000,8398000,8398000,109490000,109490000,-18889000,90601000,90601000,90601000,90601000,2919107000,1140246000,1778861000,313219000,313219000,123816000,46038000,3356142000,52409000,708032000,92288000,439877000,62059000,113808000,760441000,4116583000,103381000,30915000,5143000,67323000,696008000,684642000,799389000,73263000,71606000,73263000,872652000,1353504000,1917762000,-27335000,3243931000,3243931000,4116583000,90601000,7228000,85324000,-89767000,93386000,-433073000,250531000,-182542000,9250000,9250000,-9547000,-98703000,-98703000,-99752000,108320000,0,0.71609,0.18923,0.1696,0.02793,0.02201,4.19838,0.26901,0,0.58471,0.55881,3.44766,20.93521,0.02731,-26.94892,-28.87575
